year,temperature,actual_champion,actual_champion_prob,predicted_champion,predicted_champion_prob,top4_mass,top8_mass,top_pick_hit,multiclass_brier,champion_log_loss
2011,1.0,Connecticut,0.6793333333333333,Connecticut,0.6793333333333333,0.9963333333333333,0.9996666666666666,1,0.19474844444444442,0.3866433538675766
2012,1.0,Kentucky,0.8633333333333333,Kentucky,0.8633333333333333,0.9663333333333333,0.9913333333333333,1,0.024343111111111124,0.14695441295666337
2013,1.0,Louisville,0.677,Louisville,0.677,0.8996666666666667,0.9813333333333334,1,0.1231424444444444,0.390084006069862
2014,1.0,Connecticut,0.3456666666666667,Connecticut,0.3456666666666667,0.8976666666666667,0.9760000000000002,1,0.5551440000000002,1.0622803594207193
2015,1.0,Duke,0.8226666666666667,Duke,0.8226666666666667,0.9963333333333334,0.9996666666666667,1,0.060357333333333346,0.19520418262496833
2016,1.0,Villanova,0.7256666666666667,Villanova,0.7256666666666667,0.9253333333333335,0.9883333333333333,1,0.09204022222222223,0.32066450641569927
2017,1.0,North Carolina,0.6523333333333333,North Carolina,0.6523333333333333,0.9316666666666666,0.9763333333333333,1,0.1555128888888889,0.42719960025417053
2018,1.0,Villanova,0.944,Villanova,0.944,0.983,0.993,1,0.0037682222222222284,0.057629112836636416
2019,1.0,Virginia,0.8883333333333333,Virginia,0.8883333333333333,0.9726666666666667,0.996,1,0.016863111111111117,0.11840823105030186
2021,1.0,Baylor,0.9513333333333334,Baylor,0.9513333333333334,0.9863333333333334,0.9993333333333334,1,0.0029406666666666635,0.04989076961346498
2022,1.0,Kansas,0.5056666666666667,Kansas,0.5056666666666667,0.748,0.9083333333333333,1,0.27269622222222223,0.6818775883017144
2023,1.0,Connecticut,0.17533333333333334,Alabama,0.32666666666666666,0.733,0.941,0,0.8260053333333334,1.741066354912537
2024,1.0,Connecticut,0.9573333333333334,Connecticut,0.9573333333333334,0.9963333333333333,0.9996666666666666,1,0.003035555555555552,0.043603637482131904
2025,1.0,Florida,0.8963333333333333,Florida,0.8963333333333333,0.9803333333333333,1.0,1,0.013687111111111115,0.1094429113813821
2011,1.1,Connecticut,0.651,Connecticut,0.651,0.9959999999999999,1.0,1,0.2265973333333333,0.42924563677356775
2012,1.1,Kentucky,0.8306666666666667,Kentucky,0.8306666666666667,0.9523333333333334,0.988,1,0.03635822222222222,0.18552668774290298
2013,1.1,Louisville,0.6333333333333333,Louisville,0.6333333333333333,0.8743333333333334,0.9723333333333334,1,0.1570357777777778,0.456758402495715
2014,1.1,Connecticut,0.324,Connecticut,0.324,0.87,0.9603333333333334,1,0.5796277777777776,1.1270117631898076
2015,1.1,Duke,0.7973333333333333,Duke,0.7973333333333333,0.9946666666666666,0.9993333333333333,1,0.07758244444444444,0.22648245257972438
2016,1.1,Villanova,0.6863333333333334,Villanova,0.6863333333333334,0.909,0.9813333333333334,1,0.11889644444444443,0.3763918606224573
2017,1.1,North Carolina,0.6203333333333333,North Carolina,0.6203333333333333,0.914,0.969,1,0.18243266666666674,0.47749831100799606
2018,1.1,Villanova,0.924,Villanova,0.924,0.9753333333333334,0.9886666666666667,1,0.006853111111111105,0.07904320734045285
2019,1.1,Virginia,0.8543333333333333,Virginia,0.8543333333333333,0.96,0.991,1,0.027679111111111127,0.15743384128617569
2021,1.1,Baylor,0.9306666666666666,Baylor,0.9306666666666666,0.9806666666666666,0.9979999999999999,1,0.005888444444444448,0.07185410376798368
2022,1.1,Kansas,0.46,Kansas,0.46,0.7073333333333334,0.882,1,0.3224617777777778,0.7765287894989963
2023,1.1,Connecticut,0.167,Alabama,0.30366666666666664,0.7026666666666667,0.9226666666666666,0,0.8269662222222222,1.7897614665653818
2024,1.1,Connecticut,0.9403333333333334,Connecticut,0.9403333333333334,0.9943333333333334,0.9990000000000001,1,0.0057459999999999985,0.06152085664825043
2025,1.1,Florida,0.8676666666666667,Florida,0.8676666666666667,0.9726666666666668,0.9990000000000001,1,0.022100222222222216,0.14194766265568134
2011,1.25,Connecticut,0.6063333333333333,Connecticut,0.6063333333333333,0.9913333333333333,0.9979999999999999,1,0.27836155555555564,0.5003253891321245
2012,1.25,Kentucky,0.7836666666666666,Kentucky,0.7836666666666666,0.9263333333333332,0.9799999999999999,1,0.057378000000000026,0.24377151911017728
2013,1.25,Louisville,0.5756666666666667,Louisville,0.5756666666666667,0.8376666666666667,0.9539999999999998,1,0.20721577777777778,0.5522264895035681
2014,1.25,Connecticut,0.2936666666666667,Connecticut,0.2936666666666667,0.8203333333333334,0.9336666666666666,1,0.6115639999999999,1.2253099417140672
2015,1.25,Duke,0.756,Duke,0.756,0.9856666666666667,0.9986666666666667,1,0.10662311111111111,0.27971390280260405
2016,1.25,Villanova,0.626,Villanova,0.626,0.869,0.9653333333333334,1,0.16544777777777778,0.46840490788203853
2017,1.25,North Carolina,0.566,North Carolina,0.566,0.8753333333333333,0.9513333333333333,1,0.2301555555555556,0.5691612007789542
2018,1.25,Villanova,0.8856666666666667,Villanova,0.8856666666666667,0.9513333333333334,0.9736666666666667,1,0.0148791111111111,0.12141462189043319
2019,1.25,Virginia,0.805,Virginia,0.805,0.9390000000000001,0.9840000000000001,1,0.048018888888888875,0.21691300156357363
2021,1.25,Baylor,0.8923333333333333,Baylor,0.8923333333333333,0.965,0.9953333333333333,1,0.013913777777777784,0.11391552412989427
2022,1.25,Kansas,0.4026666666666667,Kansas,0.4026666666666667,0.6536666666666667,0.8446666666666667,1,0.39019399999999993,0.9096461891554865
2023,1.25,Connecticut,0.16333333333333333,Alabama,0.27366666666666667,0.6636666666666667,0.8923333333333333,0,0.8159375555555556,1.8119621765455745
2024,1.25,Connecticut,0.9036666666666666,Connecticut,0.9036666666666666,0.9843333333333333,0.9943333333333333,1,0.013858000000000011,0.10129471815158127
2025,1.25,Florida,0.8223333333333334,Florida,0.8223333333333334,0.9556666666666668,0.9973333333333333,1,0.038687333333333324,0.19560945112089
