year,temperature,actual_champion,actual_champion_prob,predicted_champion,predicted_champion_prob,top4_mass,top8_mass,top_pick_hit,multiclass_brier,champion_log_loss
2011,1.0,Connecticut,0.6793333333333333,Connecticut,0.6793333333333333,0.9963333333333333,0.9996666666666666,1,0.19474844444444442,0.3866433538675766
2012,1.0,Kentucky,0.8633333333333333,Kentucky,0.8633333333333333,0.9663333333333333,0.9913333333333333,1,0.024343111111111124,0.14695441295666337
2013,1.0,Louisville,0.677,Louisville,0.677,0.8996666666666667,0.9813333333333334,1,0.1231424444444444,0.390084006069862
2014,1.0,Connecticut,0.3456666666666667,Connecticut,0.3456666666666667,0.8976666666666667,0.9760000000000002,1,0.5551440000000002,1.0622803594207193
2015,1.0,Duke,0.8226666666666667,Duke,0.8226666666666667,0.9963333333333334,0.9996666666666667,1,0.060357333333333346,0.19520418262496833
2016,1.0,Villanova,0.7256666666666667,Villanova,0.7256666666666667,0.9253333333333335,0.9883333333333333,1,0.09204022222222223,0.32066450641569927
2017,1.0,North Carolina,0.6523333333333333,North Carolina,0.6523333333333333,0.9316666666666666,0.9763333333333333,1,0.1555128888888889,0.42719960025417053
2018,1.0,Villanova,0.944,Villanova,0.944,0.983,0.993,1,0.0037682222222222284,0.057629112836636416
2019,1.0,Virginia,0.8883333333333333,Virginia,0.8883333333333333,0.9726666666666667,0.996,1,0.016863111111111117,0.11840823105030186
2021,1.0,Baylor,0.9513333333333334,Baylor,0.9513333333333334,0.9863333333333334,0.9993333333333334,1,0.0029406666666666635,0.04989076961346498
2022,1.0,Kansas,0.5056666666666667,Kansas,0.5056666666666667,0.748,0.9083333333333333,1,0.27269622222222223,0.6818775883017144
2023,1.0,Connecticut,0.17533333333333334,Alabama,0.32666666666666666,0.733,0.941,0,0.8260053333333334,1.741066354912537
2024,1.0,Connecticut,0.9573333333333334,Connecticut,0.9573333333333334,0.9963333333333333,0.9996666666666666,1,0.003035555555555552,0.043603637482131904
2025,1.0,Florida,0.8963333333333333,Florida,0.8963333333333333,0.9803333333333333,1.0,1,0.013687111111111115,0.1094429113813821
