year,temperature,team,win_championship,is_champion
2011,1.0,Connecticut,0.6793333333333333,1
2011,1.0,Ohio St,0.303,0
2011,1.0,Wisconsin,0.009333333333333334,0
2011,1.0,San Diego St,0.004666666666666667,0
2011,1.0,Richmond,0.0013333333333333333,0
2011,1.0,Notre Dame,0.001,0
2011,1.0,Syracuse,0.0006666666666666666,0
2011,1.0,VCU,0.0003333333333333333,0
2011,1.0,Michigan,0.0003333333333333333,0
2011,1.0,West Virginia,0.0,0
2011,1.0,Pittsburgh,0.0,0
2011,1.0,Utah St,0.0,0
2011,1.0,Washington,0.0,0
2011,1.0,Penn St,0.0,0
2011,1.0,Louisville,0.0,0
2011,1.0,Missouri,0.0,0
2011,1.0,Princeton,0.0,0
2011,1.0,Villanova,0.0,0
2011,1.0,UNLV,0.0,0
2011,1.0,Georgia,0.0,0
2011,1.0,St Johns,0.0,0
2011,1.0,Kansas St,0.0,0
2011,1.0,UCLA,0.0,0
2011,1.0,Tennessee,0.0,0
2011,1.0,Xavier,0.0,0
2011,1.0,Oakland,0.0,0
2011,1.0,Long Island Brooklyn,0.0,0
2011,1.0,St Peters,0.0,0
2011,1.0,UNC Asheville,0.0,0
2011,1.0,Santa Barbara,0.0,0
2011,1.0,Texas San Antonio,0.0,0
2011,1.0,Wofford,0.0,0
2011,1.0,Kansas,0.0,0
2011,1.0,North Carolina,0.0,0
2011,1.0,Purdue,0.0,0
2011,1.0,Kentucky,0.0,0
2011,1.0,Vanderbilt,0.0,0
2011,1.0,Georgetown,0.0,0
2011,1.0,Texas A&M,0.0,0
2011,1.0,George Mason,0.0,0
2011,1.0,Illinois,0.0,0
2011,1.0,Florida St,0.0,0
2011,1.0,Marquette,0.0,0
2011,1.0,Clemson,0.0,0
2011,1.0,Morehead St,0.0,0
2011,1.0,Indiana St,0.0,0
2011,1.0,Akron,0.0,0
2011,1.0,Boston University,0.0,0
2011,1.0,Duke,0.0,0
2011,1.0,Florida,0.0,0
2011,1.0,BYU,0.0,0
2011,1.0,Texas,0.0,0
2011,1.0,Arizona,0.0,0
2011,1.0,Cincinnati,0.0,0
2011,1.0,Temple,0.0,0
2011,1.0,Butler,0.0,0
2011,1.0,Old Dominion,0.0,0
2011,1.0,Michigan St,0.0,0
2011,1.0,Gonzaga,0.0,0
2011,1.0,Memphis,0.0,0
2011,1.0,Belmont,0.0,0
2011,1.0,Bucknell,0.0,0
2011,1.0,Northern Colorado,0.0,0
2011,1.0,Hampton,0.0,0
2012,1.0,Kentucky,0.8633333333333333,1
2012,1.0,Syracuse,0.06966666666666667,0
2012,1.0,Ohio St,0.022333333333333334,0
2012,1.0,Baylor,0.011,0
2012,1.0,Kansas,0.009333333333333334,0
2012,1.0,North Carolina,0.007,0
2012,1.0,Louisville,0.006666666666666667,0
2012,1.0,Michigan St,0.002,0
2012,1.0,Wisconsin,0.0013333333333333333,0
2012,1.0,Ohio,0.0013333333333333333,0
2012,1.0,Florida,0.001,0
2012,1.0,Marquette,0.001,0
2012,1.0,South Florida,0.0006666666666666666,0
2012,1.0,Missouri,0.0006666666666666666,0
2012,1.0,Iowa St,0.0006666666666666666,0
2012,1.0,Cincinnati,0.0003333333333333333,0
2012,1.0,NC State,0.0003333333333333333,0
2012,1.0,Belmont,0.0003333333333333333,0
2012,1.0,St Louis,0.0003333333333333333,0
2012,1.0,VCU,0.0003333333333333333,0
2012,1.0,Creighton,0.0003333333333333333,0
2012,1.0,Purdue,0.0,0
2012,1.0,Kansas St,0.0,0
2012,1.0,Xavier,0.0,0
2012,1.0,Georgetown,0.0,0
2012,1.0,West Virginia,0.0,0
2012,1.0,Indiana,0.0,0
2012,1.0,Duke,0.0,0
2012,1.0,Vanderbilt,0.0,0
2012,1.0,Murray St,0.0,0
2012,1.0,Colorado,0.0,0
2012,1.0,St Bonaventure,0.0,0
2012,1.0,Florida St,0.0,0
2012,1.0,Long Beach St,0.0,0
2012,1.0,Wichita St,0.0,0
2012,1.0,Gonzaga,0.0,0
2012,1.0,BYU,0.0,0
2012,1.0,New Mexico,0.0,0
2012,1.0,Colorado St,0.0,0
2012,1.0,Notre Dame,0.0,0
2012,1.0,Harvard,0.0,0
2012,1.0,Lehigh,0.0,0
2012,1.0,UNLV,0.0,0
2012,1.0,Texas,0.0,0
2012,1.0,Alabama,0.0,0
2012,1.0,Michigan,0.0,0
2012,1.0,Memphis,0.0,0
2012,1.0,Southern Mississippi,0.0,0
2012,1.0,South Dakota St,0.0,0
2012,1.0,St Marys,0.0,0
2012,1.0,Connecticut,0.0,0
2012,1.0,Temple,0.0,0
2012,1.0,New Mexico St,0.0,0
2012,1.0,Virginia,0.0,0
2012,1.0,San Diego St,0.0,0
2012,1.0,Loyola Maryland,0.0,0
2012,1.0,Long Island Brooklyn,0.0,0
2012,1.0,Norfolk St,0.0,0
2012,1.0,Davidson,0.0,0
2012,1.0,Montana,0.0,0
2012,1.0,Detroit,0.0,0
2012,1.0,Vermont,0.0,0
2012,1.0,UNC Asheville,0.0,0
2012,1.0,Western Kentucky,0.0,0
2013,1.0,Louisville,0.677,1
2013,1.0,Michigan,0.08166666666666667,0
2013,1.0,Duke,0.07766666666666666,0
2013,1.0,Florida,0.06333333333333334,0
2013,1.0,Syracuse,0.03133333333333333,0
2013,1.0,La Salle,0.027666666666666666,0
2013,1.0,Ohio St,0.016,0
2013,1.0,Oregon,0.006666666666666667,0
2013,1.0,Indiana,0.004666666666666667,0
2013,1.0,Wichita St,0.004,0
2013,1.0,Minnesota,0.0026666666666666666,0
2013,1.0,Arizona,0.002,0
2013,1.0,North Carolina,0.0013333333333333333,0
2013,1.0,Michigan St,0.001,0
2013,1.0,Marquette,0.0006666666666666666,0
2013,1.0,Illinois,0.0006666666666666666,0
2013,1.0,California,0.0003333333333333333,0
2013,1.0,Miami,0.0003333333333333333,0
2013,1.0,Colorado,0.0003333333333333333,0
2013,1.0,St Marys,0.0003333333333333333,0
2013,1.0,Iowa St,0.0003333333333333333,0
2013,1.0,Kansas,0.0,0
2013,1.0,Temple,0.0,0
2013,1.0,Gonzaga,0.0,0
2013,1.0,Butler,0.0,0
2013,1.0,VCU,0.0,0
2013,1.0,Florida Gulf Coast,0.0,0
2013,1.0,Ole Miss,0.0,0
2013,1.0,Wisconsin,0.0,0
2013,1.0,Akron,0.0,0
2013,1.0,Creighton,0.0,0
2013,1.0,Oklahoma,0.0,0
2013,1.0,Colorado St,0.0,0
2013,1.0,San Diego St,0.0,0
2013,1.0,St Louis,0.0,0
2013,1.0,Harvard,0.0,0
2013,1.0,Georgetown,0.0,0
2013,1.0,New Mexico,0.0,0
2013,1.0,Notre Dame,0.0,0
2013,1.0,NC State,0.0,0
2013,1.0,New Mexico St,0.0,0
2013,1.0,Pittsburgh,0.0,0
2013,1.0,Missouri,0.0,0
2013,1.0,Memphis,0.0,0
2013,1.0,Cincinnati,0.0,0
2013,1.0,Belmont,0.0,0
2013,1.0,UCLA,0.0,0
2013,1.0,Davidson,0.0,0
2013,1.0,Pacific,0.0,0
2013,1.0,Valparaiso,0.0,0
2013,1.0,Villanova,0.0,0
2013,1.0,UNLV,0.0,0
2013,1.0,Kansas St,0.0,0
2013,1.0,Bucknell,0.0,0
2013,1.0,Oklahoma St,0.0,0
2013,1.0,Western Kentucky,0.0,0
2013,1.0,Iona,0.0,0
2013,1.0,Montana,0.0,0
2013,1.0,James Madison,0.0,0
2013,1.0,South Dakota St,0.0,0
2013,1.0,Northwestern St,0.0,0
2013,1.0,Albany,0.0,0
2013,1.0,Southern,0.0,0
2013,1.0,North Carolina A&T,0.0,0
2014,1.0,Connecticut,0.3456666666666667,1
2014,1.0,Arizona,0.2906666666666667,0
2014,1.0,Florida,0.18666666666666668,0
2014,1.0,Michigan,0.07466666666666667,0
2014,1.0,Tennessee,0.03133333333333333,0
2014,1.0,Louisville,0.029,0
2014,1.0,Michigan St,0.013,0
2014,1.0,Virginia,0.005,0
2014,1.0,Kentucky,0.004,0
2014,1.0,Wisconsin,0.0036666666666666666,0
2014,1.0,Baylor,0.0033333333333333335,0
2014,1.0,Pittsburgh,0.003,0
2014,1.0,UCLA,0.0026666666666666666,0
2014,1.0,Iowa St,0.0026666666666666666,0
2014,1.0,San Diego St,0.0016666666666666668,0
2014,1.0,Stanford,0.001,0
2014,1.0,Providence,0.0006666666666666666,0
2014,1.0,Memphis,0.0003333333333333333,0
2014,1.0,Gonzaga,0.0003333333333333333,0
2014,1.0,Texas,0.0003333333333333333,0
2014,1.0,NC State,0.0003333333333333333,0
2014,1.0,Dayton,0.0,0
2014,1.0,Villanova,0.0,0
2014,1.0,Syracuse,0.0,0
2014,1.0,Harvard,0.0,0
2014,1.0,North Dakota St,0.0,0
2014,1.0,Kansas,0.0,0
2014,1.0,Creighton,0.0,0
2014,1.0,Oregon,0.0,0
2014,1.0,Duke,0.0,0
2014,1.0,Cincinnati,0.0,0
2014,1.0,Wichita St,0.0,0
2014,1.0,Ohio St,0.0,0
2014,1.0,New Mexico,0.0,0
2014,1.0,North Carolina,0.0,0
2014,1.0,St Josephs,0.0,0
2014,1.0,Stephen F Austin,0.0,0
2014,1.0,VCU,0.0,0
2014,1.0,St Louis,0.0,0
2014,1.0,Nebraska,0.0,0
2014,1.0,BYU,0.0,0
2014,1.0,Louisiana Lafayette,0.0,0
2014,1.0,Oklahoma,0.0,0
2014,1.0,Mercer,0.0,0
2014,1.0,Kansas St,0.0,0
2014,1.0,Arizona St,0.0,0
2014,1.0,George Washington,0.0,0
2014,1.0,Oklahoma St,0.0,0
2014,1.0,Colorado,0.0,0
2014,1.0,Eastern Kentucky,0.0,0
2014,1.0,Western Michigan,0.0,0
2014,1.0,Wisconsin Milwaukee,0.0,0
2014,1.0,Massachusetts,0.0,0
2014,1.0,New Mexico St,0.0,0
2014,1.0,Tulsa,0.0,0
2014,1.0,North Carolina Central,0.0,0
2014,1.0,Cal Poly,0.0,0
2014,1.0,Delaware,0.0,0
2014,1.0,American,0.0,0
2014,1.0,Manhattan,0.0,0
2014,1.0,Coastal Carolina,0.0,0
2014,1.0,Wofford,0.0,0
2014,1.0,Albany,0.0,0
2014,1.0,Weber St,0.0,0
2015,1.0,Duke,0.8226666666666667,1
2015,1.0,Kentucky,0.17,0
2015,1.0,Wisconsin,0.002,0
2015,1.0,Virginia,0.0016666666666666668,0
2015,1.0,Notre Dame,0.0013333333333333333,0
2015,1.0,Arizona,0.001,0
2015,1.0,Villanova,0.0006666666666666666,0
2015,1.0,Michigan St,0.0003333333333333333,0
2015,1.0,Utah,0.0003333333333333333,0
2015,1.0,Gonzaga,0.0,0
2015,1.0,Louisville,0.0,0
2015,1.0,Kansas,0.0,0
2015,1.0,UCLA,0.0,0
2015,1.0,N Carolina,0.0,0
2015,1.0,Wichita St,0.0,0
2015,1.0,NC State,0.0,0
2015,1.0,West Virginia,0.0,0
2015,1.0,Oklahoma,0.0,0
2015,1.0,Iowa St,0.0,0
2015,1.0,Northern Iowa,0.0,0
2015,1.0,Oregon,0.0,0
2015,1.0,Baylor,0.0,0
2015,1.0,Georgetown,0.0,0
2015,1.0,Xavier,0.0,0
2015,1.0,Arkansas,0.0,0
2015,1.0,Ohio St,0.0,0
2015,1.0,Providence,0.0,0
2015,1.0,Iowa,0.0,0
2015,1.0,Maryland,0.0,0
2015,1.0,Dayton,0.0,0
2015,1.0,Butler,0.0,0
2015,1.0,Cincinnati,0.0,0
2015,1.0,San Diego St,0.0,0
2015,1.0,Georgia St,0.0,0
2015,1.0,Mississippi,0.0,0
2015,1.0,Davidson,0.0,0
2015,1.0,St Johns,0.0,0
2015,1.0,Valparaiso,0.0,0
2015,1.0,Purdue,0.0,0
2015,1.0,Texas,0.0,0
2015,1.0,VCU,0.0,0
2015,1.0,LSU,0.0,0
2015,1.0,Wofford,0.0,0
2015,1.0,Harvard,0.0,0
2015,1.0,UAB,0.0,0
2015,1.0,SF Austin,0.0,0
2015,1.0,Buffalo,0.0,0
2015,1.0,Eastern Washington,0.0,0
2015,1.0,Indiana,0.0,0
2015,1.0,Wyoming,0.0,0
2015,1.0,Oklahoma St,0.0,0
2015,1.0,Georgia,0.0,0
2015,1.0,SMU,0.0,0
2015,1.0,Albany,0.0,0
2015,1.0,UC Irvine,0.0,0
2015,1.0,New Mexico St,0.0,0
2015,1.0,N Dakota St,0.0,0
2015,1.0,Lafayette,0.0,0
2015,1.0,Northeastern,0.0,0
2015,1.0,Belmont,0.0,0
2015,1.0,Texas Southern,0.0,0
2015,1.0,Coastal Carolina,0.0,0
2015,1.0,Hampton,0.0,0
2015,1.0,Robert Morris,0.0,0
2016,1.0,Villanova,0.7256666666666667,1
2016,1.0,Kansas,0.09633333333333334,0
2016,1.0,Virginia,0.05633333333333333,0
2016,1.0,Oklahoma,0.047,0
2016,1.0,Syracuse,0.044333333333333336,0
2016,1.0,North Carolina,0.008,0
2016,1.0,Indiana,0.005666666666666667,0
2016,1.0,Oregon,0.005,0
2016,1.0,Notre Dame,0.004333333333333333,0
2016,1.0,Miami,0.0026666666666666666,0
2016,1.0,Gonzaga,0.0023333333333333335,0
2016,1.0,Kentucky,0.0006666666666666666,0
2016,1.0,Providence,0.0003333333333333333,0
2016,1.0,West Virginia,0.0003333333333333333,0
2016,1.0,Pittsburgh,0.0003333333333333333,0
2016,1.0,Iowa St,0.0003333333333333333,0
2016,1.0,Duke,0.0003333333333333333,0
2016,1.0,Xavier,0.0,0
2016,1.0,Stephen F Austin,0.0,0
2016,1.0,Michigan,0.0,0
2016,1.0,Arkansas Little Rock,0.0,0
2016,1.0,Michigan St,0.0,0
2016,1.0,Texas A&M,0.0,0
2016,1.0,Maryland,0.0,0
2016,1.0,Utah,0.0,0
2016,1.0,Wisconsin,0.0,0
2016,1.0,Seton Hall,0.0,0
2016,1.0,Wichita St,0.0,0
2016,1.0,VCU,0.0,0
2016,1.0,Hawaii,0.0,0
2016,1.0,Texas,0.0,0
2016,1.0,Connecticut,0.0,0
2016,1.0,Yale,0.0,0
2016,1.0,Butler,0.0,0
2016,1.0,Baylor,0.0,0
2016,1.0,St Josephs,0.0,0
2016,1.0,Temple,0.0,0
2016,1.0,Cincinnati,0.0,0
2016,1.0,Northern Iowa,0.0,0
2016,1.0,Fresno St,0.0,0
2016,1.0,Purdue,0.0,0
2016,1.0,Iowa,0.0,0
2016,1.0,Texas Tech,0.0,0
2016,1.0,UNC Wilmington,0.0,0
2016,1.0,California,0.0,0
2016,1.0,Middle Tennessee St,0.0,0
2016,1.0,Colorado,0.0,0
2016,1.0,Oregon St,0.0,0
2016,1.0,Arizona,0.0,0
2016,1.0,Wisconsin Green Bay,0.0,0
2016,1.0,South Dakota St,0.0,0
2016,1.0,Stony Brook,0.0,0
2016,1.0,USC,0.0,0
2016,1.0,Chattanooga,0.0,0
2016,1.0,Iona,0.0,0
2016,1.0,Buffalo,0.0,0
2016,1.0,Dayton,0.0,0
2016,1.0,Weber St,0.0,0
2016,1.0,Cal St Bakersfield,0.0,0
2016,1.0,Florida Gulf Coast,0.0,0
2016,1.0,Hampton,0.0,0
2016,1.0,Austin Peay,0.0,0
2016,1.0,UNC Asheville,0.0,0
2016,1.0,Holy Cross,0.0,0
2017,1.0,North Carolina,0.6523333333333333,1
2017,1.0,Kansas,0.15733333333333333,0
2017,1.0,Florida,0.09,0
2017,1.0,Xavier,0.032,0
2017,1.0,Kentucky,0.021666666666666667,0
2017,1.0,South Carolina,0.012666666666666666,0
2017,1.0,Wisconsin,0.005333333333333333,0
2017,1.0,West Virginia,0.005,0
2017,1.0,Gonzaga,0.004666666666666667,0
2017,1.0,Villanova,0.004666666666666667,0
2017,1.0,Oregon,0.004,0
2017,1.0,Michigan,0.0033333333333333335,0
2017,1.0,Baylor,0.0023333333333333335,0
2017,1.0,Louisville,0.0013333333333333333,0
2017,1.0,St Marys,0.0006666666666666666,0
2017,1.0,Arizona,0.0006666666666666666,0
2017,1.0,Iowa St,0.0006666666666666666,0
2017,1.0,Duke,0.0003333333333333333,0
2017,1.0,Oklahoma St,0.0003333333333333333,0
2017,1.0,Purdue,0.0003333333333333333,0
2017,1.0,Arkansas,0.0003333333333333333,0
2017,1.0,Notre Dame,0.0,0
2017,1.0,USC,0.0,0
2017,1.0,Wichita St,0.0,0
2017,1.0,Virginia,0.0,0
2017,1.0,SMU,0.0,0
2017,1.0,Kansas St,0.0,0
2017,1.0,Butler,0.0,0
2017,1.0,Florida St,0.0,0
2017,1.0,UCLA,0.0,0
2017,1.0,Middle Tennessee St,0.0,0
2017,1.0,Cincinnati,0.0,0
2017,1.0,Rhode Island,0.0,0
2017,1.0,Vanderbilt,0.0,0
2017,1.0,Northwestern,0.0,0
2017,1.0,Miami,0.0,0
2017,1.0,Michigan St,0.0,0
2017,1.0,Creighton,0.0,0
2017,1.0,UNC Wilmington,0.0,0
2017,1.0,Minnesota,0.0,0
2017,1.0,Seton Hall,0.0,0
2017,1.0,Princeton,0.0,0
2017,1.0,Nevada,0.0,0
2017,1.0,Vermont,0.0,0
2017,1.0,VCU,0.0,0
2017,1.0,Florida Gulf Coast,0.0,0
2017,1.0,New Mexico St,0.0,0
2017,1.0,Marquette,0.0,0
2017,1.0,Virginia Tech,0.0,0
2017,1.0,Winthrop,0.0,0
2017,1.0,Kent St,0.0,0
2017,1.0,Maryland,0.0,0
2017,1.0,Dayton,0.0,0
2017,1.0,Bucknell,0.0,0
2017,1.0,Iona,0.0,0
2017,1.0,Northern Kentucky,0.0,0
2017,1.0,North Dakota,0.0,0
2017,1.0,Jacksonville St,0.0,0
2017,1.0,East Tennessee St,0.0,0
2017,1.0,Mount St Marys,0.0,0
2017,1.0,Troy,0.0,0
2017,1.0,South Dakota St,0.0,0
2017,1.0,UC Davis,0.0,0
2017,1.0,Texas Southern,0.0,0
2018,1.0,Villanova,0.944,1
2018,1.0,Virginia,0.017,0
2018,1.0,Duke,0.016666666666666666,0
2018,1.0,Michigan,0.005333333333333333,0
2018,1.0,Kansas,0.004666666666666667,0
2018,1.0,Loyola Chicago,0.0026666666666666666,0
2018,1.0,Tennessee,0.0013333333333333333,0
2018,1.0,Syracuse,0.0013333333333333333,0
2018,1.0,Butler,0.001,0
2018,1.0,Kentucky,0.0006666666666666666,0
2018,1.0,Kansas St,0.0006666666666666666,0
2018,1.0,North Carolina,0.0006666666666666666,0
2018,1.0,Florida St,0.0006666666666666666,0
2018,1.0,Xavier,0.0006666666666666666,0
2018,1.0,West Virginia,0.0006666666666666666,0
2018,1.0,Michigan St,0.0006666666666666666,0
2018,1.0,Ohio St,0.0003333333333333333,0
2018,1.0,Cincinnati,0.0003333333333333333,0
2018,1.0,Gonzaga,0.0003333333333333333,0
2018,1.0,Clemson,0.0003333333333333333,0
2018,1.0,Texas A&M,0.0,0
2018,1.0,Providence,0.0,0
