team,seed,region,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,win_championship,expected_wins
Alabama,1,South,0.9975,0.9289,0.844,0.7668,0.6697,0.3974,4.6043
Saint Mary's,5,West,0.9658,0.637,0.4506,0.3244,0.2537,0.1723,2.8038
UCLA,2,West,0.9756,0.8647,0.6422,0.2833,0.1881,0.1056,3.0595
Houston,1,Midwest,0.9859,0.8113,0.7444,0.4755,0.1808,0.0853,3.2832
Kansas,1,West,0.9936,0.8875,0.3329,0.1845,0.1126,0.0639,2.575
Texas,2,Midwest,0.9903,0.8087,0.7252,0.3954,0.131,0.0561,3.1067
Connecticut,4,West,0.9539,0.3581,0.2065,0.123,0.0841,0.0478,1.7734
Florida Atlantic,9,East,0.807,0.5922,0.3689,0.2402,0.0719,0.0153,2.0955
Gonzaga,3,West,0.969,0.7858,0.2833,0.076,0.0343,0.0125,2.1609
Kansas St.,3,East,0.9327,0.6608,0.4116,0.2057,0.0511,0.0104,2.2723
Tennessee,4,East,0.8274,0.4772,0.2484,0.1451,0.0353,0.0072,1.7406
San Diego St.,5,South,0.6909,0.6416,0.0991,0.0577,0.0257,0.0051,1.5201
Duke,5,East,0.6574,0.3496,0.1769,0.101,0.0249,0.0047,1.3145
Michigan St.,7,East,0.6136,0.383,0.1909,0.0882,0.0199,0.0024,1.298
Utah St.,10,South,0.6028,0.3656,0.204,0.0349,0.0157,0.0024,1.2254
Baylor,3,South,0.8862,0.4678,0.2442,0.0369,0.0163,0.002,1.6534
N.C. State,11,South,0.5223,0.2745,0.1369,0.0201,0.0074,0.0014,0.9626
Auburn,9,Midwest,0.809,0.1742,0.1299,0.046,0.0051,0.0012,1.1654
Marquette,2,East,0.906,0.4059,0.1748,0.0652,0.0108,0.001,1.5637
Arizona,2,South,0.908,0.4204,0.2019,0.0305,0.0114,0.0006,1.5728
Providence,11,East,0.5372,0.1866,0.078,0.0253,0.003,0.0006,0.8307
Penn St.,10,Midwest,0.6067,0.1308,0.0905,0.0256,0.0029,0.0006,0.8571
Purdue,1,East,0.9998,0.3321,0.1268,0.0561,0.0084,0.0005,1.5237
Creighton,6,South,0.4777,0.2436,0.1175,0.0173,0.0065,0.0005,0.8631
Missouri,7,South,0.3972,0.2066,0.0931,0.0125,0.0043,0.0005,0.7142
Oral Roberts,12,East,0.3426,0.1357,0.0487,0.0206,0.0033,0.0005,0.5514
