team,seed,region,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,win_championship,expected_wins
Florida,1,West,0.9999,0.9972,0.9901,0.9809,0.8932,0.7814,5.6427
Houston,1,Midwest,1.0,0.9614,0.9313,0.7708,0.5807,0.1312,4.3754
Auburn,1,South,1.0,0.9438,0.8528,0.7742,0.098,0.0506,3.7194
Duke,1,East,0.9998,0.9486,0.8577,0.529,0.1903,0.0189,3.5443
Alabama,2,East,0.9987,0.927,0.8572,0.4279,0.1327,0.01,3.3535
Tennessee,2,Midwest,0.9991,0.9196,0.8167,0.2003,0.0898,0.0067,3.0322
Michigan St,2,South,0.9986,0.8489,0.6114,0.1082,0.003,0.0004,2.5705
Michigan,5,South,0.9653,0.7782,0.1144,0.0692,0.0018,0.0003,1.9292
Texas Tech,3,West,0.9927,0.9094,0.6685,0.0122,0.0027,0.0002,2.5857
Arizona,4,East,0.9337,0.4113,0.0446,0.0074,0.0006,0.0001,1.3977
Mississippi,6,South,0.7285,0.5637,0.2415,0.031,0.0004,0.0001,1.5652
Marquette,7,South,0.6278,0.1096,0.0401,0.0019,0.0001,0.0001,0.7796
Purdue,4,Midwest,0.9852,0.8013,0.0438,0.0119,0.0014,0.0,1.8436
BYU,6,East,0.86,0.6255,0.0849,0.0113,0.0013,0.0,1.583
Illinois,6,Midwest,0.8699,0.5007,0.0803,0.0061,0.0009,0.0,1.4579
Oregon,5,East,0.9431,0.5796,0.0794,0.0161,0.0008,0.0,1.619
Gonzaga,8,Midwest,0.8552,0.0375,0.0212,0.0054,0.0006,0.0,0.9199
Maryland,4,West,0.9843,0.7774,0.008,0.0039,0.0005,0.0,1.7741
Kentucky,3,Midwest,0.975,0.4748,0.0674,0.0042,0.0005,0.0,1.5219
St Marys,7,East,0.7742,0.0662,0.0336,0.0048,0.0003,0.0,0.8791
Louisville,8,South,0.472,0.0242,0.0073,0.002,0.0002,0.0,0.5057
Kansas,7,West,0.4465,0.2755,0.0844,0.0009,0.0001,0.0,0.8074
Baylor,9,East,0.6604,0.0396,0.0149,0.0023,0.0001,0.0,0.7173
St Johns,2,West,0.9891,0.3551,0.0861,0.0005,0.0,0.0,1.4308
Iowa St,3,South,0.9506,0.2842,0.061,0.0038,0.0,0.0,1.2996
Wisconsin,3,East,0.9437,0.3277,0.0219,0.0008,0.0,0.0,1.2941
Texas A&M,4,South,0.9804,0.2165,0.0132,0.0029,0.0,0.0,1.213
Arkansas,10,West,0.5535,0.3693,0.1418,0.0012,0.0,0.0,1.0658
Colorado St,12,West,0.8366,0.2077,0.001,0.0001,0.0,0.0,1.0454
Clemson,5,Midwest,0.8158,0.1835,0.0029,0.0001,0.0,0.0,1.0023
UCLA,7,Midwest,0.8784,0.0795,0.0346,0.0012,0.0,0.0,0.9937
Drake,11,West,0.5832,0.0609,0.0138,0.0002,0.0,0.0,0.6581
Connecticut,8,West,0.6252,0.0019,0.0008,0.0001,0.0,0.0,0.628
Creighton,9,South,0.528,0.032,0.0122,0.0046,0.0,0.0,0.5768
N Carolina,11,South,0.2715,0.1512,0.0361,0.002,0.0,0.0,0.4608
Missouri,6,West,0.4168,0.0295,0.0054,0.0,0.0,0.0,0.4517
New Mexico,10,South,0.3722,0.0415,0.0099,0.0002,0.0,0.0,0.4238
Oklahoma,9,West,0.3748,0.0009,0.0001,0.0,0.0,0.0,0.3758
Mississippi St,8,East,0.3396,0.0118,0.0033,0.0003,0.0,0.0,0.355
Vanderbilt,10,East,0.2258,0.0068,0.0015,0.0001,0.0,0.0,0.2342
McNeese,12,Midwest,0.1842,0.0142,0.0005,0.0,0.0,0.0,0.1989
VCU,11,East,0.14,0.0446,0.0009,0.0,0.0,0.0,0.1855
Memphis,5,West,0.1634,0.0132,0.0,0.0,0.0,0.0,0.1766
Xavier,11,Midwest,0.1301,0.024,0.0009,0.0,0.0,0.0,0.155
Georgia,9,Midwest,0.1448,0.0011,0.0003,0.0,0.0,0.0,0.1462
Utah St,10,Midwest,0.1216,0.0009,0.0001,0.0,0.0,0.0,0.1226
Akron,13,East,0.0663,0.0038,0.0,0.0,0.0,0.0,0.0701
Liberty,12,East,0.0569,0.0053,0.0001,0.0,0.0,0.0,0.0623
Montana,14,East,0.0563,0.0022,0.0,0.0,0.0,0.0,0.0585
Lipscomb,14,South,0.0494,0.0009,0.0,0.0,0.0,0.0,0.0503
UC San Diego,12,South,0.0347,0.0053,0.0001,0.0,0.0,0.0,0.0401
Troy,14,Midwest,0.025,0.0005,0.0,0.0,0.0,0.0,0.0255
Yale,13,South,0.0196,0.0,0.0,0.0,0.0,0.0,0.0196
Grd Canyon,13,West,0.0157,0.0017,0.0,0.0,0.0,0.0,0.0174
High Point,13,Midwest,0.0148,0.001,0.0,0.0,0.0,0.0,0.0158
Omaha,15,West,0.0109,0.0001,0.0,0.0,0.0,0.0,0.011
UNC Wilmington,14,West,0.0073,0.0002,0.0,0.0,0.0,0.0,0.0075
Bryant,15,South,0.0014,0.0,0.0,0.0,0.0,0.0,0.0014
Robert Morris,15,East,0.0013,0.0,0.0,0.0,0.0,0.0,0.0013
Wofford,15,Midwest,0.0009,0.0,0.0,0.0,0.0,0.0,0.0009
Mount St Marys,16,East,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002
Norfolk St,16,West,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
SIUE,16,Midwest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama St,16,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
