team,seed,contender_tier,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per,seas_ppg_rank,off_rebound_rank,turnover_rank,three_point_rank,secondary_support_count,secondary_supports,risk_flags,meta_points,meta_finish,meta_semifinal,meta_championship
Duke,1,title,39.29,130.1,90.8,1,1,5,83.2,0.33,9.3,0.386,8,22,5,4,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct",,44.84159930990514,4.70033985003829,0.21997930109500885,0.012831630568247545
Florida,1,title,36.46,128.2,91.8,3,2,6,84.8,0.375,11.1,0.356,3,3,37,24,2,"top_20_scoring,top_20_off_rebounding",,46.56768273898087,6.31643810402602,0.7642214298248291,0.9896328141676201
Auburn,1,title,35.05,127.2,92.1,4,3,9,83.0,0.332,9.4,0.359,9,21,6,22,2,"top_20_scoring,top_20_turnover_control",,27.501845864858954,4.815425226464868,0.3288114070892334,0.011946098548041139
Houston,1,final_four,36.59,123.4,86.8,2,12,1,73.7,0.361,9.0,0.3939999999999999,57,6,1,1,3,"top_20_off_rebounding,top_20_turnover_control,top_20_three_point_pct",,36.945112789007986,5.071844976395369,0.6146669387817383,0.004411636288461432
Texas Tech,3,second_weekend,27.92,125.4,97.5,9,5,30,80.9,0.3229999999999999,9.6,0.367,14,25,9,12,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct",outside_top_25_defense,8.994427323491845,3.6949454583227634,0.03943994641304016,0.00020021398159487564
Maryland,4,second_weekend,27.07,118.9,91.9,10,22,7,81.1,0.286,10.1,0.373,13,45,15,9,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct",outside_top_20_offense,6.345570335749901,3.079965418204665,0.011178442277014256,9.129878635439121e-05
Tennessee,2,second_weekend,30.93,120.7,89.7,5,17,3,74.0,0.3379999999999999,10.4,0.3379999999999999,56,16,19,45,2,"top_20_off_rebounding,top_20_turnover_control",,14.210609894039246,4.220161117613316,0.210496187210083,0.0025511446830032633
Wisconsin,3,second_weekend,26.57,122.9,96.3,12,13,21,80.1,0.248,9.6,0.348,18,60,9,35,2,"top_20_scoring,top_20_turnover_control",,4.210529184850642,2.645280225202441,0.024757463485002518,0.00030093643272312206
Illinois,6,second_weekend,24.32,121.9,97.6,17,14,31,83.6,0.35,11.7,0.313,5,9,50,62,2,"top_20_scoring,top_20_off_rebounding","outside_top_25_defense,loose_turnover_profile",6.155248399667613,2.5298125334084034,0.03126198425889015,0.0002705967203709738
Kentucky,3,second_weekend,24.54,123.7,99.2,16,10,38,84.4,0.263,10.9,0.375,4,53,31,8,2,"top_20_scoring,top_20_three_point_pct",outside_top_25_defense,3.380201189183628,2.8938694554381073,0.011443059891462326,0.00013024605807327586
Arizona,4,second_weekend,26.35,123.7,97.3,13,10,29,82.5,0.348,11.4,0.3379999999999999,10,10,44,45,2,"top_20_scoring,top_20_off_rebounding","outside_top_25_defense,loose_turnover_profile",5.707935097788353,2.886166699230671,0.03580504283308983,6.0612274703306355e-05
Gonzaga,8,second_weekend,28.01,124.7,96.7,8,6,26,86.4,0.303,9.5,0.354,2,38,8,28,2,"top_20_scoring,top_20_turnover_control",outside_top_25_defense,4.648119648483964,2.891748604364693,0.05683927610516548,5.6859102280351464e-05
Purdue,4,second_weekend,25.36,124.6,99.2,15,7,38,77.3,0.3,10.4,0.382,34,40,19,6,2,"top_20_turnover_control,top_20_three_point_pct",outside_top_25_defense,4.12582739018631,2.9171782010234892,0.01425432413816452,2.0004849921588265e-05
Missouri,6,second_weekend,23.57,124.4,100.8,19,8,47,83.6,0.324,10.9,0.367,5,24,31,12,2,"top_20_scoring,top_20_three_point_pct",outside_top_25_defense,2.8306022130110593,1.6545320542063564,0.006328703369945288,6.269349195720214e-06
Iowa St,3,second_weekend,26.65,119.8,93.2,11,18,13,80.3,0.307,12.0,0.358,17,35,53,23,1,top_20_scoring,loose_turnover_profile,5.001145962752456,2.7206143755465746,0.03158765286207199,0.0004025653174152023
Michigan St,2,second_weekend,28.48,118.8,90.4,7,24,4,77.7,0.3379999999999999,11.4,0.311,31,16,44,64,1,top_20_off_rebounding,"outside_top_20_offense,loose_turnover_profile",7.285592002248138,3.8104736898094416,0.03770975396037102,9.899172441254312e-05
St Johns,2,second_weekend,26.06,114.0,88.0,14,47,2,78.5,0.363,10.9,0.301,25,5,31,67,1,top_20_off_rebounding,outside_top_20_offense,5.912571441472925,2.58408235386014,0.014445096254348755,8.535559831179835e-05
Alabama,2,second_weekend,30.34,126.8,96.5,6,4,24,90.7,0.318,12.7,0.353,1,32,60,30,1,top_20_scoring,loose_turnover_profile,13.866760076279569,3.8406450040638447,0.12436533719301224,8.128843657823798e-05
Texas A&M,4,second_weekend,23.66,116.5,92.9,18,36,10,74.6,0.397,12.2,0.307,54,1,57,66,1,top_20_off_rebounding,"outside_top_20_offense,loose_turnover_profile",3.808299407880842,2.438060536980629,0.012513735331594944,5.070151549980097e-05
UCLA,7,second_weekend,23.46,117.3,93.8,20,33,14,74.2,0.319,10.6,0.352,55,30,22,31,0,,outside_top_20_offense,2.969097059038132,2.478765941923484,0.0027034624945372343,4.488499335928954e-05
St Marys,7,darkhorse,22.73,114.7,92.0,25,44,8,72.7,0.384,9.6,0.3229999999999999,60,2,9,60,2,"top_20_off_rebounding,top_20_turnover_control","outside_top_20_adjem,outside_top_20_offense",5.194467457240079,2.264758965931833,0.010168472304940224,0.00021960262726325127
Mississippi,6,darkhorse,23.34,119.1,95.8,22,21,19,77.2,0.2319999999999999,9.0,0.348,35,62,1,35,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",2.5663714827803896,2.8098992503946647,0.0034882856998592615,1.4380559042842481e-05
Clemson,5,darkhorse,23.22,118.2,95.0,23,26,16,76.1,0.32,10.5,0.369,45,29,21,10,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense",4.285398395057472,2.2123537075240165,0.002789793536067009,1.0242246069640861e-05
Michigan,5,darkhorse,23.45,116.5,93.1,21,36,12,78.0,0.314,14.0,0.332,30,33,67,49,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",6.525065040848547,2.8678267262876034,0.016573619097471237,0.0010103591493503695
Kansas,7,darkhorse,22.94,115.9,93.0,24,40,11,76.1,0.28,11.8,0.354,45,49,51,28,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",3.12902538799001,1.9132672550622374,0.005028967279940844,8.291441511533552e-05
Memphis,5,fade,15.1,113.4,98.3,47,50,33,79.9,0.341,13.9,0.376,19,14,66,7,3,"top_20_scoring,top_20_off_rebounding,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",2.270412422866931,1.5916327903978527,0.0015387014718726277,6.683309976758321e-05
High Point,13,fade,9.15,118.4,109.2,52,25,62,81.2,0.322,10.3,0.366,12,26,17,14,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.5319964151010201,1.317523234989494,0.001888000639155507,5.024480775568858e-06
Yale,13,fade,11.02,115.2,104.2,51,42,53,80.7,0.302,10.0,0.384,15,39,13,5,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.31752977229411145,1.1110767876671162,0.0012427683686837554,4.538125440252844e-06
BYU,6,fade,22.31,124.1,101.8,26,9,51,81.4,0.319,12.1,0.368,11,30,55,11,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense,loose_turnover_profile",4.221949123404415,3.06230937410146,0.016630420461297035,0.001082445589753845
Akron,13,fade,6.47,113.6,107.1,55,49,59,83.4,0.308,11.9,0.364,7,34,52,16,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.709906375108348,1.274031208595261,0.008607832714915276,3.957079200265825e-05
Texas,11,fade,16.9,117.3,100.4,43,33,44,78.5,0.287,9.9,0.362,25,44,12,20,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.8141891053515062,1.3915379350073636,0.0020648804493248463,1.5837240205076998e-05
Liberty,12,fade,12.46,111.8,99.4,50,55,41,73.7,0.177,10.3,0.387,57,68,17,3,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.5623351949998778,1.5088624405907467,0.003351555671542883,6.01602137031276e-06
Lipscomb,14,fade,8.55,112.0,103.5,53,54,52,77.0,0.215,10.0,0.364,36,65,13,16,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.41377749945817727,1.2039041399257258,0.001544205006211996,4.428004844524731e-06
Montana,14,fade,0.07,110.6,110.6,61,57,66,75.2,0.1969999999999999,10.9,0.363,49,67,31,18,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.26456881539210264,1.1790865208022296,0.014880422502756119,3.5441753613641714e-05
Colorado St,12,fade,17.61,116.8,99.2,41,35,38,75.2,0.253,11.5,0.363,49,57,47,18,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.4579127166899113,1.8836746038869023,0.00369820068590343,1.877699555272721e-05
Bryant,15,fade,0.92,106.8,105.8,60,63,55,79.8,0.3279999999999999,12.0,0.33,20,23,53,51,1,top_20_scoring,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.18054490547802574,1.0334860772418324,0.0008518110844306648,1.7816110143095e-05
Xavier,11,fade,17.19,116.2,99.0,42,38,37,78.1,0.209,10.9,0.391,29,66,31,2,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.1782817704077841,1.3717777833808213,0.0013700573472306132,1.5586811709528435e-05
Vanderbilt,10,fade,16.23,117.8,101.6,44,29,50,78.9,0.291,10.2,0.325,23,42,16,59,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.5336678704284203,1.6473915944807231,0.0010510159190744162,1.4402840354190889e-05
UNC Wilmington,14,fade,5.28,112.2,106.9,57,53,58,76.6,0.344,10.8,0.3279999999999999,41,13,27,53,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.3480253091394767,1.1704220320098102,0.005388619378209114,1.2329516966732724e-05
Connecticut,8,fade,20.18,121.6,101.4,32,15,49,77.0,0.346,11.1,0.348,36,12,37,35,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_25_defense",2.873746467849001,2.302791427820921,0.0022326186299324036,1.152062238912283e-05
UC San Diego,12,fade,18.25,115.0,96.7,38,43,26,77.5,0.23,9.0,0.361,33,63,1,21,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.1512254389742567,1.329271958093159,0.004183515440672636,1.0828714614816161e-05
VCU,11,fade,19.53,116.0,96.5,34,39,24,76.2,0.361,11.2,0.3379999999999999,44,6,39,45,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense",2.0711062022387736,1.3441689210012555,0.0033910253550857306,9.647300532619294e-06
Oklahoma,9,fade,17.95,118.2,100.3,39,26,43,78.3,0.252,12.1,0.365,28,58,55,15,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.431124079642963,1.4051763520110399,0.002274175640195608,9.025313980796089e-06
Robert Morris,15,fade,2.9,107.5,104.6,59,59,54,76.9,0.347,12.7,0.346,39,11,60,39,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.3857855750822039,1.0698338483925909,0.0037881017196923494,8.481500004753376e-06
Baylor,9,fade,20.83,121.3,100.4,30,16,44,75.2,0.3389999999999999,10.6,0.3429999999999999,49,15,22,43,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_25_defense",2.8106347874568205,2.0950321764685214,0.002549080876633525,7.366070036219802e-06
N Carolina,11,fade,20.33,119.2,98.9,31,20,36,80.7,0.255,10.7,0.356,15,56,24,24,1,top_20_scoring,"outside_top_20_adjem,outside_top_25_defense",1.65252371568444,1.7142271547345445,0.0024616660084575415,6.554700688557183e-06
Troy,14,fade,6.95,107.4,100.4,54,61,44,72.0,0.371,13.3,0.301,61,4,63,67,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.48543587292974094,1.0981532290461473,0.006359260529279709,6.138484923885608e-06
Drake,11,fade,15.12,112.9,97.8,46,51,32,68.5,0.351,11.2,0.356,66,8,39,24,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.1707480619031103,1.7408791345078498,0.0040074847638607025,5.693674032068393e-06
Wofford,15,fade,4.24,113.9,109.7,58,48,64,73.1,0.336,11.0,0.348,59,20,36,35,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.12126606960474864,1.127251341153169,0.0006281891837716103,5.508102782153289e-06
Marquette,7,fade,21.01,117.4,96.4,29,32,23,76.6,0.28,9.4,0.326,41,49,6,56,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",2.6106981088954213,2.017346241977066,0.000668190186843276,5.488861332063526e-06
McNeese,12,fade,14.24,114.1,99.8,48,46,42,74.7,0.337,10.7,0.352,52,19,24,31,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.8469813763984689,1.475152717961464,0.0007807248621247709,4.1934894619510905e-06
Alabama St,16,fade,-8.87,101.5,110.4,67,66,65,71.9,0.256,9.1,0.326,62,55,4,56,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.033032101222913994,1.0900640498148277,0.006167638581246138,3.3136437139820098e-06
Georgia,9,fade,18.57,115.3,96.8,37,41,28,75.3,0.3379999999999999,12.9,0.3289999999999999,48,16,62,52,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.8868838624562092,1.639976981212385,0.0008171238587237895,3.1547351986660737e-06
Norfolk St,16,fade,-1.63,107.5,109.1,63,59,61,74.7,0.298,12.4,0.308,52,41,59,65,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.13562124242962717,1.0844550498295575,0.0203325804322958,0.00020855765089252643
Grd Canyon,13,fade,6.29,107.4,101.1,56,61,48,77.6,0.304,13.4,0.313,32,37,65,62,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.44539843482300534,1.1214897377649322,0.004328245762735605,0.00010792401517403482
Oregon,5,fade,21.85,117.6,95.8,27,31,19,76.5,0.2739999999999999,11.3,0.344,43,51,42,42,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",4.84167908391922,2.8034715205430984,0.011981024406850338,2.253878959250499e-05
Louisville,8,fade,21.73,118.1,96.3,28,28,21,78.5,0.307,11.3,0.3279999999999999,25,35,42,53,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",4.672046007526856,2.3565267506055534,0.011808395385742188,1.7849036725163497e-05
Arkansas,10,fade,19.33,114.4,95.1,36,45,17,76.8,0.257,11.5,0.327,40,54,47,55,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",1.7837041286812911,2.312157942680642,0.0023152329958975315,1.6795596342448524e-05
Omaha,15,fade,-0.06,111.0,111.1,62,56,67,77.0,0.283,10.8,0.356,36,47,27,24,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.122983406519297,1.0614458617055789,0.012999230995774269,1.3588770704267886e-05
American,16,fade,-6.65,102.5,109.2,66,64,62,67.8,0.222,10.8,0.352,68,64,27,31,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.07856354634114256,1.0705236864741892,0.004610082134604454,1.2769524328833548e-05
Utah St,10,fade,14.0,119.8,105.8,49,18,55,78.8,0.322,10.8,0.349,24,26,27,34,0,,"outside_top_20_adjem,outside_top_25_defense",1.2712349156368863,1.4541455695871264,0.0020328552927821875,9.721114733270646e-06
Creighton,9,fade,19.44,117.8,98.3,35,29,33,75.5,0.25,12.2,0.345,47,59,57,40,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",3.4307119542571383,2.398026989074424,0.007233725860714912,9.504164967898302e-06
Mississippi St,8,fade,20.02,118.9,98.8,33,22,35,79.5,0.322,10.7,0.314,21,26,24,61,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",2.1962133542522424,1.7066636524396017,0.0008968380279839039,9.436026040292802e-06
New Mexico,10,fade,17.78,112.9,95.1,40,51,17,79.3,0.288,11.4,0.34,22,43,44,44,0,,"outside_top_20_adjem,outside_top_20_offense,loose_turnover_profile",1.1875415518032804,2.1581739929970354,0.0016058679902926087,6.894480220215853e-06
SIUE,16,fade,-4.5,101.8,106.3,64,65,57,69.6,0.284,11.6,0.331,64,46,49,50,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.07403473572597537,1.089182777039241,0.0067354124039411545,6.381547431489104e-06
Mount St Marys,16,fade,-6.34,100.9,107.3,65,67,60,69.3,0.281,14.7,0.345,65,48,68,40,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.12178432192250366,1.0990243988344446,0.006718102842569351,5.998898826569381e-06
St Francis PA,16,fade,-12.76,99.7,112.5,68,68,68,68.0,0.2339999999999999,13.3,0.3379999999999999,67,61,63,45,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.021756682682877195,1.071494594682008,0.006194243673235178,5.998898826569381e-06
San Diego St,11,fade,15.13,109.8,94.6,45,58,15,69.8,0.268,11.2,0.326,63,52,39,56,0,,"outside_top_20_adjem,outside_top_20_offense",0.6294152155219199,1.3927652323618531,0.008342738263309002,2.7227308512967237e-06
