round_index,round_name,game_number,team_left,left_seed,team_right,right_seed,left_win_probability,right_win_probability,picked_winner,favorite_team,favorite_seed,favorite_win_probability,underdog_team,underdog_seed,underdog_win_probability,seed_gap,upset_level,upset_flag
1,round_of_64,1,Duke,1,Mount St Marys,16,0.9989485325940455,0.0010514674059545204,Duke,Duke,1,0.9989485325940455,Mount St Marys,16,0.0010514674059545204,15,,False
1,round_of_64,2,Mississippi St,8,Baylor,9,0.3347144058306856,0.6652855941693143,Baylor,Mississippi St,8,0.3347144058306856,Baylor,9,0.6652855941693143,1,strong,True
1,round_of_64,3,Oregon,5,Liberty,12,0.9365682604451283,0.06343173955487169,Oregon,Oregon,5,0.9365682604451283,Liberty,12,0.06343173955487169,7,,False
1,round_of_64,4,Arizona,4,Akron,13,0.9300795984866513,0.06992040151334866,Arizona,Arizona,4,0.9300795984866513,Akron,13,0.06992040151334866,9,,False
1,round_of_64,5,BYU,6,VCU,11,0.8995988331733723,0.1004011668266277,BYU,BYU,6,0.8995988331733723,VCU,11,0.1004011668266277,5,,False
1,round_of_64,6,Wisconsin,3,Montana,14,0.9183819797735766,0.0816180202264234,Wisconsin,Wisconsin,3,0.9183819797735766,Montana,14,0.0816180202264234,11,,False
1,round_of_64,7,St Marys,7,Vanderbilt,10,0.6918288435676228,0.30817115643237725,St Marys,St Marys,7,0.6918288435676228,Vanderbilt,10,0.30817115643237725,3,,False
1,round_of_64,8,Alabama,2,Robert Morris,15,0.9977672753794619,0.00223272462053814,Alabama,Alabama,2,0.9977672753794619,Robert Morris,15,0.00223272462053814,13,,False
2,round_of_32,1,Duke,1,Baylor,9,0.91241162188179,0.08758837811820996,Duke,Duke,1,0.91241162188179,Baylor,9,0.08758837811820996,8,,False
2,round_of_32,2,Oregon,5,Arizona,4,0.6053387303030043,0.39466126969699566,Oregon,Arizona,4,0.39466126969699566,Oregon,5,0.6053387303030043,1,strong,True
2,round_of_32,3,BYU,6,Wisconsin,3,0.7595758936606513,0.24042410633934874,BYU,Wisconsin,3,0.24042410633934874,BYU,6,0.7595758936606513,3,strong,True
2,round_of_32,4,St Marys,7,Alabama,2,0.05111317050612431,0.9488868294938757,Alabama,Alabama,2,0.9488868294938757,St Marys,7,0.05111317050612431,5,,False
3,sweet_sixteen,1,Duke,1,Oregon,5,0.8438983939086347,0.15610160609136525,Duke,Duke,1,0.8438983939086347,Oregon,5,0.15610160609136525,4,,False
3,sweet_sixteen,2,BYU,6,Alabama,2,0.09405420441861638,0.9059457955813837,Alabama,Alabama,2,0.9059457955813837,BYU,6,0.09405420441861638,4,,False
4,elite_eight,1,Duke,1,Alabama,2,0.3957871234669198,0.6042128765330802,Alabama,Duke,1,0.3957871234669198,Alabama,2,0.6042128765330802,1,strong,True
1,round_of_64,1,Houston,1,SIUE,16,0.9998740454961247,0.00012595450387531404,Houston,Houston,1,0.9998740454961247,SIUE,16,0.00012595450387531404,15,,False
