team_rank,team,seed,team_strength_score,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,meta_points,meta_finish,meta_round_of_64,meta_round_of_32,meta_sweet_sixteen,meta_elite_eight,meta_semifinal,meta_championship,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per
1,Florida,1,96.67933281989532,36.46,128.2,91.8,3,2,6,46.56768273898087,6.31643810402602,0.9922526213901053,0.9252063,0.9649567310603642,0.9203037,0.76422143,0.9896328141676201,84.8,0.375,11.1,0.356
2,Duke,1,93.85615640731176,39.29,130.1,90.8,1,1,5,44.84159930990514,4.70033985003829,0.9893345727416942,0.8714261,0.95850108976354,0.7145458,0.2199793,0.012831630568247545,83.2,0.33,9.3,0.386
3,Auburn,1,92.55544763362796,35.05,127.2,92.1,4,3,9,27.501845864858954,4.815425226464868,0.9901389646119649,0.94144243,0.9654751128780626,0.8637798,0.3288114,0.011946098548041139,83.0,0.332,9.4,0.359
4,Houston,1,91.82600619201921,36.59,123.4,86.8,2,12,1,36.945112789007986,5.071844976395369,0.9942403226532597,0.85486853,0.8325711257179825,0.6655639,0.61466694,0.004411636288461432,73.7,0.361,9.0,0.3939999999999999
5,Tennessee,2,86.72914895820735,30.93,120.7,89.7,5,17,3,14.210609894039246,4.220161117613316,0.9719291821356314,0.9102451,0.8375792635311382,0.2580961,0.21049619,0.0025511446830032633,74.0,0.3379999999999999,10.4,0.3379999999999999
6,Alabama,2,83.96595725129839,30.34,126.8,96.5,6,4,24,13.866760076279569,3.8406450040638447,0.9614779058733629,0.7930267,0.9330978997526813,0.13124913,0.12436534,8.128843657823798e-05,90.7,0.318,12.7,0.353
7,Michigan St,2,83.16008155450288,28.48,118.8,90.4,7,24,4,7.285592002248138,3.8104736898094416,0.9195731631101939,0.9343349,0.920919025741534,0.10772529,0.037709754,9.899172441254312e-05,77.7,0.3379999999999999,11.4,0.311
8,Texas Tech,3,80.92043390004368,27.92,125.4,97.5,9,5,30,8.994427323491845,3.6949454583227634,0.9099893142217814,0.7905676,0.9393797807496528,0.1293324,0.039439946,0.00020021398159487564,80.9,0.3229999999999999,9.6,0.367
9,Maryland,4,75.61417890992823,27.07,118.9,91.9,10,22,7,6.345570335749901,3.079965418204665,0.9074864532056188,0.8456165,0.20411993278862264,0.034026325,0.011178442,9.129878635439121e-05,81.1,0.286,10.1,0.373
10,Arizona,4,69.65720137329205,26.35,123.7,97.3,13,10,29,5.707935097788353,2.886166699230671,0.8239126472131684,0.7176485,0.07588180000752079,0.012768519,0.035805043,6.0612274703306355e-05,82.5,0.348,11.4,0.3379999999999999
11,Gonzaga,8,69.1316935566617,28.01,124.7,96.7,8,6,26,4.648119648483964,2.891748604364693,0.8123531200715423,0.39864156,0.05772090175213885,0.024017507,0.056839276,5.6859102280351464e-05,86.4,0.303,9.5,0.354
12,Iowa St,3,68.20234618912329,26.65,119.8,93.2,11,18,13,5.001145962752456,2.7206143755465746,0.8589418405601391,0.42444658,0.1136938125168985,0.037757196,0.031587653,0.0004025653174152023,80.3,0.307,12.0,0.358
13,Wisconsin,3,66.26920077081128,26.57,122.9,96.3,12,13,21,4.210529184850642,2.645280225202441,0.7792424129179767,0.51305753,0.10217626581146474,0.020522855,0.024757463,0.00030093643272312206,80.1,0.248,9.6,0.348
14,Purdue,4,66.22919114458561,25.36,124.6,99.2,15,7,38,4.12582739018631,2.9171782010234892,0.895615068138958,0.68012875,0.15238253497586404,0.03799799,0.014254324,2.0004849921588265e-05,77.3,0.3,10.4,0.382
15,Michigan,5,65.3533318541272,23.45,116.5,93.1,21,36,12,6.525065040848547,2.8678267262876034,0.8970515004525387,0.68317676,0.14614668813696358,0.029606793,0.01657362,0.0010103591493503695,78.0,0.314,14.0,0.332
16,Kentucky,3,64.5696964986216,24.54,123.7,99.2,16,10,38,3.380201189183628,2.8938694554381073,0.8540707978766052,0.7957842,0.07457608674323665,0.017948577,0.01144306,0.00013024605807327586,84.4,0.263,10.9,0.375
17,St Johns,2,63.99179013526234,26.06,114.0,88.0,14,47,2,5.912571441472925,2.58408235386014,0.8977743983735869,0.40398157,0.19574466973223367,0.016343784,0.014445096,8.535559831179835e-05,78.5,0.363,10.9,0.301
18,Illinois,6,63.44943476445084,24.32,121.9,97.6,17,14,31,6.155248399667613,2.5298125334084034,0.7216878205537582,0.36548802,0.04307367867924833,0.04322236,0.031261984,0.0002705967203709738,83.6,0.35,11.7,0.313
19,Oregon,5,61.27109336814868,21.85,117.6,95.8,27,31,19,4.84167908391922,2.8034715205430984,0.8914265390295648,0.6240211,0.30373539221958873,0.091937035,0.011981024,2.253878959250499e-05,76.5,0.2739999999999999,11.3,0.344
20,Mississippi,6,60.182346329300586,23.34,119.1,95.8,22,21,19,2.5663714827803896,2.8098992503946647,0.8739654398870795,0.7120802,0.08573116102371556,0.015472173,0.0034882857,1.4380559042842481e-05,77.2,0.2319999999999999,9.0,0.348
21,BYU,6,59.62564383368599,22.31,124.1,101.8,26,9,51,4.221949123404415,3.06230937410146,0.8145178632275927,0.6266512,0.07321343579206178,0.10597153,0.01663042,0.001082445589753845,81.4,0.319,12.1,0.368
22,Texas A&M,4,59.06341504881611,23.66,116.5,92.9,18,36,10,3.808299407880842,2.438060536980629,0.8204899047247202,0.4284732,0.054745061429056954,0.031837903,0.012513735,5.070151549980097e-05,74.6,0.397,12.2,0.307
23,Clemson,5,56.67256985133392,23.22,118.2,95.0,23,26,16,4.285398395057472,2.2123537075240165,0.7983889105503479,0.20321906,0.11573213352408784,0.04844741,0.0027897935,1.0242246069640861e-05,76.1,0.32,10.5,0.369
24,Louisville,8,56.35052948596411,21.73,118.1,96.3,28,28,21,4.672046007526856,2.3565267506055534,0.807140323281751,0.34333518,0.1553148920407597,0.10914284,0.011808395,1.7849036725163497e-05,78.5,0.307,11.3,0.3279999999999999
25,UCLA,7,55.56046135522025,23.46,117.3,93.8,20,33,14,2.969097059038132,2.478765941923484,0.8363339330398434,0.22578159,0.04646177681995027,0.009895886,0.0027034625,4.488499335928954e-05,74.2,0.319,10.6,0.352
26,St Marys,7,55.54024046903835,22.73,114.7,92.0,25,44,8,5.194467457240079,2.264758965931833,0.8184753845048008,0.22894847,0.10343258741878539,0.06727632,0.010168472,0.00021960262726325127,72.7,0.384,9.6,0.3229999999999999
27,Kansas,7,51.516843566839334,22.94,115.9,93.0,24,40,11,3.12902538799001,1.9132672550622374,0.8002855972988984,0.2301096,0.03476648064604113,0.013105523,0.0050289673,8.291441511533552e-05,76.1,0.28,11.8,0.354
28,Missouri,6,51.13092313523651,23.57,124.4,100.8,19,8,47,2.8306022130110593,1.6545320542063564,0.7279185459473045,0.10466575,0.04093178384776087,0.026706295,0.0063287034,6.269349195720214e-06,83.6,0.324,10.9,0.367
29,Creighton,9,48.445889010308555,19.44,117.8,98.3,35,29,33,3.4307119542571383,2.398026989074424,0.7204244465801531,0.23905292,0.1274410224156548,0.037517168,0.007233726,9.504164967898302e-06,75.5,0.25,12.2,0.345
30,Marquette,7,48.196708463181665,21.01,117.4,96.4,29,32,23,2.6106981088954213,2.017346241977066,0.7694488942338523,0.25118354,0.0394390704335149,0.017913822,0.0006681902,5.488861332063526e-06,76.6,0.28,9.4,0.326
