team,seed,contender_tier,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per,seas_ppg_rank,off_rebound_rank,turnover_rank,three_point_rank,secondary_support_count,secondary_supports,risk_flags,meta_points,meta_finish,meta_semifinal,meta_championship
Arizona,1,title,37.66,127.7,90.0,2,5,3,86.1,0.381,10.9,0.36,13,4,40,21,2,"top_20_scoring,top_20_off_rebounding",,48.85475988880198,5.429479902610183,0.7433170676231384,0.057620049321662814
Michigan,1,title,37.59,126.6,89.0,3,8,1,86.8,0.345,12.0,0.36,8,13,59,21,2,"top_20_scoring,top_20_off_rebounding",loose_turnover_profile,47.67377346314184,6.213018849492073,0.550875186920166,0.0433204337137137
Florida,1,title,33.79,125.5,91.7,4,9,6,86.8,0.432,11.9,0.308,8,2,57,67,2,"top_20_scoring,top_20_off_rebounding",loose_turnover_profile,21.49050048868709,5.141121829859912,0.5173124670982361,0.01871203450954773
Duke,1,title,38.9,128.0,89.1,1,4,2,82.3,0.365,10.5,0.351,24,7,24,36,1,top_20_off_rebounding,,48.78412428709355,5.983085125684738,0.8039122223854065,0.3160332969817688
Houston,2,final_four,33.43,124.9,91.4,5,14,4,77.1,0.344,8.5,0.349,52,14,1,40,2,"top_20_off_rebounding,top_20_turnover_control",,21.367302582093718,4.44484206661582,0.18789361417293549,0.2580028178149967
Gonzaga,3,second_weekend,28.1,122.0,93.9,10,26,8,85.1,0.342,9.7,0.34,14,16,14,54,3,"top_20_scoring,top_20_off_rebounding,top_20_turnover_control",outside_top_20_offense,10.421432091204876,3.5209856908768415,0.08592624962329865,0.06094046025628394
Illinois,3,second_weekend,32.1,131.2,99.1,7,2,21,84.4,0.384,8.9,0.347,17,3,2,45,3,"top_20_scoring,top_20_off_rebounding,top_20_turnover_control",,15.420551282472452,4.342078134417534,0.2753109931945801,0.017703199826607882
Purdue,2,second_weekend,31.2,131.6,100.4,8,1,25,81.7,0.35,8.9,0.379,27,11,2,10,3,"top_20_off_rebounding,top_20_turnover_control,top_20_three_point_pct",,12.987769980167243,3.990896839648485,0.11566565185785294,0.012422985794334974
Arkansas,4,second_weekend,26.05,127.7,101.6,15,5,34,89.9,0.302,9.0,0.389,2,44,6,3,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct",outside_top_25_defense,9.55026055630926,3.5178686156868935,0.053825147449970245,0.0013626479966900066
Iowa St,2,second_weekend,32.42,123.8,91.4,6,19,4,81.8,0.33,10.3,0.387,26,25,20,5,2,"top_20_turnover_control,top_20_three_point_pct",,12.987600002690215,4.047046914696693,0.08804237842559814,0.017345536696905136
Alabama,4,second_weekend,25.72,129.0,103.3,18,3,42,91.7,0.293,9.8,0.358,1,48,17,28,2,"top_20_scoring,top_20_turnover_control",outside_top_25_defense,7.308271989153714,3.2299316637218,0.031175004318356514,7.823795246448765e-05
Vanderbilt,5,second_weekend,27.51,126.8,99.3,12,7,22,86.4,0.29,9.5,0.355,11,52,12,32,2,"top_20_scoring,top_20_turnover_control",,8.179264545522612,3.090191649273038,0.03703419119119644,7.174739392713176e-05
Connecticut,2,second_weekend,27.87,122.0,94.1,11,26,10,77.5,0.337,11.1,0.352,49,18,45,35,1,top_20_off_rebounding,"outside_top_20_offense,loose_turnover_profile",11.00745041930019,3.9314594343304634,0.18834513425827026,0.03319713019841117
Tennessee,6,second_weekend,26.02,121.1,95.0,16,31,13,79.5,0.447,11.7,0.3339999999999999,40,1,54,58,1,top_20_off_rebounding,"outside_top_20_offense,loose_turnover_profile",4.417202304910281,2.766457786783576,0.03337983787059784,0.00707818846469182
Nebraska,4,second_weekend,26.16,118.5,92.4,14,42,7,77.3,0.253,9.8,0.353,50,63,17,33,1,top_20_turnover_control,outside_top_20_offense,5.737869317065915,3.357987648807466,0.10616271197795868,0.005069156463460211
Virginia,3,second_weekend,26.71,122.5,95.8,13,24,14,80.6,0.37,10.8,0.359,33,6,36,24,1,top_20_off_rebounding,outside_top_20_offense,11.774976936313056,4.4597017131745815,0.2709926664829254,0.0024528379206110017
Texas Tech,5,second_weekend,25.22,125.0,99.8,20,12,24,80.4,0.3229999999999999,10.8,0.3929999999999999,35,34,36,2,1,top_20_three_point_pct,,7.242326088786088,3.479451638646424,0.005090130493044853,0.00010868919005402868
Michigan St,3,second_weekend,28.31,123.0,94.7,9,22,12,78.9,0.371,11.5,0.359,42,5,52,24,1,top_20_off_rebounding,"outside_top_20_offense,loose_turnover_profile",8.123650817867976,3.432257618755102,0.3546432554721832,9.558769991685481e-05
St Johns,5,second_weekend,25.91,120.1,94.2,17,36,11,81.6,0.335,10.5,0.332,29,23,24,60,0,,outside_top_20_offense,9.336011970314926,3.2432093732059,0.02184741571545601,0.000511296867891698
Wisconsin,5,darkhorse,23.39,125.3,102.0,22,11,37,83.0,0.273,8.9,0.361,21,59,2,18,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense",5.060719655526881,2.9633950646966696,0.04133260250091553,0.0002846420016036951
St Marys,7,darkhorse,23.07,120.3,97.2,24,35,15,77.6,0.365,10.9,0.386,48,7,40,7,2,"top_20_off_rebounding,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense",5.984494529038841,2.4987162025645375,0.00886118970811367,4.8365548261113594e-05
Louisville,6,darkhorse,25.42,124.1,98.6,19,17,19,84.8,0.316,11.6,0.357,15,38,53,29,1,top_20_scoring,loose_turnover_profile,5.02839312260367,2.9130449518561363,0.02694019116461277,0.0006610947216378813
Iowa,9,darkhorse,22.44,121.7,99.3,25,28,22,75.2,0.282,9.7,0.357,58,56,14,29,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",1.8971350931613216,2.033078130800277,0.004517437424510717,8.187389861206367e-05
BYU,6,darkhorse,23.25,125.5,102.2,23,9,40,83.9,0.325,10.9,0.349,19,32,40,40,1,top_20_scoring,"outside_top_20_adjem,outside_top_25_defense",4.037124887617764,2.525607807561755,0.006360987201333046,8.047381472607725e-05
Kansas,4,darkhorse,24.44,118.3,93.9,21,43,8,75.6,0.28,10.7,0.35,56,57,33,38,0,,"outside_top_20_adjem,outside_top_20_offense",6.980328661021742,3.355409987270832,0.04216676205396652,0.003989399016495539
NC State,11,fade,19.6,124.1,104.5,34,17,46,83.7,0.2689999999999999,9.2,0.3879999999999999,20,60,7,4,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense",1.6115340883736153,1.649024830199778,0.004255920648574829,1.1417932486633168e-05
Long Island Brooklyn,16,fade,-3.95,105.6,109.6,66,65,61,74.1,0.337,13.0,0.361,63,18,66,18,2,"top_20_off_rebounding,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.14153333334223842,1.110574587190058,0.00925514567643404,0.00011405434049723862
St Louis,9,fade,18.32,119.5,101.2,39,39,31,86.4,0.293,12.5,0.405,11,48,65,1,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.9198155485642263,1.9091954743489623,0.004228395875543356,2.583154118876062e-05
UCLA,7,fade,21.67,123.7,102.1,27,20,38,77.7,0.289,8.9,0.382,47,53,2,9,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense",2.8789202228301844,2.519092450849712,0.004577456507831812,1.1338958469369722e-05
McNeese,12,fade,12.48,114.3,101.8,47,51,35,76.8,0.336,9.6,0.316,53,20,13,65,2,"top_20_off_rebounding,top_20_turnover_control","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.1679039482487286,1.5626828008098528,0.0026036519557237625,1.1281513245020898e-05
Akron,12,fade,12.8,118.8,106.0,46,41,52,86.9,0.327,11.1,0.385,7,29,45,8,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.2704941809341326,1.5221375550609082,0.001370699959807098,1.0578147171170366e-05
Texas A&M,10,fade,18.67,119.7,101.0,38,38,30,87.7,0.298,10.8,0.362,4,46,36,16,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.9473702981945717,1.6198085626820102,0.0014177231350913644,9.226799795841085e-06
SMU,11,fade,18.09,122.9,104.8,40,23,47,84.2,0.3279999999999999,11.3,0.374,18,28,49,12,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.409954660489383,1.2488888347288594,0.0036257209721952677,6.434397482345858e-06
