round_index,round_name,game_number,team_left,left_seed,team_right,right_seed,left_win_probability,right_win_probability,picked_winner,favorite_team,favorite_seed,favorite_win_probability,underdog_team,underdog_seed,underdog_win_probability,seed_gap,upset_level,upset_flag
1,round_of_64,1,Duke,1,Siena,16,0.9999742791273327,2.5720872667278627e-05,Duke,Duke,1,0.9999742791273327,Siena,16,2.5720872667278627e-05,15,,False
1,round_of_64,2,Ohio St,8,TCU,9,0.5559902272204843,0.4440097727795157,Ohio St,Ohio St,8,0.5559902272204843,TCU,9,0.4440097727795157,1,live,True
1,round_of_64,3,St Johns,5,Northern Iowa,12,0.9941655433601281,0.005834456639871921,St Johns,St Johns,5,0.9941655433601281,Northern Iowa,12,0.005834456639871921,7,,False
1,round_of_64,4,Kansas,4,Cal Baptist,13,0.9793217822606527,0.020678217739347304,Kansas,Kansas,4,0.9793217822606527,Cal Baptist,13,0.020678217739347304,9,,False
1,round_of_64,5,Louisville,6,South Florida,11,0.9126392805510287,0.08736071944897128,Louisville,Louisville,6,0.9126392805510287,South Florida,11,0.08736071944897128,5,,False
1,round_of_64,6,Michigan St,3,N Dakota St,14,0.9639763833041114,0.036023616695888605,Michigan St,Michigan St,3,0.9639763833041114,N Dakota St,14,0.036023616695888605,11,,False
1,round_of_64,7,UCLA,7,UCF,10,0.4906293225730392,0.5093706774269608,UCF,UCLA,7,0.4906293225730392,UCF,10,0.5093706774269608,3,strong,True
1,round_of_64,8,Connecticut,2,Furman,15,0.9992584548252338,0.0007415451747662116,Connecticut,Connecticut,2,0.9992584548252338,Furman,15,0.0007415451747662116,13,,False
2,round_of_32,1,Duke,1,Ohio St,8,0.9943539934639325,0.005646006536067505,Duke,Duke,1,0.9943539934639325,Ohio St,8,0.005646006536067505,7,,False
2,round_of_32,2,St Johns,5,Kansas,4,0.5887890992619913,0.4112109007380087,St Johns,Kansas,4,0.4112109007380087,St Johns,5,0.5887890992619913,1,strong,True
2,round_of_32,3,Louisville,6,Michigan St,3,0.6499995279443531,0.3500004720556469,Louisville,Michigan St,3,0.3500004720556469,Louisville,6,0.6499995279443531,3,strong,True
2,round_of_32,4,UCF,10,Connecticut,2,0.26242552926270374,0.7375744707372962,Connecticut,Connecticut,2,0.7375744707372962,UCF,10,0.26242552926270374,8,,False
3,sweet_sixteen,1,Duke,1,St Johns,5,0.9458488023980225,0.05415119760197751,Duke,Duke,1,0.9458488023980225,St Johns,5,0.05415119760197751,4,,False
3,sweet_sixteen,2,Louisville,6,Connecticut,2,0.32061307047280385,0.6793869295271961,Connecticut,Connecticut,2,0.6793869295271961,Louisville,6,0.32061307047280385,4,,False
4,elite_eight,1,Duke,1,Connecticut,2,0.9653454581892184,0.03465454181078165,Duke,Duke,1,0.9653454581892184,Connecticut,2,0.03465454181078165,1,,False
0,first_four,1,Miami OH,11,SMU,11,0.09342528668849254,0.9065747133115074,SMU,,11,0.9065747133115074,,11,0.0,0,same_seed,False
0,first_four,2,Howard,16,UMBC,16,0.2702227428062868,0.7297772571937132,UMBC,,16,0.7297772571937132,,16,0.0,0,same_seed,False
1,round_of_64,1,Michigan,1,UMBC,16,0.9999743831338945,2.5616866105471203e-05,Michigan,Michigan,1,0.9999743831338945,UMBC,16,2.5616866105471203e-05,15,,False
1,round_of_64,2,Georgia,8,St Louis,9,0.8179416629318931,0.18205833706810692,Georgia,Georgia,8,0.8179416629318931,St Louis,9,0.18205833706810692,1,,False
1,round_of_64,3,Texas Tech,5,Akron,12,0.9805158589458653,0.01948414105413465,Texas Tech,Texas Tech,5,0.9805158589458653,Akron,12,0.01948414105413465,7,,False
1,round_of_64,4,Alabama,4,Hofstra,13,0.9884723338736082,0.011527666126391778,Alabama,Alabama,4,0.9884723338736082,Hofstra,13,0.011527666126391778,9,,False
1,round_of_64,5,Tennessee,6,SMU,11,0.8184201133149707,0.18157988668502933,Tennessee,Tennessee,6,0.8184201133149707,SMU,11,0.18157988668502933,5,,False
1,round_of_64,6,Virginia,3,Wright St,14,0.995508071188639,0.004491928811360957,Virginia,Virginia,3,0.995508071188639,Wright St,14,0.004491928811360957,11,,False
1,round_of_64,7,Kentucky,7,Santa Clara,10,0.30273812628005126,0.6972618737199487,Santa Clara,Kentucky,7,0.30273812628005126,Santa Clara,10,0.6972618737199487,3,strong,True
1,round_of_64,8,Iowa St,2,Tennessee St,15,0.9981265658335652,0.0018734341664348175,Iowa St,Iowa St,2,0.9981265658335652,Tennessee St,15,0.0018734341664348175,13,,False
2,round_of_32,1,Michigan,1,Georgia,8,0.993136414311269,0.006863585688731022,Michigan,Michigan,1,0.993136414311269,Georgia,8,0.006863585688731022,7,,False
2,round_of_32,2,Texas Tech,5,Alabama,4,0.741294022901791,0.258705977098209,Texas Tech,Alabama,4,0.258705977098209,Texas Tech,5,0.741294022901791,1,strong,True
2,round_of_32,3,Tennessee,6,Virginia,3,0.39608447830056337,0.6039155216994366,Virginia,Virginia,3,0.6039155216994366,Tennessee,6,0.39608447830056337,3,live,True
2,round_of_32,4,Santa Clara,10,Iowa St,2,0.1728205330552122,0.8271794669447878,Iowa St,Iowa St,2,0.8271794669447878,Santa Clara,10,0.1728205330552122,8,,False
3,sweet_sixteen,1,Michigan,1,Texas Tech,5,0.9449601672746556,0.055039832725344406,Michigan,Michigan,1,0.9449601672746556,Texas Tech,5,0.055039832725344406,4,,False
3,sweet_sixteen,2,Virginia,3,Iowa St,2,0.25395903855511337,0.7460409614448866,Iowa St,Iowa St,2,0.7460409614448866,Virginia,3,0.25395903855511337,1,,False
4,elite_eight,1,Michigan,1,Iowa St,2,0.952499714528741,0.04750028547125895,Michigan,Michigan,1,0.952499714528741,Iowa St,2,0.04750028547125895,1,,False
0,first_four,1,Lehigh,16,Prairie View,16,0.7815162596304697,0.21848374036953033,Lehigh,,16,0.7815162596304697,,16,0.0,0,same_seed,False
1,round_of_64,1,Florida,1,Lehigh,16,0.9999161651990477,8.383480095230933e-05,Florida,Florida,1,0.9999161651990477,Lehigh,16,8.383480095230933e-05,15,,False
1,round_of_64,2,Clemson,8,Iowa,9,0.2596332143012391,0.7403667856987609,Iowa,Clemson,8,0.2596332143012391,Iowa,9,0.7403667856987609,1,strong,True
1,round_of_64,3,Vanderbilt,5,McNeese,12,0.9560707581284758,0.04392924187152425,Vanderbilt,Vanderbilt,5,0.9560707581284758,McNeese,12,0.04392924187152425,7,,False
1,round_of_64,4,Nebraska,4,Troy,13,0.9965151116391421,0.0034848883608579184,Nebraska,Nebraska,4,0.9965151116391421,Troy,13,0.0034848883608579184,9,,False
1,round_of_64,5,N Carolina,6,VCU,11,0.8281396562761779,0.17186034372382208,N Carolina,N Carolina,6,0.8281396562761779,VCU,11,0.17186034372382208,5,,False
1,round_of_64,6,Illinois,3,Pennsylvania,14,0.9968492322535508,0.003150767746449179,Illinois,Illinois,3,0.9968492322535508,Pennsylvania,14,0.003150767746449179,11,,False
