team,seed,region,play_in_group,expected_wins,win_first_four,make_round_of_64,make_round_of_32,make_sweet_sixteen,make_elite_eight,make_final_four,make_championship,win_championship,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,field_source
Michigan,1,Midwest,,5.1805,0.0,1.0,1.0,0.9955,0.9513,0.9169,0.8037,0.5131,1.0,0.9955,0.9513,0.9169,0.8037,data/raw/2026/tournament_field.csv
Duke,1,East,,4.9972,0.0,1.0,1.0,0.9938,0.9456,0.9237,0.7486,0.3855,1.0,0.9938,0.9456,0.9237,0.7486,data/raw/2026/tournament_field.csv
Houston,2,South,,3.5452,0.0,1.0,0.9999,0.97,0.787,0.5743,0.1678,0.0462,0.9999,0.97,0.787,0.5743,0.1678,data/raw/2026/tournament_field.csv
Arizona,1,West,,3.2478,0.0,1.0,0.9998,0.9163,0.6913,0.5015,0.1097,0.0292,0.9998,0.9163,0.6913,0.5015,0.1097,data/raw/2026/tournament_field.csv
Florida,1,South,,3.1046,0.0,1.0,0.9999,0.9678,0.7689,0.3003,0.0574,0.0103,0.9999,0.9678,0.7689,0.3003,0.0574,data/raw/2026/tournament_field.csv
Purdue,2,West,,3.0557,0.0,1.0,0.9989,0.9324,0.7579,0.314,0.0446,0.0079,0.9989,0.9324,0.7579,0.314,0.0446,data/raw/2026/tournament_field.csv
Arkansas,4,West,,2.2085,0.0,1.0,0.9985,0.7942,0.2594,0.1362,0.0172,0.003,0.9985,0.7942,0.2594,0.1362,0.0172,data/raw/2026/tournament_field.csv
Texas Tech,5,Midwest,,1.7829,0.0,1.0,0.9782,0.7277,0.0413,0.0274,0.0069,0.0014,0.9782,0.7277,0.0413,0.0274,0.0069,data/raw/2026/tournament_field.csv
Iowa St,2,Midwest,,2.571,0.0,1.0,0.9985,0.8545,0.6592,0.0439,0.0136,0.0013,0.9985,0.8545,0.6592,0.0439,0.0136,data/raw/2026/tournament_field.csv
Illinois,3,South,,2.1939,0.0,1.0,0.9967,0.8969,0.2037,0.0865,0.0092,0.0009,0.9967,0.8969,0.2037,0.0865,0.0092,data/raw/2026/tournament_field.csv
St Johns,5,East,,1.6564,0.0,1.0,0.9936,0.5977,0.0329,0.0255,0.0061,0.0006,0.9936,0.5977,0.0329,0.0255,0.0061,data/raw/2026/tournament_field.csv
Connecticut,2,East,,2.3081,0.0,1.0,0.9996,0.7399,0.5351,0.028,0.0053,0.0002,0.9996,0.7399,0.5351,0.028,0.0053,data/raw/2026/tournament_field.csv
Vanderbilt,5,South,,1.6378,0.0,1.0,0.9555,0.5277,0.13,0.0225,0.0019,0.0002,0.9555,0.5277,0.13,0.0225,0.0019,data/raw/2026/tournament_field.csv
Kansas,4,East,,1.4167,0.0,1.0,0.9798,0.4019,0.0206,0.0119,0.0023,0.0002,0.9798,0.4019,0.0206,0.0119,0.0023,data/raw/2026/tournament_field.csv
Gonzaga,3,West,,1.9956,0.0,1.0,0.9983,0.7693,0.1951,0.0312,0.0017,0.0,0.9983,0.7693,0.1951,0.0312,0.0017,data/raw/2026/tournament_field.csv
Nebraska,4,South,,1.5792,0.0,1.0,0.9966,0.4689,0.0973,0.0153,0.0011,0.0,0.9966,0.4689,0.0973,0.0153,0.0011,data/raw/2026/tournament_field.csv
Wisconsin,5,West,,1.2332,0.0,1.0,0.9928,0.2058,0.0269,0.0074,0.0003,0.0,0.9928,0.2058,0.0269,0.0074,0.0003,data/raw/2026/tournament_field.csv
Virginia,3,Midwest,,1.851,0.0,1.0,0.9956,0.6475,0.2,0.0067,0.0012,0.0,0.9956,0.6475,0.2,0.0067,0.0012,data/raw/2026/tournament_field.csv
