team_rank,team,seed,team_strength_score,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,meta_points,meta_finish,meta_round_of_64,meta_round_of_32,meta_sweet_sixteen,meta_elite_eight,meta_semifinal,meta_championship,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per
1,Arizona,1,95.56097991064544,37.66,127.7,90.0,2,5,3,48.85475988880198,5.429479902610183,0.9933554138389495,0.97016555,0.9963477193098842,0.74169207,0.74331707,0.057620049321662814,86.1,0.381,10.9,0.36
2,Duke,1,95.43660308456626,38.9,128.0,89.1,1,4,2,48.78412428709355,5.983085125684738,0.9940710781897026,0.89526135,0.9261770952323809,0.6625406,0.8039122,0.3160332969817688,82.3,0.365,10.5,0.351
3,Michigan,1,93.21723396854111,37.59,126.6,89.0,3,8,1,47.67377346314184,6.213018849492073,0.9915281874336664,0.9308254,0.9626408352663914,0.5071189,0.5508752,0.0433204337137137,86.8,0.345,12.0,0.36
4,Florida,1,89.35056435352831,33.79,125.5,91.7,4,9,6,21.49050048868709,5.141121829859912,0.9590596036048435,0.768536,0.9870923133973859,0.40133256,0.51731247,0.01871203450954773,86.8,0.432,11.9,0.308
5,Houston,2,86.247496745072,33.43,124.9,91.4,5,14,4,21.367302582093718,4.44484206661582,0.9825343353528495,0.84870255,0.750521540839682,0.31345335,0.18789361,0.2580028178149967,77.1,0.344,8.5,0.349
6,Illinois,3,84.66428313828924,32.1,131.2,99.1,7,2,21,15.420551282472452,4.342078134417534,0.9167081151278953,0.74080944,0.9665025017975037,0.198116,0.275311,0.017703199826607882,84.4,0.384,8.9,0.347
7,Iowa St,2,82.55694683581721,32.42,123.8,91.4,6,19,4,12.987600002690215,4.047046914696693,0.9754766273250286,0.9023993,0.5264788770109106,0.37574664,0.08804238,0.017345536696905136,81.8,0.33,10.3,0.387
8,Purdue,2,81.8236916073949,31.2,131.6,100.4,8,1,25,12.987769980167243,3.990896839648485,0.9619061504107322,0.7801374,0.7757922248916213,0.1558889,0.11566565,0.012422985794334974,81.7,0.35,8.9,0.379
9,Virginia,3,78.57335972106036,26.71,122.5,95.8,13,24,14,11.774976936313056,4.4597017131745815,0.9315690806670519,0.786907,0.5542410886880161,0.8425406,0.27099267,0.0024528379206110017,80.6,0.37,10.8,0.359
10,Connecticut,2,77.47750536322806,27.87,122.0,94.1,11,26,10,11.00745041930019,3.9314594343304634,0.9597962413076035,0.74344635,0.6841510275762195,0.45032063,0.18834513,0.03319713019841117,77.5,0.337,11.1,0.352
11,Gonzaga,3,76.42384914680456,28.1,122.0,93.9,10,26,8,10.421432091204876,3.5209856908768415,0.9588215330826084,0.87263125,0.49238263827610895,0.13498802,0.08592625,0.06094046025628394,85.1,0.342,9.7,0.34
12,Arkansas,4,76.19353730766349,26.05,127.7,101.6,15,5,34,9.55026055630926,3.5178686156868935,0.9521926979761152,0.8610582,0.9102789646834978,0.12787963,0.053825147,0.0013626479966900066,89.9,0.302,9.0,0.389
13,Michigan St,3,74.54672753740745,28.31,123.0,94.7,9,22,12,8.123650817867976,3.432257618755102,0.9002465712406758,0.8421476,0.0980635616930406,0.5288034,0.35464326,9.558769991685481e-05,78.9,0.371,11.5,0.359
14,Vanderbilt,5,73.37970423003479,27.51,126.8,99.3,12,7,22,8.179264545522612,3.090191649273038,0.9296839897429298,0.6785267,0.5269719006552773,0.13154119,0.03703419,7.174739392713176e-05,86.4,0.29,9.5,0.355
15,Alabama,4,71.1273191125064,25.72,129.0,103.3,18,3,42,7.308271989153714,3.2299316637218,0.8684728925386079,0.71836334,0.8827953254038823,0.2707523,0.031175004,7.823795246448765e-05,91.7,0.293,9.8,0.358
16,Nebraska,4,68.43780731813014,26.16,118.5,92.4,14,42,7,5.737869317065915,3.357987648807466,0.9203527870239306,0.8952952,0.38032174451086576,0.124378525,0.10616271,0.005069156463460211,77.3,0.253,9.8,0.353
17,St Johns,5,67.75226695323015,25.91,120.1,94.2,17,36,11,9.336011970314926,3.2432093732059,0.9471366913899426,0.7195489,0.4103301293136406,0.07367743,0.021847416,0.000511296867891698,81.6,0.335,10.5,0.332
18,Texas Tech,5,66.89747654733242,25.22,125.0,99.8,20,12,24,7.242326088786088,3.479451638646424,0.912313674103314,0.61887074,0.21406516231126044,0.16006298,0.0050901305,0.00010868919005402868,80.4,0.3229999999999999,10.8,0.3929999999999999
19,Kansas,4,66.33963997121937,24.44,118.3,93.9,21,43,8,6.980328661021742,3.355409987270832,0.9205290381433638,0.86234635,0.5395213806399181,0.17031345,0.042166762,0.003989399016495539,75.6,0.28,10.7,0.35
20,Wisconsin,5,64.81317776523258,23.39,125.3,102.0,22,11,37,5.060719655526881,2.9633950646966696,0.8458976027416515,0.69442576,0.6236736440310402,0.12933461,0.041332603,0.0002846420016036951,83.0,0.273,8.9,0.361
21,Louisville,6,62.68847910083871,25.42,124.1,98.6,19,17,19,5.02839312260367,2.9130449518561363,0.7677259901233171,0.5047172,0.1566061893769209,0.06711308,0.026940191,0.0006610947216378813,84.8,0.316,11.6,0.357
22,Tennessee,6,60.28117021848318,26.02,121.1,95.0,16,31,13,4.417202304910281,2.766457786783576,0.7927934017435548,0.19707517,0.28940828071607644,0.17869078,0.033379838,0.00707818846469182,79.5,0.447,11.7,0.3339999999999999
23,BYU,6,57.76544060228508,23.25,125.5,102.2,23,9,40,4.037124887617764,2.525607807561755,0.7759736757662444,0.35475278,0.39639073823482107,0.017065622,0.006360987,8.047381472607725e-05,83.9,0.325,10.9,0.349
24,St Marys,7,55.7359116309874,23.07,120.3,97.2,24,35,15,5.984494529038841,2.4987162025645375,0.7649517419215831,0.3469968,0.053573445441921254,0.03775434,0.00886119,4.8365548261113594e-05,77.6,0.365,10.9,0.386
25,N Carolina,6,53.46219008181655,20.84,121.4,100.5,29,29,27,3.1421097789487336,3.0292226932942867,0.7564528198061142,0.42984864,0.2331837526916411,0.06704571,0.0063523888,8.764741475413852e-06,79.8,0.292,9.7,0.345
26,UCLA,7,50.50177615283439,21.67,123.7,102.1,27,20,38,2.8789202228301844,2.519092450849712,0.8320684335448139,0.28447625,0.07545345066814724,0.048225403,0.0045774565,1.1338958469369722e-05,77.7,0.289,8.9,0.382
27,Villanova,8,50.49620860964726,19.97,120.4,100.4,33,34,25,4.094526284563516,2.7350383610464633,0.8613576674422002,0.18743913,0.320545793632807,0.12540662,0.009042441,1.158969907519188e-05,77.2,0.3,10.2,0.353
28,Miami FL,7,50.40945938063219,20.68,121.4,100.7,31,29,28,2.8456654507233283,2.849639997817576,0.7349608049659017,0.4489653,0.0615410908264394,0.01553281,0.0031801036,9.321268886105355e-06,81.9,0.342,11.2,0.347
