year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2011,Duke,2011Duke,1,3,1,1,0,0,0,0,3,28.42,119.7,91.3,68.6,0.017,81.1,0.296,0.375,0.75,0.356,0.333,0.687,12.2,17.9,64.3,0.316,0.242,0.313,0.667,14.9,20.1,72.3
2011,Kansas,2011Kansas,1,4,1,1,1,0,0,0,7,28.38,118.9,90.6,68.4,0.06,82.4,0.265,0.387,0.681,0.326,0.362,0.743,13.3,17.9,65.2,0.294,0.336,0.257,0.638,13.9,19.8,71.4
2011,Ohio St,2011Ohio St,1,3,1,1,0,0,0,0,3,33.47,125.0,91.5,63.8,0.031,77.1,0.287,0.413,0.705,0.322,0.341,0.748,10.0,14.3,59.8,0.339,0.348,0.252,0.659,14.7,19.0,65.9
2011,Pittsburgh,2011Pittsburgh,1,2,1,0,0,0,0,0,1,27.08,120.6,93.5,61.8,-0.023,74.1,0.238,0.39,0.672,0.274,0.419,0.732,11.5,17.9,61.0,0.326,0.324,0.268,0.581,11.2,20.2,65.2
2011,Florida,2011Florida,2,4,1,1,1,0,0,0,7,20.61,115.8,95.2,62.5,0.038,71.5,0.26,0.356,0.666,0.311,0.363,0.715,12.4,14.4,63.1,0.319,0.318,0.285,0.637,12.5,18.3,66.6
2011,North Carolina,2011North Carolina,2,4,1,1,1,0,0,0,7,22.18,111.8,89.6,70.6,0.064,76.7,0.205,0.333,0.663,0.253,0.357,0.724,13.5,16.2,67.8,0.327,0.348,0.276,0.643,14.0,20.2,74.0
2011,Notre Dame,2011Notre Dame,2,2,1,0,0,0,0,0,1,23.25,120.9,97.7,63.1,0.074,76.0,0.319,0.392,0.725,0.384,0.32,0.733,10.3,15.0,65.6,0.35,0.33,0.267,0.68,10.3,20.5,66.8
2011,San Diego St,2011San Diego St,2,3,1,1,0,0,0,0,3,24.98,114.1,89.1,62.3,0.059,71.0,0.244,0.336,0.7,0.302,0.366,0.723,10.8,15.2,58.9,0.305,0.297,0.277,0.634,12.6,17.4,65.4
2011,BYU,2011BYU,3,3,1,1,0,0,0,0,3,23.22,117.5,94.3,70.2,0.055,81.3,0.302,0.361,0.756,0.371,0.3,0.734,10.9,17.6,67.8,0.339,0.301,0.266,0.7,14.6,19.7,73.3
2011,Connecticut,2011Connecticut,3,7,1,1,1,1,1,1,63,23.93,115.8,91.9,64.5,0.048,73.4,0.238,0.332,0.755,0.293,0.38,0.678,11.5,15.9,66.4,0.335,0.311,0.322,0.62,12.0,18.8,69.1
2011,Purdue,2011Purdue,3,2,1,0,0,0,0,0,1,24.79,115.9,91.1,66.0,0.007,72.7,0.286,0.367,0.712,0.33,0.301,0.722,10.3,18.0,61.4,0.328,0.274,0.278,0.699,14.3,18.8,67.9
2011,Syracuse,2011Syracuse,3,2,1,0,0,0,0,0,1,22.49,114.9,92.4,64.6,0.032,73.6,0.259,0.352,0.659,0.316,0.348,0.685,12.1,15.3,63.3,0.312,0.392,0.315,0.652,13.5,17.4,68.4
