"year","team","year_team","seed","Finish","First_Rd","Second_Rd","Sweet_Sixteen","Elite_Eight","Final_Four","Championship","Pts","AdjEM","AdjO","AdjD","AdjT","Luck","Seas_PPG","Seas_Succ_3PT","Seas_3PT_Per","Seas_FT_Succ","Seas_3PT_Rate","Seas_Off_Rebound_Per","Seas_Def_Rebound_Per","Seas_Turnovers","Seas_Fouls","Seas_Opp_PPG","Seas_Opp_3PT_Succ","Seas_Opp_3PT_Rate","Seas_Opp_Off_Rebound","Seas_Opp_Def_Rebound","Seas_Opp_Turnover","Seas_Opp_Fouls","Seas_Poss"
"2023","Alabama","2023Alabama","1","3","1","1","0","0","0","0","3","27.54","116.1","88.6","72.7","0.074","82.2","0.367","0.338","0.726","0.478","0.324","0.758","14.1","18.6","68.5","0.281","0.306","0.242","0.676","11.9","20.1","76.4"
"2023","Houston","2023Houston","1","3","1","1","0","0","0","0","3","28.82","118.4","89.6","63.3","0.025","75.0","0.31","0.345","0.719","0.378","0.372","0.762","9.9","16.6","56.5","0.278","0.437","0.238","0.628","14.3","16.1","66.4"
"2023","Kansas","2023Kansas","1","2","1","0","0","0","0","0","1","23.14","114.6","91.5","69.3","0.106","74.9","0.279","0.344","0.717","0.341","0.267","0.739","12.4","16.6","67.9","0.312","0.351","0.261","0.733","14.3","15.8","72.0"
"2023","Purdue","2023Purdue","1","1","0","0","0","0","0","0","0","24.55","119.4","94.8","64.4","0.032","73.1","0.282","0.326","0.743","0.381","0.378","0.8","10.9","13.7","62.7","0.314","0.354","0.2","0.622","9.9","18.9","65.9"
"2023","Arizona","2023Arizona","2","1","0","0","0","0","0","0","0","22.86","120.0","97.1","72.3","0.041","82.7","0.312","0.382","0.709","0.38","0.29","0.757","13.4","17.0","71.5","0.328","0.387","0.243","0.71","12.4","19.3","74.4"
"2023","Marquette","2023Marquette","2","2","1","0","0","0","0","0","1","21.83","119.3","97.5","68.4","0.014","79.9","0.332","0.348","0.721","0.419","0.239","0.693","10.7","16.3","70.6","0.352","0.375","0.307","0.761","16.1","15.2","72.2"
"2023","Texas","2023Texas","2","4","1","1","1","0","0","0","7","24.57","116.6","92.0","69.1","0.02","77.9","0.275","0.339","0.752","0.35","0.275","0.733","11.7","17.6","67.4","0.327","0.354","0.267","0.725","16.2","18.0","72.6"
"2023","UCLA","2023UCLA","2","3","1","1","0","0","0","0","3","27.63","114.9","87.2","66.3","-0.001","73.9","0.25","0.347","0.722","0.291","0.32","0.752","10.3","15.7","60.3","0.311","0.393","0.248","0.68","15.9","16.5","68.9"
"2023","Baylor","2023Baylor","3","2","1","0","0","0","0","0","1","19.98","121.9","101.9","66.6","0.032","77.2","0.377","0.372","0.749","0.453","0.322","0.701","12.3","17.4","70.3","0.322","0.378","0.299","0.678","13.5","18.5","69.8"
"2023","Gonzaga","2023Gonzaga","3","4","1","1","1","0","0","0","7","24.31","124.0","99.7","70.1","0.047","86.5","0.268","0.384","0.702","0.328","0.295","0.766","10.5","16.8","73.9","0.35","0.394","0.234","0.705","13.5","19.1","73.3"
"2023","Kansas St.","2023Kansas St.","3","4","1","1","1","0","0","0","7","18.31","112.5","94.2","70.2","0.036","75.5","0.283","0.34","0.75","0.363","0.29","0.73","14.4","17.7","69.0","0.301","0.368","0.27","0.71","14.8","18.6","73.5"
"2023","Xavier","2023Xavier","3","3","1","1","0","0","0","0","3","19.69","119.3","99.6","70.4","-0.004","81.4","0.279","0.395","0.714","0.313","0.3","0.768","12.6","15.9","74.1","0.359","0.342","0.232","0.7","11.9","17.6","73.5"
"2023","Connecticut","2023Connecticut","4","7","1","1","1","1","1","1","63","25.37","119.4","94.1","66.7","-0.061","78.5","0.344","0.357","0.754","0.42","0.38","0.776","12.9","18.1","65.0","0.3","0.303","0.224","0.62","13.3","17.4","70.4"
"2023","Indiana","2023Indiana","4","2","1","0","0","0","0","0","1","17.36","114.7","97.3","68.1","0.022","75.0","0.227","0.37","0.712","0.263","0.259","0.739","11.6","17.3","68.5","0.332","0.382","0.261","0.741","11.2","16.2","70.1"
