source,raw_team,normalized_team,canonical_team,match_method
results,CONN,conn,Connecticut,global_alias
results,Houston,houston,Houston,historical_exact
results,North Carolina,north carolina,N Carolina,global_alias
results,PUR,pur,Purdue,global_alias
results,Purdue,purdue,Purdue,historical_exact
results,UConn,uconn,Connecticut,global_alias
results,Arizona,arizona,Arizona,historical_exact
results,Iowa State,iowa state,Iowa St,global_alias
results,Marquette,marquette,Marquette,historical_exact
results,Tennessee,tennessee,Tennessee,historical_exact
results,Baylor,baylor,Baylor,historical_exact
results,Creighton,creighton,Creighton,historical_exact
results,Illinois,illinois,Illinois,historical_exact
results,Kentucky,kentucky,Kentucky,historical_exact
results,Alabama,alabama,Alabama,historical_exact
results,Auburn,auburn,Auburn,historical_exact
results,Duke,duke,Duke,historical_exact
results,Kansas,kansas,Kansas,historical_exact
results,Gonzaga,gonzaga,Gonzaga,historical_exact
results,Saint Mary's,st mary s,St Marys,global_alias
results,San Diego St,san diego st,San Diego St,global_alias
results,Wisconsin,wisconsin,Wisconsin,historical_exact
results,BYU,byu,BYU,historical_exact
results,Clemson,clemson,Clemson,historical_exact
results,South Carolina,south carolina,S Carolina,global_alias
results,Texas Tech,texas tech,Texas Tech,historical_exact
results,Dayton,dayton,Dayton,historical_exact
results,Florida,florida,Florida,historical_exact
results,Texas,texas,Texas,historical_exact
results,Washington St,washington st,Washington St,global_alias
results,FAU,fau,Fla Atlantic,global_alias
results,Mississippi St,mississippi st,Mississippi St,global_alias
results,Nebraska,nebraska,Nebraska,historical_exact
results,Utah State,utah state,Utah St,global_alias
results,Michigan St,michigan st,Michigan St,global_alias
results,Northwestern,northwestern,Northwestern,historical_exact
results,TCU,tcu,TCU,historical_exact
results,Texas A&M,texas a and m,Texas A&M,historical_exact
results,Boise St,boise st,Boise St,global_alias
results,Colorado,colorado,Colorado,historical_exact
results,Colorado St,colorado st,Colorado St,historical_exact
results,Drake,drake,Drake,historical_exact
results,Nevada,nevada,Nevada,historical_exact
results,Virginia,virginia,Virginia,historical_exact
results,Duquesne,duquesne,Duquesne,historical_exact
results,NC State,nc state,NC State,historical_exact
results,New Mexico,new mexico,New Mexico,historical_exact
results,Oregon,oregon,Oregon,historical_exact
results,Grand Canyon,grand canyon,Grd Canyon,global_alias
results,James Madison,james madison,James Madison,historical_exact
results,McNeese,mcneese,McNeese,cleaned
results,UAB,uab,UAB,historical_exact
results,Charleston,charleston,Charleston,historical_exact
results,Samford,samford,Samford,historical_exact
results,Vermont,vermont,Vermont,historical_exact
results,Yale,yale,Yale,historical_exact
results,Akron,akron,Akron,historical_exact
results,Colgate,colgate,Colgate,historical_exact
results,Morehead St,morehead st,Morehead St,historical_exact
results,Oakland,oakland,Oakland,historical_exact
results,Long Beach St,long beach st,Long Beach St,historical_exact
results,S Dakota St,s dakota st,S Dakota St,historical_exact
results,Saint Peter's,st peter s,St Peters,global_alias
results,Western KY,western ky,Western KY,cleaned
results,Grambling,grambling,Grambling,cleaned
results,Howard,howard,Howard,historical_exact
results,Longwood,longwood,Longwood,historical_exact
results,Montana St,montana st,Montana St,global_alias
results,Stetson,stetson,Stetson,historical_exact
results,Wagner,wagner,Wagner,historical_exact
kenpom,Connecticut,connecticut,Connecticut,historical_exact
kenpom,Houston,houston,Houston,historical_exact
kenpom,Purdue,purdue,Purdue,historical_exact
kenpom,Auburn,auburn,Auburn,historical_exact
kenpom,Tennessee,tennessee,Tennessee,historical_exact
kenpom,Arizona,arizona,Arizona,historical_exact
kenpom,Duke,duke,Duke,historical_exact
kenpom,Iowa St.,iowa st,Iowa St,global_alias
kenpom,North Carolina,north carolina,N Carolina,global_alias
kenpom,Illinois,illinois,Illinois,historical_exact
kenpom,Creighton,creighton,Creighton,historical_exact
kenpom,Gonzaga,gonzaga,Gonzaga,historical_exact
kenpom,Marquette,marquette,Marquette,historical_exact
kenpom,Alabama,alabama,Alabama,historical_exact
kenpom,Baylor,baylor,Baylor,historical_exact
kenpom,Michigan St.,michigan st,Michigan St,global_alias
kenpom,Wisconsin,wisconsin,Wisconsin,historical_exact
kenpom,BYU,byu,BYU,historical_exact
kenpom,Clemson,clemson,Clemson,historical_exact
kenpom,Saint Mary's,st mary s,St Marys,global_alias
kenpom,St. John's,st john s,St Johns,global_alias
kenpom,San Diego St.,san diego st,San Diego St,global_alias
kenpom,Kentucky,kentucky,Kentucky,historical_exact
kenpom,Colorado,colorado,Colorado,historical_exact
kenpom,Texas,texas,Texas,historical_exact
kenpom,Florida,florida,Florida,historical_exact
kenpom,Kansas,kansas,Kansas,historical_exact
kenpom,Wake Forest,wake forest,Wake Forest,cleaned
kenpom,New Mexico,new mexico,New Mexico,historical_exact
kenpom,Nebraska,nebraska,Nebraska,historical_exact
kenpom,Texas Tech,texas tech,Texas Tech,historical_exact
kenpom,Dayton,dayton,Dayton,historical_exact
kenpom,Pittsburgh,pittsburgh,Pittsburgh,historical_exact
kenpom,Mississippi St.,mississippi st,Mississippi St,global_alias
kenpom,Texas A&M,texas a and m,Texas A&M,historical_exact
kenpom,Colorado St.,colorado st,Colorado St,historical_exact
kenpom,Villanova,villanova,Villanova,historical_exact
kenpom,Indiana St.,indiana st,Indiana St,historical_exact
kenpom,Cincinnati,cincinnati,Cincinnati,historical_exact
kenpom,Nevada,nevada,Nevada,historical_exact
kenpom,nan,nan,nan,cleaned
kenpom,Team,team,Team,cleaned
kenpom,Northwestern,northwestern,Northwestern,historical_exact
kenpom,Washington St.,washington st,Washington St,global_alias
kenpom,TCU,tcu,TCU,historical_exact
kenpom,Boise St.,boise st,Boise St,global_alias
kenpom,N.C. State,n c state,NC State,global_alias
kenpom,Oklahoma,oklahoma,Oklahoma,historical_exact
kenpom,Florida Atlantic,florida atlantic,Fla Atlantic,global_alias
kenpom,Utah,utah,Utah,historical_exact
kenpom,Ohio St.,ohio st,Ohio St,historical_exact
kenpom,Seton Hall,seton hall,Seton Hall,historical_exact
kenpom,Utah St.,utah st,Utah St,global_alias
kenpom,Grand Canyon,grand canyon,Grd Canyon,global_alias
kenpom,Drake,drake,Drake,historical_exact
kenpom,South Carolina,south carolina,S Carolina,global_alias
kenpom,Oregon,oregon,Oregon,historical_exact
kenpom,Xavier,xavier,Xavier,historical_exact
kenpom,Iowa,iowa,Iowa,historical_exact
kenpom,Virginia Tech,virginia tech,Virginia Tech,historical_exact
kenpom,Providence,providence,Providence,historical_exact
kenpom,Washington,washington,Washington,historical_exact
kenpom,Butler,butler,Butler,historical_exact
kenpom,Maryland,maryland,Maryland,historical_exact
kenpom,James Madison,james madison,James Madison,historical_exact
kenpom,Bradley,bradley,Bradley,historical_exact
kenpom,San Francisco,san francisco,San Francisco,historical_exact
kenpom,UCF,ucf,UCF,cleaned
kenpom,McNeese St.,mcneese st,McNeese,global_alias
kenpom,Virginia,virginia,Virginia,historical_exact
kenpom,Princeton,princeton,Princeton,historical_exact
kenpom,Kansas St.,kansas st,Kansas St.,cleaned
kenpom,Boston College,boston college,Boston College,cleaned
kenpom,SMU,smu,SMU,historical_exact
kenpom,UNLV,unlv,UNLV,historical_exact
kenpom,North Texas,north texas,North Texas,historical_exact
kenpom,VCU,vcu,VCU,historical_exact
kenpom,Memphis,memphis,Memphis,historical_exact
kenpom,Penn St.,penn st,Penn St.,cleaned
kenpom,Minnesota,minnesota,Minnesota,historical_exact
kenpom,Florida St.,florida st,Florida St,historical_exact
kenpom,Syracuse,syracuse,Syracuse,historical_exact
kenpom,Samford,samford,Samford,historical_exact
kenpom,UC Irvine,uc irvine,UC Irvine,historical_exact
kenpom,Appalachian St.,appalachian st,Appalachian St.,cleaned
kenpom,Georgia,georgia,Georgia,historical_exact
kenpom,USC,usc,USC,historical_exact
kenpom,Mississippi,mississippi,Mississippi,cleaned
kenpom,South Florida,south florida,South Florida,historical_exact
kenpom,Duquesne,duquesne,Duquesne,historical_exact
kenpom,Richmond,richmond,Richmond,historical_exact
kenpom,Yale,yale,Yale,historical_exact
kenpom,Indiana,indiana,Indiana,historical_exact
kenpom,Massachusetts,massachusetts,Massachusetts,historical_exact
kenpom,Loyola Chicago,loyola chicago,Loyola Chicago,historical_exact
kenpom,Louisiana Tech,louisiana tech,Louisiana Tech,cleaned
kenpom,LSU,lsu,LSU,historical_exact
kenpom,Miami FL,miami fl,Miami FL,historical_exact
