year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2026,Arizona,2026Arizona,1,,,,,,,,,37.66,127.7,90.0,69.8,0.023,86.1,0.205,0.36,0.7340000000000001,0.268,0.381,0.755,10.9,16.0,68.8,0.314,0.372,0.245,0.619,12.0,19.7,73.1
2026,Duke,2026Duke,1,,,,,,,,,38.9,128.0,89.1,65.3,0.049,82.3,0.331,0.351,0.7240000000000001,0.444,0.365,0.779,10.5,15.7,63.1,0.304,0.457,0.221,0.635,12.2,18.1,68.7
2026,Florida,2026Florida,1,,,,,,,,,33.79,125.5,91.7,70.5,-0.036,86.8,0.255,0.308,0.71,0.371,0.432,0.775,11.9,17.8,72.0,0.324,0.337,0.225,0.568,11.2,19.8,74.1
2026,Michigan,2026Michigan,1,,,,,,,,,37.59,126.6,89.0,70.9,0.045,86.8,0.313,0.36,0.747,0.418,0.345,0.7509999999999999,12.0,15.6,69.2,0.302,0.418,0.249,0.655,11.1,19.5,73.4
2026,Connecticut,2026Connecticut,2,,,,,,,,,27.87,122.0,94.1,64.4,0.055,77.5,0.322,0.352,0.716,0.4029999999999999,0.337,0.741,11.1,18.0,65.1,0.303,0.362,0.259,0.6629999999999999,12.1,17.2,68.3
2026,Houston,2026Houston,2,,,,,,,,,33.43,124.9,91.4,63.3,-0.006,77.1,0.342,0.349,0.772,0.408,0.344,0.722,8.5,18.0,62.9,0.321,0.409,0.278,0.6559999999999999,13.7,15.8,67.2
2026,Iowa St,2026Iowa St,2,,,,,,,,,32.42,123.8,91.4,66.5,-0.012,81.8,0.331,0.387,0.672,0.3879999999999999,0.33,0.737,10.3,16.0,65.1,0.321,0.428,0.263,0.67,15.3,16.8,69.7
2026,Purdue,2026Purdue,2,,,,,,,,,31.2,131.6,100.4,64.4,-0.006,81.7,0.341,0.379,0.743,0.409,0.35,0.752,8.9,14.7,70.1,0.342,0.45,0.248,0.65,10.2,16.9,66.7
2026,Gonzaga,2026Gonzaga,3,,,,,,,,,28.1,122.0,93.9,68.6,0.072,85.1,0.235,0.34,0.6990000000000001,0.31,0.342,0.763,9.7,16.8,66.0,0.308,0.437,0.237,0.6579999999999999,14.5,17.4,72.2
2026,Illinois,2026Illinois,3,,,,,,,,,32.1,131.2,99.1,65.5,-0.05,84.4,0.3879999999999999,0.347,0.789,0.507,0.384,0.741,8.9,13.4,69.8,0.314,0.422,0.259,0.616,7.8,18.7,68.5
2026,Michigan St,2026Michigan St,3,,,,,,,,,28.31,123.0,94.7,66.0,0.005,78.9,0.291,0.359,0.763,0.364,0.371,0.797,11.5,16.3,68.4,0.3289999999999999,0.46,0.203,0.629,9.9,18.7,68.8
2026,Virginia,2026Virginia,3,,,,,,,,,26.71,122.5,95.8,65.7,0.056,80.6,0.376,0.359,0.726,0.465,0.37,0.733,10.8,17.6,68.4,0.309,0.375,0.267,0.63,10.6,17.6,69.6
