year,round_index,round_name,team_left,team_right,left_seed,right_seed,seed_diff,seed_abs_diff,left_score,right_score,margin,left_win,AdjEM_left,AdjEM_right,AdjEM_diff,AdjO_left,AdjO_right,AdjO_diff,AdjD_left,AdjD_right,AdjD_diff,AdjT_left,AdjT_right,AdjT_diff,Luck_left,Luck_right,Luck_diff,Seas_PPG_left,Seas_PPG_right,Seas_PPG_diff,Seas_Succ_3PT_left,Seas_Succ_3PT_right,Seas_Succ_3PT_diff,Seas_3PT_Per_left,Seas_3PT_Per_right,Seas_3PT_Per_diff,Seas_FT_Succ_left,Seas_FT_Succ_right,Seas_FT_Succ_diff,Seas_3PT_Rate_left,Seas_3PT_Rate_right,Seas_3PT_Rate_diff,Seas_Off_Rebound_Per_left,Seas_Off_Rebound_Per_right,Seas_Off_Rebound_Per_diff,Seas_Def_Rebound_Per_left,Seas_Def_Rebound_Per_right,Seas_Def_Rebound_Per_diff,Seas_Turnovers_left,Seas_Turnovers_right,Seas_Turnovers_diff,Seas_Fouls_left,Seas_Fouls_right,Seas_Fouls_diff,Seas_Opp_PPG_left,Seas_Opp_PPG_right,Seas_Opp_PPG_diff,Seas_Opp_3PT_Succ_left,Seas_Opp_3PT_Succ_right,Seas_Opp_3PT_Succ_diff,Seas_Opp_3PT_Rate_left,Seas_Opp_3PT_Rate_right,Seas_Opp_3PT_Rate_diff,Seas_Opp_Off_Rebound_left,Seas_Opp_Off_Rebound_right,Seas_Opp_Off_Rebound_diff,Seas_Opp_Def_Rebound_left,Seas_Opp_Def_Rebound_right,Seas_Opp_Def_Rebound_diff,Seas_Opp_Turnover_left,Seas_Opp_Turnover_right,Seas_Opp_Turnover_diff,Seas_Opp_Fouls_left,Seas_Opp_Fouls_right,Seas_Opp_Fouls_diff,Seas_Poss_left,Seas_Poss_right,Seas_Poss_diff
2011,1,round_of_64,Akron,Notre Dame,15,2,13,13,56,69,-13,0,4.09,23.25,-19.16,103.7,120.9,-17.200000000000003,99.6,97.7,1.8999999999999915,65.9,63.1,2.8000000000000043,0.043,0.074,-0.031,70.0,76.0,-6.0,0.338,0.319,0.019000000000000017,0.361,0.392,-0.031000000000000028,0.708,0.725,-0.017000000000000015,0.382,0.384,-0.0020000000000000018,0.263,0.32,-0.056999999999999995,0.685,0.733,-0.04799999999999993,11.9,10.3,1.5999999999999996,19.2,15.0,4.199999999999999,66.3,65.6,0.7000000000000028,0.318,0.35,-0.03199999999999997,0.304,0.33,-0.026000000000000023,0.315,0.267,0.04799999999999999,0.737,0.68,0.05699999999999994,13.7,10.3,3.3999999999999986,18.2,20.5,-2.3000000000000007,69.4,66.8,2.6000000000000085
2011,1,round_of_64,Arizona,Memphis,5,12,-7,7,77,75,2,1,19.65,6.98,12.669999999999998,117.4,104.5,12.900000000000006,97.8,97.6,0.20000000000000284,65.3,67.6,-2.299999999999997,0.064,0.117,-0.053000000000000005,76.5,72.0,4.5,0.311,0.25,0.061,0.399,0.327,0.07200000000000001,0.747,0.679,0.06799999999999995,0.368,0.325,0.04299999999999998,0.319,0.332,-0.013000000000000012,0.733,0.671,0.061999999999999944,12.8,15.1,-2.299999999999999,18.6,20.2,-1.5999999999999979,67.5,68.1,-0.5999999999999943,0.288,0.332,-0.04400000000000004,0.285,0.311,-0.026000000000000023,0.267,0.329,-0.062,0.681,0.668,0.013000000000000012,12.6,14.7,-2.0999999999999996,19.9,19.1,0.7999999999999972,69.4,71.6,-2.1999999999999886
2011,1,round_of_64,BYU,Wofford,3,14,-11,11,74,66,8,1,23.22,8.17,15.049999999999999,117.5,112.3,5.200000000000003,94.3,104.2,-9.900000000000006,70.2,63.2,7.0,0.055,-0.024,0.079,81.3,73.8,7.5,0.302,0.238,0.064,0.361,0.407,-0.045999999999999985,0.756,0.691,0.06500000000000006,0.371,0.264,0.10699999999999998,0.3,0.329,-0.029000000000000026,0.734,0.681,0.052999999999999936,10.9,11.7,-0.7999999999999989,17.6,19.2,-1.5999999999999979,67.8,67.8,0.0,0.339,0.351,-0.011999999999999955,0.301,0.3,0.0010000000000000009,0.266,0.319,-0.05299999999999999,0.7,0.671,0.028999999999999915,14.6,13.2,1.4000000000000004,19.7,19.8,-0.10000000000000142,73.3,67.1,6.200000000000003
2011,1,round_of_64,Belmont,Wisconsin,13,4,9,9,58,72,-14,0,18.48,25.84,-7.359999999999999,112.6,122.3,-9.700000000000003,94.1,96.5,-2.4000000000000057,68.4,56.9,11.500000000000007,-0.006,-0.003,-0.003,80.4,68.2,12.200000000000003,0.352,0.355,-0.0030000000000000027,0.381,0.371,0.010000000000000009,0.736,0.824,-0.08799999999999997,0.422,0.405,0.01699999999999996,0.368,0.335,0.032999999999999974,0.692,0.748,-0.05600000000000005,13.7,7.2,6.499999999999999,20.8,15.1,5.700000000000001,61.9,58.3,3.6000000000000014,0.328,0.375,-0.046999999999999986,0.303,0.287,0.016000000000000014,0.308,0.252,0.055999999999999994,0.632,0.665,-0.03300000000000003,19.0,9.7,9.3,20.6,16.4,4.200000000000003,71.3,58.5,12.799999999999997
2011,1,round_of_64,Boston University,Kansas,16,1,15,15,53,72,-19,0,-0.5,28.38,-28.88,103.4,118.9,-15.5,103.9,90.6,13.300000000000011,62.6,68.4,-5.800000000000004,0.045,0.06,-0.015,65.2,82.4,-17.200000000000003,0.346,0.265,0.08099999999999996,0.355,0.387,-0.03200000000000003,0.731,0.681,0.04999999999999993,0.398,0.326,0.07200000000000001,0.322,0.362,-0.03999999999999998,0.689,0.743,-0.05400000000000005,11.7,13.3,-1.6000000000000014,18.2,17.9,0.3000000000000007,63.2,65.2,-2.0,0.321,0.294,0.027000000000000024,0.376,0.336,0.03999999999999998,0.311,0.257,0.05399999999999999,0.678,0.638,0.040000000000000036,11.0,13.9,-2.9000000000000004,18.5,19.8,-1.3000000000000007,65.1,71.4,-6.300000000000011
2011,1,round_of_64,Bucknell,Connecticut,14,3,11,11,52,81,-29,0,6.57,23.93,-17.36,105.8,115.8,-10.0,99.2,91.9,7.299999999999997,64.5,64.5,0.0,0.068,0.048,0.020000000000000004,70.8,73.4,-2.6000000000000085,0.292,0.238,0.05399999999999999,0.402,0.332,0.07,0.786,0.755,0.031000000000000028,0.313,0.293,0.020000000000000018,0.241,0.38,-0.139,0.739,0.678,0.06099999999999994,11.3,11.5,-0.1999999999999993,18.2,15.9,2.299999999999999,63.4,66.4,-3.000000000000007,0.315,0.335,-0.020000000000000018,0.366,0.311,0.05499999999999999,0.261,0.322,-0.061,0.759,0.62,0.139,11.8,12.0,-0.1999999999999993,17.6,18.8,-1.1999999999999993,67.9,69.1,-1.1999999999999886
2011,1,round_of_64,Butler,Old Dominion,8,9,-1,1,60,58,2,1,16.46,14.66,1.8000000000000007,112.3,110.0,2.299999999999997,95.9,95.4,0.5,63.5,60.4,3.1000000000000014,0.033,0.059,-0.025999999999999995,72.5,65.8,6.700000000000003,0.308,0.222,0.086,0.362,0.329,0.032999999999999974,0.728,0.664,0.06399999999999995,0.369,0.275,0.09399999999999997,0.311,0.448,-0.137,0.748,0.747,0.0010000000000000009,11.1,12.3,-1.200000000000001,19.1,14.7,4.400000000000002,65.0,58.3,6.700000000000003,0.327,0.37,-0.04299999999999998,0.361,0.374,-0.013000000000000012,0.252,0.253,-0.0010000000000000009,0.689,0.552,0.1369999999999999,12.5,11.0,1.5,19.6,18.1,1.5,67.4,62.0,5.400000000000006
2011,1,round_of_64,Cincinnati,Missouri,6,11,-5,5,78,63,15,1,19.41,15.54,3.870000000000001,111.1,113.4,-2.3000000000000114,91.7,97.8,-6.099999999999994,62.6,70.7,-8.100000000000001,0.04,-0.013,0.053,69.0,80.8,-11.799999999999997,0.279,0.263,0.016000000000000014,0.339,0.364,-0.024999999999999967,0.666,0.736,-0.06999999999999995,0.342,0.311,0.031000000000000028,0.372,0.309,0.063,0.713,0.654,0.05899999999999994,11.4,12.5,-1.0999999999999996,17.2,20.6,-3.400000000000002,59.2,71.8,-12.599999999999994,0.322,0.343,-0.02100000000000002,0.294,0.295,-0.0010000000000000009,0.287,0.346,-0.059,0.628,0.691,-0.06299999999999994,14.1,18.0,-3.9000000000000004,18.1,19.3,-1.1999999999999993,65.3,74.9,-9.600000000000009
2011,1,round_of_64,Clemson,West Virginia,12,5,7,7,76,84,-8,0,18.16,20.11,-1.9499999999999993,109.6,114.9,-5.300000000000011,91.5,94.8,-3.299999999999997,63.9,62.5,1.3999999999999986,-0.087,-0.018,-0.06899999999999999,68.3,69.5,-1.2000000000000028,0.286,0.27,0.01599999999999996,0.349,0.335,0.013999999999999957,0.693,0.706,-0.013000000000000012,0.347,0.337,0.009999999999999953,0.331,0.387,-0.055999999999999994,0.713,0.67,0.04299999999999993,13.0,12.0,1.0,18.4,17.7,0.6999999999999993,60.9,64.1,-3.1999999999999957,0.322,0.291,0.031000000000000028,0.322,0.322,0.0,0.287,0.33,-0.04300000000000004,0.669,0.613,0.05600000000000005,15.1,11.8,3.299999999999999,19.1,21.0,-1.8999999999999986,67.3,65.8,1.5
2011,1,round_of_64,Connecticut,Bucknell,3,14,-11,11,81,52,29,1,23.93,6.57,17.36,115.8,105.8,10.0,91.9,99.2,-7.299999999999997,64.5,64.5,0.0,0.048,0.068,-0.020000000000000004,73.4,70.8,2.6000000000000085,0.238,0.292,-0.05399999999999999,0.332,0.402,-0.07,0.755,0.786,-0.031000000000000028,0.293,0.313,-0.020000000000000018,0.38,0.241,0.139,0.678,0.739,-0.06099999999999994,11.5,11.3,0.1999999999999993,15.9,18.2,-2.299999999999999,66.4,63.4,3.000000000000007,0.335,0.315,0.020000000000000018,0.311,0.366,-0.05499999999999999,0.322,0.261,0.061,0.62,0.759,-0.139,12.0,11.8,0.1999999999999993,18.8,17.6,1.1999999999999993,69.1,67.9,1.1999999999999886
