source,raw_team,normalized_team,canonical_team,match_method,year
games,Ohio State,ohio state,Ohio St,global_alias,2011
games,UTSA,utsa,Texas San Antonio,global_alias,2011
games,George Mason,george mason,George Mason,season_exact,2011
games,Villanova,villanova,Villanova,season_exact,2011
games,West Virginia,west virginia,West Virginia,season_exact,2011
games,Clemson,clemson,Clemson,season_exact,2011
games,Kentucky,kentucky,Kentucky,season_exact,2011
games,Princeton,princeton,Princeton,season_exact,2011
games,Xavier,xavier,Xavier,season_exact,2011
games,Marquette,marquette,Marquette,season_exact,2011
games,Syracuse,syracuse,Syracuse,season_exact,2011
games,Indiana St,indiana st,Indiana St,season_exact,2011
games,Washington,washington,Washington,season_exact,2011
games,Georgia,georgia,Georgia,season_exact,2011
games,North Carolina,north carolina,North Carolina,global_alias,2011
games,Long Island,long island,Long Island Brooklyn,global_alias,2011
games,Kansas,kansas,Kansas,season_exact,2011
games,VCU,vcu,VCU,season_exact,2011
games,Richmond,richmond,Richmond,season_exact,2011
games,Florida St,florida st,Florida St,season_exact,2011
games,Illinois,illinois,Illinois,season_exact,2011
games,Morehead St,morehead st,Morehead St,season_exact,2011
games,Purdue,purdue,Purdue,season_exact,2011
games,Notre Dame,notre dame,Notre Dame,season_exact,2011
games,Boston U,boston u,Boston University,global_alias,2011
games,UNLV,unlv,UNLV,season_exact,2011
games,Vanderbilt,vanderbilt,Vanderbilt,season_exact,2011
games,Louisville,louisville,Louisville,season_exact,2011
games,Georgetown,georgetown,Georgetown,season_exact,2011
games,Saint Peter's,st peters,St Peters,global_alias,2011
games,Texas A&M,texas a and m,Texas A&M,season_exact,2011
games,Akron,akron,Akron,season_exact,2011
games,UConn,uconn,Connecticut,global_alias,2011
games,Butler,butler,Butler,season_exact,2011
games,Duke,duke,Duke,season_exact,2011
games,Hampton,hampton,Hampton,season_exact,2011
games,Michigan,michigan,Michigan,season_exact,2011
games,Tennessee,tennessee,Tennessee,season_exact,2011
games,Arizona,arizona,Arizona,season_exact,2011
games,Memphis,memphis,Memphis,season_exact,2011
games,Texas,texas,Texas,season_exact,2011
games,Oakland,oakland,Oakland,season_exact,2011
games,Cincinnati,cincinnati,Cincinnati,season_exact,2011
games,Missouri,missouri,Missouri,season_exact,2011
games,Bucknell,bucknell,Bucknell,season_exact,2011
games,Temple,temple,Temple,season_exact,2011
games,Penn State,penn state,Penn St,global_alias,2011
games,San Diego St,san diego st,San Diego St,global_alias,2011
games,N Colorado,n colorado,Northern Colorado,global_alias,2011
games,Florida,florida,Florida,season_exact,2011
games,Wisconsin,wisconsin,Wisconsin,season_exact,2011
games,BYU,byu,BYU,season_exact,2011
games,Pitt,pitt,Pittsburgh,global_alias,2011
games,Kansas St,kansas st,Kansas St,season_exact,2011
games,Gonzaga,gonzaga,Gonzaga,season_exact,2011
games,UCLA,ucla,UCLA,season_exact,2011
games,UNC Asheville,unc asheville,UNC Asheville,season_exact,2011
games,Old Dominion,old dominion,Old Dominion,season_exact,2011
games,Utah State,utah state,Utah St,global_alias,2011
games,Belmont,belmont,Belmont,season_exact,2011
games,St John's,st john s,St Johns,global_alias,2011
games,Wofford,wofford,Wofford,season_exact,2011
games,Michigan St,michigan st,Michigan St,global_alias,2011
games,Santa Barbara,santa barbara,Santa Barbara,global_alias,2011
games,CONN,conn,Connecticut,global_alias,2011
games,BUT,but,BUT,season_cleaned,2011
games,Kentucky,kentucky,Kentucky,season_exact,2012
games,Western KY,western ky,Western Kentucky,season_fuzzy,2012
games,Iowa State,iowa state,Iowa St,global_alias,2012
games,UConn,uconn,Connecticut,global_alias,2012
games,Wichita St,wichita st,Wichita St,season_exact,2012
games,VCU,vcu,VCU,season_exact,2012
games,Indiana,indiana,Indiana,season_exact,2012
games,New Mexico St,new mexico st,New Mexico St,season_exact,2012
games,UNLV,unlv,UNLV,season_exact,2012
games,Colorado,colorado,Colorado,season_exact,2012
games,Baylor,baylor,Baylor,season_exact,2012
games,S Dakota St,south dakota st,South Dakota St,global_alias,2012
games,Notre Dame,notre dame,Notre Dame,season_exact,2012
games,Xavier,xavier,Xavier,season_exact,2012
games,Duke,duke,Duke,season_exact,2012
games,Lehigh,lehigh,Lehigh,season_exact,2012
games,Syracuse,syracuse,Syracuse,season_exact,2012
games,Ohio State,ohio state,Ohio St,global_alias,2012
games,Wisconsin,wisconsin,Wisconsin,season_exact,2012
games,Cincinnati,cincinnati,Cincinnati,season_exact,2012
games,Kansas St,kansas st,Kansas St,season_exact,2012
games,Vanderbilt,vanderbilt,Vanderbilt,season_exact,2012
games,Florida St,florida st,Florida St,season_exact,2012
games,Gonzaga,gonzaga,Gonzaga,season_exact,2012
games,UNC Asheville,unc asheville,UNC Asheville,season_exact,2012
games,Southern Miss,southern miss,Southern Mississippi,global_alias,2012
games,Harvard,harvard,Harvard,season_exact,2012
games,Montana,montana,Montana,season_exact,2012
games,Texas,texas,Texas,season_exact,2012
games,St Bonaventure,st bonaventure,St Bonaventure,season_exact,2012
games,West Virginia,west virginia,West Virginia,season_exact,2012
games,Loyola MD,loyola md,Loyola Maryland,global_alias,2012
games,Louisville,louisville,Louisville,season_exact,2012
games,Kansas,kansas,Kansas,season_exact,2012
games,Michigan St,michigan st,Michigan St,global_alias,2012
games,Long Island,long island,Long Island Brooklyn,global_alias,2012
games,Memphis,memphis,Memphis,season_exact,2012
games,Saint Louis,st louis,St Louis,season_exact,2012
games,New Mexico,new mexico,New Mexico,season_exact,2012
games,Long Beach St,long beach st,Long Beach St,season_exact,2012
games,Davidson,davidson,Davidson,season_exact,2012
games,Murray St,murray st,Murray St,season_exact,2012
games,Colorado St,colorado st,Colorado St,season_exact,2012
games,Marquette,marquette,Marquette,season_exact,2012
games,BYU,byu,BYU,season_exact,2012
games,Florida,florida,Florida,season_exact,2012
games,Virginia,virginia,Virginia,season_exact,2012
games,Missouri,missouri,Missouri,season_exact,2012
games,Norfolk St,norfolk st,Norfolk St,season_exact,2012
games,North Carolina,north carolina,North Carolina,global_alias,2012
