round_source,round_key,rank,team,seed,picked_pct
RD64,round_of_64,1,Duke,1,0.9845
RD64,round_of_64,2,Florida,1,0.9704999999999999
RD64,round_of_64,3,Connecticut,2,0.9688
RD64,round_of_64,4,Arizona,1,0.9665
RD64,round_of_64,5,Michigan,1,0.9655
RD64,round_of_64,6,Purdue,2,0.9570000000000001
RD64,round_of_64,7,Michigan St.,3,0.9568000000000001
RD64,round_of_64,8,Houston,2,0.9527
RD64,round_of_64,9,Kansas,4,0.9499
RD64,round_of_64,10,Iowa St.,2,0.9396
RD64,round_of_64,11,Gonzaga,3,0.9395
RD64,round_of_64,12,Virginia,3,0.9322
RD64,round_of_64,13,Illinois,3,0.9259000000000001
RD64,round_of_64,14,Arkansas,4,0.9095
RD64,round_of_64,15,St. John's,5,0.883
RD64,round_of_64,16,Alabama,4,0.8784000000000001
RD64,round_of_64,17,Nebraska,4,0.8656999999999999
RD64,round_of_64,18,Tennessee,6,0.8565
RD64,round_of_64,19,Vanderbilt,5,0.8320000000000001
RD64,round_of_64,20,Wisconsin,5,0.8284999999999999
RD64,round_of_64,21,BYU,6,0.7990999999999999
RD64,round_of_64,22,Texas Tech,5,0.7486
RD64,round_of_64,23,UCLA,7,0.6829999999999999
RD64,round_of_64,24,N. Carolina,6,0.6768000000000001
RD64,round_of_64,25,Kentucky,7,0.6678000000000001
RD64,round_of_64,26,Louisville,6,0.6204
RD64,round_of_64,27,Miami (FL),7,0.6175
RD64,round_of_64,28,Ohio St.,8,0.6007
RD64,round_of_64,29,Iowa,9,0.5585
RD64,round_of_64,30,Georgia,8,0.5508
RD64,round_of_64,31,Villanova,8,0.5379
RD64,round_of_64,32,St. Mary's,7,0.5347999999999999
RD64,round_of_64,33,Texas A&M,10,0.4435
RD64,round_of_64,34,Utah St.,9,0.43920000000000003
RD64,round_of_64,35,Saint Louis,9,0.4243
RD64,round_of_64,36,Clemson,8,0.4202
RD64,round_of_64,37,TCU,9,0.3912
RD64,round_of_64,38,South Florida,11,0.36950000000000005
RD64,round_of_64,39,Missouri,10,0.359
RD64,round_of_64,40,UCF,10,0.3081
RD64,round_of_64,41,Santa Clara,10,0.3078
RD64,round_of_64,42,VCU,11,0.3023
RD64,round_of_64,43,Akron,12,0.2275
RD64,round_of_64,44,Texas,11,0.17489999999999997
RD64,round_of_64,45,High Point,12,0.15
RD64,round_of_64,46,McNeese,12,0.1478
RD64,round_of_64,47,MOH/SMU,11,0.11810000000000001
RD64,round_of_64,48,Troy,13,0.114
RD64,round_of_64,49,Northern Iowa,12,0.1105
RD64,round_of_64,50,Hofstra,13,0.0986
RD64,round_of_64,51,TX/NCST,11,0.0973
RD64,round_of_64,52,Hawaii,13,0.0695
RD64,round_of_64,53,Pennsylvania,14,0.054900000000000004
RD64,round_of_64,54,Wright St.,14,0.0449
RD64,round_of_64,55,California Baptist,13,0.044000000000000004
RD64,round_of_64,56,Kennesaw St.,14,0.039900000000000005
RD64,round_of_64,57,Tennessee St.,15,0.0391
RD64,round_of_64,58,N. Dak. St.,14,0.037000000000000005
RD64,round_of_64,59,Idaho,15,0.029500000000000002
RD64,round_of_64,60,Furman,15,0.0259
RD64,round_of_64,61,Queens University,15,0.023399999999999997
RD64,round_of_64,62,LIU Brooklyn,16,0.015600000000000001
RD64,round_of_64,63,Howard,16,0.0148
RD64,round_of_64,64,Siena,16,0.0132
RD64,round_of_64,65,PV/LEH,16,0.013000000000000001
RD64,round_of_64,66,UMBC/HOW,16,0.0084
RD32,round_of_32,1,Duke,1,0.9403
RD32,round_of_32,2,Michigan,1,0.9195
RD32,round_of_32,3,Arizona,1,0.9138
RD32,round_of_32,4,Florida,1,0.8998999999999999
RD32,round_of_32,5,Houston,2,0.8573000000000001
RD32,round_of_32,6,Purdue,2,0.8116
RD32,round_of_32,7,Connecticut,2,0.804
RD32,round_of_32,8,Michigan St.,3,0.7744
RD32,round_of_32,9,Iowa St.,2,0.7593000000000001
RD32,round_of_32,10,Gonzaga,3,0.6816
RD32,round_of_32,11,Illinois,3,0.6744
RD32,round_of_32,12,Virginia,3,0.6382
RD32,round_of_32,13,Arkansas,4,0.5828
RD32,round_of_32,14,Vanderbilt,5,0.5595
RD32,round_of_32,15,Alabama,4,0.5421
RD32,round_of_32,16,St. John's,5,0.5396
RD32,round_of_32,17,Kansas,4,0.4215
RD32,round_of_32,18,Nebraska,4,0.35700000000000004
RD32,round_of_32,19,Wisconsin,5,0.3494
RD32,round_of_32,20,Texas Tech,5,0.3488
RD32,round_of_32,21,Tennessee,6,0.3019
RD32,round_of_32,22,BYU,6,0.2481
RD32,round_of_32,23,N. Carolina,6,0.23989999999999997
RD32,round_of_32,24,Kentucky,7,0.16870000000000002
RD32,round_of_32,25,UCLA,7,0.1532
RD32,round_of_32,26,Louisville,6,0.1457
RD32,round_of_32,27,Miami (FL),7,0.1195
RD32,round_of_32,28,Akron,12,0.0652
RD32,round_of_32,29,South Florida,11,0.0613
RD32,round_of_32,30,St. Mary's,7,0.0596
RD32,round_of_32,31,Texas A&M,10,0.056799999999999996
RD32,round_of_32,32,VCU,11,0.050499999999999996
RD32,round_of_32,33,Iowa,9,0.0467
RD32,round_of_32,34,McNeese,12,0.045899999999999996
RD32,round_of_32,35,Villanova,8,0.045
RD32,round_of_32,36,Missouri,10,0.0412
RD32,round_of_32,37,Santa Clara,10,0.0373
RD32,round_of_32,38,Texas,11,0.0354
RD32,round_of_32,39,Georgia,8,0.034300000000000004
RD32,round_of_32,40,Ohio St.,8,0.032799999999999996
RD32,round_of_32,41,Clemson,8,0.031200000000000002
RD32,round_of_32,42,High Point,12,0.0281
RD32,round_of_32,43,UCF,10,0.0277
RD32,round_of_32,44,MOH/SMU,11,0.0268
RD32,round_of_32,45,Hofstra,13,0.023700000000000002
RD32,round_of_32,46,Northern Iowa,12,0.0217
RD32,round_of_32,47,Hawaii,13,0.0209
RD32,round_of_32,48,Saint Louis,9,0.0209
RD32,round_of_32,49,Troy,13,0.0202
RD32,round_of_32,50,TX/NCST,11,0.019
RD32,round_of_32,51,Pennsylvania,14,0.0181
RD32,round_of_32,52,Utah St.,9,0.0167
RD32,round_of_32,53,TCU,9,0.0158
RD32,round_of_32,54,Tennessee St.,15,0.0154
RD32,round_of_32,55,Kennesaw St.,14,0.0148
RD32,round_of_32,56,Wright St.,14,0.0124
RD32,round_of_32,57,N. Dak. St.,14,0.012
RD32,round_of_32,58,California Baptist,13,0.0109
RD32,round_of_32,59,Idaho,15,0.009899999999999999
RD32,round_of_32,60,Queens University,15,0.0092
RD32,round_of_32,61,Furman,15,0.0087
RD32,round_of_32,62,LIU Brooklyn,16,0.0070999999999999995
RD32,round_of_32,63,Howard,16,0.006500000000000001
RD32,round_of_32,64,Siena,16,0.0060999999999999995
RD32,round_of_32,65,PV/LEH,16,0.0058
RD32,round_of_32,66,UMBC/HOW,16,0.0037
RD16,sweet_sixteen,1,Michigan,1,0.8081999999999999
RD16,sweet_sixteen,2,Duke,1,0.7846
RD16,sweet_sixteen,3,Arizona,1,0.7681999999999999
RD16,sweet_sixteen,4,Florida,1,0.763
RD16,sweet_sixteen,5,Houston,2,0.6261
RD16,sweet_sixteen,6,Iowa St.,2,0.5431
RD16,sweet_sixteen,7,Purdue,2,0.5279
RD16,sweet_sixteen,8,Connecticut,2,0.4991
RD16,sweet_sixteen,9,Michigan St.,3,0.3641
RD16,sweet_sixteen,10,Gonzaga,3,0.2988
RD16,sweet_sixteen,11,Virginia,3,0.24600000000000002
RD16,sweet_sixteen,12,Illinois,3,0.21850000000000003
RD16,sweet_sixteen,13,Vanderbilt,5,0.10779999999999999
RD16,sweet_sixteen,14,Arkansas,4,0.1073
RD16,sweet_sixteen,15,St. John's,5,0.0999
RD16,sweet_sixteen,16,Tennessee,6,0.0932
