team,Seas_FT_Succ
Illinois,0.794
E Kentucky,0.78
Quinnipiac,0.774
Mississippi,0.773
Drake,0.769
BYU,0.768
Oregon,0.767
Lafayette,0.7659999999999999
The Citadel,0.7659999999999999
Denver,0.7659999999999999
CS Northridge,0.7659999999999999
Wisconsin,0.7659999999999999
Albany,0.758
Maryland,0.7559999999999999
N Arizona,0.754
NW State,0.752
Bryant,0.75
Michigan,0.7490000000000001
Evansville,0.748
Cornell,0.748
Miami,0.746
Weber St,0.746
Rice,0.745
Iowa,0.7440000000000001
Drexel,0.743
Portland St,0.743
Toledo,0.742
Santa Clara,0.742
Notre Dame,0.742
Pepperdine,0.742
Oklahoma,0.741
UC Davis,0.741
Missouri St,0.74
Sacramento St,0.7390000000000001
Illinois Chicago,0.7390000000000001
South Carolina,0.7390000000000001
High Point,0.738
UAB,0.737
NC Asheville,0.737
Incarnate Word,0.735
Milwaukee,0.735
Ohio,0.735
SF Austin,0.7340000000000001
UCSB,0.7340000000000001
Northwestern,0.733
N Iowa,0.733
Villanova,0.731
Georgia St,0.731
Xavier,0.73
Oklahoma St,0.73
South Dakota,0.73
Hou Christian,0.7290000000000001
William & Mary,0.7290000000000001
Kennesaw St,0.728
Abl Christian,0.728
C Michigan,0.727
Grand Canyon,0.727
N Florida,0.726
Kentucky,0.726
Virginia,0.726
Maine,0.726
Saint Mary's,0.726
Stanford,0.726
Northeastern,0.725
Creighton,0.725
Winthrop,0.725
E Tennessee St,0.725
CS Bakersfield,0.725
Arkansas,0.7240000000000001
Boise St,0.7240000000000001
Kansas,0.7240000000000001
Oral Roberts,0.723
Texas,0.723
Lehigh,0.723
Monmouth,0.722
Fordham,0.721
DePaul,0.721
Harvard,0.721
Morehead St,0.721
Louisiana,0.72
Washington St,0.72
Montana St,0.72
Portland,0.72
Canisius,0.72
Buffalo,0.7190000000000001
Indiana,0.7190000000000001
Arizona,0.7190000000000001
Bowling Green,0.7190000000000001
Alabama,0.718
E Washington,0.7170000000000001
Longwood,0.7170000000000001
Montana,0.7170000000000001
UL Monroe,0.7170000000000001
Fairfield,0.716
E Michigan,0.716
Holy Cross,0.716
S Dakota St,0.716
Vanderbilt,0.713
Colorado,0.713
Illinois St,0.713
Sam Houston,0.7120000000000001
Liberty,0.711
UT Martin,0.711
Bethune,0.71
Jacksonville St,0.71
C Connecticut,0.71
Siena,0.71
Yale,0.7090000000000001
Little Rock,0.7090000000000001
Princeton,0.7090000000000001
W Michigan,0.7090000000000001
Robert Morris,0.7090000000000001
Miami OH,0.7090000000000001
Loyola Mymt,0.708
App State,0.708
Idaho,0.708
Columbia,0.708
Delaware St,0.708
Nevada,0.708
Middle Tenn,0.708
Nebraska,0.7070000000000001
Providence,0.7070000000000001
UConn,0.7070000000000001
New Mexico St,0.7070000000000001
S Alabama,0.7070000000000001
N Colorado,0.706
St Bonaventure,0.706
Boston College,0.705
Coastal Car,0.705
American,0.705
J Madison,0.705
Wichita St,0.705
Utah,0.705
Lipscomb,0.7040000000000001
Charleston So,0.7040000000000001
UMass,0.7040000000000001
Wyoming,0.7040000000000001
Georgetown,0.7040000000000001
Hartford,0.703
Utah Valley,0.703
North Carolina,0.7020000000000001
New Orleans,0.7020000000000001
SMU,0.7020000000000001
Indiana St,0.701
IU Indy,0.701
Iona,0.701
Wagner,0.701
Hofstra,0.7
Bucknell,0.7
Temple,0.6990000000000001
Howard,0.6990000000000001
Marist,0.6990000000000001
Oregon St,0.698
Boston U,0.6970000000000001
Ball St,0.6970000000000001
Brown,0.6970000000000001
Duke,0.696
Omaha,0.696
Iowa St,0.696
Davidson,0.696
Youngstown St,0.696
Vermont,0.696
W Carolina,0.696
Texas St,0.696
Kansas City,0.696
Colgate,0.696
S Illinois,0.696
Arkansas St,0.695
Penn St,0.695
Niagara,0.695
Murray St,0.695
W Illinois,0.695
La Salle,0.6940000000000001
N Dakota St,0.693
Fresno St,0.693
Mississippi St,0.693
Georgia,0.6920000000000001
Detroit Mercy,0.6920000000000001
Coppin St,0.6920000000000001
Belmont,0.6920000000000001
Tennessee,0.691
Manhattan,0.691
VMI,0.69
Richmond,0.69
UTSA,0.69
Loyola Chi,0.69
San Diego,0.69
St John's,0.69
Hawai'i,0.6890000000000001
Purdue FW,0.6890000000000001
F Dickinson,0.6890000000000001
NJIT,0.6890000000000001
LIU-Brooklyn,0.6890000000000001
Gonzaga,0.688
Wofford,0.688
Chattanooga,0.688
Texas A&M-CC,0.688
CS Fullerton,0.687
Wright St,0.687
Louisiana Tech,0.687
Dayton,0.6859999999999999
NC State,0.6859999999999999
Radford,0.6859999999999999
Samford,0.6859999999999999
Delaware,0.6859999999999999
Butler,0.6859999999999999
Oakland,0.6859999999999999
Cleveland St,0.685
NC Central,0.685
UC Irvine,0.684
Pittsburgh,0.684
Long Beach St,0.684
Chicago St,0.684
Elon,0.684
LSU,0.684
Army,0.684
Purdue,0.6829999999999999
Valparaiso,0.6829999999999999
Washington,0.6829999999999999
Tenn Tech,0.6829999999999999
Mercer,0.682
Clemson,0.682
Mt St Mary's,0.682
NC Wilmington,0.682
E Carolina,0.6809999999999999
Lamar,0.68
North Dakota,0.68
Houston,0.68
AR-Pine Bluff,0.68
Ohio St,0.68
UC Riverside,0.679
Gardner-Webb,0.679
Florida Atlantic,0.6779999999999999
St Fran (NY),0.6779999999999999
Colorado St,0.6779999999999999
NC A&T,0.6779999999999999
C Arkansas,0.6779999999999999
UT Arlington,0.677
Kansas St,0.6759999999999999
Penn,0.6759999999999999
UCLA,0.6759999999999999
UT Rio Grande,0.6759999999999999
Minnesota,0.675
N Illinois,0.674
G Washington,0.674
St Francis PA,0.672
Loyola MD,0.6709999999999999
Cal Poly,0.6709999999999999
Florida St,0.67
Baylor,0.67
Cincinnati,0.67
New Hampshire,0.67
George Mason,0.669
Bradley,0.6679999999999999
Navy,0.6679999999999999
Louisville,0.6679999999999999
SIU Edward,0.667
Furman,0.667
Arizona St,0.667
Auburn,0.667
S Utah,0.667
Missouri,0.667
Memphis,0.6659999999999999
FGCU,0.6659999999999999
Old Dominion,0.6659999999999999
N Kentucky,0.665
Utah St,0.665
