team,Seas_Opp_Def_Rebound
Quinnipiac,0.589
Baylor,0.593
St Fran (NY),0.604
New Mexico St,0.606
Nevada,0.61
Kentucky,0.612
Towson,0.615
West Virginia,0.615
North Carolina,0.616
Texas,0.627
Georgia Tech,0.63
SF Austin,0.639
Wagner,0.64
Stony Brook,0.6409999999999999
Cincinnati,0.6409999999999999
Memphis,0.6409999999999999
TCU,0.6409999999999999
Hou Christian,0.644
Jackson St,0.644
Purdue,0.648
N Illinois,0.649
Tenn Tech,0.65
SMU,0.65
Old Dominion,0.65
Murray St,0.6509999999999999
Duke,0.652
Tennessee,0.653
Sam Houston,0.653
G Washington,0.654
Arkansas,0.655
Maryland ES,0.6579999999999999
George Mason,0.659
Alabama A&M,0.659
Siena,0.659
Arizona,0.66
Illinois St,0.6609999999999999
Alabama St,0.6609999999999999
N Arizona,0.662
Iowa,0.664
Louisville,0.664
SC Upstate,0.664
Portland,0.664
Virginia,0.664
San Diego St,0.665
Radford,0.6659999999999999
Kansas,0.667
Houston,0.667
Clemson,0.669
Louisiana,0.669
Wichita St,0.67
Coastal Car,0.67
Georgetown,0.6709999999999999
Saint Mary's,0.6709999999999999
Indiana,0.6709999999999999
Colorado,0.672
McNeese,0.672
W Carolina,0.672
Yale,0.672
Kent St,0.672
UTSA,0.6729999999999999
Charlotte,0.6729999999999999
New Orleans,0.6729999999999999
Mississippi,0.674
Valparaiso,0.674
NC State,0.675
Michigan St,0.675
Syracuse,0.675
South Carolina,0.6759999999999999
UAB,0.6759999999999999
UMass,0.6759999999999999
Morgan St,0.6759999999999999
CS Bakersfield,0.6759999999999999
St Bonaventure,0.6759999999999999
Seton Hall,0.677
Colorado St,0.677
Norfolk St,0.677
Green Bay,0.6779999999999999
Texas Tech,0.6779999999999999
Lamar,0.6779999999999999
Fordham,0.6779999999999999
FGCU,0.6779999999999999
Buffalo,0.6779999999999999
Canisius,0.6779999999999999
Morehead St,0.6779999999999999
Gonzaga,0.679
Texas A&M,0.679
Bethune,0.68
Providence,0.68
NC A&T,0.68
Pittsburgh,0.682
Howard,0.682
Ohio St,0.682
New Mexico,0.682
Pacific,0.682
Loyola Mymt,0.6829999999999999
Chicago St,0.6829999999999999
Charleston So,0.684
Hawai'i,0.684
LSU,0.684
Chattanooga,0.684
UCLA,0.685
Hofstra,0.685
Villanova,0.685
Harvard,0.6859999999999999
Mercer,0.6859999999999999
Sacred Heart,0.6859999999999999
Stanford,0.6859999999999999
Albany,0.687
BYU,0.687
Cleveland St,0.688
Butler,0.688
Mississippi St,0.6890000000000001
Kansas St,0.691
Tulane,0.6920000000000001
Columbia,0.6920000000000001
UL Monroe,0.693
Georgia So,0.693
Wisconsin,0.6940000000000001
Florida,0.695
Saint Peter's,0.695
Georgia,0.695
Austin Peay,0.695
Rider,0.696
Bradley,0.6970000000000001
Vanderbilt,0.6970000000000001
Utah,0.6970000000000001
Troy,0.6970000000000001
Middle Tenn,0.6970000000000001
SE Missouri St,0.6970000000000001
Texas So,0.698
Toledo,0.698
VCU,0.6990000000000001
USC,0.6990000000000001
Cal Poly,0.7
Oklahoma,0.7
Rhode Island,0.7
Dartmouth,0.7
NC Wilmington,0.701
NC Asheville,0.701
Hampton,0.701
Akron,0.701
Wake Forest,0.7020000000000001
Bowling Green,0.7020000000000001
VMI,0.7020000000000001
Temple,0.703
Saint Joseph's,0.703
Niagara,0.7040000000000001
Florida St,0.7040000000000001
Tulsa,0.7040000000000001
Prairie View,0.7040000000000001
UCSB,0.705
Southern,0.706
S Florida,0.706
UT Arlington,0.706
S Illinois,0.706
IU Indy,0.7070000000000001
Omaha,0.7070000000000001
Duquesne,0.7070000000000001
Long Beach St,0.708
C Connecticut,0.708
N Colorado,0.708
Loyola MD,0.708
UT Martin,0.7090000000000001
LIU-Brooklyn,0.7090000000000001
Xavier,0.7090000000000001
Kansas City,0.7090000000000001
Delaware St,0.71
N Texas,0.71
Arizona St,0.71
App State,0.711
Idaho,0.711
Texas A&M-CC,0.711
Manhattan,0.711
Robert Morris,0.7120000000000001
NC Central,0.7120000000000001
W Kentucky,0.7120000000000001
South Dakota,0.713
UC Irvine,0.713
Rutgers,0.7140000000000001
Bucknell,0.7140000000000001
Liberty,0.715
Nicholls,0.716
Georgia St,0.7170000000000001
Creighton,0.7170000000000001
Winthrop,0.7170000000000001
Oregon,0.718
Davidson,0.718
Washington,0.7190000000000001
High Point,0.7190000000000001
Gardner-Webb,0.7190000000000001
Seattle,0.7190000000000001
UConn,0.7190000000000001
Ball St,0.72
San Francisco,0.72
UC Riverside,0.72
Oral Roberts,0.72
Alcorn St,0.72
E Tennessee St,0.72
Northeastern,0.72
Penn St,0.721
The Citadel,0.721
Mt St Mary's,0.721
S Carolina St,0.722
E Michigan,0.722
Illinois,0.722
Brown,0.722
AR-Pine Bluff,0.722
Alabama,0.722
Oakland,0.723
W Michigan,0.723
UTEP,0.723
Montana St,0.723
Wofford,0.723
Missouri,0.7240000000000001
NW State,0.7240000000000001
La Salle,0.7240000000000001
NC Greensboro,0.7240000000000001
San Diego,0.7240000000000001
Arkansas St,0.725
S Alabama,0.725
UCF,0.725
Holy Cross,0.725
S Dakota St,0.725
Miss Valley St,0.726
Missouri St,0.726
Air Force,0.727
SE Louisiana,0.727
Weber St,0.727
Idaho St,0.727
N Florida,0.727
Monmouth,0.727
Furman,0.727
Oregon St,0.728
Bryant,0.728
Minnesota,0.728
Illinois Chicago,0.7290000000000001
Lipscomb,0.7290000000000001
Louisiana Tech,0.7290000000000001
E Washington,0.7290000000000001
Navy,0.73
Maryland,0.73
Miami,0.73
Detroit Mercy,0.73
N Kentucky,0.73
Savannah St,0.731
NJIT,0.731
Little Rock,0.731
Marshall,0.731
Army,0.731
Iowa St,0.732
Kennesaw St,0.733
Texas St,0.733
Pepperdine,0.7340000000000001
Campbell,0.7340000000000001
Belmont,0.735
Grambling,0.735
UT Rio Grande,0.735
CS Fullerton,0.735
Penn,0.735
C Michigan,0.736
Samford,0.737
Marquette,0.737
Iona,0.738
J Madison,0.738
Florida Intl,0.738
Utah Valley,0.738
Lafayette,0.7390000000000001
E Carolina,0.74
Delaware,0.74
Notre Dame,0.74
Jacksonville St,0.741
SIU Edward,0.741
Santa Clara,0.741
Lehigh,0.741
Boise St,0.742
Charleston,0.742
Boston U,0.743
St John's,0.7440000000000001
DePaul,0.7440000000000001
Sacramento St,0.7440000000000001
Elon,0.7440000000000001
Fairfield,0.745
CS Northridge,0.745
C Arkansas,0.746
Vermont,0.746
UC Davis,0.746
Southern Miss,0.747
Montana,0.7490000000000001
UNLV,0.7490000000000001
Loyola Chi,0.7490000000000001
Drexel,0.7490000000000001
F Dickinson,0.7509999999999999
Longwood,0.7509999999999999
New Hampshire,0.7509999999999999
Portland St,0.7509999999999999
Nebraska,0.752
Northwestern,0.752
Auburn,0.752
Jacksonville,0.752
St Francis PA,0.753
N Iowa,0.753
Oklahoma St,0.754
Presbyterian,0.755
N Dakota St,0.7559999999999999
Tennessee St,0.757
Ohio,0.757
Milwaukee,0.758
Grand Canyon,0.758
Youngstown St,0.759
Washington St,0.76
Boston College,0.7609999999999999
Saint Louis,0.762
Binghamton,0.763
Incarnate Word,0.763
Rice,0.763
California,0.764
Fresno St,0.7659999999999999
Florida Atlantic,0.767
Miami OH,0.768
Coppin St,0.768
San Jose St,0.77
Purdue FW,0.7709999999999999
Virginia Tech,0.772
Stetson,0.772
Indiana St,0.773
William & Mary,0.774
Michigan,0.7759999999999999
Evansville,0.7759999999999999
Florida A&M,0.777
Colgate,0.7829999999999999
North Dakota,0.785
