team,Seas_Opp_Off_Rebound
Arizona,0.18600000000000003
N Dakota St,0.212
Wisconsin,0.215
Virginia,0.22
New Hampshire,0.221
Arizona St,0.22399999999999998
Colorado St,0.22399999999999998
Stony Brook,0.22699999999999998
Northeastern,0.228
Georgia Tech,0.22899999999999998
Butler,0.23
California,0.23
Saint Mary's,0.23199999999999998
Wichita St,0.235
S Illinois,0.235
N Arizona,0.235
Michigan St,0.23600000000000002
Old Dominion,0.23600000000000002
New Mexico,0.23800000000000002
Bucknell,0.239
Middle Tenn,0.24100000000000002
Wyoming,0.24100000000000002
Texas,0.242
UT Martin,0.242
Princeton,0.242
Albany,0.243
Valparaiso,0.243
Harvard,0.244
Boise St,0.244
N Iowa,0.245
CS Bakersfield,0.245
Quinnipiac,0.24600000000000002
CS Fullerton,0.247
Sam Houston,0.247
Wake Forest,0.249
Gonzaga,0.252
Purdue FW,0.252
Idaho,0.252
Utah,0.253
Stanford,0.253
Xavier,0.253
Louisiana,0.255
Georgia,0.255
Colorado,0.256
Morehead St,0.256
Jackson St,0.256
Ball St,0.257
Yale,0.257
Illinois,0.258
Dayton,0.259
Colgate,0.26
Wofford,0.26
Tulsa,0.26
Evansville,0.26
Hofstra,0.26
Coastal Car,0.26
Boston U,0.262
SMU,0.262
St Fran (NY),0.263
Texas A&M,0.263
South Dakota,0.263
Montana St,0.264
Rhode Island,0.264
UCLA,0.264
BYU,0.264
Creighton,0.264
Green Bay,0.266
Seattle,0.266
Charleston So,0.266
Dartmouth,0.267
Florida,0.267
Cal Poly,0.267
Villanova,0.267
St Bonaventure,0.267
Fordham,0.267
IU Indy,0.268
Providence,0.268
S Dakota St,0.26899999999999996
Montana,0.26899999999999996
Vermont,0.26899999999999996
Miami,0.26899999999999996
Tenn Tech,0.26899999999999996
UCSB,0.27
Milwaukee,0.27
Navy,0.27
S Utah,0.27
Loyola MD,0.27
Illinois St,0.27
Bradley,0.271
North Dakota,0.271
Temple,0.272
George Mason,0.272
N Kentucky,0.272
Omaha,0.272
Purdue,0.272
Cleveland St,0.272
Columbia,0.272
Cornell,0.273
Towson,0.273
Hampton,0.27399999999999997
App State,0.27399999999999997
Tulane,0.27399999999999997
Bowling Green,0.27399999999999997
Illinois Chicago,0.27399999999999997
Alabama St,0.27399999999999997
SF Austin,0.27399999999999997
Holy Cross,0.275
UC Riverside,0.275
San Diego St,0.275
Austin Peay,0.276
Georgetown,0.276
W Kentucky,0.276
W Illinois,0.27699999999999997
UL Monroe,0.27699999999999997
Penn,0.278
Iowa St,0.278
Washington St,0.278
Detroit Mercy,0.278
Rider,0.27899999999999997
Nebraska,0.27899999999999997
Missouri St,0.27899999999999997
VCU,0.27899999999999997
Ohio,0.27899999999999997
Hartford,0.27899999999999997
Penn St,0.28
Buffalo,0.28
Norfolk St,0.28
Mississippi St,0.28
Iowa,0.28
Saint Joseph's,0.281
Niagara,0.281
Chattanooga,0.281
UTEP,0.281
NC State,0.281
Weber St,0.282
NC Central,0.282
NC Greensboro,0.282
Pittsburgh,0.282
Duke,0.282
CS Northridge,0.282
Oakland,0.282
Lehigh,0.28300000000000003
Kentucky,0.28300000000000003
N Illinois,0.28300000000000003
Toledo,0.284
Little Rock,0.284
Miami OH,0.284
Campbell,0.284
Maryland,0.285
New Mexico St,0.285
William & Mary,0.285
Brown,0.285
Louisville,0.28600000000000003
W Michigan,0.28600000000000003
Belmont,0.287
Memphis,0.287
San Diego,0.287
San Francisco,0.287
Wright St,0.287
Denver,0.28800000000000003
Oregon,0.28800000000000003
Clemson,0.289
Wagner,0.289
Northwestern,0.289
UConn,0.289
Charlotte,0.289
Syracuse,0.29
Portland,0.29
Mississippi,0.29
Oklahoma,0.29
North Carolina,0.29100000000000004
Akron,0.29100000000000004
FGCU,0.29100000000000004
Indiana,0.29100000000000004
E Washington,0.29100000000000004
Lipscomb,0.29100000000000004
Incarnate Word,0.292
Pacific,0.292
UMass,0.293
Saint Peter's,0.293
Arkansas St,0.293
Indiana St,0.293
Baylor,0.293
SE Missouri St,0.294
UMass Lowell,0.294
Davidson,0.294
Rutgers,0.294
Drexel,0.295
C Michigan,0.295
Utah Valley,0.295
Portland St,0.295
N Florida,0.295
Ohio St,0.29600000000000004
Kansas St,0.29600000000000004
La Salle,0.29600000000000004
Florida St,0.29600000000000004
Army,0.29600000000000004
Oral Roberts,0.297
American,0.297
Delaware St,0.297
G Washington,0.297
Alabama,0.297
Cincinnati,0.298
South Carolina,0.298
Florida Intl,0.298
Canisius,0.298
Kansas,0.299
Maryland ES,0.299
Lamar,0.299
Notre Dame,0.299
Boston College,0.299
Loyola Chi,0.299
Kent St,0.299
UMBC,0.299
West Virginia,0.299
UNLV,0.3
Delaware,0.3
High Point,0.3
SIU Edward,0.301
Sacramento St,0.301
UC Irvine,0.301
St Francis PA,0.302
Oregon St,0.302
Michigan,0.303
Hou Christian,0.303
LIU-Brooklyn,0.303
Texas St,0.303
Pepperdine,0.304
Elon,0.304
Drake,0.304
Charleston,0.304
TCU,0.305
N Colorado,0.305
NC Wilmington,0.305
Oklahoma St,0.305
NC Asheville,0.305
Nevada,0.306
Saint Louis,0.306
Florida Atlantic,0.306
UTSA,0.306
Minnesota,0.306
Mt St Mary's,0.307
SE Louisiana,0.307
Furman,0.307
Rice,0.307
Winthrop,0.307
UAB,0.308
Texas Tech,0.308
Houston,0.308
Tennessee St,0.308
Mercer,0.309
Radford,0.309
Marshall,0.309
Manhattan,0.309
Binghamton,0.309
Maine,0.31
E Tennessee St,0.31
VMI,0.31
UT Arlington,0.31
Grand Canyon,0.311
C Connecticut,0.311
Bryant,0.311
Fresno St,0.311
Iona,0.311
Tennessee,0.311
Samford,0.312
Murray St,0.312
J Madison,0.312
N Texas,0.312
Missouri,0.313
New Orleans,0.313
Duquesne,0.313
Georgia So,0.313
Air Force,0.313
Idaho St,0.313
LSU,0.313
NJIT,0.314
San Jose St,0.314
Richmond,0.314
Vanderbilt,0.314
Washington,0.314
Jacksonville,0.314
SC Upstate,0.315
E Michigan,0.315
Liberty,0.315
Gardner-Webb,0.316
Sacred Heart,0.316
Texas So,0.316
Texas A&M-CC,0.317
Presbyterian,0.317
Monmouth,0.317
Fairfield,0.318
Chicago St,0.318
S Alabama,0.318
Bethune,0.318
Arkansas,0.319
Hawai'i,0.319
Kennesaw St,0.321
Seton Hall,0.322
Long Beach St,0.322
UC Davis,0.322
S Carolina St,0.322
Troy,0.322
Utah St,0.32299999999999995
Southern,0.324
E Illinois,0.326
Savannah St,0.326
Louisiana Tech,0.326
McNeese,0.327
Auburn,0.327
St John's,0.327
S Florida,0.327
NC A&T,0.327
USC,0.32799999999999996
Loyola Mymt,0.32899999999999996
Howard,0.32899999999999996
W Carolina,0.32899999999999996
Santa Clara,0.32899999999999996
Georgia St,0.33
Abl Christian,0.33
Southern Miss,0.33
Lafayette,0.33
Youngstown St,0.33
Nicholls,0.331
E Carolina,0.331
Jacksonville St,0.332
Morgan St,0.336
DePaul,0.336
Longwood,0.336
The Citadel,0.337
Kansas City,0.33899999999999997
Stetson,0.34
E Kentucky,0.341
Florida A&M,0.341
Grambling,0.34299999999999997
Marist,0.348
UCF,0.348
Alabama A&M,0.35
Marquette,0.35100000000000003
Robert Morris,0.35100000000000003
UT Rio Grande,0.35200000000000004
Alcorn St,0.353
C Arkansas,0.354
Virginia Tech,0.35600000000000004
Siena,0.35700000000000004
Coppin St,0.363
NW State,0.37799999999999995
AR-Pine Bluff,0.381
Miss Valley St,0.384
Prairie View,0.385
F Dickinson,0.39799999999999996
