team,Seas_Opp_3PT_Succ
Kentucky,0.271
Rhode Island,0.273
Pepperdine,0.273
NC Central,0.29100000000000004
FGCU,0.29600000000000004
Prairie View,0.298
Southern,0.298
Baylor,0.298
Florida Atlantic,0.299
Utah St,0.299
Davidson,0.3
Seton Hall,0.3
Oregon St,0.3
North Carolina,0.3
UL Monroe,0.302
Richmond,0.303
Louisville,0.303
Memphis,0.304
LIU-Brooklyn,0.304
Texas St,0.305
Villanova,0.305
San Diego St,0.306
Butler,0.307
New Mexico St,0.308
LSU,0.309
Wofford,0.309
Yale,0.309
Virginia,0.309
Vermont,0.309
Texas A&M,0.31
New Hampshire,0.311
Saint Peter's,0.312
Georgia,0.312
Old Dominion,0.312
DePaul,0.312
Utah,0.312
Georgia So,0.312
N Florida,0.313
Boise St,0.313
Duke,0.314
New Mexico,0.314
Temple,0.314
Howard,0.314
Syracuse,0.314
Michigan St,0.315
Bryant,0.315
Kansas,0.315
E Carolina,0.316
La Salle,0.316
Hartford,0.316
Toledo,0.317
South Carolina,0.317
Marshall,0.317
N Arizona,0.317
Oklahoma,0.317
Loyola Chi,0.318
Maryland,0.318
UT Arlington,0.318
Georgia Tech,0.319
G Washington,0.319
SC Upstate,0.319
UAB,0.319
Cincinnati,0.319
Grambling,0.32
N Iowa,0.321
Kent St,0.321
Canisius,0.322
Texas A&M-CC,0.322
Sam Houston,0.322
App State,0.32299999999999995
Louisiana,0.32299999999999995
Ohio St,0.32299999999999995
Miami,0.324
St Francis PA,0.324
Manhattan,0.324
Maryland ES,0.324
Florida St,0.324
Indiana,0.325
Dayton,0.325
Bowling Green,0.326
Notre Dame,0.326
Penn St,0.326
Alabama,0.326
Iowa,0.326
SMU,0.326
St John's,0.326
Winthrop,0.327
Tennessee St,0.327
Rider,0.327
Florida,0.32799999999999996
Clemson,0.32799999999999996
Illinois St,0.32799999999999996
Illinois,0.32899999999999996
Loyola MD,0.32899999999999996
Buffalo,0.33
Gonzaga,0.33
Long Beach St,0.33
NC State,0.33
USC,0.33
Akron,0.33
W Kentucky,0.331
Marist,0.331
Bethune,0.331
BYU,0.331
Saint Mary's,0.331
Columbia,0.331
NJIT,0.331
Arkansas St,0.331
Georgia St,0.331
E Michigan,0.331
Washington,0.331
McNeese,0.331
UConn,0.332
Alabama A&M,0.332
Mississippi St,0.332
Oregon,0.332
Cornell,0.33299999999999996
Auburn,0.33299999999999996
Seattle,0.33299999999999996
Tulsa,0.33299999999999996
Troy,0.33299999999999996
Providence,0.33299999999999996
Valparaiso,0.33399999999999996
S Carolina St,0.33399999999999996
Radford,0.33399999999999996
California,0.33399999999999996
Nebraska,0.33399999999999996
Kennesaw St,0.33399999999999996
Boston College,0.335
Kansas St,0.335
NC Wilmington,0.335
Delaware St,0.335
Arizona,0.336
TCU,0.336
UC Irvine,0.336
Grand Canyon,0.336
Alabama St,0.336
UTEP,0.336
Louisiana Tech,0.336
Kansas City,0.336
Green Bay,0.337
Houston,0.337
Rutgers,0.337
Florida Intl,0.337
Detroit Mercy,0.337
Murray St,0.337
Tulane,0.337
SF Austin,0.337
Morehead St,0.337
San Diego,0.337
Coastal Car,0.33799999999999997
Wake Forest,0.33799999999999997
South Dakota,0.33899999999999997
Hampton,0.33899999999999997
Hofstra,0.33899999999999997
N Illinois,0.33899999999999997
NC Asheville,0.33899999999999997
Norfolk St,0.33899999999999997
Texas Tech,0.34
Michigan,0.34
Vanderbilt,0.34
Harvard,0.34
Lehigh,0.34
Nevada,0.341
Robert Morris,0.341
Jackson St,0.341
Portland,0.341
Fordham,0.341
UT Rio Grande,0.341
N Texas,0.342
Monmouth,0.342
American,0.342
Stony Brook,0.342
VMI,0.342
Towson,0.342
S Alabama,0.342
Utah Valley,0.34299999999999997
Oklahoma St,0.34299999999999997
Belmont,0.34299999999999997
Fairfield,0.34299999999999997
E Illinois,0.344
Missouri,0.344
C Michigan,0.344
Texas So,0.344
Northeastern,0.344
Rice,0.344
VCU,0.345
Xavier,0.345
C Connecticut,0.345
UC Davis,0.34600000000000003
Sacred Heart,0.34700000000000003
Campbell,0.34700000000000003
Iowa St,0.34700000000000003
S Dakota St,0.34700000000000003
Texas,0.34700000000000003
F Dickinson,0.34700000000000003
Saint Joseph's,0.34700000000000003
Brown,0.348
Hawai'i,0.348
Fresno St,0.348
Sacramento St,0.348
Mt St Mary's,0.348
W Carolina,0.349
Miami OH,0.349
Wyoming,0.349
Pittsburgh,0.349
Elon,0.35
UMass,0.35
Chattanooga,0.35
The Citadel,0.35100000000000003
Purdue,0.35100000000000003
Quinnipiac,0.35100000000000003
Virginia Tech,0.35100000000000003
Florida A&M,0.35100000000000003
UNLV,0.35100000000000003
Drexel,0.35100000000000003
NC Greensboro,0.35200000000000004
Arkansas,0.35200000000000004
Mercer,0.35200000000000004
George Mason,0.353
Wright St,0.353
William & Mary,0.353
Colorado,0.353
Wichita St,0.354
UCSB,0.354
UT Martin,0.354
Dartmouth,0.354
W Michigan,0.354
Iona,0.355
San Francisco,0.355
N Kentucky,0.355
W Illinois,0.355
Incarnate Word,0.355
Evansville,0.355
Liberty,0.35600000000000004
UCLA,0.35600000000000004
UCF,0.35600000000000004
Miss Valley St,0.35600000000000004
Cal Poly,0.35600000000000004
Army,0.35700000000000004
Jacksonville St,0.35700000000000004
J Madison,0.35700000000000004
Ball St,0.35700000000000004
SE Louisiana,0.35700000000000004
Nicholls,0.35700000000000004
Saint Louis,0.35700000000000004
Middle Tenn,0.35700000000000004
Mississippi,0.358
High Point,0.358
UMass Lowell,0.358
E Tennessee St,0.358
Charleston,0.358
Weber St,0.359
Ohio,0.359
Purdue FW,0.36
Marquette,0.36
Southern Miss,0.36
Furman,0.36
Pacific,0.361
SIU Edward,0.361
UMBC,0.361
Montana,0.361
Morgan St,0.361
Siena,0.36200000000000004
Georgetown,0.36200000000000004
Cleveland St,0.36200000000000004
St Bonaventure,0.36200000000000004
Arizona St,0.36200000000000004
Albany,0.36200000000000004
N Dakota St,0.36200000000000004
Little Rock,0.363
Idaho,0.363
Colorado St,0.363
Charlotte,0.365
NC A&T,0.365
West Virginia,0.365
Oakland,0.365
CS Bakersfield,0.366
Air Force,0.366
CS Northridge,0.366
St Fran (NY),0.36700000000000005
UTSA,0.36700000000000005
Bucknell,0.36700000000000005
Charleston So,0.36700000000000005
Tenn Tech,0.368
Jacksonville,0.368
Minnesota,0.368
AR-Pine Bluff,0.369
Tennessee,0.369
Missouri St,0.369
Bradley,0.369
Delaware,0.369
Princeton,0.369
Abl Christian,0.37
Idaho St,0.37
Savannah St,0.371
Stetson,0.371
Denver,0.371
S Utah,0.37200000000000005
Boston U,0.374
Stanford,0.374
S Florida,0.374
Washington St,0.374
Binghamton,0.375
Longwood,0.375
Maine,0.375
Holy Cross,0.375
Oral Roberts,0.375
Wisconsin,0.376
Lamar,0.376
Omaha,0.376
C Arkansas,0.376
Penn,0.376
Northwestern,0.377
Santa Clara,0.377
Colgate,0.37799999999999995
Wagner,0.37799999999999995
New Orleans,0.37799999999999995
Niagara,0.379
Hou Christian,0.379
Gardner-Webb,0.379
Youngstown St,0.379
Creighton,0.38
Lafayette,0.38
Chicago St,0.381
S Illinois,0.381
Alcorn St,0.382
Lipscomb,0.38299999999999995
IU Indy,0.38299999999999995
Coppin St,0.384
Duquesne,0.385
Drake,0.385
Portland St,0.385
Milwaukee,0.385
Indiana St,0.386
North Dakota,0.386
Austin Peay,0.386
CS Fullerton,0.387
E Washington,0.387
San Jose St,0.38799999999999996
Presbyterian,0.389
Samford,0.389
Navy,0.391
E Kentucky,0.392
SE Missouri St,0.392
Loyola Mymt,0.392
Montana St,0.39399999999999996
UC Riverside,0.397
NW State,0.401
N Colorado,0.402
Illinois Chicago,0.40299999999999997
