team,Seas_Opp_Turnover
West Virginia,19.3
E Kentucky,17.5
Manhattan,17.2
Prairie View,16.9
AR-Pine Bluff,16.7
SF Austin,16.6
Minnesota,16.6
Savannah St,16.3
Hawai'i,16.3
VCU,16.0
VMI,15.9
F Dickinson,15.8
Arkansas,15.8
Louisiana Tech,15.3
Kansas City,15.3
UMass Lowell,15.2
Omaha,15.0
Robert Morris,15.0
Georgia St,15.0
Miss Valley St,14.9
Jackson St,14.8
Texas St,14.8
Oregon St,14.8
E Tennessee St,14.7
New Orleans,14.7
Elon,14.6
Detroit Mercy,14.6
NW State,14.6
Auburn,14.6
Rhode Island,14.5
Long Beach St,14.5
E Michigan,14.5
Ohio St,14.3
Siena,14.3
Morgan St,14.2
Longwood,14.2
Coppin St,14.2
Georgia So,14.2
Samford,14.2
Morehead St,14.1
Rider,14.1
Villanova,14.1
Chicago St,14.1
Syracuse,14.1
Hampton,14.1
Louisville,14.1
Nicholls,14.0
W Carolina,14.0
NC Wilmington,14.0
Canisius,13.9
Indiana St,13.9
Maryland ES,13.9
Tennessee,13.9
Holy Cross,13.9
Howard,13.9
Monmouth,13.8
UT Arlington,13.8
Lamar,13.8
N Illinois,13.8
Austin Peay,13.8
Marist,13.8
IU Indy,13.7
Miami OH,13.7
Arizona,13.7
Sam Houston,13.7
Kentucky,13.7
Marquette,13.7
Hofstra,13.7
Mt St Mary's,13.7
Florida,13.7
Southern,13.7
Wagner,13.7
LSU,13.6
Oklahoma St,13.6
Dayton,13.6
San Diego,13.6
N Texas,13.6
Buffalo,13.6
South Carolina,13.6
Bradley,13.5
Green Bay,13.5
UTSA,13.5
Abl Christian,13.5
C Michigan,13.4
Dartmouth,13.4
St Fran (NY),13.4
Little Rock,13.4
Nebraska,13.4
Saint Louis,13.4
Hartford,13.4
Oklahoma,13.4
SE Louisiana,13.4
Richmond,13.3
Alabama St,13.3
USC,13.3
UAB,13.3
Illinois St,13.2
SIU Edward,13.2
Army,13.2
Wichita St,13.2
Cleveland St,13.2
St John's,13.2
Georgetown,13.2
Evansville,13.2
Marshall,13.2
Tulane,13.2
Louisiana,13.2
La Salle,13.1
BYU,13.1
S Carolina St,13.1
S Illinois,13.1
C Arkansas,13.1
Fresno St,13.1
St Francis PA,13.1
Texas A&M-CC,13.1
N Colorado,13.0
Montana,13.0
Sacred Heart,13.0
SC Upstate,13.0
New Mexico St,13.0
Saint Peter's,13.0
TCU,13.0
High Point,13.0
Binghamton,13.0
Troy,13.0
Iowa St,12.9
Vermont,12.9
Illinois,12.9
St Bonaventure,12.9
Providence,12.9
W Kentucky,12.9
Old Dominion,12.9
San Diego St,12.9
Wright St,12.9
Winthrop,12.9
SE Missouri St,12.9
Arizona St,12.9
Houston,12.8
UMBC,12.8
SMU,12.8
Texas Tech,12.8
Kansas St,12.8
Middle Tenn,12.7
NJIT,12.7
Incarnate Word,12.7
Charlotte,12.7
LIU-Brooklyn,12.7
Rice,12.7
Memphis,12.7
Charleston So,12.7
Florida Intl,12.7
Butler,12.7
Southern Miss,12.7
Maine,12.7
Tulsa,12.7
DePaul,12.7
Mississippi,12.6
Bethune,12.6
NC Asheville,12.6
Tenn Tech,12.6
Murray St,12.6
American,12.6
Alcorn St,12.6
Florida St,12.5
Harvard,12.5
Duke,12.5
