team,Seas_Poss
VMI,80.1
NW State,76.0
Omaha,75.4
Coppin St,75.2
Miss Valley St,73.8
BYU,73.3
Louisiana,73.1
C Arkansas,73.0
LSU,72.9
Iona,72.7
Sacred Heart,72.5
Incarnate Word,72.4
Arkansas,72.3
UT Arlington,72.2
Marshall,72.2
Hampton,71.8
Army,71.7
North Carolina,71.6
LIU-Brooklyn,71.5
Manhattan,71.5
Alabama St,71.4
USC,71.3
Hofstra,71.2
Iowa St,71.2
Prairie View,71.2
New Orleans,71.2
Hawai'i,71.2
S Alabama,71.0
Delaware St,70.9
Idaho,70.9
Lipscomb,70.9
West Virginia,70.8
Wake Forest,70.8
Nicholls,70.8
Charlotte,70.7
Buffalo,70.6
Elon,70.6
NC Asheville,70.6
Wagner,70.5
SE Louisiana,70.4
UMass,70.4
North Dakota,70.4
Minnesota,70.4
Detroit Mercy,70.4
Oregon,70.3
E Washington,70.3
E Tennessee St,70.3
Louisiana Tech,70.2
Oakland,70.2
Auburn,70.2
Washington St,70.1
Youngstown St,70.1
NC Wilmington,70.0
S Utah,70.0
Gardner-Webb,70.0
Lamar,69.9
F Dickinson,69.9
Quinnipiac,69.9
Longwood,69.9
W Kentucky,69.7
VCU,69.7
Hou Christian,69.7
St John's,69.6
Mississippi,69.6
Arkansas St,69.5
Oklahoma,69.5
W Carolina,69.4
UCLA,69.4
Austin Peay,69.4
SF Austin,69.4
N Florida,69.3
Samford,69.3
Duquesne,69.3
Winthrop,69.3
UAB,69.2
E Michigan,69.2
Toledo,69.2
Portland St,69.1
Ohio,69.1
Alcorn St,69.1
Tenn Tech,69.1
Robert Morris,69.0
Siena,69.0
NC Greensboro,69.0
DePaul,69.0
Indiana St,68.9
Little Rock,68.9
Indiana,68.9
Long Beach St,68.9
Arizona St,68.9
Brown,68.8
W Illinois,68.8
Davidson,68.8
Charleston So,68.7
Sam Houston,68.7
Murray St,68.7
Chattanooga,68.7
NJIT,68.7
Southern,68.7
Lehigh,68.6
Kennesaw St,68.6
Florida St,68.6
