team,Seas_3PT_Rate
VMI,0.517
Rice,0.493
C Michigan,0.48100000000000004
E Kentucky,0.48
Belmont,0.478
Akron,0.478
Charleston So,0.46799999999999997
Columbia,0.45899999999999996
Davidson,0.456
Princeton,0.45399999999999996
Hartford,0.45399999999999996
Houston,0.45
E Tennessee St,0.44799999999999995
Campbell,0.442
Marist,0.439
Ball St,0.43700000000000006
San Jose St,0.436
E Washington,0.43200000000000005
Lipscomb,0.43200000000000005
Coppin St,0.431
Denver,0.43
Villanova,0.429
William & Mary,0.428
Creighton,0.42700000000000005
Boston U,0.424
Iona,0.424
Marshall,0.423
NJIT,0.42200000000000004
N Florida,0.42100000000000004
UMass Lowell,0.42
Mt St Mary's,0.42
Gardner-Webb,0.418
Hofstra,0.41600000000000004
Boise St,0.415
Georgia So,0.415
Montana,0.414
St Francis PA,0.41100000000000003
Montana St,0.41
Michigan,0.406
Alabama,0.406
DePaul,0.405
Sam Houston,0.405
Weber St,0.40399999999999997
SC Upstate,0.4
Wyoming,0.4
VCU,0.39899999999999997
Indiana St,0.39899999999999997
Air Force,0.39899999999999997
N Iowa,0.39899999999999997
Miami,0.397
Furman,0.397
Indiana,0.395
Longwood,0.39399999999999996
Milwaukee,0.39399999999999996
Winthrop,0.391
UC Davis,0.391
Oklahoma St,0.389
Fairfield,0.389
Army,0.389
Auburn,0.38799999999999996
S Dakota St,0.38799999999999996
Bryant,0.38799999999999996
Maryland,0.386
Southern Miss,0.386
American,0.386
Colgate,0.385
Oakland,0.385
E Carolina,0.38299999999999995
Boston College,0.38299999999999995
Florida,0.382
E Illinois,0.382
Dayton,0.382
Purdue FW,0.382
Florida Atlantic,0.381
E Michigan,0.381
Santa Clara,0.381
Northwestern,0.38
Maine,0.38
Ohio,0.38
F Dickinson,0.37799999999999995
Delaware St,0.377
Kennesaw St,0.377
Notre Dame,0.376
NC Asheville,0.376
Alabama A&M,0.376
Chicago St,0.376
N Kentucky,0.375
Wisconsin,0.374
UT Martin,0.374
Richmond,0.373
Utah,0.373
AR-Pine Bluff,0.373
W Kentucky,0.373
Utah St,0.37200000000000005
Kent St,0.371
Cornell,0.371
New Hampshire,0.371
Duquesne,0.371
Utah Valley,0.371
Long Beach St,0.369
Kansas City,0.369
J Madison,0.369
Troy,0.369
Iowa St,0.368
App State,0.36700000000000005
SF Austin,0.36700000000000005
Bowling Green,0.36700000000000005
Colorado St,0.366
UT Arlington,0.366
BYU,0.366
Manhattan,0.366
Vanderbilt,0.366
NC Central,0.365
Washington St,0.365
C Arkansas,0.365
NW State,0.364
Pacific,0.364
Canisius,0.363
Arizona St,0.363
Grand Canyon,0.363
Tulane,0.363
Abl Christian,0.36200000000000004
Middle Tenn,0.361
Seattle,0.36
Fordham,0.36
Cleveland St,0.36
Temple,0.359
Elon,0.358
The Citadel,0.358
UC Riverside,0.358
Chattanooga,0.358
Louisiana Tech,0.358
W Michigan,0.358
W Illinois,0.35700000000000004
Little Rock,0.35700000000000004
Saint Mary's,0.35700000000000004
Penn St,0.35700000000000004
Jacksonville St,0.35600000000000004
N Dakota St,0.35600000000000004
S Utah,0.355
Bradley,0.355
Wright St,0.354
Marquette,0.354
Virginia Tech,0.354
Lafayette,0.354
Yale,0.353
UCF,0.353
UNLV,0.353
Drake,0.35200000000000004
Illinois,0.35200000000000004
Nebraska,0.35100000000000003
Delaware,0.35
Michigan St,0.35
Missouri,0.349
UConn,0.349
Seton Hall,0.349
NC A&T,0.349
S Alabama,0.348
LIU-Brooklyn,0.348
UTSA,0.34700000000000003
San Diego,0.34700000000000003
Wichita St,0.34700000000000003
Drexel,0.34700000000000003
San Francisco,0.34600000000000003
Murray St,0.345
Hawai'i,0.344
Tennessee,0.34299999999999997
Albany,0.34299999999999997
Bethune,0.342
Lamar,0.341
Texas,0.341
Clemson,0.33899999999999997
N Arizona,0.33899999999999997
Wake Forest,0.33899999999999997
Oregon,0.33899999999999997
Valparaiso,0.33899999999999997
Illinois Chicago,0.33899999999999997
SIU Edward,0.33899999999999997
Oklahoma,0.33799999999999997
SE Louisiana,0.33799999999999997
Binghamton,0.33799999999999997
Holy Cross,0.337
Coastal Car,0.337
Morehead St,0.337
Duke,0.337
Charleston,0.336
Minnesota,0.336
West Virginia,0.336
Idaho,0.336
Saint Louis,0.336
Maryland ES,0.336
South Carolina,0.335
Stetson,0.335
McNeese,0.335
Rider,0.335
Baylor,0.335
Incarnate Word,0.335
Fresno St,0.33399999999999996
Brown,0.33299999999999996
North Dakota,0.33299999999999996
Samford,0.33299999999999996
SE Missouri St,0.332
Mercer,0.332
Cal Poly,0.332
Saint Peter's,0.332
Wofford,0.332
S Carolina St,0.332
Xavier,0.332
Washington,0.331
UCSB,0.331
Dartmouth,0.331
Mississippi,0.33
Nicholls,0.33
Youngstown St,0.32899999999999996
Old Dominion,0.32899999999999996
Saint Joseph's,0.32799999999999996
Bucknell,0.32799999999999996
Loyola Chi,0.32799999999999996
Radford,0.32799999999999996
Niagara,0.326
Hampton,0.326
UMBC,0.325
Texas Tech,0.325
Miami OH,0.325
Penn,0.325
Georgetown,0.325
St Fran (NY),0.325
Purdue,0.324
CS Bakersfield,0.324
Jacksonville,0.32299999999999995
NC State,0.322
Tennessee St,0.322
Tulsa,0.321
Ohio St,0.32
Missouri St,0.319
Detroit Mercy,0.318
Oregon St,0.318
Gonzaga,0.318
Illinois St,0.317
N Colorado,0.317
W Carolina,0.316
Portland,0.315
NC Greensboro,0.315
Omaha,0.315
Louisville,0.314
Louisiana,0.314
Wagner,0.313
Navy,0.313
Stanford,0.312
Texas So,0.312
Arkansas St,0.312
Georgia,0.311
CS Fullerton,0.311
Portland St,0.31
Arkansas,0.31
Texas St,0.309
Jackson St,0.308
N Illinois,0.307
Howard,0.307
Robert Morris,0.306
Tenn Tech,0.306
High Point,0.306
San Diego St,0.306
Morgan St,0.306
FGCU,0.305
Northeastern,0.305
St John's,0.304
Oral Roberts,0.304
South Dakota,0.304
UC Irvine,0.304
Buffalo,0.303
Vermont,0.303
UL Monroe,0.303
Iowa,0.302
New Mexico,0.302
Austin Peay,0.302
N Texas,0.301
UAB,0.301
Texas A&M-CC,0.3
Alcorn St,0.3
Norfolk St,0.299
Cincinnati,0.297
Monmouth,0.297
Quinnipiac,0.29600000000000004
UTEP,0.295
La Salle,0.294
Rutgers,0.294
Sacramento St,0.293
Texas A&M,0.292
St Bonaventure,0.292
Syracuse,0.29
Toledo,0.29
Stony Brook,0.29
Providence,0.289
UCLA,0.289
G Washington,0.289
Charlotte,0.28800000000000003
Colorado,0.287
Butler,0.287
Loyola MD,0.287
Lehigh,0.285
Kansas,0.284
LSU,0.284
Florida Intl,0.284
Liberty,0.284
Mississippi St,0.28300000000000003
Florida St,0.282
Florida A&M,0.281
Loyola Mymt,0.27899999999999997
Prairie View,0.27899999999999997
Pepperdine,0.27899999999999997
Rhode Island,0.278
Sacred Heart,0.278
USC,0.278
Memphis,0.27699999999999997
California,0.276
Georgia St,0.275
Virginia,0.275
UMass,0.273
Georgia Tech,0.273
UT Rio Grande,0.272
Miss Valley St,0.272
Alabama St,0.271
C Connecticut,0.271
Kentucky,0.271
Kansas St,0.264
Green Bay,0.264
Harvard,0.264
Siena,0.264
IU Indy,0.262
S Florida,0.261
Southern,0.26
S Illinois,0.259
Arizona,0.259
Pittsburgh,0.259
Grambling,0.259
Idaho St,0.257
Savannah St,0.256
TCU,0.254
Presbyterian,0.254
New Mexico St,0.253
NC Wilmington,0.253
Towson,0.252
Hou Christian,0.251
George Mason,0.247
Nevada,0.244
Evansville,0.24
SMU,0.231
New Orleans,0.23
North Carolina,0.223
CS Northridge,0.19
