team,seed,wins,finish_label,notes
BAY,1,1,Round of 32,
Baylor,1,5,Runner-up,
GONZ,1,0,First Round,
Gonzaga,1,5,Runner-up,
Illinois,1,1,Round of 32,
Michigan,1,3,Elite Eight,
Alabama,2,2,Sweet 16,
Houston,2,4,Final Four,
Iowa,2,1,Round of 32,
Ohio State,2,0,First Round,
Arkansas,3,3,Elite Eight,
Kansas,3,1,Round of 32,
Texas,3,0,First Round,
West Virginia,3,1,Round of 32,
Florida St,4,2,Sweet 16,
Oklahoma St,4,1,Round of 32,
Purdue,4,0,First Round,
Virginia,4,0,First Round,
Colorado,5,1,Round of 32,
Creighton,5,2,Sweet 16,
Tennessee,5,0,First Round,
Villanova,5,2,Sweet 16,
BYU,6,0,First Round,
San Diego St,6,0,First Round,
Texas Tech,6,1,Round of 32,
USC,6,3,Elite Eight,
Clemson,7,0,First Round,
Florida,7,1,Round of 32,
Oregon,7,1,Round of 32,
UConn,7,0,First Round,
LSU,8,1,Round of 32,
Loyola Chicago,8,2,Sweet 16,
North Carolina,8,0,First Round,
Oklahoma,8,1,Round of 32,
Georgia Tech,9,0,First Round,
Missouri,9,0,First Round,
St Bonaventure,9,0,First Round,
Wisconsin,9,1,Round of 32,
Maryland,10,1,Round of 32,
Rutgers,10,1,Round of 32,
Virginia Tech,10,0,First Round,
Drake,11,0,First Round,
Michigan St,11,0,First Round,
Syracuse,11,2,Sweet 16,
UCLA,11,4,Final Four,
Utah State,11,0,First Round,
Wichita St,11,0,First Round,
Georgetown,12,0,First Round,
Oregon St,12,3,Elite Eight,
Santa Barbara,12,0,First Round,
Winthrop,12,0,First Round,
Liberty,13,0,First Round,
North Texas,13,1,Round of 32,
Ohio,13,1,Round of 32,
UNC Greensboro,13,0,First Round,
Abilene Chrstn,14,1,Round of 32,
Colgate,14,0,First Round,
E Washington,14,0,First Round,
Morehead St,14,0,First Round,
Cleveland St,15,0,First Round,
Grand Canyon,15,0,First Round,
Iona,15,0,First Round,
Oral Roberts,15,2,Sweet 16,
App State,16,0,First Round,
Drexel,16,0,First Round,
Hartford,16,0,First Round,
Mount St Marys,16,0,First Round,
Norfolk St,16,0,First Round,
Texas Southern,16,0,First Round,
