team,Seas_Def_Rebound_Per
Saint Mary's,0.815
Boston U,0.797
North Carolina,0.795
Arizona,0.7929999999999999
N Iowa,0.7909999999999999
Indiana St,0.789
BYU,0.7879999999999999
Dartmouth,0.7879999999999999
Drake,0.787
Pittsburgh,0.7859999999999999
Washington St,0.7859999999999999
Boise St,0.785
Kansas City,0.785
Villanova,0.7829999999999999
Binghamton,0.7829999999999999
San Francisco,0.7829999999999999
Yale,0.782
Lehigh,0.78
Drexel,0.78
W Carolina,0.779
Vermont,0.779
Hawai'i,0.777
Colgate,0.775
Weber St,0.775
Wisconsin,0.775
Loyola Chi,0.773
Bowling Green,0.772
Missouri St,0.772
Purdue,0.772
Colorado,0.772
Cal Baptist,0.7709999999999999
Cincinnati,0.7709999999999999
High Point,0.77
UConn,0.769
North Dakota,0.768
Creighton,0.768
N Colorado,0.7659999999999999
N Dakota St,0.7659999999999999
Wake Forest,0.764
CS Northridge,0.764
Fordham,0.764
S Dakota St,0.764
Texas A&M-CC,0.763
Akron,0.763
Utah,0.763
Sacramento St,0.762
Jacksonville St,0.762
Liberty,0.762
S Illinois,0.762
Santa Clara,0.7609999999999999
Louisiana Tech,0.7609999999999999
Illinois,0.7609999999999999
Morehead St,0.7609999999999999
Army,0.7609999999999999
Clemson,0.7609999999999999
St Thomas,0.76
California,0.76
Murray St,0.76
Duke,0.76
Towson,0.76
Utah Valley,0.759
W Kentucky,0.759
Princeton,0.759
Illinois St,0.758
Loyola MD,0.758
Charleston,0.758
Utah St,0.757
UCSB,0.757
UC Riverside,0.757
App State,0.757
Providence,0.757
New Hampshire,0.7559999999999999
UT Martin,0.7559999999999999
Seattle,0.7559999999999999
Stanford,0.7559999999999999
Pepperdine,0.7559999999999999
UC Irvine,0.7559999999999999
Kansas,0.7559999999999999
Penn,0.7559999999999999
Evansville,0.7559999999999999
Oregon,0.755
Nevada,0.754
American,0.754
Richmond,0.754
C Connecticut,0.753
Furman,0.753
Wofford,0.753
Oklahoma,0.753
UCF,0.753
Illinois Chicago,0.753
Northeastern,0.752
Virginia Tech,0.752
Boston College,0.752
UMass Lowell,0.7509999999999999
New Mexico,0.7509999999999999
Baylor,0.75
UCSD,0.75
Sam Houston,0.7490000000000001
Marist,0.7490000000000001
South Carolina,0.7490000000000001
George Mason,0.7490000000000001
VCU,0.7490000000000001
Loyola Mymt,0.7490000000000001
Omaha,0.7490000000000001
Gardner-Webb,0.748
Notre Dame,0.748
Northwestern,0.748
J Madison,0.748
Brown,0.748
Youngstown St,0.747
SIU Edward,0.747
Delaware,0.747
N Alabama,0.747
Montana,0.747
The Citadel,0.747
Louisville,0.747
Portland St,0.746
Wagner,0.746
TCU,0.745
Colorado St,0.7440000000000001
FGCU,0.7440000000000001
Longwood,0.7440000000000001
Mississippi St,0.7440000000000001
Michigan St,0.7440000000000001
Idaho St,0.7440000000000001
Niagara,0.743
UTSA,0.743
Minnesota,0.743
Ball St,0.743
Mt St Mary's,0.742
Belmont,0.742
G Washington,0.742
Denver,0.742
E Washington,0.742
S Indiana,0.741
Texas A&M,0.741
UCLA,0.74
Seton Hall,0.74
Tenn Tech,0.74
Georgia Tech,0.7390000000000001
Holy Cross,0.7390000000000001
St Bonaventure,0.7390000000000001
Miami,0.7390000000000001
Davidson,0.738
Marshall,0.738
Florida,0.737
Virginia,0.737
Saint Louis,0.737
NC State,0.737
Saint Joseph's,0.737
Tennessee,0.736
Columbia,0.736
Gonzaga,0.736
Presbyterian,0.736
Dayton,0.735
Canisius,0.735
Arkansas St,0.735
E Illinois,0.735
W Illinois,0.735
Ohio St,0.735
Toledo,0.7340000000000001
Long Beach St,0.7340000000000001
Alabama St,0.7340000000000001
