team,Seas_Off_Rebound_Per
Texas A&M,0.415
Towson,0.38799999999999996
St John's,0.37
Saint Mary's,0.37
Purdue,0.369
Houston,0.368
SMU,0.365
Florida,0.364
High Point,0.36200000000000004
S Carolina St,0.361
UConn,0.35700000000000004
Longwood,0.355
W Illinois,0.355
Cincinnati,0.35100000000000003
UMass,0.349
Arizona,0.34600000000000003
Milwaukee,0.34299999999999997
TCU,0.342
Illinois,0.341
Seton Hall,0.33799999999999997
E Tennessee St,0.335
Mississippi St,0.335
Alabama,0.33399999999999996
UAB,0.331
Jacksonville,0.331
Santa Clara,0.331
Baylor,0.33
Arkansas St,0.327
Troy,0.327
Grand Canyon,0.324
Saint Peter's,0.324
Charleston,0.32299999999999995
Louisiana Tech,0.322
W Michigan,0.322
Sacramento St,0.322
Jackson St,0.322
Drexel,0.322
Cleveland St,0.321
Memphis,0.321
Gonzaga,0.318
Robert Morris,0.318
UT Arlington,0.318
Texas A&M-CC,0.318
Washington St,0.317
Jacksonville St,0.317
Youngstown St,0.317
Lamar,0.317
North Carolina,0.317
Tennessee,0.316
CS Bakersfield,0.316
Canisius,0.316
Florida Atlantic,0.315
Fordham,0.315
Long Beach St,0.315
Auburn,0.315
SF Austin,0.314
UL Monroe,0.313
E Kentucky,0.313
Siena,0.312
UCF,0.312
New Mexico,0.312
E Carolina,0.311
San Diego St,0.311
Georgetown,0.311
BYU,0.31
Delaware St,0.31
Howard,0.309
Boise St,0.309
N Texas,0.309
Quinnipiac,0.309
Alcorn St,0.308
St Francis PA,0.308
McNeese,0.308
Kansas St,0.307
Cal Baptist,0.306
Chicago St,0.306
Maryland,0.305
Little Rock,0.304
Sam Houston,0.303
Brown,0.303
Georgia Tech,0.302
Northeastern,0.302
Morehead St,0.299
South Carolina,0.299
Norfolk St,0.298
Iowa St,0.298
Ohio St,0.298
Duke,0.297
UMass Lowell,0.297
Kansas City,0.29600000000000004
Monmouth,0.29600000000000004
Alabama A&M,0.295
Rider,0.294
UTSA,0.294
J Madison,0.293
LSU,0.293
Pittsburgh,0.29100000000000004
Colorado,0.29100000000000004
George Mason,0.29100000000000004
UC Irvine,0.29100000000000004
Navy,0.29
Kent St,0.29
Wichita St,0.29
SE Louisiana,0.29
Oakland,0.289
Albany,0.289
NC Central,0.289
Alabama St,0.287
Radford,0.287
North Dakota,0.28600000000000003
Tarleton St,0.28600000000000003
Louisiana,0.28600000000000003
App State,0.28600000000000003
NC Wilmington,0.28600000000000003
Mt St Mary's,0.28600000000000003
Texas So,0.28600000000000003
Michigan St,0.28600000000000003
Idaho St,0.285
Loyola Mymt,0.285
CS Northridge,0.285
Michigan,0.285
Bowling Green,0.285
Texas Tech,0.284
Wisconsin,0.284
Incarnate Word,0.284
Xavier,0.284
Oklahoma,0.28300000000000003
Wofford,0.28300000000000003
Missouri St,0.28300000000000003
Texas St,0.282
NC Greensboro,0.282
San Francisco,0.282
NW State,0.282
W Carolina,0.281
Rutgers,0.281
Mississippi,0.281
Austin Peay,0.281
Winthrop,0.281
Seattle,0.28
St Bonaventure,0.27899999999999997
Duquesne,0.27899999999999997
FGCU,0.27899999999999997
Texas,0.278
UCLA,0.278
Kennesaw St,0.278
Portland St,0.27699999999999997
Mercer,0.27699999999999997
Marshall,0.27699999999999997
UNLV,0.275
Illinois St,0.275
Furman,0.27399999999999997
Saint Joseph's,0.27399999999999997
Wright St,0.273
Minnesota,0.273
UTEP,0.272
Samford,0.272
Akron,0.271
Bethune,0.271
Wagner,0.271
Elon,0.27
N Kentucky,0.27
Coastal Car,0.27
SIU Edward,0.26899999999999996
Toledo,0.26899999999999996
USC,0.26899999999999996
Utah Valley,0.268
C Michigan,0.268
NC State,0.268
Iona,0.268
Hou Christian,0.267
William & Mary,0.267
Morgan St,0.267
California,0.267
Florida St,0.266
Bradley,0.266
Loyola MD,0.266
NJIT,0.266
IU Indy,0.265
UC Riverside,0.265
VCU,0.265
UC Davis,0.264
Miami,0.264
Oregon,0.264
Notre Dame,0.264
Penn,0.264
Rhode Island,0.264
C Arkansas,0.264
N Illinois,0.263
Binghamton,0.263
Southern Miss,0.263
W Kentucky,0.263
Pepperdine,0.263
Gardner-Webb,0.262
Maryland ES,0.262
Rice,0.261
Grambling,0.261
Kentucky,0.261
S Florida,0.261
American,0.26
Wyoming,0.26
Utah St,0.26
Louisville,0.26
Vanderbilt,0.26
Georgia So,0.26
Utah Tech,0.259
Nebraska,0.258
Nevada,0.258
Ohio,0.258
S Indiana,0.258
C Connecticut,0.258
Middle Tenn,0.257
Temple,0.257
Fairfield,0.257
New Orleans,0.257
Yale,0.255
Stetson,0.255
Clemson,0.255
Utah,0.255
Tennessee St,0.255
Miss Valley St,0.254
S Utah,0.254
UCSD,0.254
F Dickinson,0.253
Chattanooga,0.253
NC Asheville,0.253
Georgia St,0.253
Hampton,0.253
E Illinois,0.252
Providence,0.252
Iowa,0.252
Boston College,0.252
Buffalo,0.252
Indiana,0.251
Queens,0.251
Charleston So,0.25
E Michigan,0.25
Nicholls,0.249
Florida A&M,0.249
Ball St,0.249
The Citadel,0.249
Murray St,0.249
Oklahoma St,0.248
Loyola Chi,0.248
N Alabama,0.248
Southern,0.248
Columbia,0.248
Cornell,0.248
Army,0.247
UT Martin,0.247
South Dakota,0.24600000000000002
San Diego,0.24600000000000002
Penn St,0.245
Boston U,0.245
E Washington,0.245
Delaware,0.245
Green Bay,0.244
Davidson,0.244
Detroit Mercy,0.244
Kansas,0.244
Coppin St,0.244
Denver,0.243
West Virginia,0.243
Stony Brook,0.243
Marquette,0.242
Florida Intl,0.24100000000000002
Dayton,0.24100000000000002
Missouri,0.24100000000000002
Northwestern,0.24100000000000002
Charlotte,0.24100000000000002
Presbyterian,0.24
Valparaiso,0.24
Washington,0.24
Prairie View,0.239
Harvard,0.239
Creighton,0.239
New Mexico St,0.23800000000000002
Colgate,0.237
Georgia,0.237
S Illinois,0.237
Saint Louis,0.237
Wake Forest,0.23600000000000002
UCSB,0.23600000000000002
Virginia,0.23399999999999999
Old Dominion,0.233
La Salle,0.233
Bucknell,0.233
Arkansas,0.233
G Washington,0.23199999999999998
Oregon St,0.23199999999999998
Abl Christian,0.231
Omaha,0.231
CS Fullerton,0.231
LIU,0.23
Tulsa,0.23
Hawai'i,0.23
Montana,0.22899999999999998
SE Missouri St,0.22899999999999998
Virginia Tech,0.22899999999999998
UMBC,0.22899999999999998
Air Force,0.228
Butler,0.22699999999999998
Sacred Heart,0.22699999999999998
Colorado St,0.226
Fresno St,0.226
N Dakota St,0.226
Manhattan,0.225
N Arizona,0.225
N Florida,0.22399999999999998
Liberty,0.22399999999999998
S Dakota St,0.223
Villanova,0.223
N Colorado,0.222
Drake,0.221
Weber St,0.221
N Iowa,0.22
Niagara,0.21899999999999997
UT Rio Grande,0.218
Lafayette,0.218
VMI,0.217
Princeton,0.217
E Texas A&M,0.21600000000000003
Lindenwood,0.215
Syracuse,0.215
Le Moyne,0.215
NC A&T,0.214
Cal Poly,0.214
