team,Seas_Opp_PPG
Houston,57.6
Virginia,59.8
Saint Mary's,60.2
Iowa St,61.5
Marist,62.2
UConn,63.4
Saint Peter's,63.8
Vermont,63.8
Wagner,64.1
Towson,64.2
N Texas,64.4
Merrimack,64.6
McNeese,64.8
Colgate,64.9
Louisiana Tech,65.6
Villanova,65.6
St Thomas,65.6
Army,65.7
Maryland,65.9
UCLA,66.0
Michigan St,66.1
George Mason,66.1
Morehead St,66.3
Richmond,66.3
Duke,66.3
Charlotte,66.3
Dayton,66.5
Rutgers,66.5
VCU,66.7
Washington St,66.7
San Francisco,66.8
Grand Canyon,66.8
Akron,67.1
Cal Baptist,67.1
Drexel,67.1
Notre Dame,67.2
Boston U,67.2
Nevada,67.2
Bucknell,67.2
Duquesne,67.2
Seattle,67.4
W Illinois,67.4
Tennessee,67.4
San Diego St,67.4
South Carolina,67.6
Boise St,67.6
Jacksonville St,67.6
Loyola Chi,67.6
Pittsburgh,67.6
Bradley,67.7
Maine,67.7
Lafayette,67.8
Navy,67.8
American,67.8
Colorado St,67.9
UCF,67.9
Illinois St,68.0
Princeton,68.1
Cincinnati,68.2
Davidson,68.3
Liberty,68.3
C Connecticut,68.3
Auburn,68.3
S Illinois,68.6
St Bonaventure,68.6
Norfolk St,68.6
App State,68.7
Providence,68.8
Oklahoma,68.8
UC Irvine,68.8
Texas,68.9
Texas A&M-CC,68.9
Yale,68.9
UC Davis,69.0
Utah Valley,69.0
Purdue,69.0
SMU,69.0
Mississippi St,69.1
Northwestern,69.1
Hofstra,69.1
UTEP,69.1
Hawai'i,69.3
S Florida,69.3
Weber St,69.5
Gonzaga,69.5
Grambling,69.5
Texas Tech,69.6
Delaware,69.7
W Carolina,69.8
Marquette,69.8
UNLV,69.8
UCSD,69.9
Creighton,69.9
J Madison,69.9
Seton Hall,69.9
Sam Houston,69.9
BYU,69.9
Wisconsin,70.0
Green Bay,70.2
Longwood,70.2
C Michigan,70.2
Tarleton St,70.2
Ohio St,70.2
Murray St,70.3
Kansas,70.3
CS Fullerton,70.4
CS Bakersfield,70.4
E Illinois,70.4
Drake,70.5
Texas St,70.5
North Carolina,70.5
Saint Joseph's,70.5
Southern,70.6
E Carolina,70.6
Iona,70.6
Wake Forest,70.7
NC Greensboro,70.7
UMass,70.7
E Tennessee St,70.8
Nebraska,70.9
NC Central,70.9
Alabama St,70.9
SIU Edward,71.0
Miami OH,71.0
Virginia Tech,71.0
Texas So,71.1
Kansas St,71.1
Baylor,71.1
New Mexico,71.2
Clemson,71.2
Missouri St,71.3
Ohio,71.3
Middle Tenn,71.3
Sacramento St,71.3
Delaware St,71.4
Kansas City,71.4
Le Moyne,71.5
Loyola Mymt,71.5
Chicago St,71.6
FGCU,71.6
NC Wilmington,71.6
Fairfield,71.7
Colorado,71.7
TCU,71.7
N Iowa,71.8
Idaho St,71.8
NC State,71.8
SE Louisiana,71.8
Mt St Mary's,71.8
SF Austin,71.8
Boston College,71.9
Minnesota,71.9
St John's,71.9
Quinnipiac,71.9
S Dakota St,72.0
Texas A&M,72.0
Kent St,72.0
Arizona,72.1
Bowling Green,72.1
UMass Lowell,72.2
Canisius,72.2
The Citadel,72.2
Tennessee St,72.2
Oregon,72.3
Illinois Chicago,72.3
Rider,72.3
Northeastern,72.3
Santa Clara,72.3
Air Force,72.4
Niagara,72.4
Youngstown St,72.4
UC Riverside,72.4
Loyola MD,72.4
Fordham,72.4
Lehigh,72.5
Little Rock,72.5
Mercer,72.5
Montana,72.5
Brown,72.5
Harvard,72.6
Troy,72.6
Utah St,72.6
Monmouth,72.6
Oklahoma St,72.7
Portland St,72.7
Ball St,72.7
Louisiana,72.7
Idaho,72.8
Coppin St,72.8
Southern Miss,72.9
Purdue FW,72.9
Radford,72.9
Stony Brook,73.0
Maryland ES,73.1
Chattanooga,73.1
Oakland,73.2
Utah,73.2
Dartmouth,73.2
UCSB,73.3
Sacred Heart,73.3
Wichita St,73.3
Illinois,73.3
Florida Atlantic,73.4
Penn St,73.4
Temple,73.4
Lamar,73.4
Winthrop,73.5
Indiana St,73.5
Oregon St,73.5
E Michigan,73.6
Miami,73.6
Abl Christian,73.7
Tenn Tech,73.7
Bethune,73.7
St Francis PA,73.7
Cleveland St,73.7
Binghamton,73.8
Butler,73.8
N Kentucky,73.8
Mississippi,73.9
Campbell,73.9
North Dakota,74.0
Charleston,74.0
Arizona St,74.0
Evansville,74.0
La Salle,74.1
Fresno St,74.2
William & Mary,74.2
USC,74.3
Indiana,74.3
Siena,74.4
CS Northridge,74.4
Charleston So,74.5
Cal Poly,74.5
Tulsa,74.5
Presbyterian,74.6
Jacksonville,74.6
Xavier,74.6
Omaha,74.7
W Kentucky,74.7
Georgia,74.7
UT Arlington,74.7
Montana St,74.8
Austin Peay,74.8
SC Upstate,74.8
Gardner-Webb,74.8
UL Monroe,74.9
Lindenwood,74.9
NC Asheville,74.9
Nicholls,74.9
Samford,74.9
S Indiana,75.0
S Carolina St,75.0
LSU,75.0
W Michigan,75.0
Holy Cross,75.1
Howard,75.1
High Point,75.2
San Jose St,75.2
Cornell,75.2
New Mexico St,75.2
Georgia Tech,75.2
Pepperdine,75.2
New Hampshire,75.3
Bryant,75.3
Columbia,75.3
Wofford,75.3
Jackson St,75.6
Wyoming,75.6
UAB,75.6
Stetson,75.6
Penn,75.7
Memphis,75.8
Alabama A&M,75.8
Vanderbilt,75.9
NJIT,75.9
S Alabama,75.9
Valparaiso,76.0
Belmont,76.1
Toledo,76.1
Manhattan,76.1
SE Missouri St,76.2
Missouri,76.2
Long Beach St,76.2
Elon,76.2
Rice,76.3
Syracuse,76.3
Florida St,76.3
N Dakota St,76.3
Georgia St,76.4
Stanford,76.5
E Texas A&M,76.6
N Arizona,76.6
Florida A&M,76.7
NW State,76.7
Furman,76.7
LIU,76.8
Bellarmine,76.8
West Virginia,76.8
Rhode Island,76.9
Marshall,76.9
Oral Roberts,77.0
N Alabama,77.0
Arkansas St,77.0
California,77.0
Washington,77.1
Florida Intl,77.2
Stonehill,77.2
Prairie View,77.3
Lipscomb,77.3
Utah Tech,77.3
G Washington,77.4
E Kentucky,77.4
Robert Morris,77.4
E Washington,77.6
Old Dominion,77.6
N Florida,77.7
Miss Valley St,77.7
S Utah,77.8
UT Martin,77.9
Georgetown,77.9
Alcorn St,77.9
NC A&T,77.9
San Diego,78.1
N Colorado,78.2
F Dickinson,78.4
Hampton,78.5
Michigan,79.0
Louisville,79.1
N Illinois,79.2
Florida,79.2
Georgia So,79.2
Incarnate Word,79.3
Coastal Car,79.4
Iowa,79.4
Albany,79.4
Milwaukee,79.5
Portland,79.5
Buffalo,79.6
Kentucky,79.7
Arkansas,79.8
Saint Louis,79.8
Morgan St,80.0
Detroit Mercy,80.3
C Arkansas,80.3
Tulane,80.6
UT Rio Grande,80.7
IU Indy,81.2
UMBC,81.2
Alabama,81.2
Pacific,81.4
South Dakota,81.5
New Orleans,81.6
UTSA,81.6
DePaul,81.8
Denver,82.1
Queens,82.6
Wright St,82.8
AR-Pine Bluff,83.7
Kennesaw St,83.7
Hou Christian,84.8
VMI,84.9
