team,Seas_Opp_3PT_Rate
Hawai'i,0.254
Cal Baptist,0.268
Arkansas St,0.26899999999999996
S Utah,0.272
Niagara,0.276
Creighton,0.27899999999999997
Illinois,0.28300000000000003
Saint Mary's,0.292
Albany,0.29600000000000004
Middle Tenn,0.297
N Florida,0.299
Idaho St,0.3
Maryland,0.301
Cal Poly,0.303
E Texas A&M,0.304
UC Irvine,0.304
SE Missouri St,0.305
Minnesota,0.305
S Illinois,0.305
W Illinois,0.307
Fordham,0.31
Washington St,0.311
Merrimack,0.312
South Carolina,0.313
Pepperdine,0.314
Charleston So,0.315
Morehead St,0.316
Abl Christian,0.317
Loyola Mymt,0.317
New Orleans,0.317
Canisius,0.318
Montana,0.318
High Point,0.318
W Carolina,0.318
Louisiana,0.321
Florida,0.324
Morgan St,0.324
Liberty,0.326
Michigan,0.326
App State,0.327
La Salle,0.32799999999999996
Texas,0.32799999999999996
Penn St,0.32799999999999996
Prairie View,0.32899999999999996
UConn,0.32899999999999996
Oklahoma St,0.32899999999999996
UC Davis,0.331
Maine,0.332
Howard,0.332
UC Riverside,0.33299999999999996
E Kentucky,0.33399999999999996
Auburn,0.33399999999999996
UT Rio Grande,0.33399999999999996
Ohio St,0.336
Troy,0.337
UCSB,0.337
Colorado St,0.337
UMass Lowell,0.337
Manhattan,0.33799999999999997
Virginia Tech,0.33899999999999997
UTEP,0.33899999999999997
Seattle,0.33899999999999997
North Dakota,0.33899999999999997
BYU,0.34
Indiana St,0.34
N Arizona,0.34
Siena,0.341
Arkansas,0.341
Hou Christian,0.341
Providence,0.341
Gardner-Webb,0.342
Grand Canyon,0.342
Grambling,0.342
Tennessee St,0.342
Wisconsin,0.34299999999999997
LIU,0.34299999999999997
Incarnate Word,0.344
Southern Miss,0.345
Bowling Green,0.345
Utah Valley,0.34600000000000003
Montana St,0.34700000000000003
N Dakota St,0.34700000000000003
Duke,0.34700000000000003
Mt St Mary's,0.348
N Alabama,0.348
Cincinnati,0.348
Robert Morris,0.348
Washington,0.348
Saint Peter's,0.349
Illinois Chicago,0.35
Furman,0.35
TCU,0.35100000000000003
San Jose St,0.35100000000000003
Bryant,0.35100000000000003
Ball St,0.35200000000000004
C Connecticut,0.35200000000000004
SC Upstate,0.35200000000000004
Buffalo,0.35200000000000004
Valparaiso,0.35200000000000004
Colorado,0.35200000000000004
Bethune,0.35200000000000004
Marshall,0.353
Green Bay,0.353
Xavier,0.354
Drexel,0.354
Baylor,0.354
Texas St,0.354
Chicago St,0.355
Wake Forest,0.355
J Madison,0.355
UT Arlington,0.355
Denver,0.355
Southern,0.35600000000000004
Presbyterian,0.35600000000000004
UCSD,0.35700000000000004
Oklahoma,0.35700000000000004
Youngstown St,0.35700000000000004
Austin Peay,0.35700000000000004
NJIT,0.358
NC Asheville,0.358
North Carolina,0.358
N Illinois,0.359
St John's,0.359
Loyola Chi,0.359
Iowa,0.36
Florida Intl,0.36
Texas So,0.36
Florida Atlantic,0.361
S Alabama,0.361
N Texas,0.361
Jacksonville St,0.36200000000000004
California,0.36200000000000004
Texas A&M-CC,0.36200000000000004
Maryland ES,0.36200000000000004
Nicholls,0.363
Tarleton St,0.363
Georgia So,0.364
Delaware,0.364
UMBC,0.364
Louisiana Tech,0.364
Utah,0.364
Purdue FW,0.364
Miss Valley St,0.365
New Mexico,0.365
Utah St,0.365
Vermont,0.365
Gonzaga,0.366
Loyola MD,0.366
Charlotte,0.366
Lipscomb,0.366
