team,Seas_Succ_3PT
N Florida,0.456
BYU,0.41
Chattanooga,0.40700000000000003
Le Moyne,0.40700000000000003
NC Greensboro,0.40700000000000003
AR-Pine Bluff,0.405
Princeton,0.40399999999999997
Creighton,0.4
Air Force,0.39899999999999997
Saint Joseph's,0.39899999999999997
Hofstra,0.39899999999999997
Liberty,0.397
Villanova,0.396
Army,0.39399999999999996
Charleston,0.39299999999999996
Wofford,0.389
Stonehill,0.389
Green Bay,0.389
Indiana St,0.387
Georgia So,0.38299999999999995
Pittsburgh,0.381
Dayton,0.38
St Thomas,0.379
Furman,0.37799999999999995
William & Mary,0.377
Bucknell,0.375
Penn,0.373
Oral Roberts,0.373
American,0.37200000000000005
Cornell,0.37200000000000005
Alabama,0.37200000000000005
Elon,0.371
Illinois Chicago,0.369
Portland,0.369
Morehead St,0.368
UTSA,0.36700000000000005
San Jose St,0.364
Fairfield,0.363
UC Riverside,0.36200000000000004
Kansas City,0.36200000000000004
Nebraska,0.36200000000000004
Purdue FW,0.36
N Texas,0.36
E Texas A&M,0.358
VCU,0.358
Robert Morris,0.358
Notre Dame,0.35600000000000004
California,0.35600000000000004
Utah,0.355
Bradley,0.354
Miami OH,0.354
S Florida,0.354
Loyola Mymt,0.354
Miami,0.354
Belmont,0.354
La Salle,0.354
Vermont,0.354
New Hampshire,0.353
Montana St,0.35200000000000004
Stanford,0.35100000000000003
Dartmouth,0.35100000000000003
Arkansas St,0.35100000000000003
Georgetown,0.35100000000000003
Samford,0.35
Temple,0.349
G Washington,0.348
Florida Intl,0.348
Stetson,0.34600000000000003
Iona,0.345
Providence,0.34299999999999997
Oklahoma St,0.34299999999999997
Idaho,0.34299999999999997
Boston U,0.342
UT Arlington,0.342
Fordham,0.342
Ohio,0.341
Nicholls,0.341
Columbia,0.341
Oakland,0.34
Lafayette,0.34
Marquette,0.34
Brown,0.34
Lipscomb,0.34
UCSD,0.33899999999999997
S Illinois,0.33899999999999997
Kent St,0.33899999999999997
Texas Tech,0.33899999999999997
Marshall,0.337
Loyola Chi,0.337
Middle Tenn,0.337
Boston College,0.336
Holy Cross,0.336
Denver,0.336
Wagner,0.336
South Carolina,0.336
Georgia Tech,0.335
Northwestern,0.335
S Dakota St,0.33399999999999996
Loyola MD,0.33399999999999996
Kentucky,0.33399999999999996
Tennessee,0.33299999999999996
C Arkansas,0.332
Sacramento St,0.332
Kennesaw St,0.331
San Francisco,0.33
North Dakota,0.32899999999999996
Manhattan,0.32899999999999996
FGCU,0.32899999999999996
E Tennessee St,0.32799999999999996
Youngstown St,0.32799999999999996
Michigan,0.32799999999999996
UT Martin,0.327
W Michigan,0.327
Bellarmine,0.327
Baylor,0.327
Georgia,0.326
Queens,0.325
Troy,0.325
Virginia Tech,0.325
Hawai'i,0.324
Colgate,0.324
Duquesne,0.32299999999999995
Rice,0.32299999999999995
Merrimack,0.32299999999999995
Howard,0.322
SE Louisiana,0.322
Stony Brook,0.32
Drake,0.32
Valparaiso,0.32
Butler,0.32
E Washington,0.319
Clemson,0.319
W Carolina,0.318
Harvard,0.318
Marist,0.317
F Dickinson,0.317
N Dakota St,0.316
Saint Louis,0.316
Monmouth,0.316
Duke,0.316
Boise St,0.316
Houston,0.315
Minnesota,0.315
SC Upstate,0.315
Alabama St,0.315
Hampton,0.313
Ball St,0.313
Santa Clara,0.313
UConn,0.313
West Virginia,0.313
NJIT,0.313
Saint Mary's,0.313
Portland St,0.312
Campbell,0.312
Texas So,0.311
Akron,0.311
St Bonaventure,0.311
Fresno St,0.31
Incarnate Word,0.31
Memphis,0.31
USC,0.309
J Madison,0.309
Penn St,0.309
N Illinois,0.309
Virginia,0.308
NC Wilmington,0.308
Seattle,0.308
South Dakota,0.308
Wyoming,0.307
Kansas St,0.307
St Francis PA,0.307
Canisius,0.307
Richmond,0.306
Montana,0.306
Florida Atlantic,0.305
SIU Edward,0.305
Wake Forest,0.305
Bryant,0.305
LSU,0.305
Gardner-Webb,0.305
SMU,0.305
Tulsa,0.304
Cincinnati,0.304
UMBC,0.303
S Alabama,0.303
Missouri,0.303
Weber St,0.303
Austin Peay,0.302
NC Asheville,0.302
Southern,0.302
Buffalo,0.302
Mississippi,0.302
Sam Houston,0.301
Yale,0.3
Illinois,0.3
Washington,0.3
Radford,0.3
Albany,0.299
Charleston So,0.298
North Carolina,0.298
Oklahoma,0.297
Cal Baptist,0.297
Purdue,0.297
Old Dominion,0.29600000000000004
Cal Poly,0.29600000000000004
E Kentucky,0.29600000000000004
N Alabama,0.295
NC Central,0.295
Milwaukee,0.295
Lehigh,0.295
George Mason,0.295
San Diego,0.294
Sacred Heart,0.294
Pacific,0.293
Davidson,0.293
Lamar,0.292
Arizona St,0.292
Evansville,0.292
Mississippi St,0.29
N Colorado,0.29
N Iowa,0.29
Oregon,0.29
DePaul,0.29
S Indiana,0.289
Auburn,0.289
Vanderbilt,0.289
Louisiana,0.28800000000000003
