team,Seas_Fouls
Creighton,11.5
App State,13.1
Miami,13.1
Lipscomb,13.1
Colgate,13.5
Virginia,13.5
Dayton,13.5
Purdue,13.7
Princeton,13.8
C Connecticut,13.8
The Citadel,13.9
Butler,13.9
Manhattan,14.0
Dartmouth,14.1
Vermont,14.1
Richmond,14.2
Tenn Tech,14.3
Fairfield,14.5
W Illinois,14.6
G Washington,14.6
Hofstra,14.6
Oakland,14.7
Hou Christian,14.7
Rice,14.8
S Dakota St,14.8
FGCU,14.8
Colorado,14.8
Kansas,14.8
Penn,14.9
Delaware,14.9
UT Martin,14.9
Texas Tech,14.9
Niagara,15.0
Portland,15.0
Cincinnati,15.0
Marquette,15.0
Ball St,15.0
Notre Dame,15.1
DePaul,15.1
Stetson,15.1
Campbell,15.1
Harvard,15.2
Northeastern,15.2
Illinois,15.2
Seton Hall,15.2
New Hampshire,15.2
West Virginia,15.2
NC A&T,15.3
Saint Joseph's,15.3
Missouri St,15.3
Vanderbilt,15.3
Villanova,15.3
Stanford,15.3
Stony Brook,15.3
Siena,15.3
N Dakota St,15.3
Murray St,15.4
Drexel,15.5
Pittsburgh,15.5
Stonehill,15.5
Yale,15.5
Wake Forest,15.5
Evansville,15.5
Mt St Mary's,15.5
Wagner,15.5
North Dakota,15.6
UMass Lowell,15.6
Toledo,15.6
Wichita St,15.6
Belmont,15.6
Syracuse,15.6
Middle Tenn,15.6
Gonzaga,15.6
Buffalo,15.6
Weber St,15.7
Le Moyne,15.7
UMBC,15.7
N Kentucky,15.7
Illinois St,15.7
Boston College,15.7
Liberty,15.8
Providence,15.8
Charlotte,15.8
Fresno St,15.8
E Carolina,15.8
Nebraska,15.9
Virginia Tech,15.9
Duke,15.9
Louisiana Tech,15.9
Utah,15.9
St Thomas,15.9
Bowling Green,15.9
UNLV,15.9
Loyola Mymt,15.9
Davidson,15.9
Wright St,16.0
Wyoming,16.0
Oklahoma St,16.0
Pepperdine,16.0
Coastal Car,16.0
Florida Atlantic,16.0
Chattanooga,16.1
Elon,16.1
Minnesota,16.1
Charleston,16.1
Marshall,16.1
Oklahoma,16.1
Canisius,16.1
Army,16.1
Georgia,16.2
South Carolina,16.2
Grambling,16.2
Cal Baptist,16.2
NC State,16.2
UAB,16.2
Marist,16.2
UConn,16.3
Clemson,16.3
Valparaiso,16.3
Furman,16.3
E Kentucky,16.3
Loyola MD,16.3
Hampton,16.3
South Dakota,16.3
Mississippi,16.3
Bellarmine,16.3
UCSD,16.4
Maine,16.4
Indiana St,16.4
Holy Cross,16.4
Idaho St,16.4
SE Louisiana,16.4
Drake,16.4
Merrimack,16.4
Arizona,16.4
Oregon,16.4
Quinnipiac,16.4
VCU,16.4
Lafayette,16.5
American,16.5
C Michigan,16.5
Iowa St,16.5
Georgia Tech,16.5
George Mason,16.5
Wisconsin,16.5
North Carolina,16.5
Saint Mary's,16.5
N Florida,16.6
Mississippi St,16.6
Morehead St,16.6
Michigan St,16.6
Bradley,16.6
Arizona St,16.6
Washington St,16.6
N Iowa,16.7
Georgetown,16.7
Columbia,16.7
Lehigh,16.7
N Colorado,16.7
Towson,16.7
Baylor,16.7
William & Mary,16.7
Montana,16.8
St Bonaventure,16.8
E Michigan,16.8
La Salle,16.8
UCSB,16.8
Xavier,16.8
S Alabama,16.8
Boise St,16.8
Jacksonville St,16.9
Omaha,16.9
Rutgers,16.9
Iowa,16.9
SIU Edward,16.9
Monmouth,16.9
Indiana,16.9
Bucknell,16.9
Youngstown St,17.0
USC,17.0
Texas A&M,17.0
Ohio St,17.0
Jackson St,17.0
Brown,17.0
Louisville,17.0
Temple,17.0
Colorado St,17.0
Utah St,17.0
N Texas,17.0
Akron,17.1
Sacramento St,17.1
Rhode Island,17.1
Binghamton,17.1
Sacred Heart,17.1
Wofford,17.1
NC Wilmington,17.1
Michigan,17.2
Miami OH,17.2
W Carolina,17.2
San Jose St,17.2
Radford,17.2
Green Bay,17.2
Purdue FW,17.2
S Florida,17.2
SMU,17.2
Ohio,17.2
Memphis,17.2
Bryant,17.2
California,17.3
Duquesne,17.3
Charleston So,17.3
Texas,17.3
Denver,17.3
Detroit Mercy,17.3
W Michigan,17.3
Southern Miss,17.3
VMI,17.3
Tulane,17.3
Delaware St,17.3
N Illinois,17.3
Long Beach St,17.4
LSU,17.4
NC Asheville,17.4
C Arkansas,17.4
Arkansas St,17.4
IU Indy,17.4
NC Greensboro,17.4
UC Riverside,17.4
TCU,17.4
Air Force,17.5
Queens,17.5
Maryland,17.5
Pacific,17.5
Tennessee,17.5
Kentucky,17.5
Boston U,17.5
Tulsa,17.5
Kansas St,17.5
Little Rock,17.5
Tarleton St,17.5
New Mexico,17.5
J Madison,17.5
Northwestern,17.6
Rider,17.6
Hawai'i,17.6
San Diego St,17.7
E Texas A&M,17.7
Coppin St,17.7
BYU,17.7
Alcorn St,17.7
St Francis PA,17.7
Illinois Chicago,17.7
Miss Valley St,17.7
Santa Clara,17.8
Houston,17.8
Nevada,17.8
Iona,17.8
S Utah,17.9
Florida Intl,17.9
Robert Morris,17.9
Longwood,17.9
Texas St,17.9
Georgia St,17.9
Idaho,17.9
McNeese,17.9
F Dickinson,17.9
Saint Louis,17.9
Austin Peay,17.9
Chicago St,18.0
UTSA,18.0
St John's,18.0
NC Central,18.0
CS Fullerton,18.0
Oral Roberts,18.0
Kent St,18.1
UL Monroe,18.1
Grand Canyon,18.1
Maryland ES,18.1
S Illinois,18.2
