team,Seas_PPG
Alabama,90.1
Kentucky,89.0
Arizona,87.1
Wright St,86.2
Florida,85.6
Indiana St,84.7
Samford,84.5
Gonzaga,83.4
Illinois,83.4
Iowa,83.1
Auburn,83.1
Purdue,82.3
High Point,82.1
Florida Atlantic,82.0
North Carolina,81.9
J Madison,81.9
Kennesaw St,81.5
Tulane,81.5
BYU,81.4
UConn,81.4
New Mexico,80.8
Washington,80.6
Memphis,80.5
Charleston,80.5
Creighton,80.4
Lipscomb,80.4
Cornell,80.4
Toledo,80.0
Baylor,79.9
Drake,79.7
UT Martin,79.5
Denver,79.5
E Washington,79.5
Colorado,79.3
TCU,79.0
N Colorado,79.0
Milwaukee,79.0
Utah St,78.9
St John's,78.8
Arkansas St,78.8
Furman,78.8
Utah,78.8
Tennessee,78.8
W Kentucky,78.8
Duke,78.6
UMBC,78.5
Youngstown St,78.4
Purdue FW,78.3
Wake Forest,78.1
Marquette,78.1
Albany,78.0
McNeese,78.0
Grand Canyon,77.8
Arkansas,77.8
Nebraska,77.7
UMass,77.5
Belmont,77.4
Clemson,77.4
Queens,77.3
Little Rock,77.3
UTSA,77.1
App State,77.1
UAB,77.0
Troy,77.0
UMass Lowell,77.0
Chattanooga,76.8
SMU,76.7
UC Irvine,76.6
Florida St,76.5
Butler,76.5
E Kentucky,76.5
G Washington,76.4
Oakland,76.4
UT Arlington,76.4
LSU,76.4
Ohio,76.3
Stanford,76.3
Princeton,76.3
Lamar,76.2
San Francisco,76.2
Long Beach St,76.2
Quinnipiac,76.2
Santa Clara,76.0
Texas A&M,76.0
NC Asheville,75.9
Xavier,75.9
Bryant,75.8
Miami,75.8
NC Wilmington,75.8
AR-Pine Bluff,75.7
S Florida,75.7
NC State,75.6
Pittsburgh,75.6
N Florida,75.6
Oregon,75.6
Ohio St,75.5
Saint Joseph's,75.5
Nevada,75.5
Syracuse,75.4
Texas,75.4
Oklahoma,75.4
Kansas,75.3
Iowa St,75.3
Texas Tech,75.3
Montana,75.2
S Dakota St,75.2
W Carolina,75.1
Penn St,75.1
Fairfield,75.1
Minnesota,75.0
Winthrop,75.0
Mississippi,74.9
Virginia Tech,74.9
N Alabama,74.8
Louisiana,74.8
Cincinnati,74.7
Cleveland St,74.7
UCSD,74.7
Georgia,74.7
Wisconsin,74.7
Howard,74.5
Georgia St,74.4
South Dakota,74.3
Tulsa,74.3
Bradley,74.2
Dayton,74.2
USC,74.1
Saint Louis,74.1
Mississippi St,74.1
Boston College,74.1
Colorado St,74.0
California,74.0
N Kentucky,73.9
Montana St,73.9
North Dakota,73.8
Kent St,73.8
Seton Hall,73.8
Stetson,73.8
CS Northridge,73.8
San Diego St,73.7
Columbia,73.6
Boise St,73.6
Washington St,73.5
Houston,73.5
Austin Peay,73.5
St Bonaventure,73.5
S Alabama,73.4
Hofstra,73.4
Georgia So,73.3
Northwestern,73.3
NC Greensboro,73.3
F Dickinson,73.3
S Utah,73.2
Nicholls,73.2
Yale,73.2
Weber St,73.1
UCSB,73.1
Wofford,73.1
Seattle,73.0
Saint Mary's,73.0
Stony Brook,73.0
Michigan,72.9
Longwood,72.9
Michigan St,72.9
Marshall,72.9
Sacred Heart,72.8
New Hampshire,72.8
N Iowa,72.7
Mt St Mary's,72.7
Bowling Green,72.7
SF Austin,72.6
Tarleton St,72.6
San Diego,72.5
Monmouth,72.4
Providence,72.4
Pepperdine,72.4
Omaha,72.3
Delaware,72.3
Morehead St,72.3
Indiana,72.3
Kansas St,72.2
Robert Morris,72.2
S Illinois,72.2
Missouri,72.2
Oral Roberts,72.1
Wichita St,72.1
Louisiana Tech,72.1
Penn,72.1
South Carolina,72.1
Presbyterian,72.0
Louisville,72.0
Akron,72.0
Ball St,72.0
UNLV,71.9
Alcorn St,71.9
N Dakota St,71.9
Drexel,71.9
Gardner-Webb,71.9
NC Central,71.9
Richmond,71.9
Hawai'i,71.8
Coastal Car,71.8
Loyola Chi,71.8
Rhode Island,71.8
UCF,71.7
Texas A&M-CC,71.7
Lehigh,71.6
La Salle,71.6
Wyoming,71.6
Liberty,71.4
N Illinois,71.4
Florida Intl,71.3
Iona,71.3
Sam Houston,71.3
Missouri St,71.2
Jackson St,71.2
Loyola Mymt,71.2
Niagara,71.2
Rice,71.1
Georgia Tech,71.0
Oklahoma St,71.0
VCU,71.0
Old Dominion,70.9
Georgetown,70.8
Rider,70.8
Incarnate Word,70.8
Radford,70.7
New Orleans,70.7
Bethune,70.7
Brown,70.7
Abl Christian,70.7
Norfolk St,70.6
George Mason,70.6
Kansas City,70.6
Portland St,70.5
UC Davis,70.5
Temple,70.5
Fordham,70.5
Utah Tech,70.4
St Thomas,70.4
E Tennessee St,70.4
Mercer,70.4
C Connecticut,70.3
Elon,70.3
Tennessee St,70.2
Villanova,70.2
C Arkansas,70.2
Colgate,70.1
Harvard,70.1
Le Moyne,70.0
Vermont,69.9
Duquesne,69.9
Southern Miss,69.9
Morgan St,69.8
West Virginia,69.8
Portland,69.8
Binghamton,69.7
Jacksonville,69.6
Evansville,69.6
W Michigan,69.5
SIU Edward,69.4
Northeastern,69.4
Idaho St,69.4
Illinois Chicago,69.4
UC Riverside,69.3
Hou Christian,69.3
S Carolina St,69.3
FGCU,69.2
Canisius,69.1
Murray St,69.1
Arizona St,69.0
Maryland,69.0
Texas So,69.0
Alabama A&M,69.0
Campbell,69.0
UTEP,68.9
Prairie View,68.8
N Arizona,68.6
E Carolina,68.6
Davidson,68.6
Miami OH,68.6
Green Bay,68.6
The Citadel,68.6
NW State,68.6
N Texas,68.6
SC Upstate,68.5
William & Mary,68.5
Oregon St,68.5
Delaware St,68.4
UT Rio Grande,68.2
San Jose St,68.1
Charlotte,68.0
Hampton,68.0
Vanderbilt,67.9
Southern,67.9
Merrimack,67.8
Utah Valley,67.7
American,67.6
Texas St,67.5
Bellarmine,67.5
Fresno St,67.4
Buffalo,67.3
E Texas A&M,67.3
UL Monroe,67.3
Jacksonville St,67.2
CS Bakersfield,67.2
Cal Baptist,67.1
S Indiana,66.9
VMI,66.7
Towson,66.6
SE Louisiana,66.6
Valparaiso,66.5
LIU,66.5
CS Fullerton,66.4
Maine,66.2
Illinois St,66.2
Idaho,66.2
Air Force,66.2
Alabama St,66.1
W Illinois,66.0
Detroit Mercy,66.0
E Michigan,65.9
New Mexico St,65.9
Holy Cross,65.8
NJIT,65.7
Manhattan,65.7
Boston U,65.7
C Michigan,65.7
UCLA,65.7
Navy,65.6
NC A&T,65.6
Rutgers,65.4
Grambling,65.4
E Illinois,65.3
Bucknell,65.2
Chicago St,65.2
Florida A&M,65.0
Tenn Tech,64.9
DePaul,64.7
Marist,64.6
Saint Peter's,64.6
IU Indy,64.5
SE Missouri St,64.5
Middle Tenn,64.4
Sacramento St,64.2
Pacific,64.1
Charleston So,64.0
Notre Dame,64.0
Lindenwood,63.4
St Francis PA,63.3
Stonehill,63.2
Loyola MD,63.2
Cal Poly,63.1
Virginia,62.9
Lafayette,62.6
Maryland ES,62.1
Wagner,62.0
Dartmouth,60.6
Siena,60.4
Army,59.9
Coppin St,57.9
Miss Valley St,55.5
