team,Seas_3PT_Per
Kentucky,0.409
Purdue,0.40399999999999997
Dayton,0.39899999999999997
Samford,0.395
Baylor,0.395
Colorado,0.391
Northwestern,0.39
NC Greensboro,0.389
McNeese,0.387
Wright St,0.384
Indiana St,0.381
Lipscomb,0.381
N Dakota St,0.377
N Texas,0.377
Duke,0.377
South Dakota,0.376
Toledo,0.376
Columbia,0.374
Alabama,0.373
Howard,0.37200000000000005
Belmont,0.37200000000000005
Bradley,0.37
Utah,0.37
Stanford,0.37
Creighton,0.368
Hofstra,0.368
Loyola Mymt,0.368
W Carolina,0.368
E Washington,0.368
Nicholls,0.368
S Florida,0.36700000000000005
Montana St,0.36700000000000005
Arizona,0.366
St Bonaventure,0.365
Mississippi,0.365
AR-Pine Bluff,0.365
S Dakota St,0.364
NC Asheville,0.364
Drake,0.364
Saint Louis,0.364
Wake Forest,0.364
Nevada,0.364
Michigan St,0.363
FGCU,0.36200000000000004
Boston College,0.36200000000000004
Richmond,0.36200000000000004
Miami OH,0.36200000000000004
UT Martin,0.36200000000000004
Gonzaga,0.36200000000000004
Fairfield,0.36200000000000004
E Kentucky,0.361
Miami,0.361
Ball St,0.361
Wyoming,0.361
Air Force,0.361
Pepperdine,0.361
Purdue FW,0.36
Kent St,0.36
J Madison,0.36
Illinois Chicago,0.36
Oral Roberts,0.36
Texas Tech,0.359
Stetson,0.359
N Florida,0.359
Michigan,0.359
Sacred Heart,0.359
Oakland,0.359
Niagara,0.359
Montana,0.359
North Carolina,0.359
Iowa St,0.358
G Washington,0.358
Virginia,0.358
UConn,0.358
St Thomas,0.35700000000000004
Louisiana Tech,0.35700000000000004
Pittsburgh,0.35700000000000004
Nebraska,0.35700000000000004
LSU,0.35700000000000004
Chattanooga,0.35700000000000004
Liberty,0.35700000000000004
Radford,0.35700000000000004
N Alabama,0.35600000000000004
Marist,0.35600000000000004
Tulane,0.35600000000000004
Minnesota,0.355
USC,0.355
Wofford,0.355
Colgate,0.355
Austin Peay,0.355
Stony Brook,0.355
Texas,0.355
UCSB,0.354
TCU,0.354
Washington,0.354
UT Arlington,0.354
UMBC,0.354
Morehead St,0.354
VCU,0.353
Penn,0.353
Iona,0.353
Troy,0.353
Mercer,0.353
Saint Mary's,0.353
Saint Joseph's,0.35200000000000004
Marquette,0.35200000000000004
Mt St Mary's,0.35200000000000004
Elon,0.35200000000000004
Auburn,0.35200000000000004
Georgia So,0.35200000000000004
Princeton,0.35200000000000004
Ohio,0.35100000000000003
Sam Houston,0.35100000000000003
N Colorado,0.35100000000000003
San Francisco,0.35100000000000003
Iowa,0.35100000000000003
Denver,0.35100000000000003
S Alabama,0.35100000000000003
Clemson,0.35100000000000003
Florida Atlantic,0.35100000000000003
Memphis,0.35
Butler,0.35
Yale,0.35
Holy Cross,0.35
Rhode Island,0.349
UCSD,0.349
West Virginia,0.349
Illinois,0.349
Wisconsin,0.349
UC Irvine,0.349
Loyola Chi,0.349
Virginia Tech,0.348
Houston,0.348
San Diego,0.348
Lamar,0.348
BYU,0.348
SMU,0.34700000000000003
American,0.34700000000000003
Monmouth,0.34700000000000003
Charleston,0.34700000000000003
Gardner-Webb,0.34600000000000003
Georgetown,0.34600000000000003
Campbell,0.34600000000000003
Oklahoma,0.345
Quinnipiac,0.345
Little Rock,0.345
La Salle,0.345
Seattle,0.345
Florida,0.345
Ohio St,0.345
Santa Clara,0.345
NC State,0.345
Tennessee,0.344
Arkansas St,0.344
George Mason,0.34299999999999997
W Kentucky,0.34299999999999997
S Illinois,0.34299999999999997
Boise St,0.342
San Jose St,0.342
Xavier,0.342
C Arkansas,0.342
Weber St,0.342
Alcorn St,0.342
Portland,0.341
N Iowa,0.341
Le Moyne,0.341
SE Louisiana,0.341
Cornell,0.341
Florida A&M,0.341
Abl Christian,0.341
Drexel,0.341
St John's,0.341
Grambling,0.34
Georgia,0.34
Hawai'i,0.34
Green Bay,0.34
Duquesne,0.33899999999999997
Washington St,0.33899999999999997
South Carolina,0.33899999999999997
Bucknell,0.33799999999999997
California,0.33799999999999997
Jacksonville,0.33799999999999997
Oregon,0.33799999999999997
Villanova,0.33799999999999997
Harvard,0.337
Southern Miss,0.337
Robert Morris,0.337
Brown,0.337
Utah Tech,0.337
Winthrop,0.337
Rider,0.337
UNLV,0.337
Seton Hall,0.336
Kansas,0.336
Evansville,0.336
Bellarmine,0.336
Idaho,0.335
DePaul,0.335
Grand Canyon,0.335
Oklahoma St,0.33399999999999996
Longwood,0.33399999999999996
Syracuse,0.33399999999999996
Kansas City,0.33399999999999996
Penn St,0.33399999999999996
UTSA,0.33399999999999996
Tarleton St,0.33299999999999996
Vermont,0.33299999999999996
Rice,0.332
Fresno St,0.332
App State,0.332
SF Austin,0.332
St Francis PA,0.332
UCLA,0.332
Furman,0.332
NC Central,0.332
Saint Peter's,0.332
Cleveland St,0.331
Oregon St,0.331
Norfolk St,0.331
UAB,0.331
Cal Poly,0.33
Colorado St,0.33
NC Wilmington,0.33
Cincinnati,0.33
Delaware,0.33
Wichita St,0.33
Kennesaw St,0.32899999999999996
Canisius,0.32899999999999996
Florida Intl,0.32899999999999996
Queens,0.32899999999999996
The Citadel,0.32899999999999996
Albany,0.32899999999999996
UC Davis,0.32899999999999996
Cal Baptist,0.32899999999999996
Boston U,0.32799999999999996
Presbyterian,0.32799999999999996
High Point,0.32799999999999996
W Michigan,0.32799999999999996
C Connecticut,0.32799999999999996
Towson,0.32799999999999996
Loyola MD,0.327
N Illinois,0.327
New Mexico,0.327
Bryant,0.327
Louisiana,0.326
Georgia Tech,0.326
Providence,0.325
SC Upstate,0.325
SIU Edward,0.325
Jackson St,0.325
Southern,0.325
Utah St,0.325
Portland St,0.324
Sacramento St,0.324
Indiana,0.324
UC Riverside,0.32299999999999995
North Dakota,0.32299999999999995
Tenn Tech,0.32299999999999995
S Carolina St,0.32299999999999995
UMass Lowell,0.32299999999999995
CS Fullerton,0.322
N Kentucky,0.322
UCF,0.322
Wagner,0.322
Lehigh,0.322
Idaho St,0.322
Milwaukee,0.322
Georgia St,0.322
Tulsa,0.321
Mississippi St,0.321
Coastal Car,0.321
Jacksonville St,0.321
CS Bakersfield,0.321
William & Mary,0.321
Incarnate Word,0.32
Bethune,0.32
Valparaiso,0.32
Missouri,0.319
Youngstown St,0.319
E Illinois,0.318
Arkansas,0.318
Old Dominion,0.318
Army,0.318
F Dickinson,0.318
Northeastern,0.318
Kansas St,0.318
Notre Dame,0.318
New Hampshire,0.318
Florida St,0.317
Temple,0.317
W Illinois,0.317
S Indiana,0.316
Murray St,0.316
Akron,0.316
Omaha,0.316
San Diego St,0.315
Fordham,0.315
Texas St,0.315
Pacific,0.314
Charleston So,0.314
Missouri St,0.314
NW State,0.313
UMass,0.313
Manhattan,0.313
Tennessee St,0.313
E Carolina,0.313
Charlotte,0.313
N Arizona,0.312
New Mexico St,0.312
E Tennessee St,0.312
Dartmouth,0.312
Lafayette,0.312
Merrimack,0.311
Texas So,0.311
Middle Tenn,0.311
LIU,0.31
Marshall,0.31
Delaware St,0.31
Davidson,0.31
UTEP,0.31
Hampton,0.309
Long Beach St,0.309
E Michigan,0.308
Louisville,0.306
Prairie View,0.304
New Orleans,0.303
Stonehill,0.301
C Michigan,0.301
CS Northridge,0.3
SE Missouri St,0.3
Arizona St,0.3
Binghamton,0.299
Chicago St,0.297
Maine,0.297
VMI,0.297
Navy,0.29600000000000004
NJIT,0.29600000000000004
Hou Christian,0.295
E Texas A&M,0.294
Texas A&M-CC,0.294
S Utah,0.294
Texas A&M,0.293
Bowling Green,0.293
Miss Valley St,0.292
Lindenwood,0.29
UT Rio Grande,0.29
Maryland,0.289
Illinois St,0.28800000000000003
NC A&T,0.287
Rutgers,0.287
Alabama A&M,0.287
Utah Valley,0.285
UL Monroe,0.285
Coppin St,0.28300000000000003
Vanderbilt,0.28300000000000003
Maryland ES,0.28300000000000003
Morgan St,0.282
Detroit Mercy,0.281
Alabama St,0.28
Siena,0.28
Buffalo,0.275
IU Indy,0.247
