team,Seas_Opp_Fouls
Winthrop,22.9
Texas,21.4
Kent St,21.2
William & Mary,20.9
Hawai'i,20.7
New Orleans,20.7
Nevada,20.7
Radford,20.7
USC,20.6
Prairie View,20.6
South Dakota,20.6
Kennesaw St,20.5
Dayton,20.4
St John's,20.3
Butler,20.2
Grand Canyon,20.2
Tarleton St,20.1
UC Davis,20.1
VCU,20.1
Murray St,20.0
Auburn,20.0
High Point,19.9
CS Fullerton,19.9
Boise St,19.9
Alabama,19.8
UNLV,19.8
Samford,19.8
Florida,19.8
Arizona St,19.8
Oregon St,19.8
Campbell,19.8
Miami OH,19.7
S Florida,19.7
Cal Poly,19.7
Arizona,19.7
Howard,19.6
Morgan St,19.5
Ohio,19.5
Arkansas St,19.5
Michigan,19.5
Mercer,19.4
Longwood,19.4
S Carolina St,19.4
Charleston,19.4
CS Bakersfield,19.3
NC A&T,19.3
San Francisco,19.3
Alabama A&M,19.3
Valparaiso,19.2
Southern Miss,19.2
App State,19.2
Hampton,19.2
N Kentucky,19.2
Vanderbilt,19.1
New Mexico,19.1
Sacramento St,19.1
Idaho St,19.1
UMass,19.1
Cleveland St,19.0
TCU,19.0
Southern,19.0
E Washington,19.0
NC Greensboro,19.0
LSU,19.0
Navy,19.0
George Mason,19.0
NC Asheville,19.0
Tennessee,18.9
Ohio St,18.9
Idaho,18.8
Georgia,18.8
W Kentucky,18.8
UL Monroe,18.8
Missouri St,18.8
Colorado St,18.8
Texas A&M,18.8
Oakland,18.8
Weber St,18.8
NC Wilmington,18.7
Bowling Green,18.7
Illinois,18.7
Michigan St,18.7
Utah Valley,18.7
Queens,18.7
NW State,18.7
Wright St,18.7
Providence,18.6
Jacksonville St,18.6
Tulsa,18.6
Oklahoma St,18.6
E Carolina,18.6
Rhode Island,18.6
Texas A&M-CC,18.6
Bethune,18.6
Morehead St,18.6
Abl Christian,18.6
Missouri,18.6
Pepperdine,18.5
Denver,18.5
Norfolk St,18.5
Georgia St,18.5
Penn,18.5
CS Northridge,18.5
BYU,18.5
Wyoming,18.4
Colorado,18.4
North Dakota,18.4
California,18.4
Florida Intl,18.3
Illinois Chicago,18.3
Tulane,18.3
Utah St,18.3
UT Arlington,18.3
Temple,18.3
Georgia So,18.3
Stanford,18.3
SE Louisiana,18.3
North Carolina,18.3
SE Missouri St,18.2
UC Irvine,18.2
Memphis,18.2
Clemson,18.2
Florida A&M,18.2
Dartmouth,18.2
Wake Forest,18.2
Jackson St,18.2
Duke,18.1
Lindenwood,18.1
Saint Mary's,18.1
Bradley,18.1
Syracuse,18.1
Kentucky,18.1
Baylor,18.1
Notre Dame,18.1
Fresno St,18.1
Austin Peay,18.0
Cal Baptist,18.0
Miami,18.0
Texas So,18.0
Virginia Tech,18.0
Arkansas,18.0
Yale,18.0
Coppin St,18.0
N Texas,17.9
N Illinois,17.9
Rutgers,17.9
San Diego St,17.9
Grambling,17.9
Florida St,17.9
Richmond,17.9
UCSB,17.9
Saint Peter's,17.8
Portland St,17.8
Duquesne,17.8
S Indiana,17.8
Air Force,17.8
Le Moyne,17.8
Wichita St,17.8
UCLA,17.7
Louisville,17.7
Detroit Mercy,17.7
Cornell,17.7
McNeese,17.7
Oklahoma,17.6
St Thomas,17.6
Belmont,17.6
Green Bay,17.6
Virginia,17.6
Seattle,17.6
Binghamton,17.6
UT Martin,17.6
Bellarmine,17.6
Rice,17.6
S Utah,17.6
NC Central,17.5
Seton Hall,17.5
Georgetown,17.5
N Alabama,17.5
LIU,17.5
Iowa,17.5
Portland,17.5
Alabama St,17.5
SC Upstate,17.4
