team,Seas_FT_Succ
Wisconsin,0.826
Richmond,0.8079999999999999
Mercyhurst,0.807
Gonzaga,0.804
UC Irvine,0.7959999999999999
Villanova,0.7959999999999999
Lipscomb,0.7959999999999999
Oklahoma,0.795
UConn,0.7909999999999999
UTSA,0.7909999999999999
Valparaiso,0.79
Duke,0.79
N Dakota St,0.79
Xavier,0.789
Oregon St,0.789
Stanford,0.789
Green Bay,0.785
Pittsburgh,0.782
Boise St,0.782
Arizona,0.78
Portland,0.779
Michigan St,0.779
Delaware,0.777
Harvard,0.7759999999999999
St Thomas,0.7759999999999999
UCF,0.775
Colorado St,0.775
E Kentucky,0.774
CS Bakersfield,0.773
E Washington,0.773
UMass Lowell,0.772
UCSB,0.772
N Texas,0.772
Kansas City,0.769
Cal Poly,0.769
UC Riverside,0.769
Chattanooga,0.769
Clemson,0.768
Manhattan,0.768
VMI,0.767
Quinnipiac,0.7659999999999999
Bellarmine,0.7659999999999999
Ohio,0.765
Miami,0.764
J Madison,0.764
Campbell,0.764
Cornell,0.762
High Point,0.762
Illinois,0.762
Idaho,0.7609999999999999
Radford,0.7609999999999999
Texas St,0.76
Elon,0.76
Howard,0.76
Texas Tech,0.76
UAB,0.759
Oral Roberts,0.759
Canisius,0.759
Cal Baptist,0.757
Oregon,0.757
Toledo,0.757
American,0.757
Wake Forest,0.7559999999999999
Penn St,0.7559999999999999
Long Beach St,0.755
NC Wilmington,0.755
Norfolk St,0.753
Iowa St,0.753
Indiana St,0.753
S Dakota St,0.753
Virginia,0.753
Charlotte,0.752
Purdue FW,0.7509999999999999
San Diego,0.7509999999999999
Dartmouth,0.7509999999999999
Akron,0.7509999999999999
Dayton,0.7509999999999999
Louisiana Tech,0.75
Colorado,0.75
Maryland,0.75
Tulane,0.75
Davidson,0.75
Nebraska,0.7490000000000001
Texas,0.7490000000000001
Bradley,0.748
Kent St,0.748
Illinois St,0.748
Ohio St,0.748
Baylor,0.748
IU Indy,0.748
Bowling Green,0.747
UCSD,0.747
Montana,0.746
Saint Joseph's,0.746
Louisville,0.746
Vanderbilt,0.746
California,0.746
SE Louisiana,0.745
Stony Brook,0.745
C Connecticut,0.745
Tennessee,0.745
VCU,0.7440000000000001
UC Davis,0.7440000000000001
Hawai'i,0.7440000000000001
Jacksonville St,0.743
Idaho St,0.743
E Michigan,0.743
Siena,0.743
Monmouth,0.742
USC,0.741
North Carolina,0.741
Denver,0.74
San Jose St,0.74
Niagara,0.74
Notre Dame,0.74
Butler,0.74
Houston,0.74
Arkansas,0.7390000000000001
Stetson,0.7390000000000001
S Indiana,0.7390000000000001
Mississippi,0.738
CS Fullerton,0.738
NC Greensboro,0.737
Youngstown St,0.737
Saint Peter's,0.736
W Carolina,0.735
Sacred Heart,0.735
Yale,0.7340000000000001
Pacific,0.7340000000000001
Temple,0.7340000000000001
Detroit Mercy,0.733
Northwestern,0.733
Mt St Mary's,0.733
Fairfield,0.733
Grand Canyon,0.733
Purdue,0.732
Kennesaw St,0.732
C Michigan,0.732
Navy,0.731
Kentucky,0.731
Colgate,0.731
Jackson St,0.73
NJIT,0.73
LIU,0.73
Omaha,0.73
Missouri,0.73
St Bonaventure,0.7290000000000001
Sam Houston,0.7290000000000001
Grambling,0.7290000000000001
Tarleton St,0.7290000000000001
Louisiana,0.7290000000000001
E Carolina,0.7290000000000001
William & Mary,0.7290000000000001
S Utah,0.7290000000000001
CS Northridge,0.7290000000000001
Arkansas St,0.728
Florida,0.728
Michigan,0.728
Cleveland St,0.728
Creighton,0.728
Columbia,0.728
Maine,0.728
Auburn,0.727
Santa Clara,0.727
Wichita St,0.727
NC State,0.726
N Colorado,0.726
Arizona St,0.726
Montana St,0.725
St Francis PA,0.725
Morgan St,0.725
Longwood,0.7240000000000001
Miami OH,0.7240000000000001
La Salle,0.7240000000000001
Troy,0.7240000000000001
Albany,0.7240000000000001
Delaware St,0.723
Merrimack,0.723
Fordham,0.723
Murray St,0.722
W Kentucky,0.722
NC Asheville,0.722
Rider,0.722
Loyola Mymt,0.722
Illinois Chicago,0.721
Samford,0.721
Stonehill,0.721
Vermont,0.721
West Virginia,0.72
C Arkansas,0.72
Marquette,0.72
Alabama,0.72
Alcorn St,0.72
Texas So,0.72
Abl Christian,0.7190000000000001
UTEP,0.7190000000000001
Robert Morris,0.718
Boston College,0.718
Rutgers,0.718
SE Missouri St,0.718
S Florida,0.718
Old Dominion,0.7170000000000001
Oklahoma St,0.7170000000000001
Georgia,0.7170000000000001
UNLV,0.7170000000000001
San Francisco,0.7170000000000001
Florida St,0.7170000000000001
Holy Cross,0.7170000000000001
LSU,0.716
Kansas,0.716
Bryant,0.716
Pepperdine,0.716
South Carolina,0.715
F Dickinson,0.715
Florida A&M,0.7140000000000001
SMU,0.7140000000000001
South Dakota,0.7140000000000001
George Mason,0.7140000000000001
Virginia Tech,0.7140000000000001
Belmont,0.713
Seattle,0.713
Austin Peay,0.713
BYU,0.713
UT Rio Grande,0.711
Wagner,0.711
Le Moyne,0.711
Charleston,0.711
UCLA,0.71
UL Monroe,0.71
S Alabama,0.7090000000000001
Hampton,0.708
N Illinois,0.708
Hofstra,0.708
Tenn Tech,0.708
Marist,0.708
Princeton,0.7070000000000001
Little Rock,0.7070000000000001
Indiana,0.706
Iowa,0.705
Syracuse,0.705
Florida Intl,0.705
DePaul,0.705
Chicago St,0.705
Evansville,0.705
Georgetown,0.7040000000000001
N Alabama,0.7040000000000001
Nevada,0.703
Ball St,0.703
Utah Tech,0.7020000000000001
Memphis,0.7020000000000001
S Carolina St,0.7020000000000001
Utah St,0.7020000000000001
Weber St,0.701
NC Central,0.701
Mississippi St,0.701
North Dakota,0.701
Washington St,0.701
Binghamton,0.701
Drake,0.7
UMBC,0.7
Wright St,0.7
Florida Atlantic,0.7
NW State,0.7
Oakland,0.6990000000000001
Lamar,0.6990000000000001
Buffalo,0.6990000000000001
Drexel,0.698
Penn,0.6970000000000001
Saint Mary's,0.695
G Washington,0.695
Furman,0.6940000000000001
McNeese,0.6940000000000001
UT Martin,0.6940000000000001
Southern Miss,0.6940000000000001
Coastal Car,0.6940000000000001
E Illinois,0.693
Rhode Island,0.693
W Illinois,0.6920000000000001
Saint Louis,0.6920000000000001
Gardner-Webb,0.6920000000000001
Fresno St,0.6920000000000001
Texas A&M,0.6920000000000001
Lafayette,0.6920000000000001
Alabama St,0.6920000000000001
Kansas St,0.691
St John's,0.691
Prairie View,0.691
Washington,0.69
Utah Valley,0.69
W Georgia,0.69
Bethune,0.69
Marshall,0.69
Queens,0.6890000000000001
FGCU,0.6890000000000001
Loyola MD,0.6890000000000001
Lindenwood,0.688
Hou Christian,0.688
N Iowa,0.688
Incarnate Word,0.688
Georgia Tech,0.687
Northeastern,0.687
NC A&T,0.687
Providence,0.6859999999999999
Georgia St,0.6859999999999999
New Mexico,0.6859999999999999
Nicholls,0.6859999999999999
Iona,0.685
Presbyterian,0.685
Tennessee St,0.684
Rice,0.6829999999999999
Towson,0.682
Milwaukee,0.682
Sacramento St,0.682
Army,0.68
N Florida,0.679
Coppin St,0.6779999999999999
S Illinois,0.6779999999999999
Middle Tenn,0.6779999999999999
Lehigh,0.6779999999999999
New Mexico St,0.677
SC Upstate,0.677
Loyola Chi,0.6759999999999999
Jacksonville,0.674
Morehead St,0.674
W Michigan,0.674
SIU Edward,0.6729999999999999
N Kentucky,0.672
UMass,0.672
Tulsa,0.672
New Orleans,0.669
Boston U,0.669
Miss Valley St,0.669
Maryland ES,0.667
Alabama A&M,0.667
Wofford,0.667
Cincinnati,0.665
E Tennessee St,0.665
San Diego St,0.665
Bucknell,0.664
Minnesota,0.664
Seton Hall,0.6629999999999999
Charleston So,0.6629999999999999
Winthrop,0.662
N Arizona,0.6609999999999999
Southern,0.655
App State,0.655
Missouri St,0.654
Mercer,0.653
UT Arlington,0.653
New Hampshire,0.653
Wyoming,0.652
Liberty,0.652
Georgia So,0.6509999999999999
TCU,0.647
Duquesne,0.645
E Texas A&M,0.644
