team,Seas_Off_Rebound_Per
Texas A&M,0.397
Milwaukee,0.389
Saint Mary's,0.384
Idaho St,0.375
Florida,0.375
Iona,0.374
Troy,0.371
St John's,0.363
VCU,0.361
Houston,0.361
UAB,0.36
Elon,0.354
Drake,0.35100000000000003
Illinois,0.35
Saint Peter's,0.348
Arizona,0.348
Robert Morris,0.34700000000000003
UConn,0.34600000000000003
NC Wilmington,0.344
Towson,0.342
Old Dominion,0.342
Memphis,0.341
Kent St,0.33899999999999997
Baylor,0.33899999999999997
Tennessee,0.33799999999999997
Georgia,0.33799999999999997
SMU,0.33799999999999997
Michigan St,0.33799999999999997
CS Bakersfield,0.337
McNeese,0.337
Wofford,0.336
CS Northridge,0.335
S Carolina St,0.335
Lamar,0.33399999999999996
Auburn,0.332
E Tennessee St,0.331
Cleveland St,0.33
Jacksonville,0.33
Duke,0.33
Bryant,0.32799999999999996
Tennessee St,0.32799999999999996
Radford,0.32799999999999996
Utah,0.32799999999999996
UMass,0.327
SF Austin,0.326
NC Central,0.326
E Carolina,0.326
Oakland,0.326
North Dakota,0.325
UT Martin,0.325
Arkansas St,0.325
Missouri,0.324
Alcorn St,0.32299999999999995
Cal Baptist,0.32299999999999995
Texas St,0.32299999999999995
Texas Tech,0.32299999999999995
Hampton,0.32299999999999995
W Michigan,0.32299999999999995
Mississippi St,0.322
Delaware St,0.322
Southern,0.322
Utah St,0.322
Morgan St,0.322
California,0.322
High Point,0.322
Portland St,0.322
Samford,0.321
Duquesne,0.321
Clemson,0.32
Drexel,0.32
BYU,0.319
Incarnate Word,0.319
UCLA,0.319
Alabama A&M,0.318
Alabama,0.318
Quinnipiac,0.318
Gardner-Webb,0.318
N Alabama,0.317
Rice,0.316
S Dakota St,0.315
Michigan,0.314
NW State,0.312
Santa Clara,0.311
Boise St,0.311
New Mexico St,0.31
E Kentucky,0.31
Rider,0.31
Marshall,0.31
Cincinnati,0.31
Kansas City,0.31
TCU,0.309
UT Arlington,0.309
Providence,0.308
J Madison,0.308
Akron,0.308
N Texas,0.307
Iowa St,0.307
Georgia So,0.307
Louisville,0.307
LIU,0.307
Longwood,0.306
Kennesaw St,0.306
Georgia St,0.306
Manhattan,0.305
Grand Canyon,0.304
Gonzaga,0.303
Boston U,0.303
Fordham,0.302
Yale,0.302
Missouri St,0.301
Wagner,0.301
Purdue,0.3
Wichita St,0.299
Queens,0.299
Norfolk St,0.298
UC Riverside,0.297
S Illinois,0.297
Oregon St,0.297
Detroit Mercy,0.297
Texas A&M-CC,0.297
N Kentucky,0.29600000000000004
Navy,0.29600000000000004
UCF,0.295
C Michigan,0.295
Georgetown,0.295
Little Rock,0.294
Albany,0.294
N Arizona,0.293
Nicholls,0.293
Stanford,0.293
Jacksonville St,0.292
George Mason,0.29100000000000004
Indiana,0.29100000000000004
SE Louisiana,0.29100000000000004
Vanderbilt,0.29100000000000004
Middle Tenn,0.289
Washington St,0.289
Texas So,0.289
Utah Valley,0.289
NC Asheville,0.289
New Mexico,0.28800000000000003
Northeastern,0.28800000000000003
Rutgers,0.28800000000000003
Marist,0.28800000000000003
Toledo,0.287
Texas,0.287
Seton Hall,0.287
Maryland,0.28600000000000003
Winthrop,0.28600000000000003
Northwestern,0.28600000000000003
Hawai'i,0.285
Jackson St,0.285
UT Rio Grande,0.285
Temple,0.285
Virginia Tech,0.284
Charleston So,0.284
SIU Edward,0.284
Omaha,0.28300000000000003
Florida Atlantic,0.28300000000000003
Lindenwood,0.28300000000000003
Villanova,0.282
Florida Intl,0.282
Morehead St,0.282
Brown,0.282
Syracuse,0.282
Saint Joseph's,0.282
NC Greensboro,0.281
Sacred Heart,0.281
Mt St Mary's,0.281
FGCU,0.281
G Washington,0.281
Sam Houston,0.281
Oklahoma St,0.281
Kansas,0.28
Marquette,0.28
New Orleans,0.28
Furman,0.27899999999999997
Monmouth,0.27899999999999997
San Francisco,0.27899999999999997
S Utah,0.278
Abl Christian,0.278
Howard,0.278
Youngstown St,0.278
IU Indy,0.278
South Carolina,0.27699999999999997
Georgia Tech,0.27699999999999997
NC State,0.27699999999999997
South Dakota,0.276
Florida St,0.276
Kansas St,0.276
Seattle,0.276
Siena,0.276
Wyoming,0.276
La Salle,0.275
Louisiana Tech,0.275
Oregon,0.27399999999999997
Presbyterian,0.273
San Diego,0.273
UL Monroe,0.273
Pittsburgh,0.272
Colorado,0.271
Loyola Chi,0.271
Fairfield,0.271
Notre Dame,0.271
Dayton,0.271
Minnesota,0.271
Bethune,0.271
Loyola MD,0.26899999999999996
LSU,0.26899999999999996
Sacramento St,0.26899999999999996
San Diego St,0.268
Miami,0.268
E Michigan,0.267
Murray St,0.267
Rhode Island,0.267
Boston College,0.267
Idaho,0.267
USC,0.266
Ohio St,0.266
Illinois Chicago,0.265
Coastal Car,0.264
Pacific,0.264
Stony Brook,0.263
E Illinois,0.263
Kentucky,0.263
Mercer,0.263
S Alabama,0.262
Penn St,0.262
Nevada,0.259
Washington,0.259
Tarleton St,0.258
UC Davis,0.257
Arkansas,0.257
Wright St,0.257
UC Irvine,0.256
UNLV,0.256
Belmont,0.256
Alabama St,0.256
NJIT,0.256
Miami OH,0.255
St Bonaventure,0.255
N Florida,0.255
C Arkansas,0.255
Cal Poly,0.255
North Carolina,0.255
UCSB,0.254
W Illinois,0.253
UTSA,0.253
Colorado St,0.253
E Texas A&M,0.253
The Citadel,0.252
Pepperdine,0.252
Valparaiso,0.252
Oklahoma,0.252
Long Beach St,0.251
Maryland ES,0.251
Creighton,0.25
S Indiana,0.25
S Florida,0.25
Florida A&M,0.25
Fresno St,0.249
Southern Miss,0.249
Tulsa,0.249
Wake Forest,0.248
Nebraska,0.248
C Connecticut,0.248
Wisconsin,0.248
UMass Lowell,0.248
App State,0.247
E Washington,0.247
DePaul,0.247
N Dakota St,0.24600000000000002
NC A&T,0.24600000000000002
W Georgia,0.245
Le Moyne,0.244
William & Mary,0.244
Hou Christian,0.244
Stonehill,0.243
W Carolina,0.243
Bucknell,0.242
San Jose St,0.24100000000000002
AR-Pine Bluff,0.24100000000000002
Vermont,0.24100000000000002
Binghamton,0.24
Charleston,0.24
Cornell,0.24
N Colorado,0.24
Princeton,0.24
Grambling,0.24
Bradley,0.239
Utah Tech,0.239
Ball St,0.239
West Virginia,0.239
CS Fullerton,0.239
F Dickinson,0.23800000000000002
Army,0.23800000000000002
Indiana St,0.23800000000000002
Illinois St,0.237
Columbia,0.23600000000000002
Hofstra,0.235
New Hampshire,0.235
Iowa,0.23399999999999999
St Francis PA,0.23399999999999999
Penn,0.23399999999999999
Butler,0.233
UTEP,0.233
Denver,0.23199999999999998
Austin Peay,0.23199999999999998
Coppin St,0.23199999999999998
Chattanooga,0.23199999999999998
Tenn Tech,0.23199999999999998
Tulane,0.23199999999999998
Mississippi,0.23199999999999998
UCSD,0.23
VMI,0.22899999999999998
Buffalo,0.22899999999999998
Louisiana,0.228
Charlotte,0.22699999999999998
SC Upstate,0.226
Lafayette,0.22399999999999998
Bowling Green,0.22399999999999998
Campbell,0.22399999999999998
SE Missouri St,0.22399999999999998
American,0.222
Arizona St,0.221
Colgate,0.221
Davidson,0.22
Loyola Mymt,0.22
Prairie View,0.218
Weber St,0.218
Harvard,0.218
Stetson,0.217
N Iowa,0.217
Lipscomb,0.215
Holy Cross,0.214
Saint Louis,0.214
W Kentucky,0.21100000000000002
Niagara,0.21
Dartmouth,0.21
Xavier,0.209
Portland,0.209
Mercyhurst,0.20800000000000002
Ohio,0.20600000000000002
Virginia,0.20600000000000002
Air Force,0.19899999999999998
Chicago St,0.19899999999999998
Miss Valley St,0.19899999999999998
Evansville,0.19899999999999998
Delaware,0.198
Purdue FW,0.198
Montana,0.19699999999999998
Oral Roberts,0.191
Lehigh,0.187
Maine,0.187
St Thomas,0.18600000000000003
Merrimack,0.184
Montana St,0.183
Bellarmine,0.17800000000000002
Richmond,0.177
Liberty,0.177
UMBC,0.174
Green Bay,0.163
Canisius,0.14800000000000002
N Illinois,0.145
