team,Seas_Opp_Fouls
Winthrop,23.2
South Dakota,21.3
Longwood,20.9
Alabama,20.5
Missouri,20.3
Grand Canyon,20.2
Rice,20.1
Utah Valley,19.9
S Carolina St,19.9
Texas A&M,19.9
Temple,19.9
Georgia,19.8
Rhode Island,19.8
Hawai'i,19.5
Ball St,19.5
Michigan St,19.4
Milwaukee,19.4
Charleston So,19.3
Tennessee St,19.3
Nevada,19.3
Seattle,19.3
CS Northridge,19.3
California,19.2
Penn St,19.2
Rutgers,19.2
UMass,19.2
Robert Morris,19.1
New Mexico,19.1
S Utah,19.0
Tarleton St,19.0
Radford,19.0
George Mason,19.0
Florida St,19.0
Oklahoma St,19.0
Charlotte,19.0
UC Davis,18.9
CS Fullerton,18.9
North Dakota,18.9
South Carolina,18.9
Siena,18.9
Alabama A&M,18.9
Ohio St,18.8
UCF,18.8
Texas,18.8
William & Mary,18.8
CS Bakersfield,18.7
Delaware St,18.6
Kennesaw St,18.6
Murray St,18.6
Marshall,18.6
Memphis,18.6
Michigan,18.5
Wisconsin,18.5
UC Irvine,18.5
Toledo,18.5
Idaho St,18.5
Youngstown St,18.5
NC Wilmington,18.5
Ohio,18.5
NC Central,18.4
UT Arlington,18.4
Oklahoma,18.4
Louisville,18.4
Sam Houston,18.3
Colorado,18.3
Fresno St,18.3
Gardner-Webb,18.3
Oregon St,18.3
Portland St,18.3
Bucknell,18.3
Omaha,18.3
High Point,18.3
Lindenwood,18.3
Washington St,18.3
Illinois,18.3
Norfolk St,18.2
SMU,18.2
Howard,18.2
San Francisco,18.2
Southern,18.2
E Michigan,18.2
C Michigan,18.1
Iowa St,18.1
NC Asheville,18.1
Morgan St,18.1
Utah St,18.1
Arizona St,18.1
Boise St,18.1
Wake Forest,18.0
S Dakota St,18.0
Dayton,18.0
Utah,18.0
Navy,18.0
Prairie View,18.0
Maryland,17.9
USC,17.9
Indiana,17.9
Long Beach St,17.9
Indiana St,17.9
Purdue,17.9
San Diego St,17.9
Butler,17.9
UNLV,17.8
St Thomas,17.8
Florida Intl,17.8
Mississippi,17.8
VMI,17.8
Tennessee,17.7
Xavier,17.7
Abl Christian,17.7
Arizona,17.7
Kentucky,17.7
Pittsburgh,17.7
Auburn,17.7
Elon,17.6
Bethune,17.6
Gonzaga,17.6
Illinois Chicago,17.6
Oregon,17.6
Le Moyne,17.6
San Diego,17.5
Florida,17.5
Montana,17.5
Illinois St,17.5
Oakland,17.5
G Washington,17.5
Air Force,17.4
Portland,17.4
Sacramento St,17.4
Fordham,17.4
Vanderbilt,17.4
St John's,17.4
S Florida,17.4
UCLA,17.4
Nebraska,17.4
Arkansas,17.4
Utah Tech,17.3
Troy,17.3
Bryant,17.3
Stetson,17.3
Mississippi St,17.3
W Michigan,17.3
Valparaiso,17.3
Colorado St,17.3
UMass Lowell,17.3
Denver,17.3
Syracuse,17.3
Coastal Car,17.3
Texas St,17.3
Green Bay,17.3
North Carolina,17.2
Florida Atlantic,17.2
Yale,17.2
Bradley,17.2
Wyoming,17.2
