team,Seas_Opp_PPG
Houston,58.7
Drake,60.2
N Texas,60.6
Saint Mary's,61.8
Duke,62.8
Wagner,63.0
UCSD,63.0
VCU,63.0
Tennessee,63.1
C Connecticut,63.1
George Mason,64.0
Merrimack,64.2
Marist,64.5
McNeese,64.5
App State,64.6
West Virginia,64.8
Vermont,65.0
San Diego St,65.2
UCLA,65.2
Liberty,65.3
S Alabama,65.5
St Bonaventure,65.6
Hofstra,65.6
Clemson,65.8
St John's,65.8
Cincinnati,66.2
Troy,66.3
Saint Peter's,66.3
LIU,66.5
Virginia,66.8
Lamar,67.0
Boise St,67.0
Maine,67.1
Michigan St,67.1
Maryland,67.2
New Mexico St,67.3
NC Greensboro,67.3
Colorado St,67.3
UC Irvine,67.4
E Tennessee St,67.4
Drexel,67.6
Seattle,67.6
Little Rock,67.7
Towson,67.7
N Iowa,67.8
UConn,68.0
Cleveland St,68.0
Wake Forest,68.0
Duquesne,68.1
Nevada,68.1
UNLV,68.1
Villanova,68.2
Lipscomb,68.2
Boston U,68.3
SIU Edward,68.3
Iowa St,68.3
Kent St,68.4
Texas Tech,68.5
American,68.5
Saint Joseph's,68.6
G Washington,68.6
Texas A&M,68.7
TCU,68.7
Marquette,68.7
Utah Valley,68.9
NW State,69.0
Northwestern,69.2
Bradley,69.3
Grambling,69.3
SE Missouri St,69.3
Jacksonville St,69.3
Oregon St,69.3
Campbell,69.3
Louisiana Tech,69.3
SF Austin,69.4
UCSB,69.4
Auburn,69.4
Loyola Chi,69.4
Southern,69.5
Louisville,69.5
Georgetown,69.6
Kansas,69.6
Florida,69.6
Kansas St,69.6
San Francisco,69.6
Lafayette,69.7
Northeastern,69.7
Minnesota,69.7
Morehead St,69.8
Hou Christian,69.9
Georgia,69.9
Gonzaga,69.9
FGCU,69.9
Grand Canyon,70.0
Creighton,70.0
Cal Baptist,70.0
Texas A&M-CC,70.1
Murray St,70.2
Seton Hall,70.2
Tarleton St,70.2
E Illinois,70.3
Baylor,70.3
Rice,70.3
NC Wilmington,70.3
Kansas City,70.3
Purdue,70.4
NC State,70.4
Iona,70.5
Arkansas St,70.5
Utah St,70.5
SE Louisiana,70.6
New Mexico,70.6
High Point,70.7
Wyoming,70.7
Montana St,70.7
Stanford,70.7
Mt St Mary's,70.7
Hampton,70.8
Pittsburgh,70.8
Wofford,70.8
Oregon,70.9
Wisconsin,70.9
Elon,70.9
Portland St,70.9
Yale,70.9
Stonehill,70.9
Radford,71.0
Abl Christian,71.0
N Alabama,71.0
Furman,71.1
UC Davis,71.1
Navy,71.2
Incarnate Word,71.3
SMU,71.3
Dayton,71.3
J Madison,71.3
Arkansas,71.4
Evansville,71.4
South Carolina,71.4
Michigan,71.5
Davidson,71.5
S Carolina St,71.5
Robert Morris,71.6
Xavier,71.6
Niagara,71.6
Nicholls,71.7
Tulane,71.7
Mississippi,71.7
Mercyhurst,71.8
Norfolk St,71.8
Rider,71.8
Colorado,71.9
Hawai'i,71.9
Jacksonville,71.9
Missouri St,71.9
Indiana,72.0
Loyola Mymt,72.1
UTEP,72.1
Siena,72.1
Loyola MD,72.1
Idaho St,72.1
Bethune,72.2
Brown,72.2
Coastal Car,72.2
Quinnipiac,72.2
N Kentucky,72.2
Oakland,72.2
Lehigh,72.3
Harvard,72.3
Illinois St,72.4
Alcorn St,72.4
Princeton,72.4
Texas So,72.4
Marshall,72.5
Florida St,72.5
Notre Dame,72.5
Providence,72.5
Milwaukee,72.5
BYU,72.6
Saint Louis,72.6
Richmond,72.6
Youngstown St,72.6
Nebraska,72.6
Utah,72.6
Texas,72.6
Alabama St,72.7
Georgia Tech,72.7
Colgate,72.7
Old Dominion,72.8
Presbyterian,72.9
Binghamton,73.0
Florida Intl,73.0
Santa Clara,73.0
Wichita St,73.1
Bucknell,73.2
Virginia Tech,73.2
UT Martin,73.2
Penn St,73.2
N Arizona,73.3
Arizona,73.3
Louisiana,73.3
Miami OH,73.3
W Illinois,73.3
St Francis PA,73.4
Memphis,73.4
Sacramento St,73.4
Dartmouth,73.5
Ohio St,73.5
Fairfield,73.5
LSU,73.6
Missouri,73.6
Air Force,73.7
San Jose St,73.7
Holy Cross,73.7
Middle Tenn,73.8
E Carolina,73.9
NJIT,73.9
Charleston,73.9
Kennesaw St,74.0
Tenn Tech,74.1
Chattanooga,74.1
Tulsa,74.2
Mississippi St,74.2
Lindenwood,74.2
Vanderbilt,74.3
CS Northridge,74.3
Weber St,74.4
F Dickinson,74.4
C Michigan,74.4
DePaul,74.5
N Colorado,74.5
Texas St,74.5
Jackson St,74.6
USC,74.6
Oklahoma,74.6
North Carolina,74.7
Albany,74.8
Illinois,74.8
W Kentucky,74.8
Butler,74.9
E Texas A&M,74.9
Bryant,74.9
Charlotte,75.0
Montana,75.0
Stony Brook,75.1
S Dakota St,75.1
S Indiana,75.1
CS Bakersfield,75.2
Rhode Island,75.2
Manhattan,75.2
Ball St,75.3
S Utah,75.3
Illinois Chicago,75.3
Valparaiso,75.3
S Florida,75.4
Monmouth,75.4
Tennessee St,75.4
Bowling Green,75.4
S Illinois,75.5
VMI,75.5
La Salle,75.5
Long Beach St,75.6
Sacred Heart,75.7
UMass,75.7
UT Arlington,75.7
Boston College,75.8
Austin Peay,75.8
E Kentucky,75.9
Washington,75.9
N Dakota St,76.0
St Thomas,76.1
UMass Lowell,76.1
Georgia So,76.1
Longwood,76.1
Florida A&M,76.1
Omaha,76.2
Purdue FW,76.3
E Washington,76.3
Oklahoma St,76.3
Queens,76.3
Florida Atlantic,76.4
UC Riverside,76.4
Akron,76.4
Southern Miss,76.5
Army,76.5
UAB,76.6
Idaho,76.6
Detroit Mercy,76.6
Arizona St,76.8
California,76.8
UT Rio Grande,76.8
Samford,76.8
Belmont,76.8
Utah Tech,76.9
The Citadel,76.9
Coppin St,76.9
NC A&T,76.9
UL Monroe,76.9
W Michigan,77.0
Mercer,77.0
Sam Houston,77.1
E Michigan,77.1
Pepperdine,77.2
Kentucky,77.2
Pacific,77.2
New Hampshire,77.2
Ohio,77.3
Penn,77.4
UTSA,77.5
Wright St,77.5
Rutgers,77.6
Temple,77.6
Denver,77.7
Syracuse,77.8
Gardner-Webb,78.1
William & Mary,78.5
Fordham,78.5
Washington St,78.6
Delaware St,78.6
Canisius,78.6
Georgia St,78.7
CS Fullerton,78.7
Chicago St,78.7
Cornell,78.7
Delaware,78.7
Charleston So,78.8
NC Central,78.8
W Georgia,78.8
C Arkansas,79.4
Maryland ES,79.5
N Illinois,79.5
NC Asheville,79.5
IU Indy,79.7
Iowa,79.7
Winthrop,79.8
Alabama A&M,79.9
San Diego,80.2
UCF,80.4
Columbia,80.6
Green Bay,80.6
UMBC,80.6
W Carolina,80.6
Miami,80.6
Fresno St,80.7
Howard,80.7
Toledo,81.1
Portland,81.2
Alabama,81.3
Bellarmine,81.3
Le Moyne,81.4
Indiana St,81.5
Buffalo,81.6
Stetson,81.9
Oral Roberts,82.0
Prairie View,82.2
North Dakota,82.2
Miss Valley St,82.3
New Orleans,82.5
Morgan St,82.8
Cal Poly,83.4
SC Upstate,85.5
AR-Pine Bluff,85.7
N Florida,85.7
South Dakota,86.6
