team,Seas_Opp_Turnover
Abl Christian,17.0
S Carolina St,16.2
Iona,15.8
Tarleton St,15.7
UCSD,15.6
Samford,15.5
Alabama A&M,15.3
Iowa St,15.2
St John's,15.2
UCLA,15.1
Merrimack,15.1
UC Davis,15.0
UTEP,14.9
Southern,14.9
New Mexico,14.8
Grand Canyon,14.8
CS Northridge,14.8
Little Rock,14.7
NC Central,14.7
Marquette,14.7
Maine,14.6
Oklahoma St,14.6
Seton Hall,14.6
Longwood,14.6
Cleveland St,14.5
Cal Poly,14.5
Florida Intl,14.5
UTSA,14.5
Delaware St,14.4
Purdue FW,14.3
McNeese,14.3
Prairie View,14.3
Coppin St,14.2
Maryland,14.2
Seattle,14.1
Missouri,14.1
Mississippi,14.1
Penn St,14.1
E Illinois,14.0
Winthrop,14.0
Texas So,13.9
Vanderbilt,13.9
SF Austin,13.8
Lindenwood,13.8
Albany,13.7
VCU,13.6
Memphis,13.6
E Texas A&M,13.5
Utah St,13.5
N Kentucky,13.5
Portland St,13.5
S Alabama,13.5
Florida St,13.4
Wake Forest,13.3
Miami OH,13.3
Northwestern,13.3
Mississippi St,13.3
Clemson,13.3
Texas A&M,13.3
San Diego,13.3
Drake,13.2
Georgetown,13.2
Houston,13.2
Mercyhurst,13.2
SE Missouri St,13.2
Duquesne,13.2
Troy,13.1
TCU,13.1
Robert Morris,13.1
Fresno St,13.1
G Washington,13.1
Cincinnati,13.1
San Diego St,13.0
Georgia So,13.0
South Dakota,13.0
UCF,13.0
UT Martin,13.0
Alabama St,12.9
St Thomas,12.9
S Florida,12.9
E Washington,12.9
Milwaukee,12.8
Gonzaga,12.8
Iowa,12.8
West Virginia,12.8
Jacksonville,12.8
Ohio,12.8
Louisville,12.8
George Mason,12.8
NC Asheville,12.8
Louisiana,12.8
CS Bakersfield,12.8
LIU,12.7
Youngstown St,12.7
Oklahoma,12.7
SE Louisiana,12.7
Missouri St,12.7
Chicago St,12.6
Norfolk St,12.6
UMass,12.6
Tennessee St,12.6
Akron,12.6
C Michigan,12.6
UMBC,12.6
Campbell,12.5
UT Rio Grande,12.5
Hampton,12.5
Kent St,12.4
Belmont,12.4
William & Mary,12.4
W Kentucky,12.4
SMU,12.4
Siena,12.4
Sacred Heart,12.4
Baylor,12.4
E Tennessee St,12.4
San Francisco,12.4
Jackson St,12.4
Pittsburgh,12.3
Cal Baptist,12.3
Georgia,12.3
St Bonaventure,12.3
Kansas St,12.3
Morgan St,12.3
Nebraska,12.3
USC,12.3
Rutgers,12.3
E Kentucky,12.3
F Dickinson,12.3
Xavier,12.3
NC State,12.3
Texas A&M-CC,12.3
E Michigan,12.3
Quinnipiac,12.3
Nevada,12.2
SC Upstate,12.2
Washington St,12.2
Grambling,12.2
Northeastern,12.2
AR-Pine Bluff,12.2
Arkansas,12.2
UC Irvine,12.2
Alcorn St,12.2
Fairfield,12.2
Mercer,12.2
Oregon,12.1
Denver,12.1
Bowling Green,12.1
Auburn,12.1
Arkansas St,12.0
Utah Tech,12.0
Bryant,12.0
C Connecticut,12.0
Bucknell,12.0
VMI,12.0
Idaho St,12.0
N Texas,11.9
Navy,11.9
E Carolina,11.9
Harvard,11.9
Tulane,11.9
Sam Houston,11.9
Dayton,11.8
Fordham,11.8
Valparaiso,11.8
Presbyterian,11.8
Santa Clara,11.8
N Illinois,11.8
Princeton,11.8
UNLV,11.8
Howard,11.8
Ohio St,11.8
Utah Valley,11.8
Florida,11.7
Buffalo,11.7
Loyola Chi,11.7
Long Beach St,11.7
BYU,11.7
Charleston,11.7
Columbia,11.7
Southern Miss,11.7
Lamar,11.7
Stanford,11.7
Bethune,11.6
Hou Christian,11.6
LSU,11.6
Marshall,11.6
Purdue,11.6
La Salle,11.6
Murray St,11.6
Washington,11.6
Texas Tech,11.5
Indiana St,11.5
New Hampshire,11.5
SIU Edward,11.5
W Michigan,11.5
C Arkansas,11.5
NC Wilmington,11.5
Arizona,11.5
Le Moyne,11.5
S Indiana,11.5
Saint Peter's,11.5
Tennessee,11.5
Rhode Island,11.5
Nicholls,11.5
UCSB,11.4
W Georgia,11.4
Arizona St,11.4
Austin Peay,11.4
American,11.4
Incarnate Word,11.4
N Iowa,11.4
Liberty,11.4
Texas,11.4
California,11.4
Duke,11.4
UT Arlington,11.3
Indiana,11.3
Loyola MD,11.3
Monmouth,11.3
San Jose St,11.3
Middle Tenn,11.3
Michigan,11.3
NW State,11.3
New Orleans,11.3
Florida Atlantic,11.2
N Alabama,11.2
Sacramento St,11.2
Towson,11.2
Chattanooga,11.2
Colorado St,11.2
Saint Joseph's,11.2
Evansville,11.2
Wagner,11.2
Queens,11.2
Colorado,11.1
Lafayette,11.1
Yale,11.1
CS Fullerton,11.1
Army,11.1
Cornell,11.0
Kansas City,11.0
Illinois Chicago,11.0
Texas St,11.0
Georgia Tech,11.0
Michigan St,11.0
High Point,11.0
UL Monroe,11.0
Furman,11.0
Niagara,11.0
Colgate,10.9
St Francis PA,10.9
Kansas,10.9
Weber St,10.9
North Carolina,10.9
Boise St,10.9
Delaware,10.9
Canisius,10.9
Wichita St,10.8
Utah,10.8
Lehigh,10.8
UC Riverside,10.8
Virginia Tech,10.8
N Florida,10.8
Illinois St,10.8
Toledo,10.8
Boston U,10.8
Loyola Mymt,10.8
Kennesaw St,10.8
Lipscomb,10.8
UAB,10.8
Oregon St,10.8
Hofstra,10.7
DePaul,10.7
Brown,10.7
Mt St Mary's,10.7
Radford,10.7
Temple,10.7
Oakland,10.7
Old Dominion,10.7
N Colorado,10.7
