team,Seas_PPG
Alabama,90.7
Gonzaga,86.4
Florida,84.8
Kentucky,84.4
South Dakota,84.4
Missouri,83.6
Illinois,83.6
Akron,83.4
Cornell,83.4
Duke,83.2
Auburn,83.0
Arizona,82.5
Iowa,82.5
Winthrop,82.3
Santa Clara,81.9
Cal Poly,81.6
St Thomas,81.6
Samford,81.5
UAB,81.4
BYU,81.4
High Point,81.2
Maryland,81.1
N Florida,80.9
Texas Tech,80.9
North Carolina,80.7
N Dakota St,80.7
Yale,80.7
Iowa St,80.3
Wisconsin,80.1
SMU,79.9
Memphis,79.9
Bryant,79.8
UCF,79.8
Mississippi St,79.5
CS Northridge,79.5
N Colorado,79.4
Chattanooga,79.4
Purdue FW,79.4
New Mexico,79.3
Penn St,79.1
Ohio,79.1
S Dakota St,79.0
Indiana St,79.0
Washington St,78.9
Vanderbilt,78.9
Belmont,78.9
NC Asheville,78.9
Ohio St,78.8
Utah St,78.8
Arkansas St,78.7
Texas,78.5
Louisville,78.5
St John's,78.5
Oklahoma,78.3
Florida Atlantic,78.1
Xavier,78.1
Michigan,78.0
Toledo,77.9
Temple,77.7
Miami OH,77.7
Michigan St,77.7
Grand Canyon,77.6
N Alabama,77.5
UCSD,77.5
UMBC,77.3
Purdue,77.3
Mississippi,77.2
Rhode Island,77.1
Columbia,77.1
Rutgers,77.0
UConn,77.0
Omaha,77.0
Lipscomb,77.0
Robert Morris,76.9
Arkansas,76.8
Delaware,76.8
Charleston,76.7
USC,76.7
Milwaukee,76.7
NC Wilmington,76.6
Marquette,76.6
Longwood,76.6
Oregon,76.5
E Kentucky,76.5
William & Mary,76.5
Wright St,76.5
North Dakota,76.3
San Francisco,76.2
Morgan St,76.2
VCU,76.2
Kansas,76.1
UMass Lowell,76.1
Tennessee St,76.1
Clemson,76.1
Nebraska,76.0
S Carolina St,76.0
Manhattan,75.9
Queens,75.9
Pittsburgh,75.9
UC Irvine,75.8
Oregon St,75.7
California,75.6
Howard,75.6
Utah,75.5
Creighton,75.5
Bradley,75.4
Dayton,75.4
Delaware St,75.4
Georgia,75.3
Middle Tenn,75.3
Baylor,75.2
Colorado St,75.2
Montana,75.2
Boise St,75.1
Sacred Heart,75.1
Saint Joseph's,75.1
Illinois St,74.9
Butler,74.7
McNeese,74.7
Norfolk St,74.7
Marshall,74.7
Syracuse,74.7
Texas St,74.7
Indiana,74.7
Texas A&M,74.6
UC Riverside,74.5
Florida St,74.5
UTSA,74.4
Dartmouth,74.2
Furman,74.2
UCLA,74.2
Utah Valley,74.2
Georgia St,74.2
UT Rio Grande,74.1
Illinois Chicago,74.1
Georgia So,74.1
Arizona St,74.1
E Carolina,74.0
Bucknell,74.0
Tennessee,74.0
Miami,74.0
Quinnipiac,74.0
Villanova,74.0
NC Central,74.0
LSU,73.8
Ball St,73.8
Gardner-Webb,73.8
Youngstown St,73.7
Mercer,73.7
Tulane,73.7
Kennesaw St,73.7
Liberty,73.7
Houston,73.7
Wichita St,73.6
Albany,73.6
Saint Louis,73.6
Fordham,73.5
Stanford,73.5
S Florida,73.4
W Kentucky,73.3
E Michigan,73.3
UCSB,73.2
Georgia Tech,73.1
Wofford,73.1
Oklahoma St,73.0
UT Arlington,73.0
Sam Houston,72.9
Saint Mary's,72.7
Loyola Chi,72.7
C Michigan,72.7
Notre Dame,72.6
N Iowa,72.6
SC Upstate,72.6
Valparaiso,72.5
Texas A&M-CC,72.5
Kent St,72.5
UMass,72.5
N Arizona,72.5
DePaul,72.4
Northwestern,72.4
IU Indy,72.4
G Washington,72.3
Nevada,72.3
J Madison,72.3
SE Missouri St,72.3
Siena,72.2
S Illinois,72.2
Idaho St,72.2
Idaho,72.1
Princeton,72.1
Nicholls,72.0
Davidson,72.0
Georgetown,72.0
FGCU,72.0
Troy,72.0
Bowling Green,71.9
Le Moyne,71.9
Alabama St,71.9
Pepperdine,71.8
Portland St,71.8
Army,71.7
Radford,71.7
Portland,71.7
W Michigan,71.6
E Tennessee St,71.6
Louisiana Tech,71.5
Elon,71.5
CS Bakersfield,71.5
Jackson St,71.4
Washington,71.4
Jacksonville,71.4
Colgate,71.4
Providence,71.3
Cal Baptist,71.3
SE Louisiana,71.2
Brown,71.2
Cincinnati,71.2
S Alabama,71.1
UTEP,71.1
Oral Roberts,71.1
Jacksonville St,70.9
Bellarmine,70.9
Incarnate Word,70.9
La Salle,70.9
Kansas St,70.8
Tenn Tech,70.8
Fresno St,70.7
Montana St,70.7
N Kentucky,70.6
Murray St,70.6
Southern,70.6
Presbyterian,70.5
Oakland,70.5
F Dickinson,70.5
NC Greensboro,70.4
Texas So,70.4
George Mason,70.4
Boston College,70.4
Rice,70.4
Cleveland St,70.3
Monmouth,70.3
Loyola Mymt,70.3
Denver,70.3
Buffalo,70.3
UT Martin,70.2
Wake Forest,70.2
Prairie View,70.2
Charlotte,70.2
San Diego,70.2
San Jose St,70.2
Charleston So,70.1
Austin Peay,70.1
Tulsa,70.1
Northeastern,70.1
Navy,70.1
Southern Miss,69.9
Green Bay,69.9
Stetson,69.9
C Connecticut,69.8
San Diego St,69.8
South Carolina,69.8
AR-Pine Bluff,69.8
Colorado,69.7
