team,Seas_3PT_Rate
N Florida,0.54
N Dakota St,0.536
William & Mary,0.515
Furman,0.515
Cal Poly,0.511
Saint Louis,0.501
Indiana St,0.501
UCSD,0.496
N Illinois,0.49200000000000005
UT Rio Grande,0.49
Creighton,0.489
Princeton,0.48700000000000004
Cornell,0.486
Air Force,0.485
E Texas A&M,0.483
W Carolina,0.48200000000000004
Wisconsin,0.48200000000000004
Liberty,0.48200000000000004
Idaho,0.479
Louisville,0.478
VCU,0.478
C Arkansas,0.478
Wofford,0.47700000000000004
Lipscomb,0.47600000000000003
BYU,0.47600000000000003
UCSB,0.474
IU Indy,0.473
UT Martin,0.473
Illinois,0.47200000000000003
Samford,0.47100000000000003
VMI,0.469
St Thomas,0.46799999999999997
Illinois St,0.467
Florida A&M,0.466
Alabama,0.466
Dartmouth,0.465
Saint Joseph's,0.465
Marquette,0.46399999999999997
Tenn Tech,0.46399999999999997
Santa Clara,0.46399999999999997
Green Bay,0.462
Youngstown St,0.462
DePaul,0.462
West Virginia,0.461
Oral Roberts,0.457
S Alabama,0.456
Richmond,0.456
Purdue FW,0.456
Chattanooga,0.456
Providence,0.455
Kennesaw St,0.455
American,0.45299999999999996
J Madison,0.452
Akron,0.452
The Citadel,0.452
Troy,0.45
Sacramento St,0.449
Belmont,0.446
Sacred Heart,0.446
Arkansas St,0.446
Duke,0.446
Stonehill,0.445
Texas Tech,0.445
Penn,0.444
Georgia So,0.44299999999999995
UTSA,0.441
Kansas City,0.44
Miami OH,0.44
Hou Christian,0.44
Utah,0.439
Buffalo,0.439
San Francisco,0.43700000000000006
Villanova,0.43700000000000006
Florida,0.43700000000000006
Queens,0.436
Portland,0.436
LSU,0.435
Vermont,0.435
Tennessee,0.434
Duquesne,0.43200000000000005
Bellarmine,0.43200000000000005
Montana St,0.43
Boise St,0.429
Loyola Chi,0.429
Merrimack,0.429
Colorado St,0.428
Virginia,0.428
Niagara,0.428
Alabama St,0.42700000000000005
UConn,0.42700000000000005
Mississippi St,0.42700000000000005
Arizona St,0.426
Utah St,0.426
NC Greensboro,0.424
Tulsa,0.423
Holy Cross,0.423
Hofstra,0.423
Oakland,0.423
UC Riverside,0.423
Bradley,0.423
Colgate,0.42200000000000004
G Washington,0.42200000000000004
E Kentucky,0.42200000000000004
UT Arlington,0.42200000000000004
Davidson,0.42100000000000004
Michigan,0.42
Charleston So,0.42
St Francis PA,0.42
Boston U,0.419
Campbell,0.418
E Tennessee St,0.418
UCF,0.41700000000000004
Army,0.41700000000000004
Stanford,0.41700000000000004
Manhattan,0.41600000000000004
Oklahoma,0.41600000000000004
Alabama A&M,0.41600000000000004
Butler,0.41600000000000004
Elon,0.415
F Dickinson,0.415
Fordham,0.415
Louisiana Tech,0.414
Pittsburgh,0.414
Canisius,0.414
Missouri,0.414
Le Moyne,0.413
Washington St,0.413
Kentucky,0.41200000000000003
App State,0.41100000000000003
Mt St Mary's,0.41100000000000003
Bucknell,0.41
Dayton,0.41
Iowa,0.409
Charlotte,0.409
Chicago St,0.409
Auburn,0.408
New Hampshire,0.408
San Jose St,0.408
Wyoming,0.40700000000000003
Evansville,0.406
Brown,0.405
Virginia Tech,0.40399999999999997
Vanderbilt,0.40399999999999997
Loyola Mymt,0.40399999999999997
Lafayette,0.40299999999999997
N Kentucky,0.40299999999999997
Florida Atlantic,0.40299999999999997
Austin Peay,0.402
Kansas St,0.402
Mercer,0.401
Murray St,0.401
Ohio,0.401
Baylor,0.401
Charleston,0.4
Mississippi,0.4
North Dakota,0.4
S Dakota St,0.4
Siena,0.39899999999999997
Delaware,0.39899999999999997
Harvard,0.39899999999999997
Utah Tech,0.39799999999999996
Bowling Green,0.397
W Kentucky,0.397
Marshall,0.396
Middle Tenn,0.396
San Diego St,0.396
Loyola MD,0.396
High Point,0.39399999999999996
Tulane,0.39399999999999996
Illinois Chicago,0.39399999999999996
Coastal Car,0.392
Columbia,0.391
Omaha,0.391
Stony Brook,0.39
South Carolina,0.39
Clemson,0.38799999999999996
Rice,0.38799999999999996
Sam Houston,0.386
Saint Peter's,0.385
Miami,0.385
Nebraska,0.385
Valparaiso,0.384
Howard,0.384
UMBC,0.384
Purdue,0.384
Winthrop,0.384
Fairfield,0.38299999999999995
Cincinnati,0.38299999999999995
Oregon,0.38299999999999995
E Michigan,0.382
FGCU,0.382
Georgetown,0.381
Louisiana,0.381
Quinnipiac,0.38
AR-Pine Bluff,0.379
Pacific,0.37799999999999995
N Arizona,0.37799999999999995
NJIT,0.37799999999999995
Wright St,0.37799999999999995
California,0.37799999999999995
Texas A&M,0.377
Ohio St,0.377
Rhode Island,0.377
Stetson,0.376
S Florida,0.376
Wagner,0.376
E Washington,0.376
Xavier,0.376
Marist,0.376
N Colorado,0.375
South Dakota,0.375
Notre Dame,0.375
Nevada,0.375
Hawai'i,0.374
Colorado,0.373
Lehigh,0.373
W Illinois,0.37200000000000005
Towson,0.37200000000000005
North Carolina,0.37200000000000005
Maryland ES,0.37200000000000005
Weber St,0.37200000000000005
Long Beach St,0.371
Ball St,0.371
Navy,0.371
Drexel,0.371
Missouri St,0.37
Georgia,0.37
New Mexico St,0.37
Kent St,0.37
Southern Miss,0.369
SF Austin,0.369
Denver,0.369
SC Upstate,0.369
Jacksonville St,0.369
Montana,0.368
Georgia Tech,0.368
Nicholls,0.368
Iowa St,0.368
Robert Morris,0.36700000000000005
Hampton,0.36700000000000005
Idaho St,0.366
Arkansas,0.366
SIU Edward,0.366
McNeese,0.366
UCLA,0.365
Mercyhurst,0.364
George Mason,0.364
N Texas,0.364
NC Wilmington,0.364
N Iowa,0.363
Radford,0.363
Seattle,0.363
Rutgers,0.363
UTEP,0.36200000000000004
Drake,0.36200000000000004
Penn St,0.36200000000000004
Binghamton,0.36200000000000004
NC State,0.36200000000000004
Albany,0.36
NC A&T,0.36
SE Missouri St,0.36
Minnesota,0.359
San Diego,0.358
Old Dominion,0.358
Incarnate Word,0.358
Oregon St,0.358
Texas So,0.358
NW State,0.35700000000000004
Washington,0.35700000000000004
UC Davis,0.355
Maryland,0.354
Fresno St,0.353
Texas,0.353
UC Irvine,0.353
Wake Forest,0.35200000000000004
E Carolina,0.35200000000000004
St Bonaventure,0.35200000000000004
SMU,0.35100000000000003
Cal Baptist,0.35
Grambling,0.35
NC Asheville,0.35
Northeastern,0.348
USC,0.348
C Connecticut,0.348
Bryant,0.348
Iona,0.34700000000000003
Houston,0.34700000000000003
Oklahoma St,0.34700000000000003
Arizona,0.34700000000000003
Pepperdine,0.34700000000000003
TCU,0.34700000000000003
Monmouth,0.34600000000000003
Lindenwood,0.34600000000000003
UMass Lowell,0.34600000000000003
UNLV,0.34600000000000003
N Alabama,0.345
Northwestern,0.342
Morehead St,0.341
Kansas,0.341
CS Fullerton,0.341
NC Central,0.34
Longwood,0.33899999999999997
Presbyterian,0.33899999999999997
UL Monroe,0.33899999999999997
Bethune,0.33899999999999997
Jacksonville,0.33899999999999997
Grand Canyon,0.33799999999999997
Florida St,0.337
Jackson St,0.337
Prairie View,0.337
S Illinois,0.336
Gonzaga,0.336
Tennessee St,0.336
S Indiana,0.335
LIU,0.33399999999999996
