team,Seas_Turnovers
N Alabama,8.7
Merrimack,8.9
UCSD,9.0
Houston,9.0
Mississippi,9.0
Alabama St,9.1
Duke,9.3
Marquette,9.4
Towson,9.4
Auburn,9.4
South Dakota,9.5
NC State,9.5
Toledo,9.5
S Alabama,9.5
Gonzaga,9.5
Saint Mary's,9.6
E Kentucky,9.6
St Thomas,9.6
Texas Tech,9.6
Wisconsin,9.6
Valparaiso,9.6
Davidson,9.7
UAB,9.7
Villanova,9.8
Iowa,9.8
Purdue FW,9.8
NC Greensboro,9.9
Army,9.9
Texas,9.9
Pittsburgh,10.0
Lipscomb,10.0
Northwestern,10.0
Austin Peay,10.0
Yale,10.0
Virginia,10.1
Montana St,10.1
Charlotte,10.1
Maryland,10.1
Richmond,10.1
Nevada,10.2
Chattanooga,10.2
Vanderbilt,10.2
N Arizona,10.2
N Texas,10.2
Liberty,10.3
High Point,10.3
Maine,10.3
Cincinnati,10.3
St Bonaventure,10.3
New Mexico St,10.3
Fairfield,10.4
Princeton,10.4
Arkansas St,10.4
IU Indy,10.4
Dayton,10.4
Purdue,10.4
Loyola Mymt,10.4
Tennessee,10.4
Stanford,10.5
Campbell,10.5
N Iowa,10.5
Jacksonville St,10.5
NC Asheville,10.5
E Tennessee St,10.5
Nicholls,10.5
Illinois St,10.5
Clemson,10.5
Lehigh,10.5
N Dakota St,10.6
Baylor,10.6
UCLA,10.6
J Madison,10.6
Hampton,10.6
NC A&T,10.6
FGCU,10.7
UNLV,10.7
McNeese,10.7
E Carolina,10.7
Mercyhurst,10.7
Louisiana,10.7
North Carolina,10.7
SE Missouri St,10.7
Presbyterian,10.7
Mississippi St,10.7
West Virginia,10.8
NC Wilmington,10.8
Utah St,10.8
Omaha,10.8
Ohio,10.8
American,10.8
Albany,10.8
Minnesota,10.8
Navy,10.8
App State,10.8
La Salle,10.8
Montana,10.9
Oregon St,10.9
Tulane,10.9
Missouri,10.9
Boise St,10.9
Kentucky,10.9
Idaho St,10.9
St John's,10.9
Rutgers,10.9
Ohio St,10.9
Xavier,10.9
UTSA,10.9
W Michigan,10.9
Miami,10.9
Vermont,10.9
Butler,11.0
N Florida,11.0
Wofford,11.0
Columbia,11.0
Monmouth,11.0
N Colorado,11.0
Lafayette,11.1
Notre Dame,11.1
Florida,11.1
Penn,11.1
UConn,11.1
Pepperdine,11.1
UC Riverside,11.1
Oral Roberts,11.2
Temple,11.2
VCU,11.2
Drake,11.2
Weber St,11.2
W Georgia,11.2
San Diego St,11.2
Rider,11.2
Colgate,11.3
Belmont,11.3
Murray St,11.3
Oregon,11.3
Ball St,11.3
Louisville,11.3
Saint Joseph's,11.3
Old Dominion,11.3
Wake Forest,11.3
Nebraska,11.3
Michigan St,11.4
W Kentucky,11.4
Incarnate Word,11.4
Arizona,11.4
S Florida,11.4
Wichita St,11.4
C Connecticut,11.4
Furman,11.4
Marshall,11.4
New Mexico,11.4
Radford,11.5
Seattle,11.5
UMBC,11.5
Florida Atlantic,11.5
Colorado St,11.5
Arkansas,11.5
Manhattan,11.5
Hofstra,11.5
Charleston,11.5
Tulsa,11.5
UMass,11.5
N Illinois,11.6
San Francisco,11.6
Indiana,11.6
California,11.6
Bradley,11.6
SIU Edward,11.6
Delaware,11.6
Georgetown,11.6
San Jose St,11.6
Dartmouth,11.7
TCU,11.7
North Dakota,11.7
Illinois,11.7
Brown,11.7
Loyola Chi,11.7
Hou Christian,11.7
UL Monroe,11.7
Coastal Car,11.7
Kent St,11.7
N Kentucky,11.7
Middle Tenn,11.8
SE Louisiana,11.8
Georgia St,11.8
