team,Seas_Def_Rebound_Per
Boise St,0.8009999999999999
S Dakota St,0.7979999999999999
N Colorado,0.79
Boston U,0.7879999999999999
Dartmouth,0.7829999999999999
CS Northridge,0.779
Saint Mary's,0.779
Omaha,0.774
Princeton,0.774
Vermont,0.773
New Mexico,0.772
Wagner,0.772
N Arizona,0.772
Michigan St,0.7709999999999999
Marist,0.7709999999999999
Morehead St,0.7709999999999999
Illinois St,0.77
Drake,0.769
Illinois,0.769
Notre Dame,0.7659999999999999
Hawai'i,0.765
FGCU,0.765
Yale,0.765
C Connecticut,0.765
Gonzaga,0.764
Bowling Green,0.764
Xavier,0.764
Duke,0.763
Nevada,0.763
UConn,0.762
Utah Valley,0.76
N Iowa,0.759
Binghamton,0.758
BYU,0.757
Colorado St,0.757
San Francisco,0.757
Jacksonville St,0.7559999999999999
Murray St,0.7559999999999999
Wofford,0.7559999999999999
S Illinois,0.755
Quinnipiac,0.754
LIU,0.754
Idaho St,0.754
Seattle,0.754
Wyoming,0.753
Sacramento St,0.753
Houston,0.753
Milwaukee,0.752
Syracuse,0.752
Wisconsin,0.752
North Carolina,0.7509999999999999
UC Irvine,0.7509999999999999
Villanova,0.75
Indiana St,0.75
Loyola Chi,0.7490000000000001
Santa Clara,0.7490000000000001
Kennesaw St,0.7490000000000001
Louisville,0.7490000000000001
Colgate,0.7490000000000001
UCSD,0.7490000000000001
Navy,0.7490000000000001
Kentucky,0.748
Arizona,0.748
South Carolina,0.748
Niagara,0.748
Lipscomb,0.748
Saint Joseph's,0.747
Charleston So,0.746
Columbia,0.746
Holy Cross,0.746
Creighton,0.746
Texas A&M,0.745
Robert Morris,0.745
Kansas,0.745
Providence,0.745
Colorado,0.745
Kent St,0.745
NC Wilmington,0.7440000000000001
Lafayette,0.7440000000000001
Iowa St,0.7440000000000001
Bucknell,0.7440000000000001
St Bonaventure,0.7440000000000001
Davidson,0.743
Bryant,0.743
Richmond,0.743
Indiana,0.743
UCSB,0.742
Missouri St,0.742
Oregon St,0.742
Cornell,0.742
Marshall,0.741
Liberty,0.741
Illinois Chicago,0.741
Towson,0.741
American,0.741
Wichita St,0.74
Florida Intl,0.74
Middle Tenn,0.7390000000000001
Southern,0.7390000000000001
N Texas,0.7390000000000001
Albany,0.7390000000000001
Loyola MD,0.738
Louisiana Tech,0.738
Nebraska,0.738
Maryland,0.738
Hofstra,0.738
UC Riverside,0.737
Tennessee,0.737
New Mexico St,0.736
Stanford,0.736
Pittsburgh,0.736
Rice,0.736
Wright St,0.736
Valparaiso,0.735
Hampton,0.735
Mt St Mary's,0.735
Campbell,0.735
Kansas City,0.735
Utah,0.735
Washington,0.7340000000000001
Grand Canyon,0.7340000000000001
NC Greensboro,0.7340000000000001
Cincinnati,0.7340000000000001
Bradley,0.7340000000000001
Dayton,0.733
Georgia Tech,0.733
W Carolina,0.733
California,0.733
Chattanooga,0.733
Saint Louis,0.732
Auburn,0.732
Ohio,0.732
Penn St,0.732
W Michigan,0.732
Akron,0.732
Charleston,0.732
SIU Edward,0.732
Virginia Tech,0.731
SMU,0.731
Rhode Island,0.731
Texas Tech,0.731
W Georgia,0.731
Alabama,0.731
Florida,0.731
Pacific,0.73
App State,0.73
Montana,0.73
Georgetown,0.73
Coastal Car,0.73
C Arkansas,0.73
W Kentucky,0.7290000000000001
Minnesota,0.7290000000000001
Northwestern,0.7290000000000001
N Alabama,0.7290000000000001
St John's,0.728
Montana St,0.728
Lehigh,0.728
Utah St,0.727
Virginia,0.727
Queens,0.727
Texas,0.727
VCU,0.727
Mercer,0.726
Denver,0.726
Mississippi St,0.726
Evansville,0.726
Butler,0.726
Michigan,0.725
Air Force,0.725
Cal Baptist,0.725
Miami OH,0.725
C Michigan,0.725
SE Missouri St,0.725
DePaul,0.7240000000000001
Sacred Heart,0.7240000000000001
Ball St,0.7240000000000001
