team,Seas_Opp_Def_Rebound
Texas A&M,0.603
Milwaukee,0.611
Saint Mary's,0.616
Idaho St,0.625
Florida,0.625
Iona,0.626
Troy,0.629
St John's,0.637
VCU,0.639
Houston,0.639
UAB,0.64
Elon,0.6459999999999999
Drake,0.649
Illinois,0.65
Saint Peter's,0.652
Arizona,0.652
Robert Morris,0.653
UConn,0.654
NC Wilmington,0.6559999999999999
Towson,0.6579999999999999
Old Dominion,0.6579999999999999
Memphis,0.659
Kent St,0.6609999999999999
Baylor,0.6609999999999999
Tennessee,0.662
Georgia,0.662
SMU,0.662
Michigan St,0.662
CS Bakersfield,0.6629999999999999
McNeese,0.6629999999999999
Wofford,0.664
CS Northridge,0.665
S Carolina St,0.665
Lamar,0.6659999999999999
Auburn,0.6679999999999999
E Tennessee St,0.669
Jacksonville,0.67
Cleveland St,0.67
Duke,0.67
Bryant,0.672
Tennessee St,0.672
Radford,0.672
Utah,0.672
UMass,0.6729999999999999
SF Austin,0.674
NC Central,0.674
E Carolina,0.674
Oakland,0.674
North Dakota,0.675
UT Martin,0.675
Arkansas St,0.675
Missouri,0.6759999999999999
Alcorn St,0.677
Cal Baptist,0.677
Texas St,0.677
Texas Tech,0.677
Hampton,0.677
W Michigan,0.677
Mississippi St,0.6779999999999999
Delaware St,0.6779999999999999
Southern,0.6779999999999999
Utah St,0.6779999999999999
Morgan St,0.6779999999999999
California,0.6779999999999999
High Point,0.6779999999999999
Portland St,0.6779999999999999
Samford,0.679
Duquesne,0.679
Clemson,0.68
Drexel,0.68
BYU,0.6809999999999999
Incarnate Word,0.6809999999999999
UCLA,0.6809999999999999
Alabama A&M,0.682
Alabama,0.682
Quinnipiac,0.682
Gardner-Webb,0.682
N Alabama,0.6829999999999999
Rice,0.684
S Dakota St,0.685
Michigan,0.6859999999999999
NW State,0.688
Santa Clara,0.6890000000000001
Boise St,0.6890000000000001
New Mexico St,0.69
E Kentucky,0.69
Rider,0.69
Marshall,0.69
Cincinnati,0.69
Kansas City,0.69
TCU,0.691
UT Arlington,0.691
Providence,0.6920000000000001
J Madison,0.6920000000000001
Akron,0.6920000000000001
N Texas,0.693
Iowa St,0.693
Georgia So,0.693
Louisville,0.693
LIU,0.693
Longwood,0.6940000000000001
Kennesaw St,0.6940000000000001
Georgia St,0.6940000000000001
Manhattan,0.695
Grand Canyon,0.696
Gonzaga,0.6970000000000001
Boston U,0.6970000000000001
Fordham,0.698
Yale,0.698
Missouri St,0.6990000000000001
Wagner,0.6990000000000001
Purdue,0.7
Wichita St,0.701
Queens,0.701
Norfolk St,0.7020000000000001
UC Riverside,0.703
S Illinois,0.703
Oregon St,0.703
Detroit Mercy,0.703
Texas A&M-CC,0.703
N Kentucky,0.7040000000000001
Navy,0.7040000000000001
UCF,0.705
C Michigan,0.705
Georgetown,0.705
Little Rock,0.706
Albany,0.706
N Arizona,0.7070000000000001
Nicholls,0.7070000000000001
Stanford,0.7070000000000001
Jacksonville St,0.708
Indiana,0.7090000000000001
George Mason,0.7090000000000001
SE Louisiana,0.7090000000000001
Vanderbilt,0.7090000000000001
Middle Tenn,0.711
Washington St,0.711
Texas So,0.711
Utah Valley,0.711
NC Asheville,0.711
New Mexico,0.7120000000000001
Northeastern,0.7120000000000001
Rutgers,0.7120000000000001
Marist,0.7120000000000001
Toledo,0.713
Texas,0.713
Seton Hall,0.713
Maryland,0.7140000000000001
Winthrop,0.7140000000000001
Northwestern,0.7140000000000001
Hawai'i,0.715
Jackson St,0.715
UT Rio Grande,0.715
Temple,0.715
Virginia Tech,0.716
Charleston So,0.716
SIU Edward,0.716
Omaha,0.7170000000000001
Florida Atlantic,0.7170000000000001
Lindenwood,0.7170000000000001
Villanova,0.718
Florida Intl,0.718
Morehead St,0.718
Brown,0.718
Syracuse,0.718
Saint Joseph's,0.718
NC Greensboro,0.7190000000000001
Sacred Heart,0.7190000000000001
FGCU,0.7190000000000001
Mt St Mary's,0.7190000000000001
G Washington,0.7190000000000001
Sam Houston,0.7190000000000001
Oklahoma St,0.7190000000000001
Kansas,0.72
Marquette,0.72
New Orleans,0.72
Furman,0.721
Monmouth,0.721
San Francisco,0.721
S Utah,0.722
Abl Christian,0.722
Howard,0.722
Youngstown St,0.722
IU Indy,0.722
South Carolina,0.723
Georgia Tech,0.723
NC State,0.723
South Dakota,0.7240000000000001
Florida St,0.7240000000000001
Kansas St,0.7240000000000001
Seattle,0.7240000000000001
Siena,0.7240000000000001
Wyoming,0.7240000000000001
La Salle,0.725
Louisiana Tech,0.725
Oregon,0.726
Presbyterian,0.727
San Diego,0.727
UL Monroe,0.727
Pittsburgh,0.728
Colorado,0.7290000000000001
Loyola Chi,0.7290000000000001
Fairfield,0.7290000000000001
Notre Dame,0.7290000000000001
Dayton,0.7290000000000001
Minnesota,0.7290000000000001
Bethune,0.7290000000000001
Loyola MD,0.731
LSU,0.731
Sacramento St,0.731
San Diego St,0.732
Miami,0.732
E Michigan,0.733
Murray St,0.733
Rhode Island,0.733
Idaho,0.733
Boston College,0.733
USC,0.7340000000000001
Ohio St,0.7340000000000001
Illinois Chicago,0.735
Coastal Car,0.736
Pacific,0.736
Stony Brook,0.737
E Illinois,0.737
Kentucky,0.737
Mercer,0.737
S Alabama,0.738
Penn St,0.738
Nevada,0.741
Washington,0.741
Tarleton St,0.742
UC Davis,0.743
Arkansas,0.743
Wright St,0.743
UC Irvine,0.7440000000000001
UNLV,0.7440000000000001
Belmont,0.7440000000000001
Alabama St,0.7440000000000001
NJIT,0.7440000000000001
Miami OH,0.745
St Bonaventure,0.745
N Florida,0.745
C Arkansas,0.745
Cal Poly,0.745
North Carolina,0.745
UCSB,0.746
W Illinois,0.747
UTSA,0.747
Colorado St,0.747
E Texas A&M,0.747
The Citadel,0.748
Pepperdine,0.748
Valparaiso,0.748
Oklahoma,0.748
Long Beach St,0.7490000000000001
Maryland ES,0.7490000000000001
Creighton,0.75
S Florida,0.75
S Indiana,0.75
Florida A&M,0.75
Fresno St,0.7509999999999999
Southern Miss,0.7509999999999999
Tulsa,0.7509999999999999
Wake Forest,0.752
Nebraska,0.752
C Connecticut,0.752
Wisconsin,0.752
UMass Lowell,0.752
App State,0.753
E Washington,0.753
DePaul,0.753
N Dakota St,0.754
NC A&T,0.754
W Georgia,0.755
Le Moyne,0.7559999999999999
William & Mary,0.7559999999999999
Hou Christian,0.7559999999999999
Stonehill,0.757
W Carolina,0.757
Bucknell,0.758
San Jose St,0.759
AR-Pine Bluff,0.759
Vermont,0.759
Binghamton,0.76
Charleston,0.76
Cornell,0.76
N Colorado,0.76
Princeton,0.76
Grambling,0.76
Bradley,0.7609999999999999
Utah Tech,0.7609999999999999
Ball St,0.7609999999999999
West Virginia,0.7609999999999999
CS Fullerton,0.7609999999999999
F Dickinson,0.762
Army,0.762
Indiana St,0.762
Illinois St,0.763
Columbia,0.764
Hofstra,0.765
New Hampshire,0.765
Iowa,0.7659999999999999
St Francis PA,0.7659999999999999
Penn,0.7659999999999999
Butler,0.767
UTEP,0.767
Denver,0.768
Austin Peay,0.768
Coppin St,0.768
Chattanooga,0.768
Tulane,0.768
Tenn Tech,0.768
Mississippi,0.768
UCSD,0.77
VMI,0.7709999999999999
Buffalo,0.7709999999999999
Louisiana,0.772
Charlotte,0.773
SC Upstate,0.774
Lafayette,0.7759999999999999
Bowling Green,0.7759999999999999
Campbell,0.7759999999999999
SE Missouri St,0.7759999999999999
American,0.778
Arizona St,0.779
Colgate,0.779
Davidson,0.78
Loyola Mymt,0.78
Prairie View,0.782
Weber St,0.782
Harvard,0.782
Stetson,0.7829999999999999
N Iowa,0.7829999999999999
Lipscomb,0.785
Holy Cross,0.7859999999999999
Saint Louis,0.7859999999999999
W Kentucky,0.789
Niagara,0.79
Dartmouth,0.79
Xavier,0.7909999999999999
Portland,0.7909999999999999
Mercyhurst,0.792
Ohio,0.794
Virginia,0.794
Air Force,0.8009999999999999
Chicago St,0.8009999999999999
Miss Valley St,0.8009999999999999
Evansville,0.8009999999999999
Delaware,0.802
Purdue FW,0.802
Montana,0.8029999999999999
Oral Roberts,0.809
Lehigh,0.813
Maine,0.813
St Thomas,0.8140000000000001
Merrimack,0.816
Montana St,0.8170000000000001
Bellarmine,0.8220000000000001
Richmond,0.823
Liberty,0.823
UMBC,0.826
Green Bay,0.8370000000000001
Canisius,0.852
N Illinois,0.855
