team,Seas_Opp_Off_Rebound
Boise St,0.19899999999999998
S Dakota St,0.20199999999999999
N Colorado,0.21
Boston U,0.212
Dartmouth,0.217
CS Northridge,0.221
Saint Mary's,0.221
Omaha,0.226
Princeton,0.226
Vermont,0.22699999999999998
New Mexico,0.228
Wagner,0.228
N Arizona,0.228
Michigan St,0.22899999999999998
Marist,0.22899999999999998
Morehead St,0.22899999999999998
Illinois St,0.23
Drake,0.231
Illinois,0.231
Notre Dame,0.23399999999999999
Hawai'i,0.235
FGCU,0.235
Yale,0.235
C Connecticut,0.235
Gonzaga,0.23600000000000002
Bowling Green,0.23600000000000002
Xavier,0.23600000000000002
Duke,0.237
Nevada,0.237
UConn,0.23800000000000002
Utah Valley,0.24
N Iowa,0.24100000000000002
Binghamton,0.242
BYU,0.243
Colorado St,0.243
San Francisco,0.243
Jacksonville St,0.244
Murray St,0.244
Wofford,0.244
S Illinois,0.245
Quinnipiac,0.24600000000000002
LIU,0.24600000000000002
Idaho St,0.24600000000000002
Seattle,0.24600000000000002
Wyoming,0.247
Sacramento St,0.247
Houston,0.247
Milwaukee,0.248
Syracuse,0.248
Wisconsin,0.248
North Carolina,0.249
UC Irvine,0.249
Villanova,0.25
Indiana St,0.25
Loyola Chi,0.251
Santa Clara,0.251
Kennesaw St,0.251
Louisville,0.251
Colgate,0.251
UCSD,0.251
Navy,0.251
Kentucky,0.252
Arizona,0.252
South Carolina,0.252
Niagara,0.252
Lipscomb,0.252
Saint Joseph's,0.253
Charleston So,0.254
Columbia,0.254
Holy Cross,0.254
Creighton,0.254
Texas A&M,0.255
Robert Morris,0.255
Kansas,0.255
Providence,0.255
Colorado,0.255
Kent St,0.255
NC Wilmington,0.256
Lafayette,0.256
Iowa St,0.256
Bucknell,0.256
St Bonaventure,0.256
Davidson,0.257
Bryant,0.257
Richmond,0.257
Indiana,0.257
UCSB,0.258
Missouri St,0.258
Oregon St,0.258
Cornell,0.258
Marshall,0.259
Liberty,0.259
Illinois Chicago,0.259
Towson,0.259
American,0.259
Wichita St,0.26
Florida Intl,0.26
Middle Tenn,0.261
Southern,0.261
N Texas,0.261
Albany,0.261
Loyola MD,0.262
Louisiana Tech,0.262
Nebraska,0.262
Maryland,0.262
Hofstra,0.262
UC Riverside,0.263
Tennessee,0.263
New Mexico St,0.264
Stanford,0.264
Pittsburgh,0.264
Rice,0.264
Wright St,0.264
Valparaiso,0.265
Hampton,0.265
Mt St Mary's,0.265
Campbell,0.265
Kansas City,0.265
Utah,0.265
Washington,0.266
Grand Canyon,0.266
NC Greensboro,0.266
Cincinnati,0.266
Bradley,0.267
Dayton,0.267
Georgia Tech,0.267
W Carolina,0.267
California,0.267
Chattanooga,0.267
Saint Louis,0.268
Auburn,0.268
Ohio,0.268
Penn St,0.268
W Michigan,0.268
Akron,0.268
Charleston,0.268
