team,Seas_Opp_3PT_Succ
San Francisco,0.27899999999999997
Michigan St,0.28
Liberty,0.287
Tennessee,0.287
Florida,0.294
New Mexico St,0.295
Dartmouth,0.29600000000000004
West Virginia,0.297
App State,0.298
Auburn,0.298
Montana St,0.298
SE Missouri St,0.3
Nicholls,0.301
Houston,0.302
Gonzaga,0.303
Arkansas St,0.303
Oklahoma,0.303
F Dickinson,0.303
Alabama,0.304
Ohio St,0.305
Kentucky,0.305
W Kentucky,0.305
Maryland,0.306
St John's,0.306
C Connecticut,0.306
Wake Forest,0.307
VCU,0.307
Louisiana Tech,0.308
Kansas,0.308
UCSB,0.308
Michigan,0.308
N Texas,0.308
George Mason,0.31
NJIT,0.31
Merrimack,0.31
NC Greensboro,0.31
Campbell,0.311
S Carolina St,0.311
Duke,0.311
Purdue,0.312
Lehigh,0.312
Drake,0.312
Lipscomb,0.312
Kent St,0.312
San Diego St,0.312
LIU,0.312
Bethune,0.313
Santa Clara,0.313
Arkansas,0.314
Lamar,0.314
Little Rock,0.314
Louisiana,0.315
Saint Mary's,0.315
Kansas St,0.315
Middle Tenn,0.315
Rhode Island,0.315
Ball St,0.315
Drexel,0.316
Georgia,0.316
Oregon,0.316
TCU,0.316
Portland St,0.317
G Washington,0.318
Binghamton,0.318
Butler,0.318
Marquette,0.318
Loyola Mymt,0.318
Mt St Mary's,0.318
Kansas City,0.318
Clemson,0.319
UNLV,0.319
Saint Peter's,0.319
Seattle,0.319
Tenn Tech,0.319
San Jose St,0.319
Florida St,0.32
Charleston,0.321
Notre Dame,0.321
Rice,0.321
Murray St,0.321
Marshall,0.322
St Francis PA,0.322
Georgia So,0.32299999999999995
Hou Christian,0.32299999999999995
Bradley,0.32299999999999995
Gardner-Webb,0.32299999999999995
LSU,0.32299999999999995
Grand Canyon,0.32299999999999995
Manhattan,0.324
Texas Tech,0.324
Memphis,0.324
Akron,0.324
Charleston So,0.324
McNeese,0.324
Bryant,0.325
Southern Miss,0.325
Kennesaw St,0.325
Mississippi,0.325
Coastal Car,0.325
N Alabama,0.325
Texas So,0.326
Virginia Tech,0.326
Purdue FW,0.326
Creighton,0.326
W Carolina,0.326
Iona,0.326
Abl Christian,0.326
Indiana,0.327
Tulane,0.327
Tulsa,0.327
NC Central,0.327
St Bonaventure,0.32799999999999996
Troy,0.32799999999999996
UCLA,0.32799999999999996
UCF,0.32799999999999996
Dayton,0.32899999999999996
Arizona St,0.32899999999999996
S Dakota St,0.32899999999999996
High Point,0.32899999999999996
Brown,0.32899999999999996
Elon,0.33
USC,0.33
Vermont,0.33
Cincinnati,0.33
S Alabama,0.331
UCSD,0.331
SIU Edward,0.331
SMU,0.331
Furman,0.331
Bowling Green,0.332
