team,Seas_Opp_3PT_Rate
S Utah,0.27699999999999997
Charleston So,0.292
Illinois,0.305
N Florida,0.311
Cal Baptist,0.313
Incarnate Word,0.314
Utah Tech,0.315
SE Missouri St,0.316
Saint Mary's,0.318
Fordham,0.318
Hou Christian,0.318
Montana St,0.32
Murray St,0.321
Hawai'i,0.324
Ohio,0.326
Abl Christian,0.326
NC State,0.326
Prairie View,0.327
NC Central,0.32799999999999996
Marshall,0.32799999999999996
California,0.32799999999999996
Youngstown St,0.32799999999999996
Saint Joseph's,0.32899999999999996
Stonehill,0.33299999999999996
Morehead St,0.33399999999999996
Howard,0.335
Utah Valley,0.335
Stanford,0.337
Tulsa,0.34
Delaware,0.341
S Carolina St,0.341
Grand Canyon,0.341
Tenn Tech,0.341
Siena,0.342
UConn,0.342
N Colorado,0.34299999999999997
Morgan St,0.34299999999999997
Minnesota,0.34299999999999997
UMBC,0.344
Liberty,0.345
Charlotte,0.345
Texas Tech,0.34600000000000003
E Texas A&M,0.34600000000000003
Alabama,0.34600000000000003
South Carolina,0.34600000000000003
Cincinnati,0.34600000000000003
UAB,0.34700000000000003
UMass Lowell,0.34700000000000003
Northeastern,0.34700000000000003
W Illinois,0.348
Presbyterian,0.348
UT Arlington,0.349
Albany,0.349
Arkansas St,0.35100000000000003
J Madison,0.35100000000000003
UT Rio Grande,0.35100000000000003
Montana,0.35100000000000003
Buffalo,0.35200000000000004
NJIT,0.35200000000000004
Old Dominion,0.353
E Carolina,0.353
Creighton,0.353
Auburn,0.353
Illinois Chicago,0.353
VCU,0.354
DePaul,0.354
Washington,0.354
Drexel,0.354
Marist,0.354
San Francisco,0.355
San Jose St,0.355
High Point,0.35600000000000004
F Dickinson,0.35600000000000004
Grambling,0.35600000000000004
Robert Morris,0.35600000000000004
Kansas St,0.35700000000000004
Middle Tenn,0.35700000000000004
Hampton,0.35700000000000004
Loyola MD,0.35700000000000004
Florida Atlantic,0.358
LSU,0.358
American,0.359
Duquesne,0.359
Boston College,0.359
Austin Peay,0.359
Tennessee St,0.359
Wright St,0.36
Valparaiso,0.36
Bryant,0.361
Maine,0.36200000000000004
Maryland,0.36200000000000004
Air Force,0.36200000000000004
Coastal Car,0.363
Merrimack,0.363
Texas,0.364
Temple,0.364
Texas St,0.364
West Virginia,0.365
Florida A&M,0.365
S Indiana,0.365
Harvard,0.365
Loyola Mymt,0.366
Lehigh,0.36700000000000005
Texas A&M-CC,0.36700000000000005
Campbell,0.368
Rice,0.369
Louisiana,0.369
Fairfield,0.369
Bethune,0.369
UCSB,0.369
Providence,0.37
Lipscomb,0.37
N Arizona,0.37
Quinnipiac,0.371
Queens,0.371
Boise St,0.371
Butler,0.371
SF Austin,0.371
Florida,0.37200000000000005
E Kentucky,0.373
UC Irvine,0.373
Wyoming,0.373
UCF,0.374
Xavier,0.374
Brown,0.374
Lindenwood,0.375
S Florida,0.375
Toledo,0.375
Alabama A&M,0.375
N Illinois,0.375
Nicholls,0.376
Ohio St,0.376
Long Beach St,0.376
UC Davis,0.377
Rutgers,0.377
Maryland ES,0.377
Vanderbilt,0.377
Idaho St,0.377
Oregon,0.377
Missouri,0.37799999999999995
Holy Cross,0.37799999999999995
Winthrop,0.379
UTSA,0.379
Denver,0.379
Lafayette,0.379
Akron,0.38
Colorado St,0.38
Gardner-Webb,0.38
Indiana St,0.38
Clemson,0.38
N Texas,0.38
Wichita St,0.38
Saint Peter's,0.38
Jacksonville,0.381
North Carolina,0.381
Syracuse,0.381
Penn St,0.38299999999999995
Troy,0.38299999999999995
San Diego,0.38299999999999995
Duke,0.38299999999999995
New Mexico,0.38299999999999995
E Washington,0.384
Kennesaw St,0.384
Miss Valley St,0.384
Niagara,0.384
Southern Miss,0.384
Dartmouth,0.385
NC A&T,0.385
Furman,0.386
Drake,0.386
Vermont,0.386
Seattle,0.386
Milwaukee,0.386
USC,0.387
SIU Edward,0.387
G Washington,0.387
Virginia,0.387
Towson,0.38799999999999996
E Michigan,0.38799999999999996
Coppin St,0.38799999999999996
Iowa,0.38799999999999996
Arkansas,0.389
Louisiana Tech,0.389
South Dakota,0.389
Pepperdine,0.389
NC Asheville,0.389
Indiana,0.389
UC Riverside,0.39
Wisconsin,0.391
Portland St,0.391
Cornell,0.391
Michigan,0.391
N Dakota St,0.391
Lamar,0.391
Washington St,0.391
Penn,0.392
Northwestern,0.39299999999999996
Chicago St,0.39399999999999996
Marquette,0.39399999999999996
Southern,0.39399999999999996
Missouri St,0.39399999999999996
Colorado,0.39399999999999996
Florida Intl,0.395
Loyola Chi,0.395
Pacific,0.395
Georgetown,0.396
Santa Clara,0.397
Ball St,0.397
Rhode Island,0.397
Charleston,0.397
NW State,0.397
Saint Louis,0.397
New Hampshire,0.397
Green Bay,0.397
Cleveland St,0.39799999999999996
