team,Seas_Succ_3PT
N Florida,0.46
N Dakota St,0.45
Princeton,0.428
Cal Poly,0.425
Furman,0.42200000000000004
Liberty,0.414
N Illinois,0.413
IU Indy,0.413
UCSB,0.41
Tenn Tech,0.401
Holy Cross,0.401
Santa Clara,0.401
William & Mary,0.4
Samford,0.4
Belmont,0.39799999999999996
UCSD,0.397
Saint Louis,0.396
Air Force,0.392
Wofford,0.392
Cornell,0.392
UT Rio Grande,0.391
E Texas A&M,0.391
UTSA,0.391
Providence,0.39
Villanova,0.387
W Carolina,0.387
BYU,0.387
Purdue FW,0.387
Idaho,0.387
Indiana St,0.386
Georgia So,0.386
Virginia,0.385
Miami OH,0.385
Dartmouth,0.384
Lipscomb,0.38299999999999995
DePaul,0.382
West Virginia,0.381
Sacred Heart,0.381
Illinois St,0.38
Creighton,0.38
American,0.38
Canisius,0.379
Akron,0.379
Stonehill,0.379
St Thomas,0.37799999999999995
VCU,0.37799999999999995
J Madison,0.373
Oral Roberts,0.373
NC Greensboro,0.373
Texas Tech,0.37200000000000005
Wisconsin,0.37
UT Martin,0.37
Marquette,0.37
E Kentucky,0.37
Duquesne,0.37
Saint Joseph's,0.369
Florida A&M,0.368
C Arkansas,0.36700000000000005
Chattanooga,0.366
Alabama St,0.366
Bradley,0.366
Hofstra,0.365
Merrimack,0.364
Penn,0.364
Duke,0.364
Colgate,0.363
Kansas City,0.36200000000000004
Bellarmine,0.36200000000000004
Hou Christian,0.36
Louisville,0.358
Sacramento St,0.358
Queens,0.35600000000000004
E Tennessee St,0.355
Niagara,0.355
Richmond,0.353
UC Riverside,0.353
Iowa,0.353
Vermont,0.353
Arizona St,0.35200000000000004
St Francis PA,0.35200000000000004
Portland,0.35100000000000003
UT Arlington,0.35100000000000003
Arkansas St,0.35
W Illinois,0.349
Green Bay,0.349
Alabama,0.349
Wyoming,0.348
New Hampshire,0.348
Chicago St,0.348
Austin Peay,0.348
San Jose St,0.34700000000000003
VMI,0.34700000000000003
The Citadel,0.34600000000000003
S Alabama,0.34600000000000003
Loyola Chi,0.345
Florida,0.345
Sam Houston,0.345
Montana St,0.344
Colorado St,0.344
Boston U,0.34299999999999997
Youngstown St,0.34299999999999997
Stanford,0.34299999999999997
Butler,0.34299999999999997
San Francisco,0.34299999999999997
App State,0.34299999999999997
Mt St Mary's,0.34299999999999997
Virginia Tech,0.342
Davidson,0.34
Lafayette,0.33899999999999997
Manhattan,0.33899999999999997
Illinois,0.33799999999999997
Utah,0.33799999999999997
Delaware,0.33799999999999997
Kentucky,0.337
Brown,0.335
Army,0.335
Clemson,0.33399999999999996
Tennessee,0.33399999999999996
Coastal Car,0.33399999999999996
UCF,0.33299999999999996
UMBC,0.33299999999999996
Stony Brook,0.33299999999999996
Wright St,0.33299999999999996
UConn,0.33299999999999996
Buffalo,0.33299999999999996
Houston,0.332
Dayton,0.332
Alabama A&M,0.331
F Dickinson,0.331
Loyola Mymt,0.33
Charleston,0.33
Washington St,0.33
FGCU,0.33
Baylor,0.33
Fordham,0.32899999999999996
Lehigh,0.32899999999999996
Bucknell,0.32899999999999996
Utah Tech,0.32899999999999996
Wagner,0.32899999999999996
Kennesaw St,0.32899999999999996
N Kentucky,0.32799999999999996
Pittsburgh,0.327
N Arizona,0.327
Utah St,0.327
Campbell,0.327
Auburn,0.326
Kansas St,0.326
Florida Atlantic,0.326
Mercer,0.326
Fairfield,0.325
Nicholls,0.325
Oklahoma,0.325
Loyola MD,0.324
Tulsa,0.324
Saint Peter's,0.324
Mississippi,0.324
Towson,0.32299999999999995
Louisiana Tech,0.32299999999999995
Drexel,0.322
Xavier,0.322
Troy,0.322
Missouri St,0.322
Purdue,0.32
Mississippi St,0.32
S Dakota St,0.319
Mercyhurst,0.319
Harvard,0.319
Bowling Green,0.318
Ohio,0.318
Elon,0.318
W Kentucky,0.318
Omaha,0.318
LSU,0.317
North Dakota,0.317
Oakland,0.317
Cincinnati,0.317
San Diego St,0.317
Louisiana,0.316
Illinois Chicago,0.315
Murray St,0.315
Howard,0.315
Long Beach St,0.314
Notre Dame,0.314
NW State,0.314
NJIT,0.313
Jacksonville,0.313
Michigan,0.313
Columbia,0.313
Le Moyne,0.313
Missouri,0.312
Georgia Tech,0.311
Georgetown,0.311
Ohio St,0.31
E Michigan,0.31
Siena,0.31
Marshall,0.31
Incarnate Word,0.308
Tulane,0.308
Vanderbilt,0.308
Navy,0.307
Texas So,0.307
High Point,0.307
Marist,0.306
Hampton,0.306
Lamar,0.305
Maryland ES,0.305
G Washington,0.305
Rice,0.305
Charleston So,0.305
Valparaiso,0.305
Jacksonville St,0.305
Evansville,0.305
N Texas,0.305
SIU Edward,0.304
Oregon,0.303
Stetson,0.303
Binghamton,0.303
Boise St,0.303
Middle Tenn,0.303
N Colorado,0.302
SE Missouri St,0.302
Monmouth,0.301
UTEP,0.301
Maryland,0.3
UCLA,0.3
S Indiana,0.299
N Iowa,0.298
Denver,0.297
Nebraska,0.297
New Mexico St,0.29600000000000004
Presbyterian,0.29600000000000004
North Carolina,0.29600000000000004
McNeese,0.29600000000000004
Charlotte,0.295
SMU,0.295
UL Monroe,0.295
Robert Morris,0.295
Washington,0.294
AR-Pine Bluff,0.294
Kansas,0.293
Rhode Island,0.292
Miami,0.292
NC State,0.29100000000000004
Northeastern,0.29
Radford,0.29
Pepperdine,0.29
Iona,0.29
Weber St,0.289
Montana,0.289
E Washington,0.289
George Mason,0.289
Kent St,0.28800000000000003
N Alabama,0.28800000000000003
Texas,0.28800000000000003
Minnesota,0.28800000000000003
Ball St,0.28800000000000003
South Carolina,0.28800000000000003
Nevada,0.287
NC A&T,0.28600000000000003
California,0.28600000000000003
S Florida,0.28600000000000003
Iowa St,0.28600000000000003
UC Irvine,0.285
Albany,0.285
Maine,0.285
La Salle,0.284
UC Davis,0.284
Boston College,0.28300000000000003
Idaho St,0.28300000000000003
Fresno St,0.282
Colorado,0.281
Drake,0.281
Quinnipiac,0.281
Rutgers,0.281
Winthrop,0.281
USC,0.28
Bryant,0.28
Cal Baptist,0.28
Texas A&M,0.28
Pacific,0.28
S Illinois,0.28
SF Austin,0.28
Yale,0.28
Grambling,0.27899999999999997
San Diego,0.27899999999999997
Memphis,0.27899999999999997
Northwestern,0.27899999999999997
NC Asheville,0.278
Little Rock,0.278
C Connecticut,0.278
Oregon St,0.27699999999999997
Georgia St,0.27699999999999997
Southern Miss,0.27699999999999997
Seattle,0.276
UNLV,0.276
Old Dominion,0.275
Georgia,0.275
Arkansas,0.275
Morehead St,0.273
Oklahoma St,0.272
Penn St,0.272
St Bonaventure,0.271
SC Upstate,0.271
TCU,0.271
NC Wilmington,0.27
E Carolina,0.26899999999999996
NC Central,0.26899999999999996
Jackson St,0.268
South Dakota,0.268
Bethune,0.268
Prairie View,0.266
Hawai'i,0.266
UMass Lowell,0.265
