team,Seas_Poss
Alabama,78.5
Cal Poly,77.5
South Dakota,77.0
Winthrop,76.8
UCF,75.8
Bryant,75.4
N Florida,75.1
New Mexico,75.1
Alabama A&M,75.1
SC Upstate,75.0
CS Northridge,74.8
Akron,74.6
W Kentucky,74.6
Indiana St,74.5
Morgan St,74.5
Illinois,74.4
Tennessee St,74.4
Fresno St,74.3
Grand Canyon,74.3
AR-Pine Bluff,74.0
Kentucky,74.0
Mercer,74.0
Ohio,74.0
Samford,73.9
UMass,73.9
Delaware St,73.8
Southern Miss,73.8
W Carolina,73.7
Washington St,73.7
Buffalo,73.7
Oklahoma St,73.7
Memphis,73.7
Texas So,73.7
Dartmouth,73.6
Cornell,73.6
San Diego,73.6
S Carolina St,73.4
UMBC,73.4
St John's,73.3
Georgia So,73.3
Rhode Island,73.2
Gonzaga,73.1
Michigan,73.1
Kennesaw St,73.0
North Carolina,73.0
Temple,72.9
Lindenwood,72.9
Iowa,72.8
N Illinois,72.8
Prairie View,72.8
Arizona St,72.8
Howard,72.8
Fordham,72.8
Columbia,72.8
Arizona,72.7
Quinnipiac,72.7
Rutgers,72.7
Charleston,72.7
UT Rio Grande,72.7
NC Asheville,72.6
Florida Intl,72.6
Penn St,72.6
Middle Tenn,72.5
Sacred Heart,72.5
Jackson St,72.5
S Florida,72.4
Purdue FW,72.4
Florida Atlantic,72.4
UAB,72.4
Arkansas St,72.4
Arkansas,72.4
LSU,72.4
Florida St,72.3
New Orleans,72.3
Santa Clara,72.3
UC Irvine,72.2
Youngstown St,72.2
Maryland,72.2
Florida,72.1
William & Mary,72.1
Abl Christian,72.1
Southern,72.0
Bucknell,72.0
Belmont,71.9
Bowling Green,71.9
Mississippi St,71.9
Gardner-Webb,71.9
Charleston So,71.9
Iowa St,71.9
S Utah,71.9
Syracuse,71.8
UTSA,71.8
Miami OH,71.8
Portland,71.8
California,71.8
Ohio St,71.8
Wichita St,71.8
Vanderbilt,71.8
Illinois Chicago,71.7
Delaware,71.7
Georgia Tech,71.7
Kansas,71.7
La Salle,71.7
North Dakota,71.7
Queens,71.7
Robert Morris,71.7
Longwood,71.7
NC Central,71.6
Georgia St,71.6
Nebraska,71.5
Le Moyne,71.5
Missouri,71.5
SMU,71.5
Mississippi,71.5
Xavier,71.4
S Dakota St,71.4
Marshall,71.4
Milwaukee,71.4
Utah,71.3
F Dickinson,71.3
UC Riverside,71.3
C Arkansas,71.3
Utah Valley,71.3
Alabama St,71.2
Oklahoma,71.2
Toledo,71.2
Chicago St,71.2
Stetson,71.2
St Thomas,71.2
Bethune,71.2
Indiana,71.2
Auburn,71.1
UT Arlington,71.1
Iona,71.1
UMass Lowell,71.1
Oregon,71.1
BYU,71.1
San Francisco,71.0
Pepperdine,71.0
W Michigan,70.9
Tenn Tech,70.9
NC A&T,70.9
USC,70.8
Albany,70.8
Coppin St,70.8
Texas,70.8
Nicholls,70.8
Denver,70.8
Sam Houston,70.8
N Colorado,70.7
Louisville,70.7
C Michigan,70.7
Army,70.7
E Kentucky,70.7
Saint Joseph's,70.7
UTEP,70.7
Green Bay,70.6
Michigan St,70.6
S Indiana,70.6
Utah Tech,70.6
Yale,70.6
Omaha,70.6
Wisconsin,70.6
Georgia,70.5
SE Missouri St,70.5
Detroit Mercy,70.5
DePaul,70.5
Portland St,70.5
W Georgia,70.5
Texas A&M,70.4
Manhattan,70.4
New Hampshire,70.4
Tulsa,70.4
Jacksonville,70.4
Valparaiso,70.4
Marquette,70.4
CS Fullerton,70.4
Chattanooga,70.4
Wright St,70.4
Colorado,70.3
Washington,70.3
Boston College,70.3
Texas St,70.3
E Michigan,70.3
UT Martin,70.2
Brown,70.2
S Illinois,70.2
SF Austin,70.2
Oral Roberts,70.2
E Carolina,70.1
Ball St,70.1
UC Davis,70.1
Florida A&M,70.1
Little Rock,70.1
Tulane,70.0
Georgetown,70.0
UL Monroe,70.0
Saint Louis,69.9
Pacific,69.9
Mt St Mary's,69.9
Siena,69.9
G Washington,69.8
E Texas A&M,69.8
Cal Baptist,69.8
VMI,69.8
Penn,69.7
Loyola Mymt,69.7
Monmouth,69.7
Loyola Chi,69.7
Wake Forest,69.6
SIU Edward,69.6
Miami,69.6
Kent St,69.5
Austin Peay,69.5
Kansas St,69.5
Creighton,69.5
Norfolk St,69.5
E Illinois,69.5
CS Bakersfield,69.5
N Kentucky,69.3
San Jose St,69.3
Princeton,69.3
Butler,69.3
E Washington,69.3
Montana,69.3
N Alabama,69.3
Texas Tech,69.2
SE Louisiana,69.2
Seattle,69.1
St Francis PA,69.1
Northeastern,69.1
Pittsburgh,69.1
Texas A&M-CC,69.1
South Carolina,69.0
Utah St,69.0
TCU,69.0
Maryland ES,69.0
Harvard,68.9
Northwestern,68.9
Bellarmine,68.9
Binghamton,68.9
N Dakota St,68.9
UCSD,68.9
Providence,68.9
Notre Dame,68.9
NJIT,68.8
High Point,68.8
Lehigh,68.8
Hawai'i,68.8
Tarleton St,68.8
Lipscomb,68.8
N Arizona,68.7
NC Wilmington,68.7
Old Dominion,68.7
Troy,68.7
Stanford,68.7
San Diego St,68.7
Dayton,68.7
Long Beach St,68.6
Louisiana,68.6
Louisiana Tech,68.6
Idaho,68.6
Furman,68.5
Murray St,68.5
Evansville,68.5
Virginia Tech,68.5
Rice,68.4
Navy,68.4
Colgate,68.4
Idaho St,68.4
UCSB,68.4
VCU,68.3
Loyola MD,68.3
Duke,68.3
Colorado St,68.3
Lamar,68.3
Bradley,68.3
Fairfield,68.2
Montana St,68.2
Cincinnati,68.2
Cleveland St,68.2
George Mason,68.1
Charlotte,68.1
Maine,68.1
Liberty,68.0
