team,Seas_3PT_Per
N Dakota St,0.39799999999999996
Bradley,0.397
Houston,0.39399999999999996
Xavier,0.391
Villanova,0.39
Liberty,0.387
Duke,0.386
Wright St,0.386
Holy Cross,0.386
Yale,0.384
UMBC,0.384
St Thomas,0.38299999999999995
Sam Houston,0.38299999999999995
Santa Clara,0.382
Miami OH,0.382
Purdue,0.382
Belmont,0.381
UCSB,0.381
Iowa,0.38
SMU,0.37799999999999995
Delaware,0.377
Memphis,0.376
Virginia,0.375
Kentucky,0.375
Cornell,0.374
Maryland,0.373
W Illinois,0.373
CS Bakersfield,0.37200000000000005
Purdue FW,0.371
Illinois St,0.371
Butler,0.37
N Colorado,0.37
Clemson,0.369
Samford,0.369
Jacksonville,0.368
N Iowa,0.368
BYU,0.368
IU Indy,0.368
Ohio St,0.368
Missouri,0.36700000000000005
Canisius,0.36700000000000005
Texas Tech,0.36700000000000005
Howard,0.366
Little Rock,0.366
High Point,0.366
Oklahoma,0.365
USC,0.365
Chattanooga,0.365
Lipscomb,0.364
Akron,0.364
Lehigh,0.364
Texas St,0.364
Cal Poly,0.363
Colorado St,0.363
Montana,0.363
Washington St,0.36200000000000004
Texas,0.36200000000000004
NC Greensboro,0.36200000000000004
Dayton,0.361
N Texas,0.361
UTSA,0.361
UCSD,0.361
Oregon St,0.361
Missouri St,0.36
Presbyterian,0.36
Furman,0.359
Auburn,0.359
Iowa St,0.358
Temple,0.358
Colgate,0.35700000000000004
Mercyhurst,0.35700000000000004
Maine,0.35700000000000004
UC Irvine,0.35600000000000004
Drake,0.35600000000000004
Omaha,0.35600000000000004
Providence,0.35600000000000004
Arizona St,0.35600000000000004
Radford,0.35600000000000004
North Carolina,0.35600000000000004
Bellarmine,0.35600000000000004
Lamar,0.35600000000000004
Florida,0.35600000000000004
Charleston,0.355
Delaware St,0.355
FGCU,0.355
Notre Dame,0.355
Binghamton,0.354
Kansas,0.354
UT Arlington,0.354
Stonehill,0.354
Gonzaga,0.354
George Mason,0.354
Alabama,0.353
Long Beach St,0.353
Bucknell,0.353
Princeton,0.353
San Jose St,0.353
Incarnate Word,0.35200000000000004
Monmouth,0.35200000000000004
UCLA,0.35200000000000004
S Indiana,0.35200000000000004
American,0.35200000000000004
McNeese,0.35200000000000004
NW State,0.35200000000000004
Queens,0.35100000000000003
Saint Louis,0.35100000000000003
Tenn Tech,0.35100000000000003
Florida Atlantic,0.35100000000000003
S Illinois,0.35100000000000003
Virginia Tech,0.35
Drexel,0.35
Ohio,0.35
Indiana St,0.35
N Florida,0.35
Nicholls,0.35
E Michigan,0.35
Niagara,0.349
E Kentucky,0.349
Utah St,0.349
UConn,0.348
Coastal Car,0.348
S Dakota St,0.348
Wisconsin,0.348
Wofford,0.348
Mississippi,0.348
Texas A&M-CC,0.34700000000000003
CS Northridge,0.34700000000000003
E Tennessee St,0.34700000000000003
Idaho,0.34700000000000003
S Carolina St,0.34700000000000003
N Alabama,0.34600000000000003
UTEP,0.34600000000000003
Rhode Island,0.34600000000000003
Pittsburgh,0.34600000000000003
Robert Morris,0.34600000000000003
