team,Seas_Opp_PPG
N Iowa,62.1
Houston,62.9
Duke,63.1
Marist,63.9
UT Martin,64.7
West Virginia,64.8
Navy,65.1
UConn,65.1
Iowa St,65.1
Saint Mary's,65.3
Seton Hall,65.3
Siena,65.7
SIU Edward,65.9
SF Austin,66.0
Iowa,66.0
Gonzaga,66.0
Nebraska,66.2
Fordham,66.3
Towson,66.4
Merrimack,66.5
Clemson,66.7
McNeese,67.0
Harvard,67.3
New Haven,67.4
App State,67.4
Hofstra,67.6
Drexel,67.6
Cincinnati,67.6
Cal Baptist,67.6
George Mason,67.7
NC Wilmington,67.8
UT Arlington,67.8
Louisiana Tech,67.8
Howard,67.8
UMBC,68.0
Seattle,68.0
Davidson,68.0
Rhode Island,68.2
N Texas,68.2
Michigan St,68.4
Virginia,68.4
Maine,68.5
Minnesota,68.5
Grand Canyon,68.7
Mercyhurst,68.7
Vermont,68.8
Arizona,68.8
Saint Peter's,69.1
Illinois St,69.1
Michigan,69.2
UC Irvine,69.2
Tennessee,69.4
Texas A&M-CC,69.4
Kansas,69.4
Stonehill,69.5
DePaul,69.6
Illinois,69.8
Pacific,69.8
Dayton,69.9
St John's,70.0
E Tennessee St,70.1
Purdue,70.1
Hawai'i,70.3
Saint Joseph's,70.3
S Illinois,70.5
UCSD,70.5
Wichita St,70.5
Lamar,70.5
Utah Valley,70.5
Jacksonville St,70.6
UT Rio Grande,70.6
Illinois Chicago,70.6
Saint Louis,70.7
Louisiana,70.7
Boston College,70.7
N Dakota St,70.8
Villanova,70.8
Utah St,70.8
Monmouth,70.9
UCLA,71.0
Mt St Mary's,71.0
S Alabama,71.1
LIU,71.1
Miami,71.2
Temple,71.2
Portland St,71.2
Grambling,71.3
SE Louisiana,71.3
North Carolina,71.3
San Diego St,71.3
Canisius,71.4
Ball St,71.4
Delaware St,71.4
VCU,71.5
Maryland ES,71.5
New Mexico,71.6
Nevada,71.6
Colorado St,71.7
Niagara,71.7
High Point,71.8
Pittsburgh,71.8
Valparaiso,71.9
Fairfield,71.9
C Connecticut,72.0
Yale,72.0
Northwestern,72.0
Florida,72.0
TCU,72.1
Hampton,72.1
Indiana,72.2
Furman,72.2
Liberty,72.2
Louisville,72.2
E Illinois,72.2
SE Missouri St,72.3
Hou Christian,72.4
Princeton,72.4
Brown,72.4
Stony Brook,72.5
Texas St,72.5
Quinnipiac,72.6
Texas Tech,72.6
Loyola Mymt,72.6
F Dickinson,72.7
American,72.7
UTEP,72.7
Stanford,72.7
Wagner,72.7
Bowling Green,72.7
Ohio St,72.8
NW State,72.9
Wyoming,72.9
Georgetown,72.9
Santa Clara,73.0
Presbyterian,73.1
Iona,73.1
Boise St,73.2
St Thomas,73.3
Bryant,73.3
California,73.3
Penn,73.4
Robert Morris,73.4
Coastal Car,73.5
Fresno St,73.5
Montana St,73.5
Columbia,73.5
Washington,73.6
NJIT,73.7
UCSB,73.7
San Francisco,73.8
New Mexico St,73.8
Kentucky,73.8
Alabama A&M,73.9
Abl Christian,73.9
Charleston,73.9
Le Moyne,73.9
Tennessee St,73.9
Tulsa,73.9
