team,Seas_Fouls
S Alabama,13.1
Illinois,13.4
UMBC,13.4
Harvard,13.5
Siena,13.7
New Haven,14.1
C Connecticut,14.1
Saint Joseph's,14.2
Nebraska,14.3
Creighton,14.3
Navy,14.4
Kansas,14.4
Delaware,14.4
UAB,14.4
Liberty,14.5
North Carolina,14.6
Purdue,14.7
Minnesota,14.7
UL Monroe,14.7
Manhattan,14.8
Sacred Heart,14.9
UMass Lowell,15.0
N Alabama,15.0
N Dakota St,15.2
Toledo,15.2
Fairfield,15.2
Butler,15.3
Niagara,15.4
West Virginia,15.4
Oakland,15.4
Stetson,15.4
Hou Christian,15.4
George Mason,15.5
Miami,15.5
Pepperdine,15.5
Furman,15.5
N Iowa,15.5
Penn St,15.5
Saint Mary's,15.5
Oregon,15.6
Michigan,15.6
Duke,15.7
SF Austin,15.7
South Dakota,15.8
BYU,15.8
UC Irvine,15.8
Fordham,15.8
Mercer,15.9
Little Rock,15.9
Holy Cross,15.9
Purdue FW,15.9
Ball St,16.0
App State,16.0
Cincinnati,16.0
Iowa St,16.0
Arizona,16.0
Monmouth,16.0
St Thomas,16.0
Clemson,16.0
Villanova,16.0
Towson,16.0
Evansville,16.0
Utah Tech,16.1
E Carolina,16.1
Rider,16.1
Stonehill,16.1
Yale,16.1
Mississippi St,16.1
Lehigh,16.1
Buffalo,16.1
Utah,16.2
Montana St,16.2
Pittsburgh,16.2
Boston U,16.2
Iona,16.2
Indiana St,16.2
Akron,16.3
Michigan St,16.3
TCU,16.3
UCSD,16.3
Lafayette,16.3
Tulsa,16.3
Baylor,16.3
Merrimack,16.3
Lipscomb,16.3
Texas Tech,16.3
Stony Brook,16.4
Bryant,16.4
Samford,16.4
Syracuse,16.4
Tenn Tech,16.5
Louisiana Tech,16.5
W Illinois,16.5
NC Greensboro,16.5
SIU Edward,16.5
St Bonaventure,16.6
Rutgers,16.6
La Salle,16.6
Miami OH,16.6
S Utah,16.6
Quinnipiac,16.6
Penn,16.6
Maine,16.6
Dayton,16.7
Princeton,16.7
Columbia,16.7
The Citadel,16.7
Charleston,16.7
Fresno St,16.7
C Arkansas,16.8
Kansas City,16.8
Dartmouth,16.8
NW State,16.8
Troy,16.8
Boston College,16.8
Seattle,16.8
E Tennessee St,16.8
Gonzaga,16.8
Loyola MD,16.8
Davidson,16.9
Colorado St,16.9
Washington,16.9
Loyola Chi,16.9
Arkansas,16.9
E Texas A&M,16.9
Drexel,16.9
Albany,16.9
SMU,16.9
UTSA,17.0
Vermont,17.0
Georgia,17.0
Marquette,17.0
Illinois St,17.0
E Illinois,17.0
Marist,17.0
Charlotte,17.1
Illinois Chicago,17.1
Green Bay,17.1
Austin Peay,17.1
S Illinois,17.1
Northwestern,17.1
UCLA,17.1
Virginia Tech,17.1
Boise St,17.1
Binghamton,17.1
Bellarmine,17.2
Wisconsin,17.2
Arizona St,17.2
San Francisco,17.2
UT Martin,17.2
Drake,17.2
W Georgia,17.2
NC Wilmington,17.2
Colgate,17.3
Elon,17.3
Oklahoma St,17.3
VMI,17.3
St John's,17.3
VCU,17.3
Jacksonville St,17.3
S Indiana,17.3
Temple,17.4
Omaha,17.4
S Dakota St,17.4
Middle Tenn,17.4
F Dickinson,17.4
Wright St,17.5
Oklahoma,17.5
Le Moyne,17.5
Xavier,17.5
Auburn,17.5
UCF,17.5
Colorado,17.5
Canisius,17.5
NC Central,17.5
Virginia,17.6
Hofstra,17.6
Wichita St,17.6
Lindenwood,17.6
South Carolina,17.6
LIU,17.6
N Arizona,17.6
Lamar,17.6
Stanford,17.6
Missouri,17.6
Iowa,17.6
Alcorn St,17.7
Portland,17.7
Richmond,17.7
New Hampshire,17.7
San Jose St,17.7
C Michigan,17.7
Ohio St,17.7
Presbyterian,17.7
Tulane,17.7
New Mexico,17.7
Sam Houston,17.7
Gardner-Webb,17.7
Washington St,17.7
Loyola Mymt,17.7
Oregon St,17.8
Bucknell,17.8
Florida,17.8
Montana,17.8
William & Mary,17.8
Wofford,17.8
Belmont,17.8
Morehead St,17.8
Air Force,17.8
Georgetown,17.8
Florida A&M,17.8
Florida Atlantic,17.8
Delaware St,17.9
Notre Dame,17.9
Tennessee,17.9
Hawai'i,17.9
DePaul,17.9
NC A&T,17.9
UTEP,17.9
Missouri St,17.9
Valparaiso,18.0
Nicholls,18.0
UConn,18.0
SE Louisiana,18.0
Georgia Tech,18.0
Houston,18.0
Maryland,18.0
G Washington,18.0
Idaho St,18.0
Youngstown St,18.0
Bowling Green,18.0
Campbell,18.1
Ohio,18.1
Incarnate Word,18.1
NC State,18.1
E Michigan,18.1
Florida Intl,18.1
CS Northridge,18.2
Rhode Island,18.2
Mt St Mary's,18.2
Nevada,18.2
Robert Morris,18.2
Texas St,18.2
NJIT,18.3
Pacific,18.3
Maryland ES,18.3
Florida St,18.3
NC Asheville,18.3
Indiana,18.3
UT Rio Grande,18.3
N Florida,18.3
E Washington,18.3
Denver,18.3
Bethune,18.4
Mercyhurst,18.4
Providence,18.4
Louisville,18.4
Kentucky,18.4
UC Davis,18.5
Georgia St,18.5
Alabama A&M,18.5
Saint Louis,18.5
N Colorado,18.5
Coastal Car,18.5
Grand Canyon,18.5
San Diego,18.5
Tennessee St,18.5
Alabama,18.5
E Kentucky,18.5
W Michigan,18.6
Idaho,18.6
SC Upstate,18.6
Weber St,18.6
Brown,18.6
Sacramento St,18.6
Milwaukee,18.6
Howard,18.7
St Francis PA,18.7
Murray St,18.7
N Kentucky,18.7
LSU,18.7
Cal Baptist,18.7
American,18.7
Utah Valley,18.7
Wake Forest,18.8
Coppin St,18.8
UT Arlington,18.8
USC,18.8
Texas,18.8
FGCU,18.8
Seton Hall,18.8
High Point,18.8
Bradley,18.8
N Illinois,18.8
Grambling,18.8
Rice,18.9
Chicago St,18.9
Arkansas St,18.9
CS Fullerton,18.9
California,19.0
Utah St,19.0
J Madison,19.0
W Carolina,19.0
Louisiana,19.0
San Diego St,19.0
Alabama St,19.1
Army,19.1
Wagner,19.1
McNeese,19.2
Kansas St,19.2
Southern,19.2
UCSB,19.2
Radford,19.2
Northeastern,19.3
Mississippi,19.3
Cleveland St,19.3
Old Dominion,19.3
Vanderbilt,19.3
Jackson St,19.3
Texas A&M,19.3
Southern Miss,19.4
Detroit Mercy,19.4
