team,Seas_Poss
Cal Poly,78.3
CS Northridge,77.9
CS Fullerton,77.3
Charleston So,77.3
Alabama,77.2
S Florida,77.1
Oklahoma St,76.7
IU Indy,76.7
Georgia,76.5
Providence,76.2
Texas A&M,76.0
Radford,75.8
Kent St,75.5
Kansas St,75.4
Lindenwood,75.3
Arkansas,75.0
William & Mary,75.0
Arkansas St,74.9
Kennesaw St,74.9
CS Bakersfield,74.8
Prairie View,74.7
Florida Intl,74.6
Hawai'i,74.5
UMass,74.5
Memphis,74.1
USC,74.1
Winthrop,74.1
South Dakota,74.1
Florida,74.1
Miami OH,74.0
Sacramento St,74.0
Georgia So,74.0
Georgia Tech,73.9
Mississippi St,73.9
N Florida,73.9
Murray St,73.9
Southern,73.7
W Kentucky,73.7
Cornell,73.6
Bethune,73.6
Morgan St,73.5
St John's,73.5
Xavier,73.5
Long Beach St,73.5
UC Davis,73.4
Jackson St,73.4
Saint Louis,73.4
Michigan,73.4
SMU,73.4
UC Irvine,73.4
Texas So,73.3
Kansas City,73.3
Florida St,73.3
Butler,73.2
Cleveland St,73.2
Vanderbilt,73.2
High Point,73.2
UAB,73.2
Oakland,73.1
Arizona,73.1
N Kentucky,73.1
Queens,73.1
UNLV,73.0
AR-Pine Bluff,73.0
W Georgia,73.0
Tarleton St,73.0
Longwood,72.9
UL Monroe,72.9
S Utah,72.9
Alabama St,72.9
N Colorado,72.9
Akron,72.9
Marquette,72.9
Tennessee St,72.8
Florida Atlantic,72.8
UCF,72.8
Ohio,72.7
BYU,72.7
Marshall,72.7
Arizona St,72.6
UC Riverside,72.6
Old Dominion,72.6
Montana,72.5
Sam Houston,72.5
S Illinois,72.4
New Orleans,72.4
Louisville,72.4
TCU,72.3
Florida A&M,72.3
SC Upstate,72.3
Colorado,72.3
Weber St,72.3
Gonzaga,72.2
Gardner-Webb,72.2
E Carolina,72.1
Bowling Green,72.1
Utah Valley,72.1
California,72.1
Belmont,72.1
LSU,72.0
San Diego St,72.0
Lipscomb,72.0
FGCU,72.0
Portland,72.0
C Arkansas,71.9
Duquesne,71.9
St Francis PA,71.8
Pepperdine,71.8
Wake Forest,71.8
S Carolina St,71.8
Howard,71.8
Auburn,71.8
Miss Valley St,71.7
Troy,71.7
Indiana St,71.7
Southern Miss,71.7
New Mexico,71.6
G Washington,71.6
UTSA,71.6
Iona,71.6
NC State,71.6
Portland St,71.6
Austin Peay,71.5
Mississippi,71.5
Campbell,71.5
Quinnipiac,71.5
Bradley,71.5
Idaho,71.5
Baylor,71.4
Northeastern,71.4
Kentucky,71.4
Wisconsin,71.4
E Kentucky,71.4
Oral Roberts,71.4
Tulsa,71.4
Virginia Tech,71.4
Detroit Mercy,71.4
UCSD,71.3
S Indiana,71.3
W Michigan,71.3
NC A&T,71.3
Utah Tech,71.3
Mercer,71.2
SE Missouri St,71.2
Alcorn St,71.2
Coastal Car,71.2
Santa Clara,71.2
VCU,71.2
Abl Christian,71.1
North Dakota,71.1
Dartmouth,71.1
St Thomas,71.1
Loyola MD,71.1
W Carolina,71.1
Syracuse,71.1
E Washington,71.1
Miami,71.0
Coppin St,71.0
Penn,71.0
Cincinnati,71.0
Toledo,71.0
Wright St,71.0
San Diego,70.9
Grambling,70.9
Wichita St,70.9
Denver,70.9
Norfolk St,70.9
Georgia St,70.9
Charleston,70.9
Samford,70.9
NC Greensboro,70.8
Milwaukee,70.8
Fresno St,70.8
North Carolina,70.8
Missouri,70.8
Texas,70.8
Oklahoma,70.7
Elon,70.7
N Illinois,70.7
Purdue FW,70.7
Omaha,70.6
UMass Lowell,70.6
N Dakota St,70.6
Washington St,70.5
Tulane,70.5
