team,Seas_3PT_Per
Belmont,0.41
Saint Louis,0.405
Yale,0.39899999999999997
Tulsa,0.39399999999999996
Texas Tech,0.39299999999999996
Liberty,0.392
Colorado St,0.391
Arkansas,0.389
Boston U,0.38799999999999996
NC State,0.38799999999999996
Penn,0.387
Iowa St,0.387
Saint Mary's,0.386
Akron,0.385
Cornell,0.38299999999999995
UCLA,0.382
Bellarmine,0.381
Robert Morris,0.38
Buffalo,0.38
Purdue,0.379
Miami OH,0.375
Cleveland St,0.375
SMU,0.374
St Bonaventure,0.374
UCSB,0.374
Sam Houston,0.373
Toledo,0.37
Richmond,0.369
Hofstra,0.368
Delaware,0.368
Denver,0.368
Oklahoma,0.368
Marshall,0.368
UT Rio Grande,0.368
VCU,0.36700000000000005
Montana,0.366
Xavier,0.365
Washington St,0.365
Lehigh,0.365
Wagner,0.365
Green Bay,0.364
St Thomas,0.364
Kansas St,0.364
Providence,0.364
California,0.363
Nevada,0.36200000000000004
Texas A&M,0.36200000000000004
UCF,0.36200000000000004
Dartmouth,0.361
Wright St,0.361
LIU,0.361
Montana St,0.361
Wisconsin,0.361
Incarnate Word,0.361
New Mexico,0.361
Arizona,0.36
Ohio St,0.36
Michigan,0.36
Navy,0.36
Stetson,0.36
Old Dominion,0.36
SF Austin,0.36
Virginia,0.359
Columbia,0.359
E Washington,0.359
Michigan St,0.359
UMBC,0.359
Queens,0.359
Pacific,0.358
Bradley,0.358
Alabama,0.358
C Connecticut,0.358
N Dakota St,0.35700000000000004
Iowa,0.35700000000000004
Sacred Heart,0.35700000000000004
Lipscomb,0.35700000000000004
Louisville,0.35700000000000004
Jacksonville St,0.35700000000000004
Charleston So,0.35600000000000004
N Arizona,0.35600000000000004
NC Greensboro,0.35600000000000004
Colgate,0.35600000000000004
Notre Dame,0.35600000000000004
Samford,0.35600000000000004
Stanford,0.35600000000000004
Mercer,0.35600000000000004
Virginia Tech,0.355
Vanderbilt,0.355
C Arkansas,0.355
Drexel,0.355
NC Wilmington,0.355
J Madison,0.354
Davidson,0.353
W Michigan,0.353
Colorado,0.353
Kent St,0.353
Little Rock,0.353
Utah,0.353
San Jose St,0.353
Villanova,0.353
Austin Peay,0.353
UNLV,0.353
Nebraska,0.353
UMass,0.35200000000000004
UConn,0.35200000000000004
Charlotte,0.35200000000000004
Iona,0.35100000000000003
Detroit Mercy,0.35100000000000003
Utah St,0.35100000000000003
Duke,0.35100000000000003
Georgia Tech,0.35100000000000003
NC Asheville,0.35100000000000003
E Kentucky,0.35
Utah Tech,0.35
G Washington,0.35
Alabama A&M,0.35
Oregon St,0.35
Missouri,0.35
Chattanooga,0.35
N Florida,0.35
Wofford,0.35
N Colorado,0.35
Kansas,0.35
Texas A&M-CC,0.35
SIU Edward,0.35
Texas,0.349
Houston,0.349
N Iowa,0.349
BYU,0.349
Santa Clara,0.349
Stony Brook,0.348
Illinois St,0.348
Murray St,0.348
Minnesota,0.348
Loyola Mymt,0.348
Oakland,0.34700000000000003
Miami,0.34700000000000003
Howard,0.34700000000000003
E Tennessee St,0.34700000000000003
Illinois,0.34700000000000003
Harvard,0.34700000000000003
Florida Intl,0.34700000000000003
Southern,0.34700000000000003
Indiana,0.34700000000000003
San Francisco,0.34600000000000003
San Diego,0.34600000000000003
Creighton,0.345
Idaho,0.345
Weber St,0.345
San Diego St,0.345
Baylor,0.345
S Alabama,0.345
North Carolina,0.345
Wake Forest,0.344
Bowling Green,0.344
High Point,0.344
UC Davis,0.344
Boise St,0.34299999999999997
Le Moyne,0.34299999999999997
Rice,0.34299999999999997
Elon,0.34299999999999997
Monmouth,0.342
Norfolk St,0.342
St Francis PA,0.342
CS Fullerton,0.342
Dayton,0.341
Kentucky,0.341
Purdue FW,0.341
Clemson,0.341
Georgia,0.341
Omaha,0.34
Quinnipiac,0.34
Drake,0.34
S Carolina St,0.34
S Dakota St,0.34
Gonzaga,0.34
Cincinnati,0.33899999999999997
Princeton,0.33899999999999997
Utah Valley,0.33899999999999997
UTEP,0.33899999999999997
UC Irvine,0.33899999999999997
Valparaiso,0.33899999999999997
C Michigan,0.33899999999999997
Middle Tenn,0.33799999999999997
Oklahoma St,0.33799999999999997
Auburn,0.33799999999999997
Kennesaw St,0.337
Youngstown St,0.337
Cal Baptist,0.337
Tennessee St,0.337
Northeastern,0.337
Niagara,0.337
Louisiana,0.336
AR-Pine Bluff,0.336
Idaho St,0.336
N Kentucky,0.336
Temple,0.336
Wichita St,0.335
