team,seed,wins,finish_label,notes
Auburn,1,4,Final Four,
Duke,1,4,Final Four,
Florida,1,5,Runner-up,
Houston,1,4,Final Four,
Alabama,2,3,Elite Eight,
Michigan St,2,3,Elite Eight,
St John's,2,1,Round of 32,
Tennessee,2,3,Elite Eight,
Iowa State,3,1,Round of 32,
Kentucky,3,2,Sweet 16,
Texas Tech,3,3,Elite Eight,
Wisconsin,3,1,Round of 32,
Arizona,4,2,Sweet 16,
Maryland,4,2,Sweet 16,
Purdue,4,2,Sweet 16,
Texas A&M,4,1,Round of 32,
Clemson,5,0,First Round,
Memphis,5,0,First Round,
Michigan,5,2,Sweet 16,
Oregon,5,1,Round of 32,
BYU,6,2,Sweet 16,
Illinois,6,1,Round of 32,
Missouri,6,0,First Round,
Ole Miss,6,2,Sweet 16,
Kansas,7,0,First Round,
Marquette,7,0,First Round,
Saint Mary's,7,1,Round of 32,
UCLA,7,1,Round of 32,
Gonzaga,8,1,Round of 32,
Louisville,8,0,First Round,
Mississippi St,8,0,First Round,
UConn,8,1,Round of 32,
Baylor,9,1,Round of 32,
Creighton,9,1,Round of 32,
Georgia,9,0,First Round,
Oklahoma,9,0,First Round,
Arkansas,10,2,Sweet 16,
New Mexico,10,1,Round of 32,
Utah State,10,0,First Round,
Vanderbilt,10,0,First Round,
Drake,11,1,Round of 32,
North Carolina,11,0,First Round,
San Diego St,11,0,First Round,
Texas,11,0,First Round,
VCU,11,0,First Round,
Xavier,11,0,First Round,
Colorado St,12,1,Round of 32,
Liberty,12,0,First Round,
McNeese,12,1,Round of 32,
UC San Diego,12,0,First Round,
Akron,13,0,First Round,
Grand Canyon,13,0,First Round,
High Point,13,0,First Round,
Yale,13,0,First Round,
Lipscomb,14,0,First Round,
Montana,14,0,First Round,
Troy,14,0,First Round,
UNC Wilmington,14,0,First Round,
Bryant,15,0,First Round,
Omaha,15,0,First Round,
Robert Morris,15,0,First Round,
Wofford,15,0,First Round,
Alabama St,16,0,First Round,
American,16,0,First Round,
Mount St Marys,16,0,First Round,
Norfolk St,16,0,First Round,
SIUE,16,0,First Round,
Saint Francis,16,0,First Round,
