team,Seas_Turnovers
Houston,8.5
Northwestern,8.6
S Alabama,8.8
Purdue,8.9
UCLA,8.9
Illinois,8.9
UAB,8.9
Wisconsin,8.9
Liberty,9.0
Arkansas,9.0
Temple,9.0
Wofford,9.2
NC State,9.2
Samford,9.3
N Iowa,9.3
Yale,9.3
SF Austin,9.3
High Point,9.3
Vermont,9.3
Mercyhurst,9.4
Clemson,9.4
UMBC,9.4
Vanderbilt,9.5
Merrimack,9.6
McNeese,9.6
St Thomas,9.6
North Carolina,9.7
Gonzaga,9.7
Iowa,9.7
Bradley,9.7
Chattanooga,9.7
Mississippi,9.7
Nebraska,9.8
Alabama,9.8
North Dakota,9.8
App State,9.8
Richmond,9.8
Denver,9.9
NC Wilmington,9.9
South Carolina,9.9
Oklahoma,9.9
San Jose St,10.0
Montana St,10.0
Xavier,10.0
Colgate,10.0
Purdue FW,10.0
Holy Cross,10.1
Nevada,10.1
Rutgers,10.2
Indiana,10.2
E Tennessee St,10.2
Villanova,10.2
Sacramento St,10.2
Toledo,10.2
Colorado,10.2
Towson,10.2
New Mexico St,10.2
Auburn,10.2
Drake,10.3
Iowa St,10.3
Lafayette,10.3
George Mason,10.3
Wichita St,10.3
Chicago St,10.3
Siena,10.3
Bellarmine,10.3
Fairfield,10.3
VMI,10.3
W Kentucky,10.4
NC Greensboro,10.4
Boston College,10.4
Ohio St,10.4
Green Bay,10.4
Davidson,10.4
American,10.4
Virginia Tech,10.4
Idaho,10.4
Mercer,10.4
Oakland,10.5
Miami OH,10.5
N Arizona,10.5
California,10.5
Kentucky,10.5
St John's,10.5
Georgia So,10.5
Washington,10.5
Milwaukee,10.5
VCU,10.5
Duke,10.5
Penn St,10.5
Valparaiso,10.6
Tulane,10.6
Stanford,10.6
Queens,10.6
Utah St,10.6
Winthrop,10.6
Tulsa,10.6
Texas,10.6
Hofstra,10.6
San Francisco,10.6
Minnesota,10.6
C Connecticut,10.6
Coastal Car,10.6
Georgia,10.7
Kansas,10.7
Georgetown,10.7
Ball St,10.7
Penn,10.7
Loyola MD,10.7
The Citadel,10.8
Manhattan,10.8
N Dakota St,10.8
New Mexico,10.8
Louisiana,10.8
Austin Peay,10.8
Texas Tech,10.8
C Arkansas,10.8
Wake Forest,10.8
Virginia,10.8
Charleston,10.8
Texas A&M,10.8
Arizona,10.9
Santa Clara,10.9
Saint Mary's,10.9
BYU,10.9
Old Dominion,10.9
TCU,10.9
Florida St,10.9
Ohio,11.0
N Colorado,11.0
S Dakota St,11.0
Georgia St,11.0
Buffalo,11.0
LSU,11.0
Elon,11.0
Syracuse,11.0
Wyoming,11.0
Akron,11.1
Omaha,11.1
Seton Hall,11.1
Navy,11.1
Weber St,11.1
Princeton,11.1
Rider,11.1
FGCU,11.1
Fordham,11.1
UConn,11.1
Quinnipiac,11.2
Alabama A&M,11.2
Detroit Mercy,11.2
UCF,11.2
Miami,11.2
New Haven,11.2
Incarnate Word,11.2
Pittsburgh,11.2
Missouri St,11.3
W Georgia,11.3
Marist,11.3
Monmouth,11.3
Jacksonville St,11.3
Wright St,11.3
Harvard,11.3
Stony Brook,11.3
SMU,11.3
S Florida,11.3
Butler,11.3
N Texas,11.3
Lipscomb,11.3
Jacksonville,11.3
Hampton,11.3
Creighton,11.3
West Virginia,11.3
Marquette,11.3
Illinois St,11.4
New Hampshire,11.4
Idaho St,11.4
Utah,11.4
Baylor,11.5
Northeastern,11.5
CS Fullerton,11.5
Notre Dame,11.5
St Bonaventure,11.5
UCSD,11.5
Michigan St,11.5
Cornell,11.5
Saint Joseph's,11.5
Boise St,11.5
UTEP,11.6
Boston U,11.6
NJIT,11.6
N Alabama,11.6
W Carolina,11.6
Mississippi St,11.6
Louisville,11.6
N Kentucky,11.6
Bowling Green,11.7
Tennessee,11.7
Saint Peter's,11.7
J Madison,11.7
Murray St,11.7
Middle Tenn,11.7
F Dickinson,11.7
Prairie View,11.7
Seattle,11.7
Marshall,11.7
Tennessee St,11.7
W Michigan,11.7
Sam Houston,11.8
Oregon,11.8
Portland St,11.8
Cincinnati,11.8
NC Asheville,11.8
Army,11.8
E Kentucky,11.8
W Illinois,11.8
S Indiana,11.8
SE Missouri St,11.8
Charlotte,11.8
SIU Edward,11.9
Troy,11.9
Delaware,11.9
Nicholls,11.9
Oregon St,11.9
Lamar,11.9
IU Indy,11.9
Colorado St,11.9
Illinois Chicago,11.9
Oklahoma St,11.9
Florida,11.9
E Carolina,12.0
E Michigan,12.0
NW State,12.0
Louisiana Tech,12.0
Southern,12.0
Dayton,12.0
Michigan,12.0
Iona,12.0
Furman,12.0
Niagara,12.0
DePaul,12.0
Lehigh,12.0
S Illinois,12.0
South Dakota,12.0
Arizona St,12.1
Loyola Mymt,12.1
UL Monroe,12.1
UNLV,12.1
La Salle,12.1
Sacred Heart,12.1
Kennesaw St,12.1
SE Louisiana,12.1
Morehead St,12.1
Rice,12.1
UTSA,12.1
NC Central,12.1
San Diego St,12.2
William & Mary,12.2
Albany,12.2
San Diego,12.2
Hou Christian,12.2
Grand Canyon,12.2
Dartmouth,12.3
E Washington,12.3
Campbell,12.3
Utah Tech,12.3
Stetson,12.4
Wagner,12.4
Providence,12.4
Cal Baptist,12.4
Missouri,12.4
C Michigan,12.4
Maine,12.4
UMass Lowell,12.4
Drexel,12.4
UT Rio Grande,12.4
Maryland,12.4
E Illinois,12.4
Duquesne,12.5
Little Rock,12.5
Binghamton,12.5
Robert Morris,12.5
Florida Atlantic,12.5
Saint Louis,12.5
Radford,12.6
USC,12.6
Fresno St,12.6
Morgan St,12.6
G Washington,12.6
Canisius,12.7
Washington St,12.7
Texas St,12.7
Cleveland St,12.7
Belmont,12.7
UCSB,12.8
Rhode Island,12.8
UC Irvine,12.8
SC Upstate,12.8
Florida Intl,12.8
Pepperdine,12.8
Bucknell,12.8
UC Davis,12.9
Kansas St,12.9
Southern Miss,12.9
NC A&T,12.9
Long Beach St,12.9
Oral Roberts,12.9
N Florida,12.9
Norfolk St,12.9
Presbyterian,12.9
St Francis PA,13.0
Youngstown St,13.0
Texas A&M-CC,13.0
Evansville,13.0
UMass,13.0
LIU,13.0
Alabama St,13.0
Tenn Tech,13.0
Kansas City,13.0
Loyola Chi,13.1
Columbia,13.1
Stonehill,13.1
E Texas A&M,13.2
Bryant,13.2
Le Moyne,13.2
CS Northridge,13.3
Pacific,13.3
Delaware St,13.3
Brown,13.3
Kent St,13.3
Texas So,13.3
AR-Pine Bluff,13.4
