team,seed,region,play_in_group,notes
Duke,1,East,,
UConn,2,East,,
Michigan St,3,East,,
Kansas,4,East,,
St John's,5,East,,
Louisville,6,East,,
UCLA,7,East,,
Ohio State,8,East,,
TCU,9,East,,
UCF,10,East,,
South Florida,11,East,,
Northern Iowa,12,East,,
CA Baptist,13,East,,
N Dakota St,14,East,,
Furman,15,East,,
Siena,16,East,,
Michigan,1,Midwest,,
Iowa State,2,Midwest,,
Virginia,3,Midwest,,
Alabama,4,Midwest,,
Texas Tech,5,Midwest,,
Tennessee,6,Midwest,,
Kentucky,7,Midwest,,
Georgia,8,Midwest,,
Saint Louis,9,Midwest,,
Santa Clara,10,Midwest,,
Miami OH,11,Midwest,Midwest-11,first_four
SMU,11,Midwest,Midwest-11,first_four
Akron,12,Midwest,,
Hofstra,13,Midwest,,
Wright St,14,Midwest,,
Tennessee St,15,Midwest,,
Howard,16,Midwest,Midwest-16,first_four
UMBC,16,Midwest,Midwest-16,first_four
Florida,1,South,,
Houston,2,South,,
Illinois,3,South,,
Nebraska,4,South,,
Vanderbilt,5,South,,
North Carolina,6,South,,
Saint Mary's,7,South,,
Clemson,8,South,,
Iowa,9,South,,
Texas A&M,10,South,,
VCU,11,South,,
McNeese,12,South,,
Troy,13,South,,
Penn,14,South,,
Idaho,15,South,,
Lehigh,16,South,South-16,first_four
Prairie View,16,South,South-16,first_four
Arizona,1,West,,
Purdue,2,West,,
Gonzaga,3,West,,
Arkansas,4,West,,
Wisconsin,5,West,,
BYU,6,West,,
Miami,7,West,,
Villanova,8,West,,
Utah State,9,West,,
Missouri,10,West,,
NC State,11,West,West-11,first_four
Texas,11,West,West-11,first_four
High Point,12,West,,
Hawai'i,13,West,,
Kennesaw St,14,West,,
Queens,15,West,,
Long Island,16,West,,
