source,source_name,canonical_name
all,UConn,Connecticut
all,CONN,Connecticut
all,PUR,Purdue
all,Saint Mary's,St Marys
all,Saint Marys,St Marys
all,Saint Peter's,St Peters
all,Saint Peters,St Peters
all,St. John's,St Johns
all,St Johns,St Johns
all,Ole Miss,Mississippi
all,North Carolina,N Carolina
all,South Carolina,S Carolina
all,Florida Atlantic,Fla Atlantic
all,FAU,Fla Atlantic
all,Grand Canyon,Grd Canyon
all,Long Beach State,Lg Beach St
all,South Dakota State,S Dakota St
all,College of Charleston,Col Charlestn
all,Texas Christian,TX Christian
all,Miami (FL),Miami FL
all,Penn State,Penn St.
all,Kansas State,Kansas St.
all,Michigan State,Michigan St.
all,Mississippi State,Mississippi St.
all,San Diego State,San Diego St.
all,Texas A&M Corpus Christi,Texas A&M Corpus Chris
all,UNC,N Carolina
all,Boise St.,Boise St
all,Washington St.,Washington St
all,N.C. State,NC State
all,McNeese St.,McNeese
all,Grambling St.,Grambling
all,Montana St.,Montana St
all,South Dakota St.,S Dakota St
all,Western Kentucky,Western KY
all,W Kentucky,Western KY
all,J Madison,James Madison
all,Michigan St.,Michigan St
all,Iowa State,Iowa St
all,Iowa St.,Iowa St
all,Mississippi St.,Mississippi St
all,San Diego St.,San Diego St
all,Utah State,Utah St
all,Utah St.,Utah St
all,Nebraska Omaha,Omaha
all,Alabama St.,Alabama St
all,Mount St. Mary's,Mount St Marys
all,Mt St Mary's,Mount St Marys
all,UCSD,UC San Diego
all,NC Wilmington,UNC Wilmington
all,SIU Edward,SIUE
all,Saint Francis,St Francis PA
all,N Colorado,Northern Colorado
all,Ohio State,Ohio St
all,Loyola MD,Loyola Maryland
all,Southern Miss,Southern Mississippi
all,UAlbany,Albany
all,G Washington,George Washington
all,Saint Joseph's,St Josephs
all,E Washington,Eastern Washington
all,Bakersfield,Cal St Bakersfield
all,Hawai'i,Hawaii
all,Abilene Chrstn,Abilene Christian
all,Santa Barbara,UC Santa Barbara
all,FDU,Fairleigh Dickinson
all,N Kentucky,Northern Kentucky
all,Texas A&M-CC,Texas A&M Corpus Chris?
all,Pitt,Pittsburgh
all,UTSA,Texas San Antonio
all,Long Island,Long Island Brooklyn
all,Boston U,Boston University
all,Detroit Mercy,Detroit
all,FGCU,Florida Gulf Coast
all,NC A&T,North Carolina A&T
all,Coastal,Coastal Carolina
all,NC Central,North Carolina Central
all,UMass,Massachusetts
all,Green Bay,Wisconsin Green Bay
all,Little Rock,Arkansas Little Rock
all,MTSU,Middle Tennessee
all,Fullerton,Cal St Fullerton
all,Penn,Pennsylvania
all,Texas A&M Corpus Chris,Texas A&M Corpus Chris?
all,Miami FL,Miami FL
all,Miami,Miami FL
all,Mississippi,Ole Miss
all,Louisiana,Louisiana Lafayette
all,Charleston,College of Charleston
all,Milwaukee,Wisconsin Milwaukee
all,MTSU,Middle Tennessee St
all,N Florida,North Florida
all,N Iowa,Northern Iowa
all,Coastal Car,Coastal Carolina
all,CA Baptist,Cal Baptist
all,UCF,UCF
all,LIU,Long Island Brooklyn
all,Prairie View A&M,Prairie View
all,Tennessee St.,Tennessee St
all,S Florida,South Florida
teamrankings,Mississippi,Mississippi
kenpom,Mississippi,Mississippi
teamrankings,Texas So,Texas Southern
all,Stephen F. Austin,SF Austin
all,Stephen F Austin,SF Austin
all,North Dakota St.,N Dakota St
